price,quantity,date,unix timestamp
99.921,23,Jul 01 2022 01: +0,1656633600
87.413,226,Jul 02 2022 01: +0,1656720000
66.522,172,Jul 03 2022 01: +0,1656806400
55.867,141,Jul 04 2022 01: +0,1656892800
52.914,134,Jul 05 2022 01: +0,1656979200
51.863,126,Jul 06 2022 01: +0,1657065600
55.903,113,Jul 07 2022 01: +0,1657152000
58.417,111,Jul 08 2022 01: +0,1657238400
66.761,127,Jul 09 2022 01: +0,1657324800
70.439,130,Jul 10 2022 01: +0,1657411200
59.811,105,Jul 11 2022 01: +0,1657497600
60.28,119,Jul 12 2022 01: +0,1657584000
69.363,52,Jul 13 2022 01: +0,1657670400
67.301,123,Jul 14 2022 01: +0,1657756800
67.86,114,Jul 15 2022 01: +0,1657843200
64.723,109,Jul 16 2022 01: +0,1657929600
65.38,122,Jul 17 2022 01: +0,1658016000
65.463,119,Jul 18 2022 01: +0,1658102400
66.757,98,Jul 19 2022 01: +0,1658188800
72.992,54,Jul 20 2022 01: +0,1658275200
67.233,137,Jul 21 2022 01: +0,1658361600
56.755,138,Jul 22 2022 01: +0,1658448000
49.821,149,Jul 23 2022 01: +0,1658534400
50.981,136,Jul 24 2022 01: +0,1658620800
51.235,105,Jul 25 2022 01: +0,1658707200
52.555,130,Jul 26 2022 01: +0,1658793600
54.999,102,Jul 27 2022 01: +0,1658880000
57.445,138,Jul 28 2022 01: +0,1658966400
60.676,113,Jul 29 2022 01: +0,1659052800
61.561,121,Jul 30 2022 01: +0,1659139200
62.924,110,Jul 31 2022 01: +0,1659225600
61.753,124,Aug 01 2022 01: +0,1659312000
61.335,104,Aug 02 2022 01: +0,1659398400
57.491,130,Aug 03 2022 01: +0,1659484800
55.097,133,Aug 04 2022 01: +0,1659571200
55.201,111,Aug 05 2022 01: +0,1659657600
53.561,118,Aug 06 2022 01: +0,1659744000
52.437,137,Aug 07 2022 01: +0,1659830400
49.628,136,Aug 08 2022 01: +0,1659916800
49.803,60,Aug 09 2022 01: +0,1660003200
47.44,125,Aug 10 2022 01: +0,1660089600
47.03,116,Aug 11 2022 01: +0,1660176000
47.136,136,Aug 12 2022 01: +0,1660262400
48.346,125,Aug 13 2022 01: +0,1660348800
48.261,151,Aug 14 2022 01: +0,1660435200
48.351,125,Aug 15 2022 01: +0,1660521600
48.314,121,Aug 16 2022 01: +0,1660608000
48.127,137,Aug 17 2022 01: +0,1660694400
49.489,112,Aug 18 2022 01: +0,1660780800
50.044,148,Aug 19 2022 01: +0,1660867200
50.276,157,Aug 20 2022 01: +0,1660953600
49.08,139,Aug 21 2022 01: +0,1661040000
48.682,108,Aug 22 2022 01: +0,1661126400
49.86,97,Aug 23 2022 01: +0,1661212800
48.656,123,Aug 24 2022 01: +0,1661299200
46.63,113,Aug 25 2022 01: +0,1661385600
46.741,147,Aug 26 2022 01: +0,1661472000
47.877,127,Aug 27 2022 01: +0,1661558400
48.049,144,Aug 28 2022 01: +0,1661644800
48.533,106,Aug 29 2022 01: +0,1661731200
48.192,120,Aug 30 2022 01: +0,1661817600
47.988,104,Aug 31 2022 01: +0,1661904000
48.041,147,Sep 01 2022 01: +0,1661990400
48.539,116,Sep 02 2022 01: +0,1662076800
50.263,118,Sep 03 2022 01: +0,1662163200
50.114,119,Sep 04 2022 01: +0,1662249600
49.884,103,Sep 05 2022 01: +0,1662336000
50.242,106,Sep 06 2022 01: +0,1662422400
49.595,119,Sep 07 2022 01: +0,1662508800
48.731,110,Sep 08 2022 01: +0,1662595200
47.806,122,Sep 09 2022 01: +0,1662681600
46.275,116,Sep 10 2022 01: +0,1662768000
44.644,134,Sep 11 2022 01: +0,1662854400
43.897,128,Sep 12 2022 01: +0,1662940800
43.033,112,Sep 13 2022 01: +0,1663027200
41.404,134,Sep 14 2022 01: +0,1663113600
39.38,131,Sep 15 2022 01: +0,1663200000
39.525,117,Sep 16 2022 01: +0,1663286400
39.62,130,Sep 17 2022 01: +0,1663372800
40.28,132,Sep 18 2022 01: +0,1663459200
40.094,125,Sep 19 2022 01: +0,1663545600
39.798,118,Sep 20 2022 01: +0,1663632000
38.098,128,Sep 21 2022 01: +0,1663718400
35.573,131,Sep 22 2022 01: +0,1663804800
35.513,158,Sep 23 2022 01: +0,1663891200
33.51,150,Sep 24 2022 01: +0,1663977600
34.333,122,Sep 25 2022 01: +0,1664064000
34.138,140,Sep 26 2022 01: +0,1664150400
