price,quantity,date,unix timestamp
2.416,274,Sep 22 2021 01: +0,1632268800
1.657,224,Sep 23 2021 01: +0,1632355200
1.814,156,Sep 24 2021 01: +0,1632441600
1.852,146,Sep 25 2021 01: +0,1632528000
1.796,119,Sep 26 2021 01: +0,1632614400
1.757,106,Sep 27 2021 01: +0,1632700800
1.662,94,Sep 28 2021 01: +0,1632787200
1.673,138,Sep 29 2021 01: +0,1632873600
1.502,128,Sep 30 2021 01: +0,1632960000
1.568,133,Oct 01 2021 01: +0,1633046400
1.721,143,Oct 02 2021 01: +0,1633132800
1.698,94,Oct 03 2021 01: +0,1633219200
1.766,94,Oct 04 2021 01: +0,1633305600
1.759,106,Oct 05 2021 01: +0,1633392000
1.63,153,Oct 06 2021 01: +0,1633478400
1.6,138,Oct 07 2021 01: +0,1633564800
1.667,124,Oct 08 2021 01: +0,1633651200
1.517,122,Oct 09 2021 01: +0,1633737600
1.635,113,Oct 10 2021 01: +0,1633824000
1.72,102,Oct 11 2021 01: +0,1633910400
1.693,97,Oct 12 2021 01: +0,1633996800
1.574,120,Oct 13 2021 01: +0,1634083200
1.548,92,Oct 14 2021 01: +0,1634169600
1.436,99,Oct 15 2021 01: +0,1634256000
1.427,121,Oct 16 2021 01: +0,1634342400
1.4,108,Oct 17 2021 01: +0,1634428800
1.457,88,Oct 18 2021 01: +0,1634515200
1.424,75,Oct 19 2021 01: +0,1634601600
1.272,115,Oct 20 2021 01: +0,1634688000
1.3,105,Oct 21 2021 01: +0,1634774400
1.029,175,Oct 22 2021 01: +0,1634860800
1.09,113,Oct 23 2021 01: +0,1634947200
1.11,100,Oct 24 2021 01: +0,1635033600
1.149,91,Oct 25 2021 01: +0,1635120000
1.081,122,Oct 26 2021 01: +0,1635206400
1.038,126,Oct 27 2021 01: +0,1635292800
1.013,119,Oct 28 2021 01: +0,1635379200
1.056,110,Oct 29 2021 01: +0,1635465600
1.087,108,Oct 30 2021 01: +0,1635552000
1.15,93,Oct 31 2021 01: +0,1635638400
1.185,95,Nov 01 2021 01: +0,1635728400
1.281,101,Nov 02 2021 01: +0,1635814800
1.058,144,Nov 03 2021 01: +0,1635901200
1.031,125,Nov 04 2021 01: +0,1635987600
1.111,116,Nov 05 2021 01: +0,1636074000
1.113,125,Nov 06 2021 01: +0,1636160400
1.215,103,Nov 07 2021 01: +0,1636246800
1.201,116,Nov 08 2021 01: +0,1636333200
1.231,97,Nov 09 2021 01: +0,1636419600
1.054,197,Nov 10 2021 01: +0,1636506000
0.977,117,Nov 11 2021 01: +0,1636592400
0.999,132,Nov 12 2021 01: +0,1636678800
1.044,139,Nov 13 2021 01: +0,1636765200
1.082,103,Nov 14 2021 01: +0,1636851600
1.095,103,Nov 15 2021 01: +0,1636938000
1.161,114,Nov 16 2021 01: +0,1637024400
1.036,120,Nov 17 2021 01: +0,1637110800
1.025,106,Nov 18 2021 01: +0,1637197200
1.062,96,Nov 19 2021 01: +0,1637283600
1.078,122,Nov 20 2021 01: +0,1637370000
1.113,99,Nov 21 2021 01: +0,1637456400
1.083,78,Nov 22 2021 01: +0,1637542800
1.06,99,Nov 23 2021 01: +0,1637629200
1.002,111,Nov 24 2021 01: +0,1637715600
0.947,141,Nov 25 2021 01: +0,1637802000
0.995,143,Nov 26 2021 01: +0,1637888400
0.986,132,Nov 27 2021 01: +0,1637974800
0.987,134,Nov 28 2021 01: +0,1638061200
0.982,103,Nov 29 2021 01: +0,1638147600
0.996,138,Nov 30 2021 01: +0,1638234000
0.95,158,Dec 01 2021 01: +0,1638320400
0.972,122,Dec 02 2021 01: +0,1638406800
0.98,141,Dec 03 2021 01: +0,1638493200
1.007,129,Dec 04 2021 01: +0,1638579600
1.053,105,Dec 05 2021 01: +0,1638666000
1.154,98,Dec 06 2021 01: +0,1638752400
1.142,97,Dec 07 2021 01: +0,1638838800
1.09,124,Dec 08 2021 01: +0,1638925200
1.143,100,Dec 09 2021 01: +0,1639011600
1.134,115,Dec 10 2021 01: +0,1639098000
1.154,140,Dec 11 2021 01: +0,1639184400
1.099,134,Dec 12 2021 01: +0,1639270800
1.129,115,Dec 13 2021 01: +0,1639357200
1.089,108,Dec 14 2021 01: +0,1639443600
1.074,115,Dec 15 2021 01: +0,1639530000
1.038,109,Dec 16 2021 01: +0,1639616400
1.012,114,Dec 17 2021 01: +0,1639702800
1.064,139,Dec 18 2021 01: +0,1639789200
1.044,120,Dec 19 2021 01: +0,1639875600
1.088,125,Dec 20 2021 01: +0,1639962000
1.115,110,Dec 21 2021 01: +0,1640048400
1.11,141,Dec 22 2021 01: +0,1640134800
