price,quantity,date,unix timestamp
2.542,290,May 17 2022 01: +0,1652745600
2.544,363,May 18 2022 01: +0,1652832000
2.503,185,May 19 2022 01: +0,1652918400
2.485,347,May 20 2022 01: +0,1653004800
2.446,233,May 21 2022 01: +0,1653091200
2.447,325,May 22 2022 01: +0,1653177600
2.505,307,May 23 2022 01: +0,1653264000
2.559,295,May 24 2022 01: +0,1653350400
2.498,210,May 25 2022 01: +0,1653436800
2.545,331,May 26 2022 01: +0,1653523200
2.579,333,May 27 2022 01: +0,1653609600
2.491,265,May 28 2022 01: +0,1653696000
2.358,215,May 29 2022 01: +0,1653782400
2.363,207,May 30 2022 01: +0,1653868800
2.465,175,May 31 2022 01: +0,1653955200
2.462,106,Jun 01 2022 01: +0,1654041600
2.445,128,Jun 02 2022 01: +0,1654128000
2.341,273,Jun 03 2022 01: +0,1654214400
2.398,191,Jun 04 2022 01: +0,1654300800
2.428,191,Jun 05 2022 01: +0,1654387200
2.455,110,Jun 06 2022 01: +0,1654473600
2.436,148,Jun 07 2022 01: +0,1654560000
2.514,238,Jun 08 2022 01: +0,1654646400
2.445,132,Jun 09 2022 01: +0,1654732800
2.504,172,Jun 10 2022 01: +0,1654819200
2.508,253,Jun 11 2022 01: +0,1654905600
2.412,99,Jun 12 2022 01: +0,1654992000
2.45,95,Jun 13 2022 01: +0,1655078400
2.406,87,Jun 14 2022 01: +0,1655164800
2.429,120,Jun 15 2022 01: +0,1655251200
2.397,90,Jun 16 2022 01: +0,1655337600
2.359,93,Jun 17 2022 01: +0,1655424000
2.297,75,Jun 18 2022 01: +0,1655510400
2.36,120,Jun 19 2022 01: +0,1655596800
2.315,108,Jun 20 2022 01: +0,1655683200
2.359,65,Jun 21 2022 01: +0,1655769600
2.303,81,Jun 22 2022 01: +0,1655856000
2.301,68,Jun 23 2022 01: +0,1655942400
2.275,104,Jun 24 2022 01: +0,1656028800
2.277,105,Jun 25 2022 01: +0,1656115200
2.53,204,Jun 26 2022 01: +0,1656201600
2.581,122,Jun 27 2022 01: +0,1656288000
2.396,77,Jun 28 2022 01: +0,1656374400
2.56,65,Jun 29 2022 01: +0,1656460800
2.643,86,Jun 30 2022 01: +0,1656547200
2.638,107,Jul 01 2022 01: +0,1656633600
2.55,45,Jul 02 2022 01: +0,1656720000
2.587,35,Jul 03 2022 01: +0,1656806400
2.651,28,Jul 04 2022 01: +0,1656892800
2.667,41,Jul 05 2022 01: +0,1656979200
2.526,68,Jul 06 2022 01: +0,1657065600
2.403,62,Jul 07 2022 01: +0,1657152000
2.584,85,Jul 08 2022 01: +0,1657238400
2.436,86,Jul 09 2022 01: +0,1657324800
2.406,50,Jul 10 2022 01: +0,1657411200
2.443,83,Jul 11 2022 01: +0,1657497600
2.485,34,Jul 12 2022 01: +0,1657584000
2.603,56,Jul 13 2022 01: +0,1657670400
2.425,161,Jul 14 2022 01: +0,1657756800
2.49,34,Jul 15 2022 01: +0,1657843200
2.514,91,Jul 16 2022 01: +0,1657929600
2.583,54,Jul 17 2022 01: +0,1658016000
2.601,91,Jul 18 2022 01: +0,1658102400
2.552,69,Jul 19 2022 01: +0,1658188800
2.739,103,Jul 20 2022 01: +0,1658275200
2.62,59,Jul 21 2022 01: +0,1658361600
2.465,108,Jul 22 2022 01: +0,1658448000
2.548,59,Jul 23 2022 01: +0,1658534400
2.574,70,Jul 24 2022 01: +0,1658620800
2.574,63,Jul 25 2022 01: +0,1658707200
2.508,66,Jul 26 2022 01: +0,1658793600
2.549,50,Jul 27 2022 01: +0,1658880000
2.593,45,Jul 28 2022 01: +0,1658966400
2.641,26,Jul 29 2022 01: +0,1659052800
2.553,21,Jul 30 2022 01: +0,1659139200
2.487,51,Jul 31 2022 01: +0,1659225600
2.473,156,Aug 01 2022 01: +0,1659312000
2.525,23,Aug 02 2022 01: +0,1659398400
2.566,87,Aug 03 2022 01: +0,1659484800
2.601,68,Aug 04 2022 01: +0,1659571200
2.631,58,Aug 05 2022 01: +0,1659657600
2.642,47,Aug 06 2022 01: +0,1659744000
2.642,43,Aug 07 2022 01: +0,1659830400
2.661,30,Aug 08 2022 01: +0,1659916800
2.702,131,Aug 09 2022 01: +0,1660003200
2.618,90,Aug 10 2022 01: +0,1660089600
2.55,38,Aug 11 2022 01: +0,1660176000
2.64,44,Aug 12 2022 01: +0,1660262400
2.649,57,Aug 13 2022 01: +0,1660348800
2.621,68,Aug 14 2022 01: +0,1660435200
2.665,210,Aug 15 2022 01: +0,1660521600
2.559,214,Aug 16 2022 01: +0,1660608000
2.441,158,Aug 17 2022 01: +0,1660694400
2.447,75,Aug 18 2022 01: +0,1660780800
2.457,66,Aug 19 2022 01: +0,1660867200
2.517,73,Aug 20 2022 01: +0,1660953600
2.57,47,Aug 21 2022 01: +0,1661040000
2.585,35,Aug 22 2022 01: +0,1661126400
2.63,125,Aug 23 2022 01: +0,1661212800
2.406,70,Aug 24 2022 01: +0,1661299200
2.503,88,Aug 25 2022 01: +0,1661385600
2.556,45,Aug 26 2022 01: +0,1661472000
2.543,46,Aug 27 2022 01: +0,1661558400
2.537,96,Aug 28 2022 01: +0,1661644800
2.535,29,Aug 29 2022 01: +0,1661731200
2.469,58,Aug 30 2022 01: +0,1661817600
2.462,67,Aug 31 2022 01: +0,1661904000
2.53,35,Sep 01 2022 01: +0,1661990400
2.415,87,Sep 02 2022 01: +0,1662076800
2.582,40,Sep 03 2022 01: +0,1662163200
2.476,40,Sep 04 2022 01: +0,1662249600
2.614,63,Sep 05 2022 01: +0,1662336000
2.57,44,Sep 06 2022 01: +0,1662422400
2.537,30,Sep 07 2022 01: +0,1662508800
2.612,61,Sep 08 2022 01: +0,1662595200
2.585,43,Sep 09 2022 01: +0,1662681600
2.584,60,Sep 10 2022 01: +0,1662768000
2.64,79,Sep 11 2022 01: +0,1662854400
2.579,66,Sep 12 2022 01: +0,1662940800
2.588,53,Sep 13 2022 01: +0,1663027200
2.724,279,Sep 14 2022 01: +0,1663113600
2.608,96,Sep 15 2022 01: +0,1663200000
2.557,40,Sep 16 2022 01: +0,1663286400
2.577,87,Sep 17 2022 01: +0,1663372800
2.628,62,Sep 18 2022 01: +0,1663459200
2.642,52,Sep 19 2022 01: +0,1663545600
2.58,47,Sep 20 2022 01: +0,1663632000
2.53,126,Sep 21 2022 01: +0,1663718400
2.527,51,Sep 22 2022 01: +0,1663804800
2.498,57,Sep 23 2022 01: +0,1663891200
2.666,37,Sep 24 2022 01: +0,1663977600
2.633,33,Sep 25 2022 01: +0,1664064000
2.556,67,Sep 26 2022 01: +0,1664150400
2.614,32,Sep 27 2022 01: +0,1664236800
2.502,69,Sep 28 2022 01: +0,1664323200
2.526,24,Sep 29 2022 01: +0,1664409600
2.492,59,Sep 30 2022 01: +0,1664496000
2.536,76,Oct 01 2022 01: +0,1664582400
2.475,53,Oct 02 2022 01: +0,1664668800
2.548,72,Oct 03 2022 01: +0,1664755200
2.473,60,Oct 04 2022 01: +0,1664841600
2.44,96,Oct 05 2022 01: +0,1664928000
2.442,70,Oct 06 2022 01: +0,1665014400
2.571,226,Oct 07 2022 01: +0,1665100800
2.521,74,Oct 08 2022 01: +0,1665187200
2.566,63,Oct 09 2022 01: +0,1665273600
2.638,116,Oct 10 2022 01: +0,1665360000
2.614,58,Oct 11 2022 01: +0,1665446400
2.652,81,Oct 12 2022 01: +0,1665532800
