price,quantity,date,unix timestamp
2.508,2709,Jan 22 2017 01: +0,1485046800
2.333,2975,Jan 23 2017 01: +0,1485133200
1.989,2753,Jan 24 2017 01: +0,1485219600
1.814,1253,Jan 25 2017 01: +0,1485306000
1.817,1126,Jan 26 2017 01: +0,1485392400
1.892,1878,Jan 27 2017 01: +0,1485478800
1.814,2204,Jan 28 2017 01: +0,1485565200
1.778,1343,Jan 29 2017 01: +0,1485651600
1.83,569,Jan 30 2017 01: +0,1485738000
1.933,394,Jan 31 2017 01: +0,1485824400
1.966,304,Feb 01 2017 01: +0,1485910800
2.066,465,Feb 02 2017 01: +0,1485997200
2.194,289,Feb 03 2017 01: +0,1486083600
2.244,247,Feb 04 2017 01: +0,1486170000
2.255,230,Feb 05 2017 01: +0,1486256400
2.207,155,Feb 06 2017 01: +0,1486342800
2.088,165,Feb 07 2017 01: +0,1486429200
2.104,169,Feb 08 2017 01: +0,1486515600
2.141,155,Feb 09 2017 01: +0,1486602000
2.169,152,Feb 10 2017 01: +0,1486688400
2.091,225,Feb 11 2017 01: +0,1486774800
2.051,128,Feb 12 2017 01: +0,1486861200
1.917,116,Feb 13 2017 01: +0,1486947600
1.957,138,Feb 14 2017 01: +0,1487034000
1.992,100,Feb 15 2017 01: +0,1487120400
2.013,94,Feb 16 2017 01: +0,1487206800
1.989,86,Feb 17 2017 01: +0,1487293200
2.03,93,Feb 18 2017 01: +0,1487379600
1.946,97,Feb 19 2017 01: +0,1487466000
1.842,67,Feb 20 2017 01: +0,1487552400
1.872,82,Feb 21 2017 01: +0,1487638800
1.894,72,Feb 22 2017 01: +0,1487725200
1.975,127,Feb 23 2017 01: +0,1487811600
1.989,105,Feb 24 2017 01: +0,1487898000
2.107,89,Feb 25 2017 01: +0,1487984400
2.149,101,Feb 26 2017 01: +0,1488070800
2.104,56,Feb 27 2017 01: +0,1488157200
2.055,76,Feb 28 2017 01: +0,1488243600
2.196,62,Mar 01 2017 01: +0,1488330000
2.214,66,Mar 02 2017 01: +0,1488416400
2.22,54,Mar 03 2017 01: +0,1488502800
2.122,44,Mar 04 2017 01: +0,1488589200
2.209,118,Mar 05 2017 01: +0,1488675600
2.164,56,Mar 06 2017 01: +0,1488762000
2.144,38,Mar 07 2017 01: +0,1488848400
2.15,40,Mar 08 2017 01: +0,1488934800
2.179,44,Mar 09 2017 01: +0,1489021200
2.199,50,Mar 10 2017 01: +0,1489107600
2.293,53,Mar 11 2017 01: +0,1489194000
2.256,41,Mar 12 2017 01: +0,1489280400
2.209,68,Mar 13 2017 01: +0,1489366800
2.257,54,Mar 14 2017 01: +0,1489453200
2.342,37,Mar 15 2017 01: +0,1489539600
2.041,32,Mar 16 2017 01: +0,1489626000
2.056,47,Mar 17 2017 01: +0,1489712400
2.143,64,Mar 18 2017 01: +0,1489798800
2.112,40,Mar 19 2017 01: +0,1489885200
2.095,42,Mar 20 2017 01: +0,1489971600
2.044,28,Mar 21 2017 01: +0,1490058000
2.023,28,Mar 22 2017 01: +0,1490144400
2.101,34,Mar 23 2017 01: +0,1490230800
1.954,54,Mar 24 2017 01: +0,1490317200
1.983,40,Mar 25 2017 01: +0,1490403600
2.007,39,Mar 26 2017 01: +0,1490490000
1.93,25,Mar 27 2017 01: +0,1490572800
1.948,28,Mar 28 2017 01: +0,1490659200
1.867,34,Mar 29 2017 01: +0,1490745600
2.083,47,Mar 30 2017 01: +0,1490832000
2.178,34,Mar 31 2017 01: +0,1490918400
2.116,32,Apr 01 2017 01: +0,1491004800
2.25,38,Apr 02 2017 01: +0,1491091200
2.245,37,Apr 03 2017 01: +0,1491177600
2.108,19,Apr 04 2017 01: +0,1491264000
2.037,20,Apr 05 2017 01: +0,1491350400
1.997,25,Apr 06 2017 01: +0,1491436800
2.049,39,Apr 07 2017 01: +0,1491523200
2.163,37,Apr 08 2017 01: +0,1491609600
2.099,39,Apr 09 2017 01: +0,1491696000
2.142,20,Apr 10 2017 01: +0,1491782400
2.13,17,Apr 11 2017 01: +0,1491868800
1.974,33,Apr 12 2017 01: +0,1491955200
2.048,34,Apr 13 2017 01: +0,1492041600
2.157,22,Apr 14 2017 01: +0,1492128000
2.195,39,Apr 15 2017 01: +0,1492214400
2.282,71,Apr 16 2017 01: +0,1492300800
2.38,37,Apr 17 2017 01: +0,1492387200
2.379,40,Apr 18 2017 01: +0,1492473600
2.297,41,Apr 19 2017 01: +0,1492560000
2.369,27,Apr 20 2017 01: +0,1492646400
2.414,42,Apr 21 2017 01: +0,1492732800
2.377,35,Apr 22 2017 01: +0,1492819200
2.291,19,Apr 23 2017 01: +0,1492905600
2.231,18,Apr 24 2017 01: +0,1492992000
2.247,19,Apr 25 2017 01: +0,1493078400
2.323,24,Apr 26 2017 01: +0,1493164800
2.387,44,Apr 27 2017 01: +0,1493251200
2.346,25,Apr 28 2017 01: +0,1493337600
2.505,53,Apr 29 2017 01: +0,1493424000
2.563,29,Apr 30 2017 01: +0,1493510400
2.579,13,May 01 2017 01: +0,1493596800
2.488,15,May 02 2017 01: +0,1493683200
2.41,17,May 03 2017 01: +0,1493769600
2.515,19,May 04 2017 01: +0,1493856000
2.431,34,May 05 2017 01: +0,1493942400
2.544,44,May 06 2017 01: +0,1494028800
2.414,18,May 07 2017 01: +0,1494115200
2.484,26,May 08 2017 01: +0,1494201600
2.469,11,May 09 2017 01: +0,1494288000
2.449,28,May 10 2017 01: +0,1494374400
2.402,17,May 11 2017 01: +0,1494460800
2.685,38,May 12 2017 01: +0,1494547200
2.526,22,May 13 2017 01: +0,1494633600
2.581,22,May 14 2017 01: +0,1494720000
2.379,19,May 15 2017 01: +0,1494806400
2.418,17,May 16 2017 01: +0,1494892800
2.459,25,May 17 2017 01: +0,1494979200
2.478,35,May 18 2017 01: +0,1495065600
2.619,29,May 19 2017 01: +0,1495152000
2.667,32,May 20 2017 01: +0,1495238400
2.756,28,May 21 2017 01: +0,1495324800
2.743,27,May 22 2017 01: +0,1495411200
2.812,21,May 23 2017 01: +0,1495497600
2.108,88,May 24 2017 01: +0,1495584000
2.319,31,May 25 2017 01: +0,1495670400
2.455,25,May 26 2017 01: +0,1495756800
2.455,12,May 27 2017 01: +0,1495843200
2.448,15,May 28 2017 01: +0,1495929600
2.512,13,May 29 2017 01: +0,1496016000
2.474,21,May 30 2017 01: +0,1496102400
2.458,14,May 31 2017 01: +0,1496188800
2.624,19,Jun 01 2017 01: +0,1496275200
2.434,29,Jun 02 2017 01: +0,1496361600
2.617,19,Jun 03 2017 01: +0,1496448000
2.602,21,Jun 04 2017 01: +0,1496534400
2.721,17,Jun 05 2017 01: +0,1496620800
2.702,21,Jun 06 2017 01: +0,1496707200
2.829,22,Jun 07 2017 01: +0,1496793600
2.68,11,Jun 08 2017 01: +0,1496880000
2.577,13,Jun 09 2017 01: +0,1496966400
2.645,22,Jun 10 2017 01: +0,1497052800
2.713,14,Jun 11 2017 01: +0,1497139200
2.594,17,Jun 12 2017 01: +0,1497225600
2.578,9,Jun 13 2017 01: +0,1497312000
2.636,23,Jun 14 2017 01: +0,1497398400
2.631,8,Jun 15 2017 01: +0,1497484800
2.588,17,Jun 16 2017 01: +0,1497571200
