price,quantity,date,unix timestamp
4.237,129,Mar 18 2016 01: +0,1458262800
4.305,43,Mar 19 2016 01: +0,1458349200
4.244,38,Mar 20 2016 01: +0,1458435600
3.946,28,Mar 21 2016 01: +0,1458522000
3.977,28,Mar 22 2016 01: +0,1458608400
3.799,14,Mar 23 2016 01: +0,1458694800
4.282,24,Mar 24 2016 01: +0,1458781200
3.968,13,Mar 25 2016 01: +0,1458867600
3.991,19,Mar 26 2016 01: +0,1458954000
4.358,14,Mar 27 2016 01: +0,1459040400
4.537,13,Mar 28 2016 01: +0,1459123200
4.11,29,Mar 29 2016 01: +0,1459209600
4.095,40,Mar 30 2016 01: +0,1459296000
4.34,26,Mar 31 2016 01: +0,1459382400
4.29,22,Apr 01 2016 01: +0,1459468800
4.45,58,Apr 02 2016 01: +0,1459555200
1.074,9982,Apr 03 2016 01: +0,1459641600
1.226,3166,Apr 04 2016 01: +0,1459728000
1.351,1192,Apr 05 2016 01: +0,1459814400
1.302,698,Apr 06 2016 01: +0,1459900800
1.27,602,Apr 07 2016 01: +0,1459987200
1.394,595,Apr 08 2016 01: +0,1460073600
1.426,541,Apr 09 2016 01: +0,1460160000
1.541,449,Apr 10 2016 01: +0,1460246400
1.665,421,Apr 11 2016 01: +0,1460332800
1.65,320,Apr 12 2016 01: +0,1460419200
1.547,186,Apr 13 2016 01: +0,1460505600
1.386,166,Apr 14 2016 01: +0,1460592000
1.389,211,Apr 15 2016 01: +0,1460678400
1.391,247,Apr 16 2016 01: +0,1460764800
1.274,280,Apr 17 2016 01: +0,1460851200
1.348,165,Apr 18 2016 01: +0,1460937600
1.314,125,Apr 19 2016 01: +0,1461024000
1.414,147,Apr 20 2016 01: +0,1461110400
1.472,206,Apr 21 2016 01: +0,1461196800
1.502,163,Apr 22 2016 01: +0,1461283200
1.421,159,Apr 23 2016 01: +0,1461369600
1.427,140,Apr 24 2016 01: +0,1461456000
1.462,126,Apr 25 2016 01: +0,1461542400
1.361,90,Apr 26 2016 01: +0,1461628800
1.282,141,Apr 27 2016 01: +0,1461715200
1.326,150,Apr 28 2016 01: +0,1461801600
1.338,118,Apr 29 2016 01: +0,1461888000
1.342,198,Apr 30 2016 01: +0,1461974400
1.353,138,May 01 2016 01: +0,1462060800
1.389,115,May 02 2016 01: +0,1462147200
1.369,127,May 03 2016 01: +0,1462233600
1.377,137,May 04 2016 01: +0,1462320000
1.309,116,May 05 2016 01: +0,1462406400
1.358,133,May 06 2016 01: +0,1462492800
1.32,121,May 07 2016 01: +0,1462579200
1.335,125,May 08 2016 01: +0,1462665600
1.331,72,May 09 2016 01: +0,1462752000
1.31,91,May 10 2016 01: +0,1462838400
1.322,102,May 11 2016 01: +0,1462924800
1.357,90,May 12 2016 01: +0,1463011200
1.359,125,May 13 2016 01: +0,1463097600
1.384,121,May 14 2016 01: +0,1463184000
1.39,141,May 15 2016 01: +0,1463270400
1.393,109,May 16 2016 01: +0,1463356800
1.296,98,May 17 2016 01: +0,1463443200
1.307,129,May 18 2016 01: +0,1463529600
1.382,116,May 19 2016 01: +0,1463616000
1.385,137,May 20 2016 01: +0,1463702400
1.409,124,May 21 2016 01: +0,1463788800
1.399,186,May 22 2016 01: +0,1463875200
1.394,81,May 23 2016 01: +0,1463961600
1.335,102,May 24 2016 01: +0,1464048000
1.389,97,May 25 2016 01: +0,1464134400
1.394,88,May 26 2016 01: +0,1464220800
1.37,118,May 27 2016 01: +0,1464307200
1.458,486,May 28 2016 01: +0,1464393600
1.569,167,May 29 2016 01: +0,1464480000
1.654,154,May 30 2016 01: +0,1464566400
1.708,88,May 31 2016 01: +0,1464652800
1.636,132,Jun 01 2016 01: +0,1464739200
1.608,220,Jun 02 2016 01: +0,1464825600
1.68,101,Jun 03 2016 01: +0,1464912000
1.688,117,Jun 04 2016 01: +0,1464998400
1.686,124,Jun 05 2016 01: +0,1465084800
1.64,81,Jun 06 2016 01: +0,1465171200
1.691,94,Jun 07 2016 01: +0,1465257600
1.675,84,Jun 08 2016 01: +0,1465344000
1.641,87,Jun 09 2016 01: +0,1465430400
1.66,99,Jun 10 2016 01: +0,1465516800
1.644,85,Jun 11 2016 01: +0,1465603200
1.602,76,Jun 12 2016 01: +0,1465689600
1.557,112,Jun 13 2016 01: +0,1465776000
1.574,74,Jun 14 2016 01: +0,1465862400
1.552,100,Jun 15 2016 01: +0,1465948800
1.541,97,Jun 16 2016 01: +0,1466035200
1.468,153,Jun 17 2016 01: +0,1466121600
1.445,114,Jun 18 2016 01: +0,1466208000
1.41,102,Jun 19 2016 01: +0,1466294400
1.396,92,Jun 20 2016 01: +0,1466380800
1.397,81,Jun 21 2016 01: +0,1466467200
1.381,74,Jun 22 2016 01: +0,1466553600
1.363,89,Jun 23 2016 01: +0,1466640000
1.316,108,Jun 24 2016 01: +0,1466726400
1.222,57,Jun 25 2016 01: +0,1466812800
1.157,84,Jun 26 2016 01: +0,1466899200
1.091,82,Jun 27 2016 01: +0,1466985600
1.091,43,Jun 28 2016 01: +0,1467072000
0.993,98,Jun 29 2016 01: +0,1467158400
0.936,119,Jun 30 2016 01: +0,1467244800
0.972,84,Jul 01 2016 01: +0,1467331200
1.258,142,Jul 02 2016 01: +0,1467417600
1.122,61,Jul 03 2016 01: +0,1467504000
1.106,71,Jul 04 2016 01: +0,1467590400
1.217,49,Jul 05 2016 01: +0,1467676800
1.279,70,Jul 06 2016 01: +0,1467763200
1.294,52,Jul 07 2016 01: +0,1467849600
1.297,71,Jul 08 2016 01: +0,1467936000
1.225,60,Jul 09 2016 01: +0,1468022400
1.006,130,Jul 10 2016 01: +0,1468108800
0.907,60,Jul 11 2016 01: +0,1468195200
0.966,76,Jul 12 2016 01: +0,1468281600
1.137,23,Jul 13 2016 01: +0,1468368000
1.172,34,Jul 14 2016 01: +0,1468454400
1.185,56,Jul 15 2016 01: +0,1468540800
1.212,61,Jul 16 2016 01: +0,1468627200
1.181,59,Jul 17 2016 01: +0,1468713600
1.211,35,Jul 18 2016 01: +0,1468800000
1.222,70,Jul 19 2016 01: +0,1468886400
1.232,44,Jul 20 2016 01: +0,1468972800
1.241,32,Jul 21 2016 01: +0,1469059200
1.244,25,Jul 22 2016 01: +0,1469145600
1.251,36,Jul 23 2016 01: +0,1469232000
1.272,30,Jul 24 2016 01: +0,1469318400
1.282,49,Jul 25 2016 01: +0,1469404800
1.276,31,Jul 26 2016 01: +0,1469491200
1.305,28,Jul 27 2016 01: +0,1469577600
1.306,41,Jul 28 2016 01: +0,1469664000
1.317,29,Jul 29 2016 01: +0,1469750400
1.253,40,Jul 30 2016 01: +0,1469836800
1.336,39,Jul 31 2016 01: +0,1469923200
1.313,34,Aug 01 2016 01: +0,1470009600
1.343,28,Aug 02 2016 01: +0,1470096000
1.305,31,Aug 03 2016 01: +0,1470182400
1.345,48,Aug 04 2016 01: +0,1470268800
1.35,25,Aug 05 2016 01: +0,1470355200
1.346,28,Aug 06 2016 01: +0,1470441600
1.329,40,Aug 07 2016 01: +0,1470528000
1.334,45,Aug 08 2016 01: +0,1470614400
1.328,60,Aug 09 2016 01: +0,1470700800
1.324,31,Aug 10 2016 01: +0,1470787200
1.341,65,Aug 11 2016 01: +0,1470873600
1.363,36,Aug 12 2016 01: +0,1470960000
1.326,27,Aug 13 2016 01: +0,1471046400
1.387,38,Aug 14 2016 01: +0,1471132800
1.389,24,Aug 15 2016 01: +0,1471219200
1.407,25,Aug 16 2016 01: +0,1471305600
1.403,26,Aug 17 2016 01: +0,1471392000
1.329,43,Aug 18 2016 01: +0,1471478400
1.236,52,Aug 19 2016 01: +0,1471564800
1.413,68,Aug 20 2016 01: +0,1471651200
1.408,76,Aug 21 2016 01: +0,1471737600
1.404,56,Aug 22 2016 01: +0,1471824000
1.434,29,Aug 23 2016 01: +0,1471910400
1.424,36,Aug 24 2016 01: +0,1471996800
1.406,33,Aug 25 2016 01: +0,1472083200
1.415,27,Aug 26 2016 01: +0,1472169600
1.404,40,Aug 27 2016 01: +0,1472256000
1.406,34,Aug 28 2016 01: +0,1472342400
1.429,39,Aug 29 2016 01: +0,1472428800
1.441,42,Aug 30 2016 01: +0,1472515200
1.474,59,Aug 31 2016 01: +0,1472601600
1.485,91,Sep 01 2016 01: +0,1472688000
1.5,57,Sep 02 2016 01: +0,1472774400
1.578,41,Sep 03 2016 01: +0,1472860800
1.479,65,Sep 04 2016 01: +0,1472947200
1.563,58,Sep 05 2016 01: +0,1473033600
1.592,37,Sep 06 2016 01: +0,1473120000
1.621,72,Sep 07 2016 01: +0,1473206400
1.68,20,Sep 08 2016 01: +0,1473292800
1.729,63,Sep 09 2016 01: +0,1473379200
1.781,54,Sep 10 2016 01: +0,1473465600
1.769,37,Sep 11 2016 01: +0,1473552000
1.722,31,Sep 12 2016 01: +0,1473638400
1.775,33,Sep 13 2016 01: +0,1473724800
1.753,26,Sep 14 2016 01: +0,1473811200
1.771,37,Sep 15 2016 01: +0,1473897600
1.744,25,Sep 16 2016 01: +0,1473984000
1.742,66,Sep 17 2016 01: +0,1474070400
1.761,52,Sep 18 2016 01: +0,1474156800
1.699,22,Sep 19 2016 01: +0,1474243200
1.708,30,Sep 20 2016 01: +0,1474329600
1.729,32,Sep 21 2016 01: +0,1474416000
1.726,38,Sep 22 2016 01: +0,1474502400
1.654,32,Sep 23 2016 01: +0,1474588800
1.716,50,Sep 24 2016 01: +0,1474675200
1.781,55,Sep 25 2016 01: +0,1474761600
1.783,25,Sep 26 2016 01: +0,1474848000
1.809,21,Sep 27 2016 01: +0,1474934400
1.74,47,Sep 28 2016 01: +0,1475020800
1.76,22,Sep 29 2016 01: +0,1475107200
1.712,56,Sep 30 2016 01: +0,1475193600
1.706,37,Oct 01 2016 01: +0,1475280000
1.777,42,Oct 02 2016 01: +0,1475366400
1.826,44,Oct 03 2016 01: +0,1475452800
1.841,33,Oct 04 2016 01: +0,1475539200
1.827,27,Oct 05 2016 01: +0,1475625600
1.475,21,Oct 06 2016 01: +0,1475712000
1.464,45,Oct 07 2016 01: +0,1475798400
1.485,53,Oct 08 2016 01: +0,1475884800
1.551,61,Oct 09 2016 01: +0,1475971200
1.762,19,Oct 10 2016 01: +0,1476057600
1.71,20,Oct 11 2016 01: +0,1476144000
1.612,8,Oct 12 2016 01: +0,1476230400
1.56,8,Oct 13 2016 01: +0,1476316800
1.562,17,Oct 14 2016 01: +0,1476403200
1.575,44,Oct 15 2016 01: +0,1476489600
1.57,26,Oct 16 2016 01: +0,1476576000
1.46,14,Oct 17 2016 01: +0,1476662400
1.539,5,Oct 18 2016 01: +0,1476748800
1.51,16,Oct 19 2016 01: +0,1476835200
1.404,38,Oct 20 2016 01: +0,1476921600
1.438,31,Oct 21 2016 01: +0,1477008000
1.526,58,Oct 22 2016 01: +0,1477094400
1.524,20,Oct 23 2016 01: +0,1477180800
1.539,17,Oct 24 2016 01: +0,1477267200
1.46,15,Oct 25 2016 01: +0,1477353600
1.465,29,Oct 26 2016 01: +0,1477440000
1.441,17,Oct 27 2016 01: +0,1477526400
1.457,23,Oct 28 2016 01: +0,1477612800
1.444,33,Oct 29 2016 01: +0,1477699200
1.456,23,Oct 30 2016 01: +0,1477785600
1.496,30,Oct 31 2016 01: +0,1477875600
1.489,36,Nov 01 2016 01: +0,1477962000
1.558,21,Nov 02 2016 01: +0,1478048400
1.542,17,Nov 03 2016 01: +0,1478134800
1.539,34,Nov 04 2016 01: +0,1478221200
1.554,73,Nov 05 2016 01: +0,1478307600
1.573,41,Nov 06 2016 01: +0,1478394000
1.545,43,Nov 07 2016 01: +0,1478480400
1.574,59,Nov 08 2016 01: +0,1478566800
1.587,39,Nov 09 2016 01: +0,1478653200
1.556,32,Nov 10 2016 01: +0,1478739600
1.607,59,Nov 11 2016 01: +0,1478826000
1.67,48,Nov 12 2016 01: +0,1478912400
1.7,24,Nov 13 2016 01: +0,1478998800
1.671,47,Nov 14 2016 01: +0,1479085200
1.673,25,Nov 15 2016 01: +0,1479171600
1.597,38,Nov 16 2016 01: +0,1479258000
1.411,46,Nov 17 2016 01: +0,1479344400
1.5,56,Nov 18 2016 01: +0,1479430800
1.642,27,Nov 19 2016 01: +0,1479517200
1.677,38,Nov 20 2016 01: +0,1479603600
1.694,26,Nov 21 2016 01: +0,1479690000
1.684,49,Nov 22 2016 01: +0,1479776400
1.655,13,Nov 23 2016 01: +0,1479862800
1.448,41,Nov 24 2016 01: +0,1479949200
1.474,39,Nov 25 2016 01: +0,1480035600
1.579,39,Nov 26 2016 01: +0,1480122000
1.572,57,Nov 27 2016 01: +0,1480208400
1.592,24,Nov 28 2016 01: +0,1480294800
1.611,24,Nov 29 2016 01: +0,1480381200
1.592,72,Nov 30 2016 01: +0,1480467600
1.675,44,Dec 01 2016 01: +0,1480554000
1.562,39,Dec 02 2016 01: +0,1480640400
1.563,112,Dec 03 2016 01: +0,1480726800
1.629,34,Dec 04 2016 01: +0,1480813200
1.692,27,Dec 05 2016 01: +0,1480899600
1.689,13,Dec 06 2016 01: +0,1480986000
1.582,49,Dec 07 2016 01: +0,1481072400
1.568,48,Dec 08 2016 01: +0,1481158800
1.559,86,Dec 09 2016 01: +0,1481245200
1.626,57,Dec 10 2016 01: +0,1481331600
1.758,89,Dec 11 2016 01: +0,1481418000
1.893,25,Dec 12 2016 01: +0,1481504400
1.794,12,Dec 13 2016 01: +0,1481590800
1.739,25,Dec 14 2016 01: +0,1481677200
1.63,44,Dec 15 2016 01: +0,1481763600
1.633,22,Dec 16 2016 01: +0,1481850000
1.598,80,Dec 17 2016 01: +0,1481936400
1.585,19,Dec 18 2016 01: +0,1482022800
