price,quantity,date,unix timestamp
0.929,149,Jan 13 2017 01: +0,1484269200
0.809,97,Jan 14 2017 01: +0,1484355600
0.871,61,Jan 15 2017 01: +0,1484442000
0.867,44,Jan 16 2017 01: +0,1484528400
0.772,37,Jan 17 2017 01: +0,1484614800
0.841,27,Jan 18 2017 01: +0,1484701200
0.8,20,Jan 19 2017 01: +0,1484787600
0.725,37,Jan 20 2017 01: +0,1484874000
0.8,11,Jan 21 2017 01: +0,1484960400
0.812,45,Jan 22 2017 01: +0,1485046800
0.89,40,Jan 23 2017 01: +0,1485133200
0.831,24,Jan 24 2017 01: +0,1485219600
0.839,27,Jan 25 2017 01: +0,1485306000
0.824,38,Jan 26 2017 01: +0,1485392400
0.884,32,Jan 27 2017 01: +0,1485478800
0.892,22,Jan 28 2017 01: +0,1485565200
0.392,2196,Jan 29 2017 01: +0,1485651600
0.195,2465,Jan 30 2017 01: +0,1485738000
0.235,867,Jan 31 2017 01: +0,1485824400
0.256,344,Feb 01 2017 01: +0,1485910800
0.263,184,Feb 02 2017 01: +0,1485997200
0.251,192,Feb 03 2017 01: +0,1486083600
0.244,401,Feb 04 2017 01: +0,1486170000
0.256,199,Feb 05 2017 01: +0,1486256400
0.259,186,Feb 06 2017 01: +0,1486342800
0.257,169,Feb 07 2017 01: +0,1486429200
0.249,150,Feb 08 2017 01: +0,1486515600
0.243,124,Feb 09 2017 01: +0,1486602000
0.245,152,Feb 10 2017 01: +0,1486688400
0.252,136,Feb 11 2017 01: +0,1486774800
0.248,164,Feb 12 2017 01: +0,1486861200
0.247,114,Feb 13 2017 01: +0,1486947600
0.254,101,Feb 14 2017 01: +0,1487034000
0.256,95,Feb 15 2017 01: +0,1487120400
0.255,97,Feb 16 2017 01: +0,1487206800
0.255,96,Feb 17 2017 01: +0,1487293200
0.25,129,Feb 18 2017 01: +0,1487379600
0.255,115,Feb 19 2017 01: +0,1487466000
0.255,93,Feb 20 2017 01: +0,1487552400
0.263,74,Feb 21 2017 01: +0,1487638800
0.254,56,Feb 22 2017 01: +0,1487725200
0.249,122,Feb 23 2017 01: +0,1487811600
0.26,113,Feb 24 2017 01: +0,1487898000
0.262,104,Feb 25 2017 01: +0,1487984400
0.256,92,Feb 26 2017 01: +0,1488070800
0.253,108,Feb 27 2017 01: +0,1488157200
0.256,93,Feb 28 2017 01: +0,1488243600
0.27,90,Mar 01 2017 01: +0,1488330000
0.27,96,Mar 02 2017 01: +0,1488416400
0.269,65,Mar 03 2017 01: +0,1488502800
0.269,123,Mar 04 2017 01: +0,1488589200
0.273,122,Mar 05 2017 01: +0,1488675600
0.272,71,Mar 06 2017 01: +0,1488762000
0.281,76,Mar 07 2017 01: +0,1488848400
0.278,36,Mar 08 2017 01: +0,1488934800
0.272,61,Mar 09 2017 01: +0,1489021200
0.266,73,Mar 10 2017 01: +0,1489107600
0.269,106,Mar 11 2017 01: +0,1489194000
0.279,96,Mar 12 2017 01: +0,1489280400
0.269,101,Mar 13 2017 01: +0,1489366800
0.276,88,Mar 14 2017 01: +0,1489453200
0.273,74,Mar 15 2017 01: +0,1489539600
0.276,116,Mar 16 2017 01: +0,1489626000
0.28,94,Mar 17 2017 01: +0,1489712400
0.285,110,Mar 18 2017 01: +0,1489798800
0.286,116,Mar 19 2017 01: +0,1489885200
0.284,88,Mar 20 2017 01: +0,1489971600
0.288,100,Mar 21 2017 01: +0,1490058000
0.299,85,Mar 22 2017 01: +0,1490144400
0.307,49,Mar 23 2017 01: +0,1490230800
0.304,70,Mar 24 2017 01: +0,1490317200
0.308,79,Mar 25 2017 01: +0,1490403600
0.299,102,Mar 26 2017 01: +0,1490490000
0.3,79,Mar 27 2017 01: +0,1490572800
0.307,67,Mar 28 2017 01: +0,1490659200
0.307,77,Mar 29 2017 01: +0,1490745600
0.304,65,Mar 30 2017 01: +0,1490832000
0.306,70,Mar 31 2017 01: +0,1490918400
0.305,100,Apr 01 2017 01: +0,1491004800
0.312,56,Apr 02 2017 01: +0,1491091200
0.321,36,Apr 03 2017 01: +0,1491177600
0.315,37,Apr 04 2017 01: +0,1491264000
0.308,48,Apr 05 2017 01: +0,1491350400
0.315,33,Apr 06 2017 01: +0,1491436800
0.313,58,Apr 07 2017 01: +0,1491523200
0.313,91,Apr 08 2017 01: +0,1491609600
0.308,77,Apr 09 2017 01: +0,1491696000
0.303,65,Apr 10 2017 01: +0,1491782400
0.306,81,Apr 11 2017 01: +0,1491868800
0.301,51,Apr 12 2017 01: +0,1491955200
0.307,108,Apr 13 2017 01: +0,1492041600
0.306,81,Apr 14 2017 01: +0,1492128000
0.318,55,Apr 15 2017 01: +0,1492214400
0.324,90,Apr 16 2017 01: +0,1492300800
0.323,86,Apr 17 2017 01: +0,1492387200
0.327,88,Apr 18 2017 01: +0,1492473600
0.334,46,Apr 19 2017 01: +0,1492560000
0.323,62,Apr 20 2017 01: +0,1492646400
0.327,77,Apr 21 2017 01: +0,1492732800
0.334,74,Apr 22 2017 01: +0,1492819200
0.334,107,Apr 23 2017 01: +0,1492905600
0.334,39,Apr 24 2017 01: +0,1492992000
0.329,49,Apr 25 2017 01: +0,1493078400
0.333,76,Apr 26 2017 01: +0,1493164800
0.339,41,Apr 27 2017 01: +0,1493251200
0.336,89,Apr 28 2017 01: +0,1493337600
0.342,107,Apr 29 2017 01: +0,1493424000
0.343,78,Apr 30 2017 01: +0,1493510400
0.344,54,May 01 2017 01: +0,1493596800
0.345,46,May 02 2017 01: +0,1493683200
0.343,39,May 03 2017 01: +0,1493769600
0.352,26,May 04 2017 01: +0,1493856000
0.35,61,May 05 2017 01: +0,1493942400
0.35,43,May 06 2017 01: +0,1494028800
0.349,36,May 07 2017 01: +0,1494115200
0.349,32,May 08 2017 01: +0,1494201600
0.338,47,May 09 2017 01: +0,1494288000
0.339,29,May 10 2017 01: +0,1494374400
0.344,52,May 11 2017 01: +0,1494460800
0.334,41,May 12 2017 01: +0,1494547200
0.336,60,May 13 2017 01: +0,1494633600
0.338,52,May 14 2017 01: +0,1494720000
0.339,67,May 15 2017 01: +0,1494806400
0.347,32,May 16 2017 01: +0,1494892800
0.342,44,May 17 2017 01: +0,1494979200
0.345,84,May 18 2017 01: +0,1495065600
0.348,40,May 19 2017 01: +0,1495152000
0.346,62,May 20 2017 01: +0,1495238400
0.34,72,May 21 2017 01: +0,1495324800
0.336,66,May 22 2017 01: +0,1495411200
0.35,53,May 23 2017 01: +0,1495497600
0.314,57,May 24 2017 01: +0,1495584000
0.335,57,May 25 2017 01: +0,1495670400
0.337,62,May 26 2017 01: +0,1495756800
0.347,68,May 27 2017 01: +0,1495843200
0.344,70,May 28 2017 01: +0,1495929600
0.347,54,May 29 2017 01: +0,1496016000
0.344,43,May 30 2017 01: +0,1496102400
0.344,55,May 31 2017 01: +0,1496188800
0.344,81,Jun 01 2017 01: +0,1496275200
0.347,120,Jun 02 2017 01: +0,1496361600
0.352,59,Jun 03 2017 01: +0,1496448000
0.328,145,Jun 04 2017 01: +0,1496534400
0.335,62,Jun 05 2017 01: +0,1496620800
0.337,74,Jun 06 2017 01: +0,1496707200
0.335,62,Jun 07 2017 01: +0,1496793600
0.333,72,Jun 08 2017 01: +0,1496880000
0.326,92,Jun 09 2017 01: +0,1496966400
0.329,124,Jun 10 2017 01: +0,1497052800
0.327,50,Jun 11 2017 01: +0,1497139200
0.317,68,Jun 12 2017 01: +0,1497225600
0.316,127,Jun 13 2017 01: +0,1497312000
0.321,95,Jun 14 2017 01: +0,1497398400
0.322,62,Jun 15 2017 01: +0,1497484800
0.324,40,Jun 16 2017 01: +0,1497571200
0.309,113,Jun 17 2017 01: +0,1497657600
0.299,130,Jun 18 2017 01: +0,1497744000
0.296,72,Jun 19 2017 01: +0,1497830400
0.293,81,Jun 20 2017 01: +0,1497916800
