price,quantity,date,unix timestamp
4.185,24,Aug 14 2019 01: +0,1565740800
4.376,39,Aug 15 2019 01: +0,1565827200
4.582,5,Aug 16 2019 01: +0,1565913600
4.355,6,Aug 17 2019 01: +0,1566000000
4.349,5,Aug 18 2019 01: +0,1566086400
4.346,2,Aug 19 2019 01: +0,1566172800
4.19,4,Aug 20 2019 01: +0,1566259200
4.503,3,Aug 22 2019 01: +0,1566432000
4.464,7,Aug 23 2019 01: +0,1566518400
4.442,7,Aug 24 2019 01: +0,1566604800
4.064,5,Aug 25 2019 01: +0,1566691200
4.409,3,Aug 26 2019 01: +0,1566777600
4.413,4,Aug 27 2019 01: +0,1566864000
5.304,34,Aug 28 2019 01: +0,1566950400
4.529,10,Aug 29 2019 01: +0,1567036800
4.355,8,Aug 30 2019 01: +0,1567123200
4.379,6,Aug 31 2019 01: +0,1567209600
4.469,15,Sep 01 2019 01: +0,1567296000
4.563,11,Sep 02 2019 01: +0,1567382400
4.097,7,Sep 03 2019 01: +0,1567468800
4.162,9,Sep 04 2019 01: +0,1567555200
4.096,1,Sep 05 2019 01: +0,1567641600
4.283,10,Sep 06 2019 01: +0,1567728000
3.121,613,Sep 07 2019 01: +0,1567814400
1.351,5160,Sep 08 2019 01: +0,1567900800
1.341,1673,Sep 09 2019 01: +0,1567987200
1.33,1391,Sep 10 2019 01: +0,1568073600
1.297,561,Sep 11 2019 01: +0,1568160000
1.302,747,Sep 12 2019 01: +0,1568246400
1.292,835,Sep 13 2019 01: +0,1568332800
1.318,410,Sep 14 2019 01: +0,1568419200
1.327,650,Sep 15 2019 01: +0,1568505600
1.32,538,Sep 16 2019 01: +0,1568592000
1.293,218,Sep 17 2019 01: +0,1568678400
1.308,282,Sep 18 2019 01: +0,1568764800
1.301,229,Sep 19 2019 01: +0,1568851200
1.31,338,Sep 20 2019 01: +0,1568937600
1.312,266,Sep 21 2019 01: +0,1569024000
1.314,599,Sep 22 2019 01: +0,1569110400
1.287,140,Sep 23 2019 01: +0,1569196800
1.274,461,Sep 24 2019 01: +0,1569283200
1.267,371,Sep 25 2019 01: +0,1569369600
1.458,2366,Sep 26 2019 01: +0,1569456000
1.633,1186,Sep 27 2019 01: +0,1569542400
1.625,849,Sep 28 2019 01: +0,1569628800
1.558,595,Sep 29 2019 01: +0,1569715200
1.512,204,Sep 30 2019 01: +0,1569801600
1.455,394,Oct 01 2019 01: +0,1569888000
1.415,236,Oct 02 2019 01: +0,1569974400
1.37,320,Oct 03 2019 01: +0,1570060800
1.387,293,Oct 04 2019 01: +0,1570147200
1.382,198,Oct 05 2019 01: +0,1570233600
1.418,175,Oct 06 2019 01: +0,1570320000
1.418,99,Oct 07 2019 01: +0,1570406400
1.425,168,Oct 08 2019 01: +0,1570492800
1.416,165,Oct 09 2019 01: +0,1570579200
1.415,195,Oct 10 2019 01: +0,1570665600
1.389,288,Oct 11 2019 01: +0,1570752000
1.362,499,Oct 12 2019 01: +0,1570838400
1.369,529,Oct 13 2019 01: +0,1570924800
1.364,212,Oct 14 2019 01: +0,1571011200
1.343,154,Oct 15 2019 01: +0,1571097600
1.372,233,Oct 16 2019 01: +0,1571184000
1.421,137,Oct 17 2019 01: +0,1571270400
1.403,267,Oct 18 2019 01: +0,1571356800
1.241,383,Oct 19 2019 01: +0,1571443200
1.196,343,Oct 20 2019 01: +0,1571529600
1.259,150,Oct 21 2019 01: +0,1571616000
1.273,171,Oct 22 2019 01: +0,1571702400
1.266,92,Oct 23 2019 01: +0,1571788800
1.249,102,Oct 24 2019 01: +0,1571875200
1.222,91,Oct 25 2019 01: +0,1571961600
1.224,134,Oct 26 2019 01: +0,1572048000
1.207,258,Oct 27 2019 01: +0,1572134400
1.197,122,Oct 28 2019 01: +0,1572224400
1.169,333,Oct 29 2019 01: +0,1572310800
1.174,203,Oct 30 2019 01: +0,1572397200
1.197,544,Oct 31 2019 01: +0,1572483600
1.194,258,Nov 01 2019 01: +0,1572570000
1.177,188,Nov 02 2019 01: +0,1572656400
1.156,99,Nov 03 2019 01: +0,1572742800
1.145,217,Nov 04 2019 01: +0,1572829200
1.148,244,Nov 05 2019 01: +0,1572915600
1.132,110,Nov 06 2019 01: +0,1573002000
1.122,414,Nov 07 2019 01: +0,1573088400
1.117,217,Nov 08 2019 01: +0,1573174800
1.124,295,Nov 09 2019 01: +0,1573261200
1.103,723,Nov 10 2019 01: +0,1573347600
1.066,1272,Nov 11 2019 01: +0,1573434000
1.083,78,Nov 12 2019 01: +0,1573520400
1.071,238,Nov 13 2019 01: +0,1573606800
1.063,98,Nov 14 2019 01: +0,1573693200
1.084,195,Nov 15 2019 01: +0,1573779600
1.081,109,Nov 16 2019 01: +0,1573866000
1.159,331,Nov 17 2019 01: +0,1573952400
1.176,171,Nov 18 2019 01: +0,1574038800
0.838,933,Nov 19 2019 01: +0,1574125200
0.862,297,Nov 20 2019 01: +0,1574211600
0.97,177,Nov 21 2019 01: +0,1574298000
0.908,483,Nov 22 2019 01: +0,1574384400
0.929,215,Nov 23 2019 01: +0,1574470800
0.949,208,Nov 24 2019 01: +0,1574557200
0.99,133,Nov 25 2019 01: +0,1574643600
0.97,122,Nov 26 2019 01: +0,1574730000
0.948,190,Nov 27 2019 01: +0,1574816400
0.951,75,Nov 28 2019 01: +0,1574902800
0.92,79,Nov 29 2019 01: +0,1574989200
0.902,102,Nov 30 2019 01: +0,1575075600
0.887,141,Dec 01 2019 01: +0,1575162000
0.925,45,Dec 02 2019 01: +0,1575248400
0.886,275,Dec 03 2019 01: +0,1575334800
0.901,88,Dec 04 2019 01: +0,1575421200
0.909,106,Dec 05 2019 01: +0,1575507600
0.91,87,Dec 06 2019 01: +0,1575594000
0.915,55,Dec 07 2019 01: +0,1575680400
0.89,106,Dec 08 2019 01: +0,1575766800
0.922,72,Dec 09 2019 01: +0,1575853200
0.916,205,Dec 10 2019 01: +0,1575939600
0.918,93,Dec 11 2019 01: +0,1576026000
0.931,84,Dec 12 2019 01: +0,1576112400
0.908,135,Dec 13 2019 01: +0,1576198800
0.913,169,Dec 14 2019 01: +0,1576285200
0.914,84,Dec 15 2019 01: +0,1576371600
0.901,101,Dec 16 2019 01: +0,1576458000
0.858,206,Dec 17 2019 01: +0,1576544400
0.867,104,Dec 18 2019 01: +0,1576630800
0.876,141,Dec 19 2019 01: +0,1576717200
0.858,124,Dec 20 2019 01: +0,1576803600
0.861,207,Dec 21 2019 01: +0,1576890000
0.833,160,Dec 22 2019 01: +0,1576976400
0.827,223,Dec 23 2019 01: +0,1577062800
0.837,270,Dec 24 2019 01: +0,1577149200
0.841,128,Dec 25 2019 01: +0,1577235600
0.853,203,Dec 26 2019 01: +0,1577322000
0.928,201,Dec 27 2019 01: +0,1577408400
0.941,186,Dec 28 2019 01: +0,1577494800
0.898,332,Dec 29 2019 01: +0,1577581200
0.898,1431,Dec 30 2019 01: +0,1577667600
0.903,299,Dec 31 2019 01: +0,1577754000
0.904,182,Jan 01 2020 01: +0,1577840400
0.914,1113,Jan 02 2020 01: +0,1577926800
0.913,250,Jan 03 2020 01: +0,1578013200
0.916,189,Jan 04 2020 01: +0,1578099600
0.913,160,Jan 05 2020 01: +0,1578186000
0.915,122,Jan 06 2020 01: +0,1578272400
0.911,186,Jan 07 2020 01: +0,1578358800
0.921,269,Jan 08 2020 01: +0,1578445200
0.915,179,Jan 09 2020 01: +0,1578531600
1.002,8489,Jan 10 2020 01: +0,1578618000
1.17,171,Jan 11 2020 01: +0,1578704400
1.173,59,Jan 12 2020 01: +0,1578790800
1.175,61,Jan 13 2020 01: +0,1578877200
1.192,58,Jan 14 2020 01: +0,1578963600
1.167,97,Jan 15 2020 01: +0,1579050000
1.215,147,Jan 16 2020 01: +0,1579136400
1.22,38,Jan 17 2020 01: +0,1579222800
1.152,72,Jan 18 2020 01: +0,1579309200
1.173,54,Jan 19 2020 01: +0,1579395600
1.154,60,Jan 20 2020 01: +0,1579482000
1.108,54,Jan 21 2020 01: +0,1579568400
1.064,92,Jan 22 2020 01: +0,1579654800
1.195,138,Jan 23 2020 01: +0,1579741200
1.328,718,Jan 24 2020 01: +0,1579827600
1.348,352,Jan 25 2020 01: +0,1579914000
1.278,316,Jan 26 2020 01: +0,1580000400
1.401,1201,Jan 27 2020 01: +0,1580086800
1.323,300,Jan 28 2020 01: +0,1580173200
1.295,379,Jan 29 2020 01: +0,1580259600
1.422,1150,Jan 30 2020 01: +0,1580346000
1.504,521,Jan 31 2020 01: +0,1580432400
1.433,104,Feb 01 2020 01: +0,1580518800
1.354,34,Feb 02 2020 01: +0,1580605200
1.33,52,Feb 03 2020 01: +0,1580691600
1.348,215,Feb 04 2020 01: +0,1580778000
1.335,73,Feb 05 2020 01: +0,1580864400
1.378,568,Feb 06 2020 01: +0,1580950800
1.38,1051,Feb 07 2020 01: +0,1581037200
1.407,160,Feb 08 2020 01: +0,1581123600
1.342,101,Feb 09 2020 01: +0,1581210000
1.308,93,Feb 10 2020 01: +0,1581296400
1.325,102,Feb 11 2020 01: +0,1581382800
1.44,1214,Feb 12 2020 01: +0,1581469200
1.441,54,Feb 13 2020 01: +0,1581555600
1.375,76,Feb 14 2020 01: +0,1581642000
1.348,89,Feb 15 2020 01: +0,1581728400
1.344,168,Feb 16 2020 01: +0,1581814800
1.475,1089,Feb 17 2020 01: +0,1581901200
1.514,436,Feb 18 2020 01: +0,1581987600
1.382,52,Feb 19 2020 01: +0,1582074000
1.435,43,Feb 20 2020 01: +0,1582160400
1.302,74,Feb 21 2020 01: +0,1582246800
1.279,139,Feb 22 2020 01: +0,1582333200
1.309,67,Feb 23 2020 01: +0,1582419600
1.281,47,Feb 24 2020 01: +0,1582506000
1.223,113,Feb 25 2020 01: +0,1582592400
1.225,40,Feb 26 2020 01: +0,1582678800
1.24,153,Feb 27 2020 01: +0,1582765200
1.254,231,Feb 28 2020 01: +0,1582851600
1.211,144,Feb 29 2020 01: +0,1582938000
1.25,238,Mar 01 2020 01: +0,1583024400
1.281,292,Mar 02 2020 01: +0,1583110800
1.248,137,Mar 03 2020 01: +0,1583197200
1.217,110,Mar 04 2020 01: +0,1583283600
1.227,44,Mar 05 2020 01: +0,1583370000
1.227,217,Mar 06 2020 01: +0,1583456400
1.211,95,Mar 07 2020 01: +0,1583542800
1.211,235,Mar 08 2020 01: +0,1583629200
1.233,102,Mar 09 2020 01: +0,1583715600
1.222,68,Mar 10 2020 01: +0,1583802000
1.201,97,Mar 11 2020 01: +0,1583888400
1.235,53,Mar 12 2020 01: +0,1583974800
1.167,110,Mar 13 2020 01: +0,1584061200
1.147,141,Mar 14 2020 01: +0,1584147600
1.151,243,Mar 15 2020 01: +0,1584234000
1.191,180,Mar 16 2020 01: +0,1584320400
1.16,55,Mar 17 2020 01: +0,1584406800
1.227,863,Mar 18 2020 01: +0,1584493200
1.193,77,Mar 19 2020 01: +0,1584579600
1.118,91,Mar 20 2020 01: +0,1584666000
1.072,136,Mar 21 2020 01: +0,1584752400
1.114,240,Mar 22 2020 01: +0,1584838800
1.164,239,Mar 23 2020 01: +0,1584925200
1.223,316,Mar 24 2020 01: +0,1585011600
1.308,69,Mar 25 2020 01: +0,1585098000
1.262,84,Mar 26 2020 01: +0,1585184400
1.209,94,Mar 27 2020 01: +0,1585270800
1.194,117,Mar 28 2020 01: +0,1585357200
1.176,237,Mar 29 2020 01: +0,1585443600
1.123,250,Mar 30 2020 01: +0,1585526400
1.132,154,Mar 31 2020 01: +0,1585612800
1.115,387,Apr 01 2020 01: +0,1585699200
1.164,132,Apr 02 2020 01: +0,1585785600
1.167,163,Apr 03 2020 01: +0,1585872000
1.144,170,Apr 04 2020 01: +0,1585958400
1.208,97,Apr 05 2020 01: +0,1586044800
1.176,93,Apr 06 2020 01: +0,1586131200
1.174,79,Apr 07 2020 01: +0,1586217600
1.189,101,Apr 08 2020 01: +0,1586304000
1.158,92,Apr 09 2020 01: +0,1586390400
1.187,98,Apr 10 2020 01: +0,1586476800
1.193,117,Apr 11 2020 01: +0,1586563200
