price,quantity,date,unix timestamp
0.819,1,Mar 28 2024 09: +0,1711616400
0.765,4,Mar 28 2024 10: +0,1711620000
0.82,1,Mar 28 2024 11: +0,1711623600
0.813,2,Mar 28 2024 13: +0,1711630800
0.807,3,Mar 28 2024 14: +0,1711634400
0.814,1,Mar 28 2024 15: +0,1711638000
0.762,1,Mar 28 2024 16: +0,1711641600
0.77,5,Mar 28 2024 18: +0,1711648800
0.752,1,Mar 28 2024 19: +0,1711652400
0.752,11,Mar 28 2024 21: +0,1711659600
0.817,1,Mar 28 2024 22: +0,1711663200
0.813,1,Mar 29 2024 00: +0,1711670400
0.818,4,Mar 29 2024 01: +0,1711674000
0.643,1,Mar 29 2024 02: +0,1711677600
0.815,3,Mar 29 2024 03: +0,1711681200
0.633,49,Mar 29 2024 05: +0,1711688400
0.691,12,Mar 29 2024 06: +0,1711692000
0.632,68,Mar 29 2024 07: +0,1711695600
0.616,66,Mar 29 2024 08: +0,1711699200
0.607,57,Mar 29 2024 09: +0,1711702800
0.628,24,Mar 29 2024 10: +0,1711706400
0.622,47,Mar 29 2024 11: +0,1711710000
0.628,22,Mar 29 2024 12: +0,1711713600
0.626,12,Mar 29 2024 13: +0,1711717200
0.622,23,Mar 29 2024 14: +0,1711720800
0.627,81,Mar 29 2024 15: +0,1711724400
0.632,20,Mar 29 2024 16: +0,1711728000
0.633,84,Mar 29 2024 17: +0,1711731600
0.631,41,Mar 29 2024 18: +0,1711735200
0.631,58,Mar 29 2024 19: +0,1711738800
0.633,18,Mar 29 2024 20: +0,1711742400
0.622,15,Mar 29 2024 21: +0,1711746000
0.63,16,Mar 29 2024 22: +0,1711749600
0.628,25,Mar 29 2024 23: +0,1711753200
0.634,2,Mar 30 2024 00: +0,1711756800
0.636,12,Mar 30 2024 01: +0,1711760400
0.688,2,Mar 30 2024 02: +0,1711764000
0.694,25,Mar 30 2024 03: +0,1711767600
0.7,1,Mar 30 2024 04: +0,1711771200
0.694,7,Mar 30 2024 05: +0,1711774800
0.698,11,Mar 30 2024 06: +0,1711778400
0.702,3,Mar 30 2024 07: +0,1711782000
0.7,5,Mar 30 2024 08: +0,1711785600
0.7,2,Mar 30 2024 09: +0,1711789200
0.692,3,Mar 30 2024 10: +0,1711792800
0.7,25,Mar 30 2024 11: +0,1711796400
0.7,6,Mar 30 2024 12: +0,1711800000
0.7,3,Mar 30 2024 13: +0,1711803600
0.699,9,Mar 30 2024 14: +0,1711807200
0.694,42,Mar 30 2024 15: +0,1711810800
0.709,17,Mar 30 2024 16: +0,1711814400
0.709,6,Mar 30 2024 17: +0,1711818000
0.709,2,Mar 30 2024 18: +0,1711821600
0.709,6,Mar 30 2024 19: +0,1711825200
0.709,8,Mar 30 2024 20: +0,1711828800
0.709,2,Mar 30 2024 21: +0,1711832400
0.709,7,Mar 30 2024 22: +0,1711836000
0.707,1,Mar 30 2024 23: +0,1711839600
0.709,1,Mar 31 2024 00: +0,1711843200
0.702,1,Mar 31 2024 01: +0,1711846800
0.702,10,Mar 31 2024 02: +0,1711846800
0.702,4,Mar 31 2024 03: +0,1711850400
0.671,5,Mar 31 2024 04: +0,1711854000
0.707,18,Mar 31 2024 05: +0,1711857600
0.675,19,Mar 31 2024 06: +0,1711861200
0.709,15,Mar 31 2024 07: +0,1711864800
0.709,1,Mar 31 2024 08: +0,1711868400
0.709,21,Mar 31 2024 09: +0,1711872000
0.71,36,Mar 31 2024 10: +0,1711875600
0.719,5,Mar 31 2024 11: +0,1711879200
0.762,11,Mar 31 2024 12: +0,1711882800
0.714,10,Mar 31 2024 13: +0,1711886400
0.665,1,Mar 31 2024 14: +0,1711890000
0.699,7,Mar 31 2024 15: +0,1711893600
0.72,8,Mar 31 2024 16: +0,1711897200
0.742,1,Mar 31 2024 17: +0,1711900800
0.732,6,Mar 31 2024 18: +0,1711904400
0.732,2,Mar 31 2024 19: +0,1711908000
0.737,4,Mar 31 2024 20: +0,1711911600
0.743,9,Mar 31 2024 21: +0,1711915200
0.752,7,Mar 31 2024 22: +0,1711918800
0.758,20,Mar 31 2024 23: +0,1711922400
0.749,2,Apr 01 2024 00: +0,1711926000
0.749,15,Apr 01 2024 01: +0,1711929600
0.746,9,Apr 01 2024 05: +0,1711944000
0.732,1,Apr 01 2024 07: +0,1711951200
0.727,4,Apr 01 2024 08: +0,1711954800
0.727,1,Apr 01 2024 09: +0,1711958400
0.722,4,Apr 01 2024 10: +0,1711962000
0.722,1,Apr 01 2024 11: +0,1711965600
0.715,5,Apr 01 2024 12: +0,1711969200
0.721,9,Apr 01 2024 13: +0,1711972800
0.69,5,Apr 01 2024 14: +0,1711976400
0.716,12,Apr 01 2024 15: +0,1711980000
0.715,23,Apr 01 2024 16: +0,1711983600
0.713,10,Apr 01 2024 17: +0,1711987200
0.72,5,Apr 01 2024 18: +0,1711990800
0.722,14,Apr 01 2024 20: +0,1711998000
0.721,25,Apr 01 2024 21: +0,1712001600
0.714,1,Apr 01 2024 22: +0,1712005200
0.714,7,Apr 01 2024 23: +0,1712008800
0.72,4,Apr 02 2024 00: +0,1712012400
0.714,2,Apr 02 2024 01: +0,1712016000
0.715,6,Apr 02 2024 02: +0,1712019600
0.734,57,Apr 02 2024 03: +0,1712023200
0.698,6,Apr 02 2024 04: +0,1712026800
0.723,5,Apr 02 2024 05: +0,1712030400
0.733,4,Apr 02 2024 07: +0,1712037600
0.725,4,Apr 02 2024 09: +0,1712044800
0.725,45,Apr 02 2024 10: +0,1712048400
0.726,9,Apr 02 2024 11: +0,1712052000
0.724,6,Apr 02 2024 14: +0,1712062800
0.701,19,Apr 02 2024 15: +0,1712066400
0.716,3,Apr 02 2024 16: +0,1712070000
0.707,13,Apr 02 2024 17: +0,1712073600
0.717,21,Apr 02 2024 18: +0,1712077200
0.714,3,Apr 02 2024 19: +0,1712080800
0.71,2,Apr 02 2024 20: +0,1712084400
0.714,9,Apr 02 2024 21: +0,1712088000
0.713,24,Apr 02 2024 22: +0,1712091600
0.726,4,Apr 02 2024 23: +0,1712095200
0.726,8,Apr 03 2024 00: +0,1712098800
0.714,2,Apr 03 2024 02: +0,1712106000
0.702,10,Apr 03 2024 03: +0,1712109600
0.677,4,Apr 03 2024 04: +0,1712113200
0.662,8,Apr 03 2024 05: +0,1712116800
0.658,2,Apr 03 2024 06: +0,1712120400
0.661,3,Apr 03 2024 07: +0,1712124000
0.664,6,Apr 03 2024 08: +0,1712127600
0.664,1,Apr 03 2024 09: +0,1712131200
0.659,2,Apr 03 2024 10: +0,1712134800
0.664,10,Apr 03 2024 11: +0,1712138400
0.664,9,Apr 03 2024 12: +0,1712142000
0.662,24,Apr 03 2024 13: +0,1712145600
0.664,9,Apr 03 2024 14: +0,1712149200
0.664,9,Apr 03 2024 15: +0,1712152800
0.664,23,Apr 03 2024 16: +0,1712156400
0.664,11,Apr 03 2024 17: +0,1712160000
0.721,17,Apr 03 2024 18: +0,1712163600
0.722,6,Apr 03 2024 19: +0,1712167200
0.712,4,Apr 03 2024 20: +0,1712170800
0.724,44,Apr 03 2024 21: +0,1712174400
0.725,4,Apr 03 2024 22: +0,1712178000
0.722,1,Apr 03 2024 23: +0,1712181600
0.733,1,Apr 04 2024 01: +0,1712188800
0.734,27,Apr 04 2024 02: +0,1712192400
0.732,13,Apr 04 2024 03: +0,1712196000
0.733,10,Apr 04 2024 04: +0,1712199600
0.731,3,Apr 04 2024 05: +0,1712203200
0.729,1,Apr 04 2024 06: +0,1712206800
0.729,4,Apr 04 2024 07: +0,1712210400
0.726,7,Apr 04 2024 09: +0,1712217600
0.724,5,Apr 04 2024 10: +0,1712221200
0.732,1,Apr 04 2024 11: +0,1712224800
0.731,3,Apr 04 2024 12: +0,1712228400
0.731,4,Apr 04 2024 13: +0,1712232000
0.734,4,Apr 04 2024 14: +0,1712235600
0.733,1,Apr 04 2024 15: +0,1712239200
0.734,9,Apr 04 2024 16: +0,1712242800
0.724,3,Apr 04 2024 17: +0,1712246400
0.716,3,Apr 04 2024 18: +0,1712250000
0.723,3,Apr 04 2024 19: +0,1712253600
0.716,4,Apr 04 2024 20: +0,1712257200
0.72,2,Apr 04 2024 21: +0,1712260800
0.726,2,Apr 04 2024 22: +0,1712264400
0.72,3,Apr 04 2024 23: +0,1712268000
0.721,1,Apr 05 2024 02: +0,1712278800
0.73,4,Apr 05 2024 03: +0,1712282400
0.72,2,Apr 05 2024 04: +0,1712286000
0.734,1,Apr 05 2024 05: +0,1712289600
0.73,3,Apr 05 2024 06: +0,1712293200
0.72,4,Apr 05 2024 08: +0,1712300400
0.73,2,Apr 05 2024 09: +0,1712304000
0.73,1,Apr 05 2024 10: +0,1712307600
0.729,3,Apr 05 2024 11: +0,1712311200
0.73,5,Apr 05 2024 12: +0,1712314800
0.729,6,Apr 05 2024 13: +0,1712318400
0.734,10,Apr 05 2024 14: +0,1712322000
0.727,5,Apr 05 2024 15: +0,1712325600
0.726,21,Apr 05 2024 16: +0,1712329200
0.723,7,Apr 05 2024 17: +0,1712332800
0.727,4,Apr 05 2024 18: +0,1712336400
0.738,4,Apr 05 2024 19: +0,1712340000
0.743,12,Apr 05 2024 20: +0,1712343600
0.737,7,Apr 05 2024 21: +0,1712347200
0.711,1,Apr 05 2024 22: +0,1712350800
0.745,2,Apr 05 2024 23: +0,1712354400
0.741,6,Apr 06 2024 00: +0,1712358000
0.743,1,Apr 06 2024 01: +0,1712361600
0.747,5,Apr 06 2024 02: +0,1712365200
0.745,15,Apr 06 2024 03: +0,1712368800
0.747,9,Apr 06 2024 04: +0,1712372400
0.745,5,Apr 06 2024 05: +0,1712376000
0.742,6,Apr 06 2024 07: +0,1712383200
0.745,8,Apr 06 2024 09: +0,1712390400
0.747,3,Apr 06 2024 10: +0,1712394000
0.747,4,Apr 06 2024 11: +0,1712397600
0.742,4,Apr 06 2024 12: +0,1712401200
0.737,1,Apr 06 2024 13: +0,1712404800
0.745,8,Apr 06 2024 14: +0,1712408400
0.747,5,Apr 06 2024 15: +0,1712412000
0.751,4,Apr 06 2024 16: +0,1712415600
0.754,13,Apr 06 2024 17: +0,1712419200
0.756,12,Apr 06 2024 18: +0,1712422800
0.754,45,Apr 06 2024 19: +0,1712426400
0.763,1,Apr 06 2024 20: +0,1712430000
0.763,27,Apr 06 2024 21: +0,1712433600
0.758,6,Apr 06 2024 22: +0,1712437200
0.758,15,Apr 06 2024 23: +0,1712440800
0.763,41,Apr 07 2024 00: +0,1712444400
0.779,4,Apr 07 2024 01: +0,1712448000
0.779,5,Apr 07 2024 02: +0,1712451600
0.763,1,Apr 07 2024 05: +0,1712462400
0.759,25,Apr 07 2024 06: +0,1712466000
0.76,2,Apr 07 2024 07: +0,1712469600
0.675,6,Apr 07 2024 08: +0,1712473200
0.754,1,Apr 07 2024 09: +0,1712476800
0.759,1,Apr 07 2024 10: +0,1712480400
0.754,32,Apr 07 2024 11: +0,1712484000
0.754,12,Apr 07 2024 12: +0,1712487600
0.759,10,Apr 07 2024 13: +0,1712491200
0.722,5,Apr 07 2024 14: +0,1712494800
0.74,2,Apr 07 2024 15: +0,1712498400
0.754,1,Apr 07 2024 16: +0,1712502000
0.758,4,Apr 07 2024 17: +0,1712505600
0.754,14,Apr 07 2024 18: +0,1712509200
