price,quantity,date,unix timestamp
3.133,399,May 27 2015 01: +0,1432684800
3.299,351,May 28 2015 01: +0,1432771200
3.867,257,May 29 2015 01: +0,1432857600
4.268,196,May 30 2015 01: +0,1432944000
4.517,138,May 31 2015 01: +0,1433030400
5.344,115,Jun 01 2015 01: +0,1433116800
5.413,92,Jun 02 2015 01: +0,1433203200
2.753,480,Jun 03 2015 01: +0,1433289600
2.452,326,Jun 04 2015 01: +0,1433376000
2.436,245,Jun 05 2015 01: +0,1433462400
2.871,234,Jun 06 2015 01: +0,1433548800
2.783,215,Jun 07 2015 01: +0,1433635200
3.023,174,Jun 08 2015 01: +0,1433721600
3.309,175,Jun 09 2015 01: +0,1433808000
2.362,432,Jun 10 2015 01: +0,1433894400
2.087,353,Jun 11 2015 01: +0,1433980800
2.016,357,Jun 12 2015 01: +0,1434067200
2.123,309,Jun 13 2015 01: +0,1434153600
2.168,292,Jun 14 2015 01: +0,1434240000
2.398,236,Jun 15 2015 01: +0,1434326400
2.435,212,Jun 16 2015 01: +0,1434412800
1.847,481,Jun 17 2015 01: +0,1434499200
1.698,371,Jun 18 2015 01: +0,1434585600
1.872,370,Jun 19 2015 01: +0,1434672000
2.029,343,Jun 20 2015 01: +0,1434758400
1.938,258,Jun 21 2015 01: +0,1434844800
2.136,246,Jun 22 2015 01: +0,1434931200
2.335,229,Jun 23 2015 01: +0,1435017600
1.941,457,Jun 24 2015 01: +0,1435104000
1.894,428,Jun 25 2015 01: +0,1435190400
2.026,375,Jun 26 2015 01: +0,1435276800
2.164,389,Jun 27 2015 01: +0,1435363200
2.172,326,Jun 28 2015 01: +0,1435449600
2.339,308,Jun 29 2015 01: +0,1435536000
2.331,309,Jun 30 2015 01: +0,1435622400
2.005,486,Jul 01 2015 01: +0,1435708800
1.929,395,Jul 02 2015 01: +0,1435795200
2.081,343,Jul 03 2015 01: +0,1435881600
2.127,335,Jul 04 2015 01: +0,1435968000
1.994,297,Jul 05 2015 01: +0,1436054400
