price,quantity,date,unix timestamp
8.439,3,May 27 2015 01: +0,1432684800
13.193,1,May 28 2015 01: +0,1432771200
7.776,2,May 29 2015 01: +0,1432857600
8.799,1,May 31 2015 01: +0,1433030400
13.149,1,Jun 01 2015 01: +0,1433116800
25.153,1,Jun 02 2015 01: +0,1433203200
15.23,1,Jun 09 2015 01: +0,1433808000
13.803,1,Jun 10 2015 01: +0,1433894400
5.891,2,Jun 12 2015 01: +0,1434067200
5.151,1,Jun 13 2015 01: +0,1434153600
8.719,2,Jun 14 2015 01: +0,1434240000
8.35,2,Jun 16 2015 01: +0,1434412800
9.057,3,Jun 17 2015 01: +0,1434499200
12.776,2,Jun 18 2015 01: +0,1434585600
10.193,1,Jun 22 2015 01: +0,1434931200
10.098,1,Jun 27 2015 01: +0,1435363200
7.671,1,Jun 29 2015 01: +0,1435536000
7.112,1,Jun 30 2015 01: +0,1435622400
5.666,2,Jul 01 2015 01: +0,1435708800
7.503,3,Jul 02 2015 01: +0,1435795200
6.912,1,Jul 04 2015 01: +0,1435968000
7.981,1,Jul 05 2015 01: +0,1436054400
8.383,1,Jul 07 2015 01: +0,1436227200
8.253,1,Jul 08 2015 01: +0,1436313600
7.337,1,Jul 10 2015 01: +0,1436486400
7.73,3,Jul 11 2015 01: +0,1436572800
6.09,2,Jul 13 2015 01: +0,1436745600
6.631,6,Jul 14 2015 01: +0,1436832000
4.589,1,Jul 15 2015 01: +0,1436918400
4.961,1,Jul 17 2015 01: +0,1437091200
5.815,3,Jul 18 2015 01: +0,1437177600
6.263,1,Jul 19 2015 01: +0,1437264000
6.093,1,Jul 20 2015 01: +0,1437350400
5.967,2,Jul 21 2015 01: +0,1437436800
5.981,1,Jul 23 2015 01: +0,1437609600
5.908,1,Jul 24 2015 01: +0,1437696000
4.914,2,Jul 25 2015 01: +0,1437782400
4.686,3,Jul 26 2015 01: +0,1437868800
5.884,4,Jul 27 2015 01: +0,1437955200
5.86,3,Jul 28 2015 01: +0,1438041600
5.346,1,Jul 29 2015 01: +0,1438128000
4.934,3,Jul 30 2015 01: +0,1438214400
5.243,1,Jul 31 2015 01: +0,1438300800
6.067,2,Aug 01 2015 01: +0,1438387200
5.915,3,Aug 02 2015 01: +0,1438473600
5.145,3,Aug 03 2015 01: +0,1438560000
5.991,2,Aug 04 2015 01: +0,1438646400
6.804,2,Aug 05 2015 01: +0,1438732800
4.199,1,Aug 07 2015 01: +0,1438905600
5.645,2,Aug 08 2015 01: +0,1438992000
6.53,2,Aug 10 2015 01: +0,1439164800
6.146,2,Aug 11 2015 01: +0,1439251200
5.535,1,Aug 14 2015 01: +0,1439510400
7.085,7,Aug 15 2015 01: +0,1439596800
7.051,1,Aug 18 2015 01: +0,1439856000
6.108,2,Aug 20 2015 01: +0,1440028800
6.295,2,Aug 22 2015 01: +0,1440201600
4.961,2,Aug 23 2015 01: +0,1440288000
5.308,3,Aug 25 2015 01: +0,1440460800
5.589,1,Aug 26 2015 01: +0,1440547200
5.388,2,Aug 27 2015 01: +0,1440633600
5.889,3,Aug 28 2015 01: +0,1440720000
8.089,1,Aug 30 2015 01: +0,1440892800
8.032,1,Aug 31 2015 01: +0,1440979200
6.422,2,Sep 01 2015 01: +0,1441065600
6.293,2,Sep 02 2015 01: +0,1441152000
5.456,8,Sep 03 2015 01: +0,1441238400
6.122,3,Sep 05 2015 01: +0,1441411200
6.413,2,Sep 06 2015 01: +0,1441497600
7.59,3,Sep 07 2015 01: +0,1441584000
6.551,1,Sep 08 2015 01: +0,1441670400
4.558,1,Sep 09 2015 01: +0,1441756800
6.26,1,Sep 10 2015 01: +0,1441843200
5.825,2,Sep 11 2015 01: +0,1441929600
5.863,1,Sep 12 2015 01: +0,1442016000
5.84,3,Sep 13 2015 01: +0,1442102400
5.863,4,Sep 14 2015 01: +0,1442188800
6.418,1,Sep 15 2015 01: +0,1442275200
6.442,2,Sep 16 2015 01: +0,1442361600
6.305,1,Sep 17 2015 01: +0,1442448000
