price,quantity,date,unix timestamp
0.03,514,Jul 02 2014 01: +0,1404259200
0.03,452,Jul 03 2014 01: +0,1404345600
0.03,376,Jul 04 2014 01: +0,1404432000
0.03,478,Jul 05 2014 01: +0,1404518400
0.03,425,Jul 06 2014 01: +0,1404604800
0.03,365,Jul 07 2014 01: +0,1404691200
0.03,610,Jul 08 2014 01: +0,1404777600
0.03,494,Jul 09 2014 01: +0,1404864000
0.03,358,Jul 10 2014 01: +0,1404950400
0.03,532,Jul 11 2014 01: +0,1405036800
0.03,631,Jul 12 2014 01: +0,1405123200
0.03,528,Jul 13 2014 01: +0,1405209600
0.03,473,Jul 14 2014 01: +0,1405296000
0.03,776,Jul 15 2014 01: +0,1405382400
0.03,588,Jul 16 2014 01: +0,1405468800
0.03,529,Jul 17 2014 01: +0,1405555200
0.03,501,Jul 18 2014 01: +0,1405641600
0.03,657,Jul 19 2014 01: +0,1405728000
0.03,509,Jul 20 2014 01: +0,1405814400
0.03,522,Jul 21 2014 01: +0,1405900800
0.03,714,Jul 22 2014 01: +0,1405987200
0.03,635,Jul 23 2014 01: +0,1406073600
0.03,538,Jul 24 2014 01: +0,1406160000
0.03,597,Jul 25 2014 01: +0,1406246400
0.03,683,Jul 26 2014 01: +0,1406332800
0.03,649,Jul 27 2014 01: +0,1406419200
0.03,615,Jul 28 2014 01: +0,1406505600
0.03,956,Jul 29 2014 01: +0,1406592000
0.03,731,Jul 30 2014 01: +0,1406678400
0.03,798,Jul 31 2014 01: +0,1406764800
0.03,624,Aug 01 2014 01: +0,1406851200
0.03,982,Aug 02 2014 01: +0,1406937600
0.03,740,Aug 03 2014 01: +0,1407024000
0.03,721,Aug 04 2014 01: +0,1407110400
0.03,901,Aug 05 2014 01: +0,1407196800
0.03,838,Aug 06 2014 01: +0,1407283200
0.03,708,Aug 07 2014 01: +0,1407369600
0.03,782,Aug 08 2014 01: +0,1407456000
0.03,1018,Aug 09 2014 01: +0,1407542400
0.03,811,Aug 10 2014 01: +0,1407628800
0.03,792,Aug 11 2014 01: +0,1407715200
0.03,918,Aug 12 2014 01: +0,1407801600
0.03,843,Aug 13 2014 01: +0,1407888000
0.03,839,Aug 14 2014 01: +0,1407974400
0.03,825,Aug 15 2014 01: +0,1408060800
0.03,1069,Aug 16 2014 01: +0,1408147200
0.03,847,Aug 17 2014 01: +0,1408233600
0.03,680,Aug 18 2014 01: +0,1408320000
0.03,1272,Aug 19 2014 01: +0,1408406400
0.03,1094,Aug 20 2014 01: +0,1408492800
0.03,975,Aug 21 2014 01: +0,1408579200
0.03,944,Aug 22 2014 01: +0,1408665600
0.03,1029,Aug 23 2014 01: +0,1408752000
0.03,905,Aug 24 2014 01: +0,1408838400
0.03,923,Aug 25 2014 01: +0,1408924800
0.03,1068,Aug 26 2014 01: +0,1409011200
0.03,937,Aug 27 2014 01: +0,1409097600
0.03,845,Aug 28 2014 01: +0,1409184000
0.03,957,Aug 29 2014 01: +0,1409270400
0.03,981,Aug 30 2014 01: +0,1409356800
0.03,908,Aug 31 2014 01: +0,1409443200
0.03,757,Sep 01 2014 01: +0,1409529600
0.03,933,Sep 02 2014 01: +0,1409616000
0.03,820,Sep 03 2014 01: +0,1409702400
0.03,780,Sep 04 2014 01: +0,1409788800
0.03,743,Sep 05 2014 01: +0,1409875200
0.03,1093,Sep 06 2014 01: +0,1409961600
0.03,800,Sep 07 2014 01: +0,1410048000
0.03,716,Sep 08 2014 01: +0,1410134400
0.03,760,Sep 09 2014 01: +0,1410220800
0.03,733,Sep 10 2014 01: +0,1410307200
0.03,902,Sep 11 2014 01: +0,1410393600
0.03,1503,Sep 12 2014 01: +0,1410480000
0.03,1637,Sep 13 2014 01: +0,1410566400
0.03,1463,Sep 14 2014 01: +0,1410652800
0.03,1310,Sep 15 2014 01: +0,1410739200
0.03,1380,Sep 16 2014 01: +0,1410825600
0.03,1218,Sep 17 2014 01: +0,1410912000
0.03,1265,Sep 18 2014 01: +0,1410998400
0.03,1347,Sep 19 2014 01: +0,1411084800
0.03,1796,Sep 20 2014 01: +0,1411171200
0.03,1537,Sep 21 2014 01: +0,1411257600
0.03,1241,Sep 22 2014 01: +0,1411344000
0.03,1187,Sep 23 2014 01: +0,1411430400
0.03,1147,Sep 24 2014 01: +0,1411516800
0.03,1116,Sep 25 2014 01: +0,1411603200
0.03,1368,Sep 26 2014 01: +0,1411689600
0.03,1644,Sep 27 2014 01: +0,1411776000
0.03,1437,Sep 28 2014 01: +0,1411862400
0.03,1180,Sep 29 2014 01: +0,1411948800
0.03,1205,Sep 30 2014 01: +0,1412035200
0.03,1433,Oct 01 2014 01: +0,1412121600
0.03,1223,Oct 02 2014 01: +0,1412208000
0.03,1188,Oct 03 2014 01: +0,1412294400
0.03,1008,Oct 04 2014 01: +0,1412380800
0.03,881,Oct 05 2014 01: +0,1412467200
0.03,506,Oct 06 2014 01: +0,1412553600
0.03,573,Oct 07 2014 01: +0,1412640000
0.03,666,Oct 08 2014 01: +0,1412726400
0.03,467,Oct 09 2014 01: +0,1412812800
0.03,497,Oct 10 2014 01: +0,1412899200
0.03,647,Oct 11 2014 01: +0,1412985600
0.03,534,Oct 12 2014 01: +0,1413072000
0.03,500,Oct 13 2014 01: +0,1413158400
0.03,425,Oct 14 2014 01: +0,1413244800
0.03,377,Oct 15 2014 01: +0,1413331200
0.03,430,Oct 16 2014 01: +0,1413417600
0.03,394,Oct 17 2014 01: +0,1413504000
0.03,446,Oct 18 2014 01: +0,1413590400
0.03,515,Oct 19 2014 01: +0,1413676800
0.03,372,Oct 20 2014 01: +0,1413763200
0.03,252,Oct 21 2014 01: +0,1413849600
0.03,224,Oct 22 2014 01: +0,1413936000
0.03,312,Oct 23 2014 01: +0,1414022400
0.03,332,Oct 24 2014 01: +0,1414108800
0.03,348,Oct 25 2014 01: +0,1414195200
0.03,421,Oct 26 2014 01: +0,1414281600
0.03,302,Oct 27 2014 01: +0,1414371600
0.03,232,Oct 28 2014 01: +0,1414458000
0.03,265,Oct 29 2014 01: +0,1414544400
0.03,254,Oct 30 2014 01: +0,1414630800
0.03,334,Oct 31 2014 01: +0,1414717200
0.03,358,Nov 01 2014 01: +0,1414803600
0.03,306,Nov 02 2014 01: +0,1414890000
0.03,226,Nov 03 2014 01: +0,1414976400
0.03,272,Nov 04 2014 01: +0,1415062800
0.03,230,Nov 05 2014 01: +0,1415149200
0.03,178,Nov 06 2014 01: +0,1415235600
0.03,299,Nov 07 2014 01: +0,1415322000
0.03,427,Nov 08 2014 01: +0,1415408400
0.03,293,Nov 09 2014 01: +0,1415494800
0.03,279,Nov 10 2014 01: +0,1415581200
0.03,230,Nov 11 2014 01: +0,1415667600
0.03,268,Nov 12 2014 01: +0,1415754000
0.03,301,Nov 13 2014 01: +0,1415840400
0.03,312,Nov 14 2014 01: +0,1415926800
0.03,307,Nov 15 2014 01: +0,1416013200
0.03,297,Nov 16 2014 01: +0,1416099600
0.03,254,Nov 17 2014 01: +0,1416186000
0.03,269,Nov 18 2014 01: +0,1416272400
0.03,197,Nov 19 2014 01: +0,1416358800
0.03,220,Nov 20 2014 01: +0,1416445200
0.03,228,Nov 21 2014 01: +0,1416531600
0.03,235,Nov 22 2014 01: +0,1416618000
0.03,269,Nov 23 2014 01: +0,1416704400
0.03,221,Nov 24 2014 01: +0,1416790800
0.03,206,Nov 25 2014 01: +0,1416877200
0.03,235,Nov 26 2014 01: +0,1416963600
0.03,304,Nov 27 2014 01: +0,1417050000
0.03,273,Nov 28 2014 01: +0,1417136400
0.032,191,Nov 29 2014 01: +0,1417222800
0.03,396,Nov 30 2014 01: +0,1417309200
0.03,277,Dec 01 2014 01: +0,1417395600
0.03,246,Dec 02 2014 01: +0,1417482000
0.03,331,Dec 03 2014 01: +0,1417568400
0.03,233,Dec 04 2014 01: +0,1417654800
0.03,283,Dec 05 2014 01: +0,1417741200
0.03,335,Dec 06 2014 01: +0,1417827600
0.03,274,Dec 07 2014 01: +0,1417914000
0.03,259,Dec 08 2014 01: +0,1418000400
0.03,296,Dec 09 2014 01: +0,1418086800
0.03,199,Dec 10 2014 01: +0,1418173200
0.03,245,Dec 11 2014 01: +0,1418259600
0.03,282,Dec 12 2014 01: +0,1418346000
0.03,291,Dec 13 2014 01: +0,1418432400
0.03,296,Dec 14 2014 01: +0,1418518800
0.03,264,Dec 15 2014 01: +0,1418605200
0.03,212,Dec 16 2014 01: +0,1418691600
0.03,195,Dec 17 2014 01: +0,1418778000
0.03,181,Dec 18 2014 01: +0,1418864400
0.03,272,Dec 19 2014 01: +0,1418950800
0.03,203,Dec 20 2014 01: +0,1419037200
0.03,244,Dec 21 2014 01: +0,1419123600
0.03,252,Dec 22 2014 01: +0,1419210000
0.03,263,Dec 23 2014 01: +0,1419296400
0.03,139,Dec 24 2014 01: +0,1419382800
0.03,214,Dec 25 2014 01: +0,1419469200
0.03,239,Dec 26 2014 01: +0,1419555600
0.03,298,Dec 27 2014 01: +0,1419642000
0.03,247,Dec 28 2014 01: +0,1419728400
0.03,298,Dec 29 2014 01: +0,1419814800
0.03,231,Dec 30 2014 01: +0,1419901200
0.03,266,Dec 31 2014 01: +0,1419987600
0.03,197,Jan 01 2015 01: +0,1420074000
0.03,319,Jan 02 2015 01: +0,1420160400
0.03,365,Jan 03 2015 01: +0,1420246800
0.03,406,Jan 04 2015 01: +0,1420333200
0.03,314,Jan 05 2015 01: +0,1420419600
0.03,281,Jan 06 2015 01: +0,1420506000
0.03,332,Jan 07 2015 01: +0,1420592400
0.03,310,Jan 08 2015 01: +0,1420678800
0.03,344,Jan 09 2015 01: +0,1420765200
0.03,390,Jan 10 2015 01: +0,1420851600
0.03,374,Jan 11 2015 01: +0,1420938000
0.03,316,Jan 12 2015 01: +0,1421024400
0.03,303,Jan 13 2015 01: +0,1421110800
0.03,296,Jan 14 2015 01: +0,1421197200
0.03,308,Jan 15 2015 01: +0,1421283600
0.03,320,Jan 16 2015 01: +0,1421370000
0.03,439,Jan 17 2015 01: +0,1421456400
0.03,426,Jan 18 2015 01: +0,1421542800
0.03,377,Jan 19 2015 01: +0,1421629200
0.354,289,Jan 20 2015 01: +0,1421715600
