price,quantity,date,unix timestamp
0.325,35,May 02 2014 01: +0,1398988800
0.223,64,May 03 2014 01: +0,1399075200
0.19,55,May 04 2014 01: +0,1399161600
0.173,46,May 05 2014 01: +0,1399248000
0.138,79,May 06 2014 01: +0,1399334400
0.127,71,May 07 2014 01: +0,1399420800
0.118,74,May 08 2014 01: +0,1399507200
0.126,68,May 09 2014 01: +0,1399593600
0.134,78,May 10 2014 01: +0,1399680000
0.127,52,May 11 2014 01: +0,1399766400
0.085,72,May 12 2014 01: +0,1399852800
0.086,52,May 13 2014 01: +0,1399939200
0.079,54,May 14 2014 01: +0,1400025600
0.115,87,May 15 2014 01: +0,1400112000
0.113,60,May 16 2014 01: +0,1400198400
0.108,80,May 17 2014 01: +0,1400284800
0.113,82,May 18 2014 01: +0,1400371200
0.102,75,May 19 2014 01: +0,1400457600
0.087,39,May 20 2014 01: +0,1400544000
0.086,49,May 21 2014 01: +0,1400630400
0.102,53,May 22 2014 01: +0,1400716800
0.094,86,May 23 2014 01: +0,1400803200
0.098,71,May 24 2014 01: +0,1400889600
0.106,64,May 25 2014 01: +0,1400976000
0.099,77,May 26 2014 01: +0,1401062400
0.101,34,May 27 2014 01: +0,1401148800
0.076,71,May 28 2014 01: +0,1401235200
0.079,92,May 29 2014 01: +0,1401321600
0.084,87,May 30 2014 01: +0,1401408000
0.086,42,May 31 2014 01: +0,1401494400
0.081,52,Jun 01 2014 01: +0,1401580800
0.074,61,Jun 02 2014 01: +0,1401667200
0.089,84,Jun 03 2014 01: +0,1401753600
0.078,49,Jun 04 2014 01: +0,1401840000
0.08,64,Jun 05 2014 01: +0,1401926400
0.084,69,Jun 06 2014 01: +0,1402012800
0.076,81,Jun 07 2014 01: +0,1402099200
0.079,81,Jun 08 2014 01: +0,1402185600
0.084,89,Jun 09 2014 01: +0,1402272000
0.083,66,Jun 10 2014 01: +0,1402358400
0.078,57,Jun 11 2014 01: +0,1402444800
0.094,123,Jun 12 2014 01: +0,1402531200
0.082,61,Jun 13 2014 01: +0,1402617600
0.091,85,Jun 14 2014 01: +0,1402704000
0.081,96,Jun 15 2014 01: +0,1402790400
0.085,84,Jun 16 2014 01: +0,1402876800
