price,quantity,date,unix timestamp
107.903,206,Jun 01 2016 01: +0,1464739200
62.196,229,Jun 02 2016 01: +0,1464825600
53.693,195,Jun 03 2016 01: +0,1464912000
48.262,188,Jun 04 2016 01: +0,1464998400
45.914,151,Jun 05 2016 01: +0,1465084800
43.262,130,Jun 06 2016 01: +0,1465171200
45.206,97,Jun 07 2016 01: +0,1465257600
44.55,96,Jun 08 2016 01: +0,1465344000
44.787,97,Jun 09 2016 01: +0,1465430400
44.594,95,Jun 10 2016 01: +0,1465516800
45.125,87,Jun 11 2016 01: +0,1465603200
47.215,72,Jun 12 2016 01: +0,1465689600
44.017,64,Jun 13 2016 01: +0,1465776000
40.397,69,Jun 14 2016 01: +0,1465862400
36.196,68,Jun 15 2016 01: +0,1465948800
33.592,94,Jun 16 2016 01: +0,1466035200
36.137,54,Jun 17 2016 01: +0,1466121600
36.185,67,Jun 18 2016 01: +0,1466208000
36.381,48,Jun 19 2016 01: +0,1466294400
34.074,53,Jun 20 2016 01: +0,1466380800
35.907,40,Jun 21 2016 01: +0,1466467200
36.387,26,Jun 22 2016 01: +0,1466553600
35.668,47,Jun 23 2016 01: +0,1466640000
33.379,50,Jun 24 2016 01: +0,1466726400
33.528,39,Jun 25 2016 01: +0,1466812800
32.195,38,Jun 26 2016 01: +0,1466899200
32.667,30,Jun 27 2016 01: +0,1466985600
29.307,34,Jun 28 2016 01: +0,1467072000
32.337,39,Jun 29 2016 01: +0,1467158400
33.544,34,Jun 30 2016 01: +0,1467244800
33.862,39,Jul 01 2016 01: +0,1467331200
33.303,29,Jul 02 2016 01: +0,1467417600
32.549,35,Jul 03 2016 01: +0,1467504000
32.55,26,Jul 04 2016 01: +0,1467590400
32.849,40,Jul 05 2016 01: +0,1467676800
35.867,33,Jul 06 2016 01: +0,1467763200
38.313,31,Jul 07 2016 01: +0,1467849600
36.184,40,Jul 08 2016 01: +0,1467936000
37.796,38,Jul 09 2016 01: +0,1468022400
35.13,42,Jul 10 2016 01: +0,1468108800
35.931,33,Jul 11 2016 01: +0,1468195200
34.515,27,Jul 12 2016 01: +0,1468281600
36.434,22,Jul 13 2016 01: +0,1468368000
36.107,22,Jul 14 2016 01: +0,1468454400
34.881,29,Jul 15 2016 01: +0,1468540800
33.884,28,Jul 16 2016 01: +0,1468627200
34.408,33,Jul 17 2016 01: +0,1468713600
35.403,23,Jul 18 2016 01: +0,1468800000
35.23,21,Jul 19 2016 01: +0,1468886400
33.012,20,Jul 20 2016 01: +0,1468972800
34.05,20,Jul 21 2016 01: +0,1469059200
34.347,15,Jul 22 2016 01: +0,1469145600
33.059,24,Jul 23 2016 01: +0,1469232000
32.874,19,Jul 24 2016 01: +0,1469318400
31.195,29,Jul 25 2016 01: +0,1469404800
32.482,29,Jul 26 2016 01: +0,1469491200
32.396,24,Jul 27 2016 01: +0,1469577600
33.56,23,Jul 28 2016 01: +0,1469664000
33.548,22,Jul 29 2016 01: +0,1469750400
35.948,21,Jul 30 2016 01: +0,1469836800
34.356,25,Jul 31 2016 01: +0,1469923200
32.737,19,Aug 01 2016 01: +0,1470009600
34.53,22,Aug 02 2016 01: +0,1470096000
33.524,20,Aug 03 2016 01: +0,1470182400
32.728,15,Aug 04 2016 01: +0,1470268800
32.009,33,Aug 05 2016 01: +0,1470355200
32.103,14,Aug 06 2016 01: +0,1470441600
30.393,30,Aug 07 2016 01: +0,1470528000
29.693,28,Aug 08 2016 01: +0,1470614400
31.031,21,Aug 09 2016 01: +0,1470700800
29.884,15,Aug 10 2016 01: +0,1470787200
26.67,20,Aug 11 2016 01: +0,1470873600
27.41,24,Aug 12 2016 01: +0,1470960000
26.928,32,Aug 13 2016 01: +0,1471046400
30.08,24,Aug 14 2016 01: +0,1471132800
29.981,20,Aug 15 2016 01: +0,1471219200
30.08,20,Aug 16 2016 01: +0,1471305600
30.157,14,Aug 17 2016 01: +0,1471392000
28.23,27,Aug 18 2016 01: +0,1471478400
26.659,27,Aug 19 2016 01: +0,1471564800
26.61,23,Aug 20 2016 01: +0,1471651200
26.197,24,Aug 21 2016 01: +0,1471737600
26.579,27,Aug 22 2016 01: +0,1471824000
25.892,22,Aug 23 2016 01: +0,1471910400
25.811,20,Aug 24 2016 01: +0,1471996800
27.326,19,Aug 25 2016 01: +0,1472083200
29.054,20,Aug 26 2016 01: +0,1472169600
27.694,19,Aug 27 2016 01: +0,1472256000
27.819,23,Aug 28 2016 01: +0,1472342400
29.823,24,Aug 29 2016 01: +0,1472428800
27.613,15,Aug 30 2016 01: +0,1472515200
27.103,18,Aug 31 2016 01: +0,1472601600
27.331,22,Sep 01 2016 01: +0,1472688000
30.072,29,Sep 02 2016 01: +0,1472774400
29.598,21,Sep 03 2016 01: +0,1472860800
30.119,27,Sep 04 2016 01: +0,1472947200
30.443,23,Sep 05 2016 01: +0,1473033600
29.602,19,Sep 06 2016 01: +0,1473120000
29.078,20,Sep 07 2016 01: +0,1473206400
31.657,16,Sep 08 2016 01: +0,1473292800
31.635,14,Sep 09 2016 01: +0,1473379200
30.871,18,Sep 10 2016 01: +0,1473465600
30.994,20,Sep 11 2016 01: +0,1473552000
28.66,19,Sep 12 2016 01: +0,1473638400
28.587,17,Sep 13 2016 01: +0,1473724800
28.994,19,Sep 14 2016 01: +0,1473811200
27.79,18,Sep 15 2016 01: +0,1473897600
29.613,22,Sep 16 2016 01: +0,1473984000
29.352,28,Sep 17 2016 01: +0,1474070400
28.437,24,Sep 18 2016 01: +0,1474156800
26.745,23,Sep 19 2016 01: +0,1474243200
28.041,13,Sep 20 2016 01: +0,1474329600
28.302,17,Sep 21 2016 01: +0,1474416000
28.094,14,Sep 22 2016 01: +0,1474502400
29.084,17,Sep 23 2016 01: +0,1474588800
30.821,17,Sep 24 2016 01: +0,1474675200
28.555,21,Sep 25 2016 01: +0,1474761600
28.553,12,Sep 26 2016 01: +0,1474848000
27.04,17,Sep 27 2016 01: +0,1474934400
28.284,18,Sep 28 2016 01: +0,1475020800
25.495,35,Sep 29 2016 01: +0,1475107200
27.089,34,Sep 30 2016 01: +0,1475193600
26.144,20,Oct 01 2016 01: +0,1475280000
26.237,29,Oct 02 2016 01: +0,1475366400
25.936,16,Oct 03 2016 01: +0,1475452800
26.259,17,Oct 04 2016 01: +0,1475539200
26.892,20,Oct 05 2016 01: +0,1475625600
24.733,17,Oct 06 2016 01: +0,1475712000
25.563,21,Oct 07 2016 01: +0,1475798400
23.633,21,Oct 08 2016 01: +0,1475884800
24.301,16,Oct 09 2016 01: +0,1475971200
23.849,12,Oct 10 2016 01: +0,1476057600
22.241,13,Oct 11 2016 01: +0,1476144000
21.201,14,Oct 12 2016 01: +0,1476230400
22.953,16,Oct 13 2016 01: +0,1476316800
21.916,18,Oct 14 2016 01: +0,1476403200
22.924,21,Oct 15 2016 01: +0,1476489600
21.014,20,Oct 16 2016 01: +0,1476576000
21.125,15,Oct 17 2016 01: +0,1476662400
20.909,16,Oct 18 2016 01: +0,1476748800
21.069,15,Oct 19 2016 01: +0,1476835200
22.441,17,Oct 20 2016 01: +0,1476921600
22.058,13,Oct 21 2016 01: +0,1477008000
22.067,18,Oct 22 2016 01: +0,1477094400
21.571,17,Oct 23 2016 01: +0,1477180800
22.505,8,Oct 24 2016 01: +0,1477267200
21.826,15,Oct 25 2016 01: +0,1477353600
21.354,17,Oct 26 2016 01: +0,1477440000
20.986,10,Oct 27 2016 01: +0,1477526400
20.145,19,Oct 28 2016 01: +0,1477612800
18.948,27,Oct 29 2016 01: +0,1477699200
18.955,17,Oct 30 2016 01: +0,1477785600
19.137,27,Oct 31 2016 01: +0,1477875600
19.147,15,Nov 01 2016 01: +0,1477962000
19.345,21,Nov 02 2016 01: +0,1478048400
21.645,14,Nov 03 2016 01: +0,1478134800
20.897,14,Nov 04 2016 01: +0,1478221200
19.484,14,Nov 05 2016 01: +0,1478307600
20.87,15,Nov 06 2016 01: +0,1478394000
20.087,19,Nov 07 2016 01: +0,1478480400
20.981,13,Nov 08 2016 01: +0,1478566800
22.223,15,Nov 09 2016 01: +0,1478653200
22.818,11,Nov 10 2016 01: +0,1478739600
20.372,12,Nov 11 2016 01: +0,1478826000
20.691,16,Nov 12 2016 01: +0,1478912400
18.738,14,Nov 13 2016 01: +0,1478998800
19.065,14,Nov 14 2016 01: +0,1479085200
18.681,16,Nov 15 2016 01: +0,1479171600
18.811,16,Nov 16 2016 01: +0,1479258000
19.1,14,Nov 17 2016 01: +0,1479344400
