price,quantity,date,unix timestamp
57.075,1,Nov 28 2013 01: +0,1385600400
41.557,8,Nov 29 2013 01: +0,1385686800
29.06,13,Nov 30 2013 01: +0,1385773200
37.285,5,Dec 01 2013 01: +0,1385859600
20.205,21,Dec 02 2013 01: +0,1385946000
22.422,15,Dec 03 2013 01: +0,1386032400
27.448,8,Dec 04 2013 01: +0,1386118800
24.816,9,Dec 05 2013 01: +0,1386205200
20.197,14,Dec 06 2013 01: +0,1386291600
18.524,17,Dec 07 2013 01: +0,1386378000
16.627,20,Dec 08 2013 01: +0,1386464400
17.793,25,Dec 09 2013 01: +0,1386550800
20.505,17,Dec 10 2013 01: +0,1386637200
18.783,11,Dec 11 2013 01: +0,1386723600
19.496,25,Dec 12 2013 01: +0,1386810000
19.905,17,Dec 13 2013 01: +0,1386896400
21.166,20,Dec 14 2013 01: +0,1386982800
18.877,16,Dec 15 2013 01: +0,1387069200
18.036,20,Dec 16 2013 01: +0,1387155600
17.98,17,Dec 17 2013 01: +0,1387242000
16.813,15,Dec 18 2013 01: +0,1387328400
12.461,32,Dec 19 2013 01: +0,1387414800
9.893,28,Dec 20 2013 01: +0,1387501200
10.304,25,Dec 21 2013 01: +0,1387587600
9.094,28,Dec 22 2013 01: +0,1387674000
9.548,33,Dec 23 2013 01: +0,1387760400
10.585,26,Dec 24 2013 01: +0,1387846800
10.248,24,Dec 25 2013 01: +0,1387933200
9.738,41,Dec 26 2013 01: +0,1388019600
10.85,31,Dec 27 2013 01: +0,1388106000
10.707,32,Dec 28 2013 01: +0,1388192400
10.004,22,Dec 29 2013 01: +0,1388278800
9.363,44,Dec 30 2013 01: +0,1388365200
9.417,32,Dec 31 2013 01: +0,1388451600
9.315,32,Jan 01 2014 01: +0,1388538000
9.499,35,Jan 02 2014 01: +0,1388624400
9.513,24,Jan 03 2014 01: +0,1388710800
9.652,42,Jan 04 2014 01: +0,1388797200
9.79,32,Jan 05 2014 01: +0,1388883600
9.845,31,Jan 06 2014 01: +0,1388970000
9.864,33,Jan 07 2014 01: +0,1389056400
9.187,30,Jan 08 2014 01: +0,1389142800
8.605,32,Jan 09 2014 01: +0,1389229200
8.741,48,Jan 10 2014 01: +0,1389315600
9.615,28,Jan 11 2014 01: +0,1389402000
8.587,42,Jan 12 2014 01: +0,1389488400
8.694,36,Jan 13 2014 01: +0,1389574800
8.434,39,Jan 14 2014 01: +0,1389661200
8.62,41,Jan 15 2014 01: +0,1389747600
7.558,37,Jan 16 2014 01: +0,1389834000
8.171,48,Jan 17 2014 01: +0,1389920400
8.16,46,Jan 18 2014 01: +0,1390006800
7.733,50,Jan 19 2014 01: +0,1390093200
7.605,55,Jan 20 2014 01: +0,1390179600
7.852,53,Jan 21 2014 01: +0,1390266000
8.19,43,Jan 22 2014 01: +0,1390352400
7.911,43,Jan 23 2014 01: +0,1390438800
8.044,56,Jan 24 2014 01: +0,1390525200
8.388,43,Jan 25 2014 01: +0,1390611600
8.237,63,Jan 26 2014 01: +0,1390698000
8.381,39,Jan 27 2014 01: +0,1390784400
8.127,44,Jan 28 2014 01: +0,1390870800
8.166,47,Jan 29 2014 01: +0,1390957200
7.811,47,Jan 30 2014 01: +0,1391043600
7.85,62,Jan 31 2014 01: +0,1391130000
7.839,42,Feb 01 2014 01: +0,1391216400
7.653,55,Feb 02 2014 01: +0,1391302800
7.313,46,Feb 03 2014 01: +0,1391389200
7.347,55,Feb 04 2014 01: +0,1391475600
7.342,42,Feb 05 2014 01: +0,1391562000
7.022,52,Feb 06 2014 01: +0,1391648400
7.193,67,Feb 07 2014 01: +0,1391734800
6.948,50,Feb 08 2014 01: +0,1391821200
7.069,54,Feb 09 2014 01: +0,1391907600
6.976,55,Feb 10 2014 01: +0,1391994000
7.198,57,Feb 11 2014 01: +0,1392080400
7.327,60,Feb 12 2014 01: +0,1392166800
6.942,51,Feb 13 2014 01: +0,1392253200
6.743,75,Feb 14 2014 01: +0,1392339600
