price,quantity,date,unix timestamp
0.597,461,Nov 19 2019 01: +0,1574125200
0.733,265,Nov 20 2019 01: +0,1574211600
1.034,190,Nov 21 2019 01: +0,1574298000
1.415,148,Nov 22 2019 01: +0,1574384400
1.221,167,Nov 23 2019 01: +0,1574470800
1.288,113,Nov 24 2019 01: +0,1574557200
1.476,86,Nov 25 2019 01: +0,1574643600
1.583,96,Nov 26 2019 01: +0,1574730000
1.739,111,Nov 27 2019 01: +0,1574816400
2.161,74,Nov 28 2019 01: +0,1574902800
2.57,81,Nov 29 2019 01: +0,1574989200
3.03,78,Nov 30 2019 01: +0,1575075600
3.281,67,Dec 01 2019 01: +0,1575162000
3.401,46,Dec 02 2019 01: +0,1575248400
3.557,47,Dec 03 2019 01: +0,1575334800
3.721,54,Dec 04 2019 01: +0,1575421200
3.672,53,Dec 05 2019 01: +0,1575507600
3.55,50,Dec 06 2019 01: +0,1575594000
3.19,57,Dec 07 2019 01: +0,1575680400
3.187,43,Dec 08 2019 01: +0,1575766800
3.026,29,Dec 09 2019 01: +0,1575853200
3.119,50,Dec 10 2019 01: +0,1575939600
2.787,42,Dec 11 2019 01: +0,1576026000
2.827,63,Dec 12 2019 01: +0,1576112400
3.047,41,Dec 13 2019 01: +0,1576198800
2.97,36,Dec 14 2019 01: +0,1576285200
2.874,38,Dec 15 2019 01: +0,1576371600
3.174,32,Dec 16 2019 01: +0,1576458000
2.858,65,Dec 17 2019 01: +0,1576544400
2.311,300,Dec 18 2019 01: +0,1576630800
2.231,204,Dec 19 2019 01: +0,1576717200
2.352,110,Dec 20 2019 01: +0,1576803600
2.768,151,Dec 21 2019 01: +0,1576890000
2.852,96,Dec 22 2019 01: +0,1576976400
3.09,107,Dec 23 2019 01: +0,1577062800
3.386,66,Dec 24 2019 01: +0,1577149200
3.488,101,Dec 25 2019 01: +0,1577235600
3.281,83,Dec 26 2019 01: +0,1577322000
3.348,81,Dec 27 2019 01: +0,1577408400
3.397,48,Dec 28 2019 01: +0,1577494800
3.361,60,Dec 29 2019 01: +0,1577581200
3.171,34,Dec 30 2019 01: +0,1577667600
3.43,44,Dec 31 2019 01: +0,1577754000
3.295,78,Jan 01 2020 01: +0,1577840400
3.19,56,Jan 02 2020 01: +0,1577926800
3.507,59,Jan 03 2020 01: +0,1578013200
3.581,77,Jan 04 2020 01: +0,1578099600
3.587,58,Jan 05 2020 01: +0,1578186000
3.79,50,Jan 06 2020 01: +0,1578272400
3.788,26,Jan 07 2020 01: +0,1578358800
3.833,64,Jan 08 2020 01: +0,1578445200
4.398,51,Jan 09 2020 01: +0,1578531600
4.304,35,Jan 10 2020 01: +0,1578618000
4.402,34,Jan 11 2020 01: +0,1578704400
4.27,41,Jan 12 2020 01: +0,1578790800
4.207,33,Jan 13 2020 01: +0,1578877200
4.426,40,Jan 14 2020 01: +0,1578963600
4.164,57,Jan 15 2020 01: +0,1579050000
4.163,67,Jan 16 2020 01: +0,1579136400
4.116,45,Jan 17 2020 01: +0,1579222800
4.304,64,Jan 18 2020 01: +0,1579309200
4.29,50,Jan 19 2020 01: +0,1579395600
4.48,44,Jan 20 2020 01: +0,1579482000
4.247,34,Jan 21 2020 01: +0,1579568400
4.352,76,Jan 22 2020 01: +0,1579654800
4.281,48,Jan 23 2020 01: +0,1579741200
4.992,30,Jan 24 2020 01: +0,1579827600
4.873,40,Jan 25 2020 01: +0,1579914000
4.74,41,Jan 26 2020 01: +0,1580000400
4.658,21,Jan 27 2020 01: +0,1580086800
4.941,58,Jan 28 2020 01: +0,1580173200
4.885,167,Jan 29 2020 01: +0,1580259600
4.813,93,Jan 30 2020 01: +0,1580346000
5.096,93,Jan 31 2020 01: +0,1580432400
5.246,113,Feb 01 2020 01: +0,1580518800
5.483,81,Feb 02 2020 01: +0,1580605200
6.176,80,Feb 03 2020 01: +0,1580691600
7.701,90,Feb 04 2020 01: +0,1580778000
7.149,82,Feb 05 2020 01: +0,1580864400
6.76,69,Feb 06 2020 01: +0,1580950800
6.022,123,Feb 07 2020 01: +0,1581037200
5.329,151,Feb 08 2020 01: +0,1581123600
5.286,115,Feb 09 2020 01: +0,1581210000
5.427,83,Feb 10 2020 01: +0,1581296400
5.226,105,Feb 11 2020 01: +0,1581382800
5.245,86,Feb 12 2020 01: +0,1581469200
5.648,129,Feb 13 2020 01: +0,1581555600
5.74,96,Feb 14 2020 01: +0,1581642000
5.704,104,Feb 15 2020 01: +0,1581728400
6.085,85,Feb 16 2020 01: +0,1581814800
6.081,79,Feb 17 2020 01: +0,1581901200
5.906,64,Feb 18 2020 01: +0,1581987600
5.828,97,Feb 19 2020 01: +0,1582074000
5.605,101,Feb 20 2020 01: +0,1582160400
5.769,97,Feb 21 2020 01: +0,1582246800
5.819,106,Feb 22 2020 01: +0,1582333200
5.855,103,Feb 23 2020 01: +0,1582419600
6.237,106,Feb 24 2020 01: +0,1582506000
6.36,88,Feb 25 2020 01: +0,1582592400
6.264,110,Feb 26 2020 01: +0,1582678800
6.773,110,Feb 27 2020 01: +0,1582765200
7.094,136,Feb 28 2020 01: +0,1582851600
7.444,122,Feb 29 2020 01: +0,1582938000
7.171,86,Mar 01 2020 01: +0,1583024400
6.968,96,Mar 02 2020 01: +0,1583110800
7.146,95,Mar 03 2020 01: +0,1583197200
6.899,166,Mar 04 2020 01: +0,1583283600
6.472,109,Mar 05 2020 01: +0,1583370000
6.533,104,Mar 06 2020 01: +0,1583456400
6.742,147,Mar 07 2020 01: +0,1583542800
6.604,122,Mar 08 2020 01: +0,1583629200
6.382,90,Mar 09 2020 01: +0,1583715600
6.105,82,Mar 10 2020 01: +0,1583802000
6.301,78,Mar 11 2020 01: +0,1583888400
6.379,93,Mar 12 2020 01: +0,1583974800
6.315,85,Mar 13 2020 01: +0,1584061200
6.511,106,Mar 14 2020 01: +0,1584147600
6.331,96,Mar 15 2020 01: +0,1584234000
6.422,106,Mar 16 2020 01: +0,1584320400
6.275,86,Mar 17 2020 01: +0,1584406800
6.25,73,Mar 18 2020 01: +0,1584493200
6.327,87,Mar 19 2020 01: +0,1584579600
6.341,79,Mar 20 2020 01: +0,1584666000
6.392,75,Mar 21 2020 01: +0,1584752400
6.32,84,Mar 22 2020 01: +0,1584838800
6.365,68,Mar 23 2020 01: +0,1584925200
6.647,80,Mar 24 2020 01: +0,1585011600
6.418,67,Mar 25 2020 01: +0,1585098000
6.681,83,Mar 26 2020 01: +0,1585184400
6.659,77,Mar 27 2020 01: +0,1585270800
6.94,56,Mar 28 2020 01: +0,1585357200
6.706,25,Mar 29 2020 01: +0,1585443600
6.763,70,Mar 30 2020 01: +0,1585526400
6.558,147,Mar 31 2020 01: +0,1585612800
6.481,134,Apr 01 2020 01: +0,1585699200
6.295,50,Apr 02 2020 01: +0,1585785600
6.735,73,Apr 03 2020 01: +0,1585872000
6.755,85,Apr 04 2020 01: +0,1585958400
6.737,43,Apr 05 2020 01: +0,1586044800
6.646,51,Apr 06 2020 01: +0,1586131200
6.854,47,Apr 07 2020 01: +0,1586217600
7.095,75,Apr 08 2020 01: +0,1586304000
6.973,31,Apr 09 2020 01: +0,1586390400
7.163,46,Apr 10 2020 01: +0,1586476800
7.127,60,Apr 11 2020 01: +0,1586563200
7.1,49,Apr 12 2020 01: +0,1586649600
6.831,19,Apr 13 2020 01: +0,1586736000
6.603,30,Apr 14 2020 01: +0,1586822400
6.649,58,Apr 15 2020 01: +0,1586908800
6.7,21,Apr 16 2020 01: +0,1586995200
6.733,31,Apr 17 2020 01: +0,1587081600
6.464,48,Apr 18 2020 01: +0,1587168000
6.758,23,Apr 19 2020 01: +0,1587254400
6.93,38,Apr 20 2020 01: +0,1587340800
6.92,18,Apr 21 2020 01: +0,1587427200
6.907,21,Apr 22 2020 01: +0,1587513600
6.996,28,Apr 23 2020 01: +0,1587600000
6.686,27,Apr 24 2020 01: +0,1587686400
6.621,28,Apr 25 2020 01: +0,1587772800
6.822,18,Apr 26 2020 01: +0,1587859200
7.121,60,Apr 27 2020 01: +0,1587945600
7.307,31,Apr 28 2020 01: +0,1588032000
7.348,28,Apr 29 2020 01: +0,1588118400
7.205,26,Apr 30 2020 01: +0,1588204800
7.65,23,May 01 2020 01: +0,1588291200
7.809,23,May 02 2020 01: +0,1588377600
8.267,25,May 03 2020 01: +0,1588464000
7.742,15,May 04 2020 01: +0,1588550400
7.813,17,May 05 2020 01: +0,1588636800
7.725,11,May 06 2020 01: +0,1588723200
8.251,31,May 07 2020 01: +0,1588809600
8.525,24,May 08 2020 01: +0,1588896000
8.276,13,May 09 2020 01: +0,1588982400
8.607,15,May 10 2020 01: +0,1589068800
8.034,11,May 11 2020 01: +0,1589155200
8.277,9,May 12 2020 01: +0,1589241600
8.825,10,May 13 2020 01: +0,1589328000
8.999,9,May 14 2020 01: +0,1589414400
9.458,25,May 15 2020 01: +0,1589500800
9.864,8,May 16 2020 01: +0,1589587200
10.019,11,May 17 2020 01: +0,1589673600
9.989,16,May 18 2020 01: +0,1589760000
10.238,18,May 19 2020 01: +0,1589846400
10.412,11,May 20 2020 01: +0,1589932800
10.294,9,May 21 2020 01: +0,1590019200
10.58,7,May 22 2020 01: +0,1590105600
11.177,6,May 23 2020 01: +0,1590192000
10.659,5,May 24 2020 01: +0,1590278400
10.985,12,May 25 2020 01: +0,1590364800
9.973,10,May 26 2020 01: +0,1590451200
10.138,5,May 27 2020 01: +0,1590537600
9.989,5,May 28 2020 01: +0,1590624000
9.622,9,May 29 2020 01: +0,1590710400
10.393,5,May 30 2020 01: +0,1590796800
9.326,6,May 31 2020 01: +0,1590883200
9.774,11,Jun 01 2020 01: +0,1590969600
10.194,9,Jun 02 2020 01: +0,1591056000
10.417,8,Jun 03 2020 01: +0,1591142400
9.726,4,Jun 04 2020 01: +0,1591228800
10.508,5,Jun 05 2020 01: +0,1591315200
10.674,7,Jun 06 2020 01: +0,1591401600
