price,quantity,date,unix timestamp
1.902,1,Aug 14 2013 01: +0,1376438400
0.651,104,Aug 15 2013 01: +0,1376524800
0.308,242,Aug 16 2013 01: +0,1376611200
0.231,349,Aug 17 2013 01: +0,1376697600
0.186,443,Aug 18 2013 01: +0,1376784000
0.176,446,Aug 19 2013 01: +0,1376870400
0.134,467,Aug 20 2013 01: +0,1376956800
0.108,484,Aug 21 2013 01: +0,1377043200
0.085,786,Aug 22 2013 01: +0,1377129600
0.059,724,Aug 23 2013 01: +0,1377216000
0.046,824,Aug 24 2013 01: +0,1377302400
0.042,1005,Aug 25 2013 01: +0,1377388800
0.047,778,Aug 26 2013 01: +0,1377475200
0.041,673,Aug 27 2013 01: +0,1377561600
0.042,654,Aug 28 2013 01: +0,1377648000
0.037,589,Aug 29 2013 01: +0,1377734400
0.03,734,Aug 30 2013 01: +0,1377820800
0.03,640,Aug 31 2013 01: +0,1377907200
0.03,565,Sep 01 2013 01: +0,1377993600
0.03,514,Sep 02 2013 01: +0,1378080000
0.03,396,Sep 03 2013 01: +0,1378166400
0.03,320,Sep 04 2013 01: +0,1378252800
0.03,326,Sep 05 2013 01: +0,1378339200
0.03,323,Sep 06 2013 01: +0,1378425600
0.03,404,Sep 07 2013 01: +0,1378512000
0.03,474,Sep 08 2013 01: +0,1378598400
0.03,355,Sep 09 2013 01: +0,1378684800
0.03,292,Sep 10 2013 01: +0,1378771200
0.03,301,Sep 11 2013 01: +0,1378857600
0.079,4830,Sep 12 2013 01: +0,1378944000
0.101,5978,Sep 13 2013 01: +0,1379030400
0.088,1609,Sep 14 2013 01: +0,1379116800
0.073,1349,Sep 15 2013 01: +0,1379203200
0.061,1019,Sep 16 2013 01: +0,1379289600
0.057,923,Sep 17 2013 01: +0,1379376000
0.053,802,Sep 18 2013 01: +0,1379462400
0.047,801,Sep 19 2013 01: +0,1379548800
0.148,4529,Sep 20 2013 01: +0,1379635200
0.146,1878,Sep 21 2013 01: +0,1379721600
0.139,1515,Sep 22 2013 01: +0,1379808000
0.137,997,Sep 23 2013 01: +0,1379894400
0.124,814,Sep 24 2013 01: +0,1379980800
0.129,1017,Sep 25 2013 01: +0,1380067200
0.129,950,Sep 26 2013 01: +0,1380153600
0.127,873,Sep 27 2013 01: +0,1380240000
0.121,965,Sep 28 2013 01: +0,1380326400
0.116,979,Sep 29 2013 01: +0,1380412800
0.118,858,Sep 30 2013 01: +0,1380499200
0.11,803,Oct 01 2013 01: +0,1380585600
0.109,660,Oct 02 2013 01: +0,1380672000
0.11,728,Oct 03 2013 01: +0,1380758400
0.11,800,Oct 04 2013 01: +0,1380844800
0.106,920,Oct 05 2013 01: +0,1380931200
0.098,797,Oct 06 2013 01: +0,1381017600
0.091,734,Oct 07 2013 01: +0,1381104000
0.092,781,Oct 08 2013 01: +0,1381190400
0.095,632,Oct 09 2013 01: +0,1381276800
0.09,641,Oct 10 2013 01: +0,1381363200
0.088,725,Oct 11 2013 01: +0,1381449600
0.084,732,Oct 12 2013 01: +0,1381536000
0.09,898,Oct 13 2013 01: +0,1381622400
0.092,698,Oct 14 2013 01: +0,1381708800
0.083,608,Oct 15 2013 01: +0,1381795200
0.074,625,Oct 16 2013 01: +0,1381881600
0.073,592,Oct 17 2013 01: +0,1381968000
0.077,623,Oct 18 2013 01: +0,1382054400
0.078,838,Oct 19 2013 01: +0,1382140800
0.078,758,Oct 20 2013 01: +0,1382227200
0.077,639,Oct 21 2013 01: +0,1382313600
0.078,666,Oct 22 2013 01: +0,1382400000
0.079,587,Oct 23 2013 01: +0,1382486400
0.077,680,Oct 24 2013 01: +0,1382572800
0.072,719,Oct 25 2013 01: +0,1382659200
0.072,802,Oct 26 2013 01: +0,1382745600
0.072,801,Oct 27 2013 01: +0,1382832000
0.069,739,Oct 28 2013 01: +0,1382922000
0.081,635,Oct 29 2013 01: +0,1383008400
0.075,578,Oct 30 2013 01: +0,1383094800
0.064,584,Oct 31 2013 01: +0,1383181200
0.078,632,Nov 01 2013 01: +0,1383267600
0.075,478,Nov 02 2013 01: +0,1383354000
0.072,510,Nov 03 2013 01: +0,1383440400
0.068,621,Nov 04 2013 01: +0,1383526800
0.067,563,Nov 05 2013 01: +0,1383613200
0.066,550,Nov 06 2013 01: +0,1383699600
0.08,353,Nov 07 2013 01: +0,1383786000
0.065,558,Nov 08 2013 01: +0,1383872400
0.061,683,Nov 09 2013 01: +0,1383958800
0.06,667,Nov 10 2013 01: +0,1384045200
0.052,594,Nov 11 2013 01: +0,1384131600
0.051,502,Nov 12 2013 01: +0,1384218000
0.061,446,Nov 13 2013 01: +0,1384304400
0.059,416,Nov 14 2013 01: +0,1384390800
0.056,375,Nov 15 2013 01: +0,1384477200
0.061,479,Nov 16 2013 01: +0,1384563600
0.069,417,Nov 17 2013 01: +0,1384650000
0.051,399,Nov 18 2013 01: +0,1384736400
0.056,463,Nov 19 2013 01: +0,1384822800
0.053,293,Nov 20 2013 01: +0,1384909200
0.06,324,Nov 21 2013 01: +0,1384995600
0.052,368,Nov 22 2013 01: +0,1385082000
0.054,447,Nov 23 2013 01: +0,1385168400
0.053,497,Nov 24 2013 01: +0,1385254800
0.051,399,Nov 25 2013 01: +0,1385341200
0.057,385,Nov 26 2013 01: +0,1385427600
