price,quantity,date,unix timestamp
0.064,1,Nov 18 2019 01: +0,1574038800
0.03,1153,Nov 19 2019 01: +0,1574125200
0.03,714,Nov 20 2019 01: +0,1574211600
0.03,735,Nov 21 2019 01: +0,1574298000
0.03,806,Nov 22 2019 01: +0,1574384400
0.03,705,Nov 23 2019 01: +0,1574470800
0.032,592,Nov 24 2019 01: +0,1574557200
0.03,380,Nov 25 2019 01: +0,1574643600
0.031,414,Nov 26 2019 01: +0,1574730000
0.032,415,Nov 27 2019 01: +0,1574816400
0.035,500,Nov 28 2019 01: +0,1574902800
0.036,382,Nov 29 2019 01: +0,1574989200
0.038,431,Nov 30 2019 01: +0,1575075600
0.042,508,Dec 01 2019 01: +0,1575162000
0.037,283,Dec 02 2019 01: +0,1575248400
0.042,380,Dec 03 2019 01: +0,1575334800
0.032,1505,Dec 04 2019 01: +0,1575421200
0.03,1121,Dec 05 2019 01: +0,1575507600
0.03,803,Dec 06 2019 01: +0,1575594000
0.03,1113,Dec 07 2019 01: +0,1575680400
0.03,775,Dec 08 2019 01: +0,1575766800
0.03,659,Dec 09 2019 01: +0,1575853200
0.03,555,Dec 10 2019 01: +0,1575939600
0.03,808,Dec 11 2019 01: +0,1576026000
0.03,584,Dec 12 2019 01: +0,1576112400
0.03,687,Dec 13 2019 01: +0,1576198800
0.03,738,Dec 14 2019 01: +0,1576285200
0.03,646,Dec 15 2019 01: +0,1576371600
0.03,489,Dec 16 2019 01: +0,1576458000
0.03,493,Dec 17 2019 01: +0,1576544400
0.03,654,Dec 18 2019 01: +0,1576630800
0.03,552,Dec 19 2019 01: +0,1576717200
0.03,552,Dec 20 2019 01: +0,1576803600
0.03,612,Dec 21 2019 01: +0,1576890000
0.03,502,Dec 22 2019 01: +0,1576976400
0.03,447,Dec 23 2019 01: +0,1577062800
0.03,432,Dec 24 2019 01: +0,1577149200
0.03,719,Dec 25 2019 01: +0,1577235600
0.03,559,Dec 26 2019 01: +0,1577322000
0.03,518,Dec 27 2019 01: +0,1577408400
0.03,470,Dec 28 2019 01: +0,1577494800
0.03,638,Dec 29 2019 01: +0,1577581200
0.03,525,Dec 30 2019 01: +0,1577667600
0.03,524,Dec 31 2019 01: +0,1577754000
0.03,1613,Jan 01 2020 01: +0,1577840400
0.03,1276,Jan 02 2020 01: +0,1577926800
0.03,1065,Jan 03 2020 01: +0,1578013200
0.03,1009,Jan 04 2020 01: +0,1578099600
0.03,908,Jan 05 2020 01: +0,1578186000
0.03,708,Jan 06 2020 01: +0,1578272400
0.03,784,Jan 07 2020 01: +0,1578358800
0.03,1606,Jan 08 2020 01: +0,1578445200
0.03,1007,Jan 09 2020 01: +0,1578531600
0.03,814,Jan 10 2020 01: +0,1578618000
0.03,748,Jan 11 2020 01: +0,1578704400
0.03,923,Jan 12 2020 01: +0,1578790800
0.03,513,Jan 13 2020 01: +0,1578877200
0.03,489,Jan 14 2020 01: +0,1578963600
0.03,866,Jan 15 2020 01: +0,1579050000
0.03,729,Jan 16 2020 01: +0,1579136400
0.03,877,Jan 17 2020 01: +0,1579222800
0.03,767,Jan 18 2020 01: +0,1579309200
0.03,947,Jan 19 2020 01: +0,1579395600
0.03,576,Jan 20 2020 01: +0,1579482000
0.03,570,Jan 21 2020 01: +0,1579568400
0.03,871,Jan 22 2020 01: +0,1579654800
0.03,683,Jan 23 2020 01: +0,1579741200
0.03,632,Jan 24 2020 01: +0,1579827600
0.03,724,Jan 25 2020 01: +0,1579914000
0.03,581,Jan 26 2020 01: +0,1580000400
0.03,541,Jan 27 2020 01: +0,1580086800
0.03,508,Jan 28 2020 01: +0,1580173200
0.03,833,Jan 29 2020 01: +0,1580259600
0.03,713,Jan 30 2020 01: +0,1580346000
0.03,1035,Jan 31 2020 01: +0,1580432400
0.03,545,Feb 01 2020 01: +0,1580518800
0.032,839,Feb 02 2020 01: +0,1580605200
0.037,768,Feb 03 2020 01: +0,1580691600
0.062,1306,Feb 04 2020 01: +0,1580778000
0.056,739,Feb 05 2020 01: +0,1580864400
0.057,768,Feb 06 2020 01: +0,1580950800
0.047,1118,Feb 07 2020 01: +0,1581037200
0.042,1005,Feb 08 2020 01: +0,1581123600
0.037,1100,Feb 09 2020 01: +0,1581210000
0.036,1071,Feb 10 2020 01: +0,1581296400
0.032,1044,Feb 11 2020 01: +0,1581382800
0.033,1105,Feb 12 2020 01: +0,1581469200
0.035,985,Feb 13 2020 01: +0,1581555600
0.035,948,Feb 14 2020 01: +0,1581642000
0.034,1050,Feb 15 2020 01: +0,1581728400
0.034,986,Feb 16 2020 01: +0,1581814800
0.035,927,Feb 17 2020 01: +0,1581901200
0.034,902,Feb 18 2020 01: +0,1581987600
0.033,2698,Feb 19 2020 01: +0,1582074000
0.033,1928,Feb 20 2020 01: +0,1582160400
0.033,1877,Feb 21 2020 01: +0,1582246800
0.035,1773,Feb 22 2020 01: +0,1582333200
0.038,1971,Feb 23 2020 01: +0,1582419600
0.051,2163,Feb 24 2020 01: +0,1582506000
0.044,1714,Feb 25 2020 01: +0,1582592400
0.039,1787,Feb 26 2020 01: +0,1582678800
0.038,1694,Feb 27 2020 01: +0,1582765200
0.042,1567,Feb 28 2020 01: +0,1582851600
0.046,1975,Feb 29 2020 01: +0,1582938000
0.045,1704,Mar 01 2020 01: +0,1583024400
0.043,1349,Mar 02 2020 01: +0,1583110800
0.043,1337,Mar 03 2020 01: +0,1583197200
0.04,1694,Mar 04 2020 01: +0,1583283600
0.038,1654,Mar 05 2020 01: +0,1583370000
0.039,1854,Mar 06 2020 01: +0,1583456400
0.038,1557,Mar 07 2020 01: +0,1583542800
0.038,1482,Mar 08 2020 01: +0,1583629200
0.035,1312,Mar 09 2020 01: +0,1583715600
0.034,1475,Mar 10 2020 01: +0,1583802000
0.036,1259,Mar 11 2020 01: +0,1583888400
0.037,1288,Mar 12 2020 01: +0,1583974800
0.034,1210,Mar 13 2020 01: +0,1584061200
0.037,1271,Mar 14 2020 01: +0,1584147600
0.034,1124,Mar 15 2020 01: +0,1584234000
0.036,1085,Mar 16 2020 01: +0,1584320400
0.034,1207,Mar 17 2020 01: +0,1584406800
0.034,1231,Mar 18 2020 01: +0,1584493200
