price,quantity,date,unix timestamp
12.821,1,Feb 07 2024 02: +0,1707271200
8.407,18,Feb 07 2024 03: +0,1707274800
8.664,42,Feb 07 2024 04: +0,1707278400
7.967,24,Feb 07 2024 05: +0,1707282000
8.15,35,Feb 07 2024 06: +0,1707285600
7.991,43,Feb 07 2024 07: +0,1707289200
8.126,36,Feb 07 2024 08: +0,1707292800
8.134,35,Feb 07 2024 09: +0,1707296400
6.362,21,Feb 07 2024 10: +0,1707300000
4.748,28,Feb 07 2024 11: +0,1707303600
5.125,50,Feb 07 2024 12: +0,1707307200
4.792,44,Feb 07 2024 13: +0,1707310800
4.828,46,Feb 07 2024 14: +0,1707314400
4.447,46,Feb 07 2024 15: +0,1707318000
4.536,54,Feb 07 2024 16: +0,1707321600
4.35,41,Feb 07 2024 17: +0,1707325200
4.262,55,Feb 07 2024 18: +0,1707328800
4.246,46,Feb 07 2024 19: +0,1707332400
4.238,51,Feb 07 2024 20: +0,1707336000
4.262,51,Feb 07 2024 21: +0,1707339600
4.278,30,Feb 07 2024 22: +0,1707343200
4.043,26,Feb 07 2024 23: +0,1707346800
4.135,39,Feb 08 2024 00: +0,1707350400
4.692,28,Feb 08 2024 01: +0,1707354000
4.696,16,Feb 08 2024 02: +0,1707357600
4.621,15,Feb 08 2024 03: +0,1707361200
4.621,13,Feb 08 2024 04: +0,1707364800
5.182,18,Feb 08 2024 05: +0,1707368400
5.515,20,Feb 08 2024 06: +0,1707372000
5.202,9,Feb 08 2024 07: +0,1707375600
5.107,9,Feb 08 2024 08: +0,1707379200
5.107,9,Feb 08 2024 09: +0,1707382800
4.995,12,Feb 08 2024 10: +0,1707386400
5.188,24,Feb 08 2024 11: +0,1707390000
4.958,11,Feb 08 2024 12: +0,1707393600
5.031,23,Feb 08 2024 13: +0,1707397200
4.858,15,Feb 08 2024 14: +0,1707400800
4.694,26,Feb 08 2024 15: +0,1707404400
4.888,16,Feb 08 2024 16: +0,1707408000
5.131,23,Feb 08 2024 17: +0,1707411600
4.915,27,Feb 08 2024 18: +0,1707415200
4.889,22,Feb 08 2024 19: +0,1707418800
4.868,25,Feb 08 2024 20: +0,1707422400
4.892,23,Feb 08 2024 21: +0,1707426000
4.979,25,Feb 08 2024 22: +0,1707429600
4.971,26,Feb 08 2024 23: +0,1707433200
5.079,24,Feb 09 2024 00: +0,1707436800
5.274,11,Feb 09 2024 01: +0,1707440400
5.275,11,Feb 09 2024 02: +0,1707444000
5.17,23,Feb 09 2024 03: +0,1707447600
5.178,12,Feb 09 2024 04: +0,1707451200
5.139,9,Feb 09 2024 05: +0,1707454800
5.394,7,Feb 09 2024 06: +0,1707458400
5.257,8,Feb 09 2024 07: +0,1707462000
5.569,13,Feb 09 2024 08: +0,1707465600
5.576,9,Feb 09 2024 09: +0,1707469200
5.395,9,Feb 09 2024 10: +0,1707472800
5.409,5,Feb 09 2024 11: +0,1707476400
5.516,9,Feb 09 2024 12: +0,1707480000
5.35,12,Feb 09 2024 13: +0,1707483600
5.307,14,Feb 09 2024 14: +0,1707487200
5.319,30,Feb 09 2024 15: +0,1707490800
5.527,20,Feb 09 2024 16: +0,1707494400
5.385,12,Feb 09 2024 17: +0,1707498000
5.25,8,Feb 09 2024 18: +0,1707501600
5.509,22,Feb 09 2024 19: +0,1707505200
6.389,23,Feb 09 2024 20: +0,1707508800
5.585,11,Feb 09 2024 21: +0,1707512400
5.521,17,Feb 09 2024 22: +0,1707516000
5.569,28,Feb 09 2024 23: +0,1707519600
5.816,17,Feb 10 2024 00: +0,1707523200
5.69,12,Feb 10 2024 01: +0,1707526800
5.951,22,Feb 10 2024 02: +0,1707530400
5.581,8,Feb 10 2024 03: +0,1707534000
6.397,6,Feb 10 2024 04: +0,1707537600
5.864,10,Feb 10 2024 05: +0,1707541200
5.72,11,Feb 10 2024 06: +0,1707544800
5.768,6,Feb 10 2024 07: +0,1707548400
5.869,8,Feb 10 2024 08: +0,1707552000
6.671,13,Feb 10 2024 09: +0,1707555600
6.336,11,Feb 10 2024 10: +0,1707559200
6.229,6,Feb 10 2024 11: +0,1707562800
5.852,17,Feb 10 2024 12: +0,1707566400
5.968,13,Feb 10 2024 13: +0,1707570000
6.233,12,Feb 10 2024 14: +0,1707573600
6.002,11,Feb 10 2024 15: +0,1707577200
6.23,12,Feb 10 2024 16: +0,1707580800
6.286,15,Feb 10 2024 17: +0,1707584400
6.007,11,Feb 10 2024 18: +0,1707588000
6.023,11,Feb 10 2024 19: +0,1707591600
5.991,9,Feb 10 2024 20: +0,1707595200
6.385,23,Feb 10 2024 21: +0,1707598800
5.967,8,Feb 10 2024 22: +0,1707602400
6.139,15,Feb 10 2024 23: +0,1707606000
6.177,12,Feb 11 2024 00: +0,1707609600
5.983,22,Feb 11 2024 01: +0,1707613200
6.322,6,Feb 11 2024 02: +0,1707616800
6.533,12,Feb 11 2024 03: +0,1707620400
6.812,11,Feb 11 2024 04: +0,1707624000
6.334,6,Feb 11 2024 05: +0,1707627600
6.294,3,Feb 11 2024 06: +0,1707631200
