price,quantity,date,unix timestamp
0.898,288,Jul 02 2014 01: +0,1404259200
0.652,177,Jul 03 2014 01: +0,1404345600
0.762,114,Jul 04 2014 01: +0,1404432000
0.663,178,Jul 05 2014 01: +0,1404518400
0.667,141,Jul 06 2014 01: +0,1404604800
0.68,94,Jul 07 2014 01: +0,1404691200
0.594,171,Jul 08 2014 01: +0,1404777600
0.58,135,Jul 09 2014 01: +0,1404864000
0.595,109,Jul 10 2014 01: +0,1404950400
0.514,115,Jul 11 2014 01: +0,1405036800
0.452,173,Jul 12 2014 01: +0,1405123200
0.475,143,Jul 13 2014 01: +0,1405209600
0.472,104,Jul 14 2014 01: +0,1405296000
0.471,152,Jul 15 2014 01: +0,1405382400
0.441,141,Jul 16 2014 01: +0,1405468800
0.453,114,Jul 17 2014 01: +0,1405555200
0.45,116,Jul 18 2014 01: +0,1405641600
0.409,195,Jul 19 2014 01: +0,1405728000
0.427,117,Jul 20 2014 01: +0,1405814400
0.404,140,Jul 21 2014 01: +0,1405900800
0.428,169,Jul 22 2014 01: +0,1405987200
0.376,135,Jul 23 2014 01: +0,1406073600
0.426,124,Jul 24 2014 01: +0,1406160000
0.434,141,Jul 25 2014 01: +0,1406246400
0.429,192,Jul 26 2014 01: +0,1406332800
0.395,129,Jul 27 2014 01: +0,1406419200
0.378,117,Jul 28 2014 01: +0,1406505600
0.389,169,Jul 29 2014 01: +0,1406592000
0.422,181,Jul 30 2014 01: +0,1406678400
0.461,150,Jul 31 2014 01: +0,1406764800
0.521,179,Aug 01 2014 01: +0,1406851200
0.499,176,Aug 02 2014 01: +0,1406937600
0.471,141,Aug 03 2014 01: +0,1407024000
0.447,157,Aug 04 2014 01: +0,1407110400
0.392,258,Aug 05 2014 01: +0,1407196800
0.409,142,Aug 06 2014 01: +0,1407283200
0.399,158,Aug 07 2014 01: +0,1407369600
0.42,158,Aug 08 2014 01: +0,1407456000
0.391,193,Aug 09 2014 01: +0,1407542400
0.397,184,Aug 10 2014 01: +0,1407628800
0.406,158,Aug 11 2014 01: +0,1407715200
0.434,193,Aug 12 2014 01: +0,1407801600
0.681,245,Aug 13 2014 01: +0,1407888000
0.458,188,Aug 14 2014 01: +0,1407974400
0.463,200,Aug 15 2014 01: +0,1408060800
0.444,245,Aug 16 2014 01: +0,1408147200
