price,quantity,date,unix timestamp
1.77,12,Sep 22 2021 01: +0,1632268800
3.084,11,Sep 23 2021 01: +0,1632355200
3.206,2,Sep 24 2021 01: +0,1632441600
3.035,7,Sep 25 2021 01: +0,1632528000
3.615,9,Sep 26 2021 01: +0,1632614400
3.391,5,Sep 27 2021 01: +0,1632700800
3.519,1,Sep 28 2021 01: +0,1632787200
3.407,7,Sep 29 2021 01: +0,1632873600
3.79,3,Sep 30 2021 01: +0,1632960000
2.725,3,Oct 01 2021 01: +0,1633046400
2.789,2,Oct 02 2021 01: +0,1633132800
2.275,7,Oct 03 2021 01: +0,1633219200
3.179,3,Oct 04 2021 01: +0,1633305600
2.936,9,Oct 05 2021 01: +0,1633392000
2.907,2,Oct 06 2021 01: +0,1633478400
3.104,4,Oct 07 2021 01: +0,1633564800
2.83,4,Oct 08 2021 01: +0,1633651200
3.334,5,Oct 09 2021 01: +0,1633737600
2.978,2,Oct 11 2021 01: +0,1633910400
3.127,2,Oct 12 2021 01: +0,1633996800
3.478,5,Oct 13 2021 01: +0,1634083200
2.929,4,Oct 15 2021 01: +0,1634256000
2.543,2,Oct 16 2021 01: +0,1634342400
2.843,2,Oct 17 2021 01: +0,1634428800
2.789,7,Oct 18 2021 01: +0,1634515200
2.718,6,Oct 19 2021 01: +0,1634601600
2.654,4,Oct 20 2021 01: +0,1634688000
3.061,10,Oct 21 2021 01: +0,1634774400
2.355,2,Oct 22 2021 01: +0,1634860800
2.346,1,Oct 23 2021 01: +0,1634947200
2.345,2,Oct 24 2021 01: +0,1635033600
2.357,1,Oct 25 2021 01: +0,1635120000
2.556,3,Oct 26 2021 01: +0,1635206400
2.252,3,Oct 27 2021 01: +0,1635292800
2.242,1,Oct 28 2021 01: +0,1635379200
2.224,2,Oct 29 2021 01: +0,1635465600
2.415,7,Oct 30 2021 01: +0,1635552000
1.858,2,Oct 31 2021 01: +0,1635638400
2.06,2,Nov 01 2021 01: +0,1635728400
2.556,3,Nov 02 2021 01: +0,1635814800
2.713,3,Nov 03 2021 01: +0,1635901200
2.359,3,Nov 04 2021 01: +0,1635987600
2.76,1,Nov 05 2021 01: +0,1636074000
2.396,5,Nov 06 2021 01: +0,1636160400
2.758,3,Nov 07 2021 01: +0,1636246800
2.656,5,Nov 09 2021 01: +0,1636419600
2.409,3,Nov 10 2021 01: +0,1636506000
2.175,2,Nov 11 2021 01: +0,1636592400
1.898,3,Nov 13 2021 01: +0,1636765200
2.333,3,Nov 14 2021 01: +0,1636851600
2.196,2,Nov 16 2021 01: +0,1637024400
2.06,1,Nov 17 2021 01: +0,1637110800
2.152,4,Nov 18 2021 01: +0,1637197200
2.008,8,Nov 20 2021 01: +0,1637370000
2.158,3,Nov 21 2021 01: +0,1637456400
1.944,1,Nov 22 2021 01: +0,1637542800
2.229,5,Nov 23 2021 01: +0,1637629200
2.088,2,Nov 24 2021 01: +0,1637715600
2.166,4,Nov 25 2021 01: +0,1637802000
2.133,3,Nov 26 2021 01: +0,1637888400
2.05,6,Nov 27 2021 01: +0,1637974800
2.005,2,Nov 28 2021 01: +0,1638061200
1.878,1,Nov 29 2021 01: +0,1638147600
2.229,9,Nov 30 2021 01: +0,1638234000
2.122,2,Dec 01 2021 01: +0,1638320400
2.076,2,Dec 02 2021 01: +0,1638406800
2.156,1,Dec 03 2021 01: +0,1638493200
2.06,2,Dec 04 2021 01: +0,1638579600
2.124,8,Dec 05 2021 01: +0,1638666000
2.379,3,Dec 06 2021 01: +0,1638752400
2.457,2,Dec 07 2021 01: +0,1638838800
2.329,4,Dec 08 2021 01: +0,1638925200
2.61,3,Dec 09 2021 01: +0,1639011600
2.579,8,Dec 10 2021 01: +0,1639098000
2.463,6,Dec 11 2021 01: +0,1639184400
2.787,11,Dec 12 2021 01: +0,1639270800
2.756,3,Dec 13 2021 01: +0,1639357200
2.774,1,Dec 14 2021 01: +0,1639443600
2.803,3,Dec 15 2021 01: +0,1639530000
2.811,1,Dec 17 2021 01: +0,1639702800
2.789,1,Dec 18 2021 01: +0,1639789200
2.566,1,Dec 19 2021 01: +0,1639875600
2.78,3,Dec 20 2021 01: +0,1639962000
2.356,1,Dec 22 2021 01: +0,1640134800
2.171,2,Dec 24 2021 01: +0,1640307600
2.26,4,Dec 25 2021 01: +0,1640394000
2.167,2,Dec 26 2021 01: +0,1640480400
2.218,2,Dec 27 2021 01: +0,1640566800
2.288,6,Dec 28 2021 01: +0,1640653200
2.212,3,Dec 29 2021 01: +0,1640739600
1.934,3,Dec 30 2021 01: +0,1640826000
2.474,7,Dec 31 2021 01: +0,1640912400
2.449,1,Jan 01 2022 01: +0,1640998800
2.522,10,Jan 02 2022 01: +0,1641085200
2.213,5,Jan 05 2022 01: +0,1641344400
2.209,1,Jan 06 2022 01: +0,1641430800
2.086,3,Jan 07 2022 01: +0,1641517200
2.128,3,Jan 08 2022 01: +0,1641603600
2.037,3,Jan 09 2022 01: +0,1641690000
2.155,6,Jan 10 2022 01: +0,1641776400
2.314,3,Jan 11 2022 01: +0,1641862800
2.413,7,Jan 12 2022 01: +0,1641949200
2.567,1,Jan 13 2022 01: +0,1642035600
2.3,1,Jan 14 2022 01: +0,1642122000
2.273,1,Jan 16 2022 01: +0,1642294800
2.388,3,Jan 17 2022 01: +0,1642381200
2.248,2,Jan 18 2022 01: +0,1642467600
2.155,1,Jan 19 2022 01: +0,1642554000
2.256,2,Jan 20 2022 01: +0,1642640400
2.092,1,Jan 21 2022 01: +0,1642726800
1.448,1,Jan 22 2022 01: +0,1642813200
1.922,4,Jan 23 2022 01: +0,1642899600
1.974,2,Jan 24 2022 01: +0,1642986000
2.112,3,Jan 25 2022 01: +0,1643072400
1.952,2,Jan 26 2022 01: +0,1643158800
2.116,4,Jan 27 2022 01: +0,1643245200
2.223,6,Jan 28 2022 01: +0,1643331600
2.182,3,Jan 29 2022 01: +0,1643418000
2.144,10,Jan 30 2022 01: +0,1643504400
2.018,1,Jan 31 2022 01: +0,1643590800
2.041,3,Feb 01 2022 01: +0,1643677200
1.944,1,Feb 02 2022 01: +0,1643763600
2.245,7,Feb 03 2022 01: +0,1643850000
2.262,10,Feb 04 2022 01: +0,1643936400
2.192,3,Feb 05 2022 01: +0,1644022800
2.278,1,Feb 06 2022 01: +0,1644109200
2.643,6,Feb 07 2022 01: +0,1644195600
1.944,1,Feb 08 2022 01: +0,1644282000
2.56,2,Feb 10 2022 01: +0,1644454800
2.473,2,Feb 11 2022 01: +0,1644541200
2.333,1,Feb 14 2022 01: +0,1644800400
2.241,1,Feb 15 2022 01: +0,1644886800
2.561,3,Feb 16 2022 01: +0,1644973200
2.928,2,Feb 17 2022 01: +0,1645059600
2.53,1,Feb 20 2022 01: +0,1645318800
2.714,4,Feb 21 2022 01: +0,1645405200
2.901,1,Feb 22 2022 01: +0,1645491600
2.576,5,Feb 23 2022 01: +0,1645578000
2.539,1,Feb 26 2022 01: +0,1645837200
3.019,3,Feb 27 2022 01: +0,1645923600
2.581,1,Mar 02 2022 01: +0,1646182800
2.738,1,Mar 04 2022 01: +0,1646355600
2.163,1,Mar 05 2022 01: +0,1646442000
2.655,2,Mar 06 2022 01: +0,1646528400
2.754,2,Mar 07 2022 01: +0,1646614800
3.18,1,Mar 11 2022 01: +0,1646960400
2.719,1,Mar 15 2022 01: +0,1647306000
2.496,1,Mar 17 2022 01: +0,1647478800
3.287,3,Mar 19 2022 01: +0,1647651600
3.298,3,Mar 20 2022 01: +0,1647738000
3.533,4,Mar 21 2022 01: +0,1647824400
3.085,2,Mar 28 2022 01: +0,1648425600
2.713,2,Apr 03 2022 01: +0,1648944000
2.927,1,Apr 05 2022 01: +0,1649116800
4.413,1,Apr 08 2022 01: +0,1649376000
4.642,1,Apr 11 2022 01: +0,1649635200
3.139,1,Apr 16 2022 01: +0,1650067200
3.3,1,Apr 21 2022 01: +0,1650499200
3.721,2,Apr 23 2022 01: +0,1650672000
2.891,2,Apr 26 2022 01: +0,1650931200
3.433,3,Apr 27 2022 01: +0,1651017600
3.402,1,Apr 28 2022 01: +0,1651104000
3.15,1,May 03 2022 01: +0,1651536000
3.34,1,May 04 2022 01: +0,1651622400
2.92,1,May 08 2022 01: +0,1651968000
1.962,1,May 12 2022 01: +0,1652313600
2.784,1,May 16 2022 01: +0,1652659200
2.768,1,May 26 2022 01: +0,1653523200
2.49,1,May 27 2022 01: +0,1653609600
2.548,1,May 28 2022 01: +0,1653696000
2.539,7,May 29 2022 01: +0,1653782400
2.674,1,Jun 11 2022 01: +0,1654905600
2.606,1,Jun 14 2022 01: +0,1655164800
2.523,3,Jun 15 2022 01: +0,1655251200
2.539,1,Jun 16 2022 01: +0,1655337600
2.568,1,Jun 23 2022 01: +0,1655942400
2.568,2,Jul 01 2022 01: +0,1656633600
2.577,3,Jul 02 2022 01: +0,1656720000
2.461,1,Jul 07 2022 01: +0,1657152000
2.344,2,Jul 09 2022 01: +0,1657324800
2.167,1,Jul 24 2022 01: +0,1658620800
1.825,1,Jul 29 2022 01: +0,1659052800
2.854,1,Jul 30 2022 01: +0,1659139200
2.568,1,Aug 18 2022 01: +0,1660780800
2.647,1,Aug 19 2022 01: +0,1660867200
2.197,1,Aug 23 2022 01: +0,1661212800
2.184,1,Aug 26 2022 01: +0,1661472000
2.076,2,Aug 30 2022 01: +0,1661817600
2.254,3,Sep 02 2022 01: +0,1662076800
2.704,1,Sep 06 2022 01: +0,1662422400
2.92,4,Sep 07 2022 01: +0,1662508800
2.449,1,Sep 17 2022 01: +0,1663372800
2.233,1,Sep 27 2022 01: +0,1664236800
2.671,1,Oct 02 2022 01: +0,1664668800
2.515,1,Oct 07 2022 01: +0,1665100800
2.85,2,Oct 10 2022 01: +0,1665360000
3.005,1,Oct 17 2022 01: +0,1665964800
2.88,1,Oct 20 2022 01: +0,1666224000
3.193,1,Nov 21 2022 01: +0,1668992400
2.955,1,Nov 25 2022 01: +0,1669338000
3.122,3,Nov 26 2022 01: +0,1669424400
3.392,1,Nov 27 2022 01: +0,1669510800
3.019,1,Dec 25 2022 01: +0,1671930000
0.827,1,Dec 31 2022 01: +0,1672448400
3.277,1,Jan 18 2023 01: +0,1674003600
2.87,1,Feb 09 2023 01: +0,1675904400
2.862,1,Feb 10 2023 01: +0,1675990800
2.961,1,Feb 16 2023 12: +0,1676548800
4.02,1,Feb 26 2023 17: +0,1677430800
3.251,1,Mar 01 2023 18: +0,1677693600
4.106,1,Mar 09 2023 12: +0,1678363200
3.995,1,Mar 11 2023 16: +0,1678550400
3.991,1,Mar 12 2023 23: +0,1678662000
3.991,1,Mar 13 2023 09: +0,1678698000
3.991,1,Mar 13 2023 16: +0,1678723200
4.045,3,Mar 14 2023 04: +0,1678766400
4.043,4,Mar 14 2023 14: +0,1678802400
4.051,1,Mar 14 2023 15: +0,1678806000
3.705,1,Mar 16 2023 16: +0,1678982400
4.221,1,Mar 19 2023 06: +0,1679205600
4.095,1,Mar 21 2023 20: +0,1679428800
4.551,1,Mar 24 2023 16: +0,1679673600
3.869,1,Mar 27 2023 22: +0,1679950800
2.555,1,Mar 28 2023 23: +0,1680040800
4.673,1,Apr 03 2023 00: +0,1680476400
5.046,1,Apr 06 2023 00: +0,1680735600
5.095,1,Apr 06 2023 02: +0,1680742800
5.216,1,Apr 06 2023 17: +0,1680796800
5.243,1,Apr 06 2023 18: +0,1680800400
5.438,1,Apr 10 2023 17: +0,1681142400
4.035,1,Apr 12 2023 21: +0,1681329600
