price,quantity,date,unix timestamp
0.3,6,Aug 29 2014 01: +0,1409270400
0.238,19,Aug 30 2014 01: +0,1409356800
0.193,5,Aug 31 2014 01: +0,1409443200
0.252,16,Sep 01 2014 01: +0,1409529600
0.254,22,Sep 02 2014 01: +0,1409616000
0.323,36,Sep 03 2014 01: +0,1409702400
0.221,3,Sep 04 2014 01: +0,1409788800
0.211,13,Sep 05 2014 01: +0,1409875200
0.324,7,Sep 06 2014 01: +0,1409961600
0.216,35,Sep 07 2014 01: +0,1410048000
0.132,24,Sep 08 2014 01: +0,1410134400
0.15,32,Sep 09 2014 01: +0,1410220800
0.167,21,Sep 10 2014 01: +0,1410307200
0.123,15,Sep 11 2014 01: +0,1410393600
0.119,29,Sep 12 2014 01: +0,1410480000
0.093,52,Sep 13 2014 01: +0,1410566400
0.089,43,Sep 14 2014 01: +0,1410652800
0.098,30,Sep 15 2014 01: +0,1410739200
0.087,35,Sep 16 2014 01: +0,1410825600
0.087,44,Sep 17 2014 01: +0,1410912000
0.097,32,Sep 18 2014 01: +0,1410998400
0.088,37,Sep 19 2014 01: +0,1411084800
0.076,63,Sep 20 2014 01: +0,1411171200
0.079,33,Sep 21 2014 01: +0,1411257600
0.076,37,Sep 22 2014 01: +0,1411344000
0.075,42,Sep 23 2014 01: +0,1411430400
0.07,21,Sep 24 2014 01: +0,1411516800
0.068,42,Sep 25 2014 01: +0,1411603200
0.08,34,Sep 26 2014 01: +0,1411689600
0.067,76,Sep 27 2014 01: +0,1411776000
0.086,49,Sep 28 2014 01: +0,1411862400
0.06,26,Sep 29 2014 01: +0,1411948800
0.063,36,Sep 30 2014 01: +0,1412035200
0.072,44,Oct 01 2014 01: +0,1412121600
0.068,34,Oct 02 2014 01: +0,1412208000
0.08,37,Oct 03 2014 01: +0,1412294400
0.084,31,Oct 04 2014 01: +0,1412380800
0.089,28,Oct 05 2014 01: +0,1412467200
0.081,10,Oct 06 2014 01: +0,1412553600
0.079,29,Oct 07 2014 01: +0,1412640000
1.329,65,Oct 08 2014 01: +0,1412726400
0.218,17,Oct 09 2014 01: +0,1412812800
0.103,18,Oct 10 2014 01: +0,1412899200
0.093,12,Oct 11 2014 01: +0,1412985600
0.107,13,Oct 12 2014 01: +0,1413072000
0.088,13,Oct 13 2014 01: +0,1413158400
0.1,10,Oct 14 2014 01: +0,1413244800
0.108,18,Oct 15 2014 01: +0,1413331200
0.093,19,Oct 16 2014 01: +0,1413417600
0.083,3,Oct 17 2014 01: +0,1413504000
0.095,19,Oct 18 2014 01: +0,1413590400
0.087,15,Oct 19 2014 01: +0,1413676800
0.091,10,Oct 20 2014 01: +0,1413763200
0.087,15,Oct 21 2014 01: +0,1413849600
0.088,9,Oct 22 2014 01: +0,1413936000
0.084,3,Oct 23 2014 01: +0,1414022400
