price,quantity,date,unix timestamp
2.107,2053,Sep 22 2021 01: +0,1632268800
2.247,1395,Sep 23 2021 01: +0,1632355200
2.502,1120,Sep 24 2021 01: +0,1632441600
2.565,1106,Sep 25 2021 01: +0,1632528000
2.976,865,Sep 26 2021 01: +0,1632614400
3.092,764,Sep 27 2021 01: +0,1632700800
3.077,682,Sep 28 2021 01: +0,1632787200
2.538,1386,Sep 29 2021 01: +0,1632873600
2.527,941,Sep 30 2021 01: +0,1632960000
2.45,811,Oct 01 2021 01: +0,1633046400
2.42,746,Oct 02 2021 01: +0,1633132800
2.559,751,Oct 03 2021 01: +0,1633219200
2.578,515,Oct 04 2021 01: +0,1633305600
2.716,623,Oct 05 2021 01: +0,1633392000
2.29,1000,Oct 06 2021 01: +0,1633478400
2.245,799,Oct 07 2021 01: +0,1633564800
2.271,726,Oct 08 2021 01: +0,1633651200
2.261,628,Oct 09 2021 01: +0,1633737600
2.295,609,Oct 10 2021 01: +0,1633824000
2.277,499,Oct 11 2021 01: +0,1633910400
2.251,547,Oct 12 2021 01: +0,1633996800
2.182,815,Oct 13 2021 01: +0,1634083200
2.071,700,Oct 14 2021 01: +0,1634169600
1.94,635,Oct 15 2021 01: +0,1634256000
1.867,500,Oct 16 2021 01: +0,1634342400
1.846,528,Oct 17 2021 01: +0,1634428800
1.839,399,Oct 18 2021 01: +0,1634515200
1.874,406,Oct 19 2021 01: +0,1634601600
1.654,774,Oct 20 2021 01: +0,1634688000
1.491,562,Oct 21 2021 01: +0,1634774400
1.338,805,Oct 22 2021 01: +0,1634860800
1.367,576,Oct 23 2021 01: +0,1634947200
1.467,491,Oct 24 2021 01: +0,1635033600
1.576,387,Oct 25 2021 01: +0,1635120000
1.488,418,Oct 26 2021 01: +0,1635206400
1.552,816,Oct 27 2021 01: +0,1635292800
1.371,587,Oct 28 2021 01: +0,1635379200
1.565,569,Oct 29 2021 01: +0,1635465600
1.427,506,Oct 30 2021 01: +0,1635552000
1.593,624,Oct 31 2021 01: +0,1635638400
1.563,467,Nov 01 2021 01: +0,1635728400
1.601,457,Nov 02 2021 01: +0,1635814800
1.564,999,Nov 03 2021 01: +0,1635901200
1.71,749,Nov 04 2021 01: +0,1635987600
1.758,611,Nov 05 2021 01: +0,1636074000
1.614,470,Nov 06 2021 01: +0,1636160400
1.614,587,Nov 07 2021 01: +0,1636246800
1.67,556,Nov 08 2021 01: +0,1636333200
1.676,483,Nov 09 2021 01: +0,1636419600
1.299,968,Nov 10 2021 01: +0,1636506000
1.291,669,Nov 11 2021 01: +0,1636592400
1.34,689,Nov 12 2021 01: +0,1636678800
1.475,735,Nov 13 2021 01: +0,1636765200
1.571,473,Nov 14 2021 01: +0,1636851600
1.487,414,Nov 15 2021 01: +0,1636938000
1.52,380,Nov 16 2021 01: +0,1637024400
1.443,676,Nov 17 2021 01: +0,1637110800
1.508,667,Nov 18 2021 01: +0,1637197200
1.49,564,Nov 19 2021 01: +0,1637283600
1.447,481,Nov 20 2021 01: +0,1637370000
1.447,502,Nov 21 2021 01: +0,1637456400
1.436,436,Nov 22 2021 01: +0,1637542800
1.545,365,Nov 23 2021 01: +0,1637629200
1.389,560,Nov 24 2021 01: +0,1637715600
1.374,652,Nov 25 2021 01: +0,1637802000
1.54,448,Nov 26 2021 01: +0,1637888400
1.379,588,Nov 27 2021 01: +0,1637974800
1.356,416,Nov 28 2021 01: +0,1638061200
1.39,540,Nov 29 2021 01: +0,1638147600
1.399,541,Nov 30 2021 01: +0,1638234000
1.34,825,Dec 01 2021 01: +0,1638320400
1.413,656,Dec 02 2021 01: +0,1638406800
1.352,523,Dec 03 2021 01: +0,1638493200
1.357,503,Dec 04 2021 01: +0,1638579600
1.413,538,Dec 05 2021 01: +0,1638666000
1.55,450,Dec 06 2021 01: +0,1638752400
1.622,496,Dec 07 2021 01: +0,1638838800
1.613,782,Dec 08 2021 01: +0,1638925200
1.641,513,Dec 09 2021 01: +0,1639011600
1.495,475,Dec 10 2021 01: +0,1639098000
1.546,453,Dec 11 2021 01: +0,1639184400
1.508,436,Dec 12 2021 01: +0,1639270800
1.554,421,Dec 13 2021 01: +0,1639357200
1.714,358,Dec 14 2021 01: +0,1639443600
1.481,834,Dec 15 2021 01: +0,1639530000
1.601,497,Dec 16 2021 01: +0,1639616400
1.452,579,Dec 17 2021 01: +0,1639702800
1.373,453,Dec 18 2021 01: +0,1639789200
1.587,403,Dec 19 2021 01: +0,1639875600
1.442,321,Dec 20 2021 01: +0,1639962000
1.465,438,Dec 21 2021 01: +0,1640048400
1.47,731,Dec 22 2021 01: +0,1640134800
1.413,535,Dec 23 2021 01: +0,1640221200
1.471,483,Dec 24 2021 01: +0,1640307600
1.519,470,Dec 25 2021 01: +0,1640394000
1.564,421,Dec 26 2021 01: +0,1640480400
1.513,473,Dec 27 2021 01: +0,1640566800
1.55,575,Dec 28 2021 01: +0,1640653200
1.494,759,Dec 29 2021 01: +0,1640739600
1.454,607,Dec 30 2021 01: +0,1640826000
1.474,522,Dec 31 2021 01: +0,1640912400
1.496,494,Jan 01 2022 01: +0,1640998800
1.517,632,Jan 02 2022 01: +0,1641085200
1.535,625,Jan 03 2022 01: +0,1641171600
1.555,584,Jan 04 2022 01: +0,1641258000
1.476,946,Jan 05 2022 01: +0,1641344400
