price,quantity,date,unix timestamp
5.668,2344,Jul 02 2014 01: +0,1404259200
5.602,781,Jul 03 2014 01: +0,1404345600
5.58,486,Jul 04 2014 01: +0,1404432000
5.596,373,Jul 05 2014 01: +0,1404518400
5.558,270,Jul 06 2014 01: +0,1404604800
5.553,215,Jul 07 2014 01: +0,1404691200
5.581,212,Jul 08 2014 01: +0,1404777600
5.605,173,Jul 09 2014 01: +0,1404864000
5.525,127,Jul 10 2014 01: +0,1404950400
5.556,159,Jul 11 2014 01: +0,1405036800
5.543,140,Jul 12 2014 01: +0,1405123200
5.494,117,Jul 13 2014 01: +0,1405209600
5.522,87,Jul 14 2014 01: +0,1405296000
5.564,96,Jul 15 2014 01: +0,1405382400
5.547,82,Jul 16 2014 01: +0,1405468800
5.45,76,Jul 17 2014 01: +0,1405555200
5.579,73,Jul 18 2014 01: +0,1405641600
5.588,65,Jul 19 2014 01: +0,1405728000
5.463,56,Jul 20 2014 01: +0,1405814400
5.463,57,Jul 21 2014 01: +0,1405900800
5.484,45,Jul 22 2014 01: +0,1405987200
5.693,58,Jul 23 2014 01: +0,1406073600
5.553,32,Jul 24 2014 01: +0,1406160000
5.559,54,Jul 25 2014 01: +0,1406246400
5.668,46,Jul 26 2014 01: +0,1406332800
5.578,64,Jul 27 2014 01: +0,1406419200
5.61,63,Jul 28 2014 01: +0,1406505600
5.628,71,Jul 29 2014 01: +0,1406592000
5.507,69,Jul 30 2014 01: +0,1406678400
5.624,55,Jul 31 2014 01: +0,1406764800
5.572,67,Aug 01 2014 01: +0,1406851200
5.577,60,Aug 02 2014 01: +0,1406937600
5.534,61,Aug 03 2014 01: +0,1407024000
5.6,50,Aug 04 2014 01: +0,1407110400
5.506,66,Aug 05 2014 01: +0,1407196800
5.477,81,Aug 06 2014 01: +0,1407283200
5.47,52,Aug 07 2014 01: +0,1407369600
5.612,76,Aug 08 2014 01: +0,1407456000
5.503,68,Aug 09 2014 01: +0,1407542400
5.543,72,Aug 10 2014 01: +0,1407628800
5.555,64,Aug 11 2014 01: +0,1407715200
5.504,76,Aug 12 2014 01: +0,1407801600
5.567,77,Aug 13 2014 01: +0,1407888000
5.548,71,Aug 14 2014 01: +0,1407974400
3.372,388,Aug 15 2014 01: +0,1408060800
2.779,331,Aug 16 2014 01: +0,1408147200
2.732,379,Aug 17 2014 01: +0,1408233600
2.773,273,Aug 18 2014 01: +0,1408320000
2.783,251,Aug 19 2014 01: +0,1408406400
2.775,206,Aug 20 2014 01: +0,1408492800
2.761,198,Aug 21 2014 01: +0,1408579200
3.592,382,Aug 22 2014 01: +0,1408665600
4.188,335,Aug 23 2014 01: +0,1408752000
4.253,292,Aug 24 2014 01: +0,1408838400
4.204,309,Aug 25 2014 01: +0,1408924800
4.398,279,Aug 26 2014 01: +0,1409011200
4.645,201,Aug 27 2014 01: +0,1409097600
