price,quantity,date,unix timestamp
3.102,53,Dec 03 2020 01: +0,1606957200
2.768,841,Dec 04 2020 01: +0,1607043600
2.695,584,Dec 05 2020 01: +0,1607130000
2.914,404,Dec 06 2020 01: +0,1607216400
2.448,257,Dec 07 2020 01: +0,1607302800
2.536,253,Dec 08 2020 01: +0,1607389200
2.105,247,Dec 09 2020 01: +0,1607475600
2.224,216,Dec 10 2020 01: +0,1607562000
2.407,254,Dec 11 2020 01: +0,1607648400
3.05,268,Dec 12 2020 01: +0,1607734800
2.588,153,Dec 13 2020 01: +0,1607821200
2.38,138,Dec 14 2020 01: +0,1607907600
2.278,143,Dec 15 2020 01: +0,1607994000
2.192,188,Dec 16 2020 01: +0,1608080400
2.415,254,Dec 17 2020 01: +0,1608166800
2.703,157,Dec 18 2020 01: +0,1608253200
2.813,139,Dec 19 2020 01: +0,1608339600
2.645,143,Dec 20 2020 01: +0,1608426000
2.517,104,Dec 21 2020 01: +0,1608512400
2.373,105,Dec 22 2020 01: +0,1608598800
2.949,179,Dec 23 2020 01: +0,1608685200
2.216,127,Dec 24 2020 01: +0,1608771600
2.259,129,Dec 25 2020 01: +0,1608858000
2.177,111,Dec 26 2020 01: +0,1608944400
2.271,89,Dec 27 2020 01: +0,1609030800
2.093,120,Dec 28 2020 01: +0,1609117200
2.137,128,Dec 29 2020 01: +0,1609203600
2.105,148,Dec 30 2020 01: +0,1609290000
2.015,119,Dec 31 2020 01: +0,1609376400
2.242,140,Jan 01 2021 01: +0,1609462800
2.233,121,Jan 02 2021 01: +0,1609549200
2.254,149,Jan 03 2021 01: +0,1609635600
2.355,93,Jan 04 2021 01: +0,1609722000
2.466,119,Jan 05 2021 01: +0,1609808400
2.425,121,Jan 06 2021 01: +0,1609894800
2.471,99,Jan 07 2021 01: +0,1609981200
2.391,111,Jan 08 2021 01: +0,1610067600
2.343,115,Jan 09 2021 01: +0,1610154000
2.43,98,Jan 10 2021 01: +0,1610240400
2.359,91,Jan 11 2021 01: +0,1610326800
2.353,88,Jan 12 2021 01: +0,1610413200
2.346,175,Jan 13 2021 01: +0,1610499600
2.322,97,Jan 14 2021 01: +0,1610586000
2.349,64,Jan 15 2021 01: +0,1610672400
2.385,100,Jan 16 2021 01: +0,1610758800
2.413,107,Jan 17 2021 01: +0,1610845200
2.366,77,Jan 18 2021 01: +0,1610931600
2.239,98,Jan 19 2021 01: +0,1611018000
2.399,105,Jan 20 2021 01: +0,1611104400
2.248,107,Jan 21 2021 01: +0,1611190800
2.174,102,Jan 22 2021 01: +0,1611277200
2.254,105,Jan 23 2021 01: +0,1611363600
2.28,105,Jan 24 2021 01: +0,1611450000
2.312,82,Jan 25 2021 01: +0,1611536400
2.208,110,Jan 26 2021 01: +0,1611622800
2.205,132,Jan 27 2021 01: +0,1611709200
2.131,197,Jan 28 2021 01: +0,1611795600
2.153,144,Jan 29 2021 01: +0,1611882000
2.126,92,Jan 30 2021 01: +0,1611968400
2.052,93,Jan 31 2021 01: +0,1612054800
2.035,95,Feb 01 2021 01: +0,1612141200
1.962,107,Feb 02 2021 01: +0,1612227600
2.022,133,Feb 03 2021 01: +0,1612314000
2.05,100,Feb 04 2021 01: +0,1612400400
2.006,109,Feb 05 2021 01: +0,1612486800
2.006,81,Feb 06 2021 01: +0,1612573200
2.02,96,Feb 07 2021 01: +0,1612659600
2.038,84,Feb 08 2021 01: +0,1612746000
2.03,80,Feb 09 2021 01: +0,1612832400
1.947,134,Feb 10 2021 01: +0,1612918800
1.962,124,Feb 11 2021 01: +0,1613005200
1.947,110,Feb 12 2021 01: +0,1613091600
1.989,219,Feb 13 2021 01: +0,1613178000
1.93,86,Feb 14 2021 01: +0,1613264400
1.896,95,Feb 15 2021 01: +0,1613350800
1.918,102,Feb 16 2021 01: +0,1613437200
1.934,103,Feb 17 2021 01: +0,1613523600
1.895,90,Feb 18 2021 01: +0,1613610000
1.924,126,Feb 19 2021 01: +0,1613696400
2.089,117,Feb 20 2021 01: +0,1613782800
2.009,67,Feb 21 2021 01: +0,1613869200
2.022,89,Feb 22 2021 01: +0,1613955600
1.996,64,Feb 23 2021 01: +0,1614042000
2.003,112,Feb 24 2021 01: +0,1614128400
1.986,104,Feb 25 2021 01: +0,1614214800
2.103,103,Feb 26 2021 01: +0,1614301200
1.963,103,Feb 27 2021 01: +0,1614387600
1.946,104,Feb 28 2021 01: +0,1614474000
1.957,87,Mar 01 2021 01: +0,1614560400
1.962,83,Mar 02 2021 01: +0,1614646800
1.991,141,Mar 03 2021 01: +0,1614733200
2.079,121,Mar 04 2021 01: +0,1614819600
2.216,94,Mar 05 2021 01: +0,1614906000
2.439,125,Mar 06 2021 01: +0,1614992400
2.664,132,Mar 07 2021 01: +0,1615078800
2.719,96,Mar 08 2021 01: +0,1615165200
2.666,117,Mar 09 2021 01: +0,1615251600
3.126,227,Mar 10 2021 01: +0,1615338000
3.148,126,Mar 11 2021 01: +0,1615424400
3.073,94,Mar 12 2021 01: +0,1615510800
2.783,79,Mar 13 2021 01: +0,1615597200
2.779,94,Mar 14 2021 01: +0,1615683600
2.691,67,Mar 15 2021 01: +0,1615770000
2.643,96,Mar 16 2021 01: +0,1615856400
2.692,159,Mar 17 2021 01: +0,1615942800
2.799,139,Mar 18 2021 01: +0,1616029200
2.894,148,Mar 19 2021 01: +0,1616115600
2.701,120,Mar 20 2021 01: +0,1616202000
2.76,112,Mar 21 2021 01: +0,1616288400
2.91,124,Mar 22 2021 01: +0,1616374800
3.249,148,Mar 23 2021 01: +0,1616461200
3.787,100,Mar 24 2021 01: +0,1616547600
3.695,106,Mar 25 2021 01: +0,1616634000
3.684,78,Mar 26 2021 01: +0,1616720400
3.434,80,Mar 27 2021 01: +0,1616806800
3.213,83,Mar 28 2021 01: +0,1616893200
3.283,100,Mar 29 2021 01: +0,1616976000
3.221,84,Mar 30 2021 01: +0,1617062400
3.112,75,Mar 31 2021 01: +0,1617148800
3.183,64,Apr 01 2021 01: +0,1617235200
3.295,64,Apr 02 2021 01: +0,1617321600
3.396,95,Apr 03 2021 01: +0,1617408000
3.403,64,Apr 04 2021 01: +0,1617494400
3.391,85,Apr 05 2021 01: +0,1617580800
3.696,94,Apr 06 2021 01: +0,1617667200
3.255,115,Apr 07 2021 01: +0,1617753600
2.99,122,Apr 08 2021 01: +0,1617840000
2.929,164,Apr 09 2021 01: +0,1617926400
2.78,85,Apr 10 2021 01: +0,1618012800
2.861,100,Apr 11 2021 01: +0,1618099200
2.986,78,Apr 12 2021 01: +0,1618185600
3.066,94,Apr 13 2021 01: +0,1618272000
3.112,22,Apr 14 2021 01: +0,1618358400
3.159,68,Apr 15 2021 01: +0,1618444800
3.291,62,Apr 16 2021 01: +0,1618531200
3.211,103,Apr 17 2021 01: +0,1618617600
3.087,78,Apr 18 2021 01: +0,1618704000
3.156,54,Apr 19 2021 01: +0,1618790400
3.095,81,Apr 20 2021 01: +0,1618876800
3.252,72,Apr 21 2021 01: +0,1618963200
3.298,62,Apr 22 2021 01: +0,1619049600
3.521,63,Apr 23 2021 01: +0,1619136000
3.709,90,Apr 24 2021 01: +0,1619222400
3.746,71,Apr 25 2021 01: +0,1619308800
3.792,53,Apr 26 2021 01: +0,1619395200
3.864,104,Apr 27 2021 01: +0,1619481600
4.053,147,Apr 28 2021 01: +0,1619568000
4.611,108,Apr 29 2021 01: +0,1619654400
5.042,102,Apr 30 2021 01: +0,1619740800
5.012,58,May 01 2021 01: +0,1619827200
4.698,68,May 02 2021 01: +0,1619913600
4.537,63,May 03 2021 01: +0,1620000000
5.064,82,May 04 2021 01: +0,1620086400
4.557,62,May 05 2021 01: +0,1620172800
4.27,74,May 06 2021 01: +0,1620259200
4.225,49,May 07 2021 01: +0,1620345600
4.257,35,May 08 2021 01: +0,1620432000
4.026,39,May 09 2021 01: +0,1620518400
4.211,54,May 10 2021 01: +0,1620604800
4.055,51,May 11 2021 01: +0,1620691200
4.277,50,May 12 2021 01: +0,1620777600
3.973,33,May 13 2021 01: +0,1620864000
