price,quantity,date,unix timestamp
3.077,36,Dec 03 2020 01: +0,1606957200
2.376,571,Dec 04 2020 01: +0,1607043600
2.162,283,Dec 05 2020 01: +0,1607130000
2.652,220,Dec 06 2020 01: +0,1607216400
2.727,227,Dec 07 2020 01: +0,1607302800
2.739,137,Dec 08 2020 01: +0,1607389200
2.642,172,Dec 09 2020 01: +0,1607475600
2.709,144,Dec 10 2020 01: +0,1607562000
3.118,150,Dec 11 2020 01: +0,1607648400
3.693,165,Dec 12 2020 01: +0,1607734800
3.802,151,Dec 13 2020 01: +0,1607821200
3.881,116,Dec 14 2020 01: +0,1607907600
3.999,113,Dec 15 2020 01: +0,1607994000
4.064,170,Dec 16 2020 01: +0,1608080400
4.337,123,Dec 17 2020 01: +0,1608166800
4.736,122,Dec 18 2020 01: +0,1608253200
4.785,138,Dec 19 2020 01: +0,1608339600
4.693,131,Dec 20 2020 01: +0,1608426000
4.578,88,Dec 21 2020 01: +0,1608512400
4.284,94,Dec 22 2020 01: +0,1608598800
3.88,138,Dec 23 2020 01: +0,1608685200
3.527,104,Dec 24 2020 01: +0,1608771600
3.238,98,Dec 25 2020 01: +0,1608858000
3.188,133,Dec 26 2020 01: +0,1608944400
3.251,61,Dec 27 2020 01: +0,1609030800
3.261,102,Dec 28 2020 01: +0,1609117200
3.338,106,Dec 29 2020 01: +0,1609203600
3.213,119,Dec 30 2020 01: +0,1609290000
3.48,174,Dec 31 2020 01: +0,1609376400
4.042,113,Jan 01 2021 01: +0,1609462800
4.051,113,Jan 02 2021 01: +0,1609549200
3.914,128,Jan 03 2021 01: +0,1609635600
3.899,105,Jan 04 2021 01: +0,1609722000
4.341,110,Jan 05 2021 01: +0,1609808400
3.929,122,Jan 06 2021 01: +0,1609894800
4.082,113,Jan 07 2021 01: +0,1609981200
4.026,110,Jan 08 2021 01: +0,1610067600
4.02,120,Jan 09 2021 01: +0,1610154000
4.316,105,Jan 10 2021 01: +0,1610240400
4.219,77,Jan 11 2021 01: +0,1610326800
4.322,97,Jan 12 2021 01: +0,1610413200
4.15,113,Jan 13 2021 01: +0,1610499600
4.214,125,Jan 14 2021 01: +0,1610586000
4.207,121,Jan 15 2021 01: +0,1610672400
4.286,102,Jan 16 2021 01: +0,1610758800
4.16,109,Jan 17 2021 01: +0,1610845200
4.176,123,Jan 18 2021 01: +0,1610931600
4.271,120,Jan 19 2021 01: +0,1611018000
4.122,99,Jan 20 2021 01: +0,1611104400
3.97,122,Jan 21 2021 01: +0,1611190800
3.886,105,Jan 22 2021 01: +0,1611277200
3.943,114,Jan 23 2021 01: +0,1611363600
3.922,92,Jan 24 2021 01: +0,1611450000
3.863,79,Jan 25 2021 01: +0,1611536400
3.833,73,Jan 26 2021 01: +0,1611622800
3.702,131,Jan 27 2021 01: +0,1611709200
3.531,159,Jan 28 2021 01: +0,1611795600
3.477,112,Jan 29 2021 01: +0,1611882000
3.51,92,Jan 30 2021 01: +0,1611968400
3.454,112,Jan 31 2021 01: +0,1612054800
3.576,108,Feb 01 2021 01: +0,1612141200
3.574,102,Feb 02 2021 01: +0,1612227600
3.565,134,Feb 03 2021 01: +0,1612314000
3.687,101,Feb 04 2021 01: +0,1612400400
3.817,119,Feb 05 2021 01: +0,1612486800
3.851,105,Feb 06 2021 01: +0,1612573200
3.805,117,Feb 07 2021 01: +0,1612659600
3.857,101,Feb 08 2021 01: +0,1612746000
3.942,85,Feb 09 2021 01: +0,1612832400
3.764,107,Feb 10 2021 01: +0,1612918800
3.543,161,Feb 11 2021 01: +0,1613005200
3.618,121,Feb 12 2021 01: +0,1613091600
3.572,119,Feb 13 2021 01: +0,1613178000
3.755,122,Feb 14 2021 01: +0,1613264400
3.53,93,Feb 15 2021 01: +0,1613350800
3.571,78,Feb 16 2021 01: +0,1613437200
3.474,125,Feb 17 2021 01: +0,1613523600
3.576,104,Feb 18 2021 01: +0,1613610000
3.66,122,Feb 19 2021 01: +0,1613696400
3.672,132,Feb 20 2021 01: +0,1613782800
