price,quantity,date,unix timestamp
10.127,96,Oct 18 2019 01: +0,1571356800
10.25,544,Oct 19 2019 01: +0,1571443200
7.636,500,Oct 20 2019 01: +0,1571529600
7.02,341,Oct 21 2019 01: +0,1571616000
6.388,373,Oct 22 2019 01: +0,1571702400
5.765,358,Oct 23 2019 01: +0,1571788800
5.493,250,Oct 24 2019 01: +0,1571875200
6.631,151,Oct 25 2019 01: +0,1571961600
7.835,185,Oct 26 2019 01: +0,1572048000
8.039,149,Oct 27 2019 01: +0,1572134400
7.572,127,Oct 28 2019 01: +0,1572224400
7.566,173,Oct 29 2019 01: +0,1572310800
7.784,142,Oct 30 2019 01: +0,1572397200
7.916,140,Oct 31 2019 01: +0,1572483600
8.905,131,Nov 01 2019 01: +0,1572570000
9.319,150,Nov 02 2019 01: +0,1572656400
9.498,132,Nov 03 2019 01: +0,1572742800
10.076,125,Nov 04 2019 01: +0,1572829200
10.094,142,Nov 05 2019 01: +0,1572915600
9.514,120,Nov 06 2019 01: +0,1573002000
9.212,144,Nov 07 2019 01: +0,1573088400
8.682,180,Nov 08 2019 01: +0,1573174800
7.809,163,Nov 09 2019 01: +0,1573261200
6.529,165,Nov 10 2019 01: +0,1573347600
5.601,159,Nov 11 2019 01: +0,1573434000
5.534,137,Nov 12 2019 01: +0,1573520400
5.701,120,Nov 13 2019 01: +0,1573606800
5.639,128,Nov 14 2019 01: +0,1573693200
5.788,177,Nov 15 2019 01: +0,1573779600
6.0,143,Nov 16 2019 01: +0,1573866000
6.388,158,Nov 17 2019 01: +0,1573952400
6.137,134,Nov 18 2019 01: +0,1574038800
4.699,246,Nov 19 2019 01: +0,1574125200
4.212,158,Nov 20 2019 01: +0,1574211600
4.419,164,Nov 21 2019 01: +0,1574298000
4.895,159,Nov 22 2019 01: +0,1574384400
4.763,155,Nov 23 2019 01: +0,1574470800
4.49,121,Nov 24 2019 01: +0,1574557200
4.429,139,Nov 25 2019 01: +0,1574643600
4.373,117,Nov 26 2019 01: +0,1574730000
4.409,143,Nov 27 2019 01: +0,1574816400
4.436,137,Nov 28 2019 01: +0,1574902800
4.424,135,Nov 29 2019 01: +0,1574989200
4.564,172,Nov 30 2019 01: +0,1575075600
4.796,159,Dec 01 2019 01: +0,1575162000
4.842,133,Dec 02 2019 01: +0,1575248400
5.023,91,Dec 03 2019 01: +0,1575334800
4.937,159,Dec 04 2019 01: +0,1575421200
5.14,152,Dec 05 2019 01: +0,1575507600
5.125,139,Dec 06 2019 01: +0,1575594000
5.202,122,Dec 07 2019 01: +0,1575680400
5.339,134,Dec 08 2019 01: +0,1575766800
5.249,145,Dec 09 2019 01: +0,1575853200
5.272,129,Dec 10 2019 01: +0,1575939600
5.322,118,Dec 11 2019 01: +0,1576026000
5.317,140,Dec 12 2019 01: +0,1576112400
5.347,134,Dec 13 2019 01: +0,1576198800
5.4,138,Dec 14 2019 01: +0,1576285200
5.121,154,Dec 15 2019 01: +0,1576371600
5.219,133,Dec 16 2019 01: +0,1576458000
5.141,97,Dec 17 2019 01: +0,1576544400
5.139,127,Dec 18 2019 01: +0,1576630800
5.038,108,Dec 19 2019 01: +0,1576717200
5.162,119,Dec 20 2019 01: +0,1576803600
5.095,126,Dec 21 2019 01: +0,1576890000
5.198,115,Dec 22 2019 01: +0,1576976400
5.063,143,Dec 23 2019 01: +0,1577062800
5.127,187,Dec 24 2019 01: +0,1577149200
5.458,162,Dec 25 2019 01: +0,1577235600
5.185,106,Dec 26 2019 01: +0,1577322000
5.254,179,Dec 27 2019 01: +0,1577408400
5.306,133,Dec 28 2019 01: +0,1577494800
5.242,175,Dec 29 2019 01: +0,1577581200
5.232,133,Dec 30 2019 01: +0,1577667600
5.229,145,Dec 31 2019 01: +0,1577754000
5.155,154,Jan 01 2020 01: +0,1577840400
5.195,195,Jan 02 2020 01: +0,1577926800
5.18,149,Jan 03 2020 01: +0,1578013200
5.304,160,Jan 04 2020 01: +0,1578099600
5.331,177,Jan 05 2020 01: +0,1578186000
5.344,150,Jan 06 2020 01: +0,1578272400
5.211,112,Jan 07 2020 01: +0,1578358800
5.343,141,Jan 08 2020 01: +0,1578445200
5.272,156,Jan 09 2020 01: +0,1578531600
5.288,193,Jan 10 2020 01: +0,1578618000
5.377,177,Jan 11 2020 01: +0,1578704400
5.178,160,Jan 12 2020 01: +0,1578790800
5.103,146,Jan 13 2020 01: +0,1578877200
5.107,134,Jan 14 2020 01: +0,1578963600
5.046,141,Jan 15 2020 01: +0,1579050000
4.968,189,Jan 16 2020 01: +0,1579136400
5.085,189,Jan 17 2020 01: +0,1579222800
5.074,180,Jan 18 2020 01: +0,1579309200
5.111,164,Jan 19 2020 01: +0,1579395600
5.154,146,Jan 20 2020 01: +0,1579482000
5.171,131,Jan 21 2020 01: +0,1579568400
5.123,125,Jan 22 2020 01: +0,1579654800
5.033,150,Jan 23 2020 01: +0,1579741200
5.085,176,Jan 24 2020 01: +0,1579827600
4.968,188,Jan 25 2020 01: +0,1579914000
4.888,146,Jan 26 2020 01: +0,1580000400
4.813,130,Jan 27 2020 01: +0,1580086800
4.979,158,Jan 28 2020 01: +0,1580173200
5.065,177,Jan 29 2020 01: +0,1580259600
5.173,141,Jan 30 2020 01: +0,1580346000
5.352,166,Jan 31 2020 01: +0,1580432400
5.196,187,Feb 01 2020 01: +0,1580518800
5.257,184,Feb 02 2020 01: +0,1580605200
