price,quantity,date,unix timestamp
0.29,2490,Sep 22 2021 01: +0,1632268800
0.329,1749,Sep 23 2021 01: +0,1632355200
0.387,1361,Sep 24 2021 01: +0,1632441600
0.425,1327,Sep 25 2021 01: +0,1632528000
0.445,871,Sep 26 2021 01: +0,1632614400
0.416,905,Sep 27 2021 01: +0,1632700800
0.404,749,Sep 28 2021 01: +0,1632787200
0.376,1102,Sep 29 2021 01: +0,1632873600
0.398,864,Sep 30 2021 01: +0,1632960000
0.333,748,Oct 01 2021 01: +0,1633046400
0.32,716,Oct 02 2021 01: +0,1633132800
0.319,641,Oct 03 2021 01: +0,1633219200
0.343,570,Oct 04 2021 01: +0,1633305600
0.384,622,Oct 05 2021 01: +0,1633392000
0.368,785,Oct 06 2021 01: +0,1633478400
0.351,632,Oct 07 2021 01: +0,1633564800
0.347,533,Oct 08 2021 01: +0,1633651200
0.329,536,Oct 09 2021 01: +0,1633737600
0.324,478,Oct 10 2021 01: +0,1633824000
0.312,372,Oct 11 2021 01: +0,1633910400
0.297,498,Oct 12 2021 01: +0,1633996800
0.29,524,Oct 13 2021 01: +0,1634083200
0.253,430,Oct 14 2021 01: +0,1634169600
0.233,360,Oct 15 2021 01: +0,1634256000
0.242,597,Oct 16 2021 01: +0,1634342400
0.24,308,Oct 17 2021 01: +0,1634428800
0.24,305,Oct 18 2021 01: +0,1634515200
0.254,361,Oct 19 2021 01: +0,1634601600
0.251,501,Oct 20 2021 01: +0,1634688000
0.249,520,Oct 21 2021 01: +0,1634774400
0.242,663,Oct 22 2021 01: +0,1634860800
0.226,382,Oct 23 2021 01: +0,1634947200
0.224,386,Oct 24 2021 01: +0,1635033600
0.224,280,Oct 25 2021 01: +0,1635120000
0.223,362,Oct 26 2021 01: +0,1635206400
0.224,480,Oct 27 2021 01: +0,1635292800
0.223,402,Oct 28 2021 01: +0,1635379200
0.234,466,Oct 29 2021 01: +0,1635465600
0.241,448,Oct 30 2021 01: +0,1635552000
0.242,312,Oct 31 2021 01: +0,1635638400
0.247,287,Nov 01 2021 01: +0,1635728400
0.254,311,Nov 02 2021 01: +0,1635814800
0.254,512,Nov 03 2021 01: +0,1635901200
0.265,443,Nov 04 2021 01: +0,1635987600
0.281,382,Nov 05 2021 01: +0,1636074000
0.283,407,Nov 06 2021 01: +0,1636160400
0.284,499,Nov 07 2021 01: +0,1636246800
0.27,320,Nov 08 2021 01: +0,1636333200
0.271,414,Nov 09 2021 01: +0,1636419600
0.236,689,Nov 10 2021 01: +0,1636506000
0.228,476,Nov 11 2021 01: +0,1636592400
0.228,432,Nov 12 2021 01: +0,1636678800
0.229,399,Nov 13 2021 01: +0,1636765200
0.24,298,Nov 14 2021 01: +0,1636851600
