price,quantity,date,unix timestamp
0.501,13,Aug 28 2014 01: +0,1409184000
0.356,56,Aug 29 2014 01: +0,1409270400
0.214,102,Aug 30 2014 01: +0,1409356800
0.206,107,Aug 31 2014 01: +0,1409443200
0.204,79,Sep 01 2014 01: +0,1409529600
0.173,96,Sep 02 2014 01: +0,1409616000
0.154,103,Sep 03 2014 01: +0,1409702400
0.154,91,Sep 04 2014 01: +0,1409788800
0.147,118,Sep 05 2014 01: +0,1409875200
0.138,157,Sep 06 2014 01: +0,1409961600
0.133,160,Sep 07 2014 01: +0,1410048000
0.137,95,Sep 08 2014 01: +0,1410134400
0.124,114,Sep 09 2014 01: +0,1410220800
0.123,158,Sep 10 2014 01: +0,1410307200
0.1,169,Sep 11 2014 01: +0,1410393600
0.079,242,Sep 12 2014 01: +0,1410480000
0.076,308,Sep 13 2014 01: +0,1410566400
0.077,237,Sep 14 2014 01: +0,1410652800
0.07,243,Sep 15 2014 01: +0,1410739200
0.071,231,Sep 16 2014 01: +0,1410825600
0.065,213,Sep 17 2014 01: +0,1410912000
0.068,279,Sep 18 2014 01: +0,1410998400
0.065,246,Sep 19 2014 01: +0,1411084800
0.065,397,Sep 20 2014 01: +0,1411171200
0.063,335,Sep 21 2014 01: +0,1411257600
0.064,242,Sep 22 2014 01: +0,1411344000
0.058,252,Sep 23 2014 01: +0,1411430400
0.062,246,Sep 24 2014 01: +0,1411516800
0.065,287,Sep 25 2014 01: +0,1411603200
0.059,272,Sep 26 2014 01: +0,1411689600
0.057,389,Sep 27 2014 01: +0,1411776000
0.06,353,Sep 28 2014 01: +0,1411862400
0.06,257,Sep 29 2014 01: +0,1411948800
0.052,213,Sep 30 2014 01: +0,1412035200
0.055,329,Oct 01 2014 01: +0,1412121600
0.055,322,Oct 02 2014 01: +0,1412208000
0.059,256,Oct 03 2014 01: +0,1412294400
0.061,211,Oct 04 2014 01: +0,1412380800
0.063,195,Oct 05 2014 01: +0,1412467200
0.063,148,Oct 06 2014 01: +0,1412553600
0.066,201,Oct 07 2014 01: +0,1412640000
0.067,144,Oct 08 2014 01: +0,1412726400
0.068,116,Oct 09 2014 01: +0,1412812800
0.062,123,Oct 10 2014 01: +0,1412899200
0.07,162,Oct 11 2014 01: +0,1412985600
0.069,148,Oct 12 2014 01: +0,1413072000
0.062,80,Oct 13 2014 01: +0,1413158400
0.069,144,Oct 14 2014 01: +0,1413244800
0.073,88,Oct 15 2014 01: +0,1413331200
0.068,100,Oct 16 2014 01: +0,1413417600
0.069,113,Oct 17 2014 01: +0,1413504000
0.072,136,Oct 18 2014 01: +0,1413590400
0.066,132,Oct 19 2014 01: +0,1413676800
0.067,87,Oct 20 2014 01: +0,1413763200
0.07,68,Oct 21 2014 01: +0,1413849600
0.069,98,Oct 22 2014 01: +0,1413936000
0.069,100,Oct 23 2014 01: +0,1414022400
0.071,109,Oct 24 2014 01: +0,1414108800
0.074,122,Oct 25 2014 01: +0,1414195200
0.07,131,Oct 26 2014 01: +0,1414281600
0.076,112,Oct 27 2014 01: +0,1414371600
0.082,77,Oct 28 2014 01: +0,1414458000
0.079,71,Oct 29 2014 01: +0,1414544400
0.092,98,Oct 30 2014 01: +0,1414630800
0.153,108,Oct 31 2014 01: +0,1414717200
0.078,100,Nov 01 2014 01: +0,1414803600
0.078,76,Nov 02 2014 01: +0,1414890000
0.08,76,Nov 03 2014 01: +0,1414976400
0.095,87,Nov 04 2014 01: +0,1415062800
0.103,64,Nov 05 2014 01: +0,1415149200
0.091,67,Nov 06 2014 01: +0,1415235600
0.092,66,Nov 07 2014 01: +0,1415322000
0.09,79,Nov 08 2014 01: +0,1415408400
0.089,91,Nov 09 2014 01: +0,1415494800
0.101,48,Nov 10 2014 01: +0,1415581200
0.09,63,Nov 11 2014 01: +0,1415667600
0.061,105,Nov 12 2014 01: +0,1415754000
0.045,94,Nov 13 2014 01: +0,1415840400
0.07,80,Nov 14 2014 01: +0,1415926800
0.063,92,Nov 15 2014 01: +0,1416013200
