price,quantity,date,unix timestamp
19.188,3,Apr 28 2016 01: +0,1461801600
14.902,4,Apr 29 2016 01: +0,1461888000
15.316,6,Apr 30 2016 01: +0,1461974400
13.495,2,May 01 2016 01: +0,1462060800
13.483,1,May 02 2016 01: +0,1462147200
11.198,3,May 03 2016 01: +0,1462233600
10.336,3,May 04 2016 01: +0,1462320000
9.622,3,May 05 2016 01: +0,1462406400
9.934,6,May 06 2016 01: +0,1462492800
10.906,5,May 07 2016 01: +0,1462579200
12.201,1,May 08 2016 01: +0,1462665600
10.493,2,May 09 2016 01: +0,1462752000
9.87,4,May 11 2016 01: +0,1462924800
8.119,2,May 12 2016 01: +0,1463011200
7.058,1,May 13 2016 01: +0,1463097600
8.022,5,May 14 2016 01: +0,1463184000
7.123,4,May 15 2016 01: +0,1463270400
6.536,3,May 16 2016 01: +0,1463356800
5.979,8,May 17 2016 01: +0,1463443200
4.445,4,May 18 2016 01: +0,1463529600
5.79,2,May 19 2016 01: +0,1463616000
6.343,4,May 20 2016 01: +0,1463702400
6.618,4,May 21 2016 01: +0,1463788800
6.583,6,May 22 2016 01: +0,1463875200
6.655,5,May 23 2016 01: +0,1463961600
8.239,1,May 24 2016 01: +0,1464048000
5.447,2,May 27 2016 01: +0,1464307200
7.613,6,May 28 2016 01: +0,1464393600
4.334,1,May 29 2016 01: +0,1464480000
5.091,7,May 30 2016 01: +0,1464566400
6.207,2,May 31 2016 01: +0,1464652800
6.03,14,Jun 01 2016 01: +0,1464739200
6.388,8,Jun 02 2016 01: +0,1464825600
6.254,8,Jun 03 2016 01: +0,1464912000
6.348,3,Jun 04 2016 01: +0,1464998400
5.584,2,Jun 05 2016 01: +0,1465084800
5.017,3,Jun 06 2016 01: +0,1465171200
5.836,5,Jun 07 2016 01: +0,1465257600
5.337,7,Jun 08 2016 01: +0,1465344000
5.417,11,Jun 09 2016 01: +0,1465430400
5.438,4,Jun 10 2016 01: +0,1465516800
5.376,10,Jun 11 2016 01: +0,1465603200
5.162,8,Jun 12 2016 01: +0,1465689600
5.397,10,Jun 13 2016 01: +0,1465776000
5.722,5,Jun 14 2016 01: +0,1465862400
5.54,10,Jun 15 2016 01: +0,1465948800
5.438,7,Jun 16 2016 01: +0,1466035200
5.242,4,Jun 17 2016 01: +0,1466121600
6.356,3,Jun 18 2016 01: +0,1466208000
5.074,2,Jun 19 2016 01: +0,1466294400
4.548,6,Jun 20 2016 01: +0,1466380800
4.647,4,Jun 21 2016 01: +0,1466467200
5.173,2,Jun 22 2016 01: +0,1466553600
4.282,4,Jun 23 2016 01: +0,1466640000
3.324,5,Jun 24 2016 01: +0,1466726400
3.227,13,Jun 25 2016 01: +0,1466812800
3.933,10,Jun 26 2016 01: +0,1466899200
4.204,6,Jun 27 2016 01: +0,1466985600
4.139,7,Jun 28 2016 01: +0,1467072000
3.805,6,Jun 29 2016 01: +0,1467158400
3.576,12,Jun 30 2016 01: +0,1467244800
3.593,6,Jul 01 2016 01: +0,1467331200
2.919,11,Jul 02 2016 01: +0,1467417600
3.125,11,Jul 03 2016 01: +0,1467504000
2.884,16,Jul 04 2016 01: +0,1467590400
3.723,6,Jul 05 2016 01: +0,1467676800
3.826,6,Jul 06 2016 01: +0,1467763200
3.947,7,Jul 07 2016 01: +0,1467849600
4.052,8,Jul 08 2016 01: +0,1467936000
3.414,6,Jul 09 2016 01: +0,1468022400
3.45,6,Jul 10 2016 01: +0,1468108800
3.005,19,Jul 11 2016 01: +0,1468195200
3.347,10,Jul 12 2016 01: +0,1468281600
3.398,3,Jul 13 2016 01: +0,1468368000
3.324,10,Jul 14 2016 01: +0,1468454400
3.201,14,Jul 15 2016 01: +0,1468540800
3.126,13,Jul 16 2016 01: +0,1468627200
3.472,9,Jul 17 2016 01: +0,1468713600
3.584,10,Jul 18 2016 01: +0,1468800000
3.989,11,Jul 19 2016 01: +0,1468886400
3.917,10,Jul 20 2016 01: +0,1468972800
3.867,9,Jul 21 2016 01: +0,1469059200
4.103,5,Jul 22 2016 01: +0,1469145600
4.494,3,Jul 23 2016 01: +0,1469232000
3.554,4,Jul 24 2016 01: +0,1469318400
3.094,9,Jul 25 2016 01: +0,1469404800
3.224,6,Jul 26 2016 01: +0,1469491200
3.491,9,Jul 27 2016 01: +0,1469577600
3.931,9,Jul 28 2016 01: +0,1469664000
3.794,6,Jul 29 2016 01: +0,1469750400
3.77,8,Jul 30 2016 01: +0,1469836800
3.029,5,Jul 31 2016 01: +0,1469923200
3.416,6,Aug 01 2016 01: +0,1470009600
3.648,5,Aug 02 2016 01: +0,1470096000
3.584,6,Aug 03 2016 01: +0,1470182400
3.913,3,Aug 04 2016 01: +0,1470268800
3.559,5,Aug 05 2016 01: +0,1470355200
3.67,8,Aug 06 2016 01: +0,1470441600
3.648,3,Aug 07 2016 01: +0,1470528000
3.569,7,Aug 08 2016 01: +0,1470614400
3.445,3,Aug 09 2016 01: +0,1470700800
3.84,6,Aug 10 2016 01: +0,1470787200
3.694,4,Aug 11 2016 01: +0,1470873600
3.607,6,Aug 12 2016 01: +0,1470960000
3.469,4,Aug 13 2016 01: +0,1471046400
3.205,4,Aug 14 2016 01: +0,1471132800
3.656,1,Aug 15 2016 01: +0,1471219200
3.294,8,Aug 16 2016 01: +0,1471305600
3.594,4,Aug 17 2016 01: +0,1471392000
3.653,3,Aug 18 2016 01: +0,1471478400
3.213,9,Aug 19 2016 01: +0,1471564800
3.299,7,Aug 20 2016 01: +0,1471651200
3.218,6,Aug 21 2016 01: +0,1471737600
3.23,6,Aug 22 2016 01: +0,1471824000
3.363,6,Aug 23 2016 01: +0,1471910400
3.002,3,Aug 24 2016 01: +0,1471996800
3.263,5,Aug 25 2016 01: +0,1472083200
2.893,3,Aug 26 2016 01: +0,1472169600
3.356,8,Aug 27 2016 01: +0,1472256000
3.47,4,Aug 28 2016 01: +0,1472342400
3.168,6,Aug 29 2016 01: +0,1472428800
3.257,3,Aug 30 2016 01: +0,1472515200
3.597,7,Aug 31 2016 01: +0,1472601600
3.528,7,Sep 01 2016 01: +0,1472688000
3.366,5,Sep 02 2016 01: +0,1472774400
3.437,9,Sep 03 2016 01: +0,1472860800
3.674,6,Sep 04 2016 01: +0,1472947200
2.912,5,Sep 05 2016 01: +0,1473033600
3.301,8,Sep 06 2016 01: +0,1473120000
3.239,3,Sep 07 2016 01: +0,1473206400
