price,quantity,date,unix timestamp
0.049,122,Dec 03 2020 01: +0,1606957200
0.052,1979,Dec 04 2020 01: +0,1607043600
0.046,1301,Dec 05 2020 01: +0,1607130000
0.048,985,Dec 06 2020 01: +0,1607216400
0.05,953,Dec 07 2020 01: +0,1607302800
0.052,758,Dec 08 2020 01: +0,1607389200
0.05,1020,Dec 09 2020 01: +0,1607475600
0.045,601,Dec 10 2020 01: +0,1607562000
0.048,713,Dec 11 2020 01: +0,1607648400
0.052,658,Dec 12 2020 01: +0,1607734800
0.055,753,Dec 13 2020 01: +0,1607821200
0.059,497,Dec 14 2020 01: +0,1607907600
0.06,621,Dec 15 2020 01: +0,1607994000
0.064,891,Dec 16 2020 01: +0,1608080400
0.071,962,Dec 17 2020 01: +0,1608166800
0.085,830,Dec 18 2020 01: +0,1608253200
0.1,781,Dec 19 2020 01: +0,1608339600
0.102,737,Dec 20 2020 01: +0,1608426000
0.095,537,Dec 21 2020 01: +0,1608512400
0.086,609,Dec 22 2020 01: +0,1608598800
0.074,777,Dec 23 2020 01: +0,1608685200
0.068,606,Dec 24 2020 01: +0,1608771600
0.065,567,Dec 25 2020 01: +0,1608858000
0.065,651,Dec 26 2020 01: +0,1608944400
0.067,380,Dec 27 2020 01: +0,1609030800
0.066,542,Dec 28 2020 01: +0,1609117200
0.061,510,Dec 29 2020 01: +0,1609203600
0.059,1000,Dec 30 2020 01: +0,1609290000
0.058,704,Dec 31 2020 01: +0,1609376400
0.06,870,Jan 01 2021 01: +0,1609462800
0.064,693,Jan 02 2021 01: +0,1609549200
0.067,846,Jan 03 2021 01: +0,1609635600
0.071,565,Jan 04 2021 01: +0,1609722000
0.073,495,Jan 05 2021 01: +0,1609808400
0.061,929,Jan 06 2021 01: +0,1609894800
0.059,761,Jan 07 2021 01: +0,1609981200
0.064,819,Jan 08 2021 01: +0,1610067600
0.064,587,Jan 09 2021 01: +0,1610154000
0.066,553,Jan 10 2021 01: +0,1610240400
0.067,583,Jan 11 2021 01: +0,1610326800
0.065,579,Jan 12 2021 01: +0,1610413200
0.065,859,Jan 13 2021 01: +0,1610499600
0.064,779,Jan 14 2021 01: +0,1610586000
0.065,546,Jan 15 2021 01: +0,1610672400
0.063,642,Jan 16 2021 01: +0,1610758800
0.067,473,Jan 17 2021 01: +0,1610845200
0.064,436,Jan 18 2021 01: +0,1610931600
