price,quantity,date,unix timestamp
11.272,110,Jun 16 2016 01: +0,1466035200
8.389,106,Jun 17 2016 01: +0,1466121600
6.775,113,Jun 18 2016 01: +0,1466208000
6.174,140,Jun 19 2016 01: +0,1466294400
6.249,116,Jun 20 2016 01: +0,1466380800
6.596,87,Jun 21 2016 01: +0,1466467200
5.531,109,Jun 22 2016 01: +0,1466553600
5.382,102,Jun 23 2016 01: +0,1466640000
5.88,96,Jun 24 2016 01: +0,1466726400
5.235,86,Jun 25 2016 01: +0,1466812800
5.106,121,Jun 26 2016 01: +0,1466899200
4.489,110,Jun 27 2016 01: +0,1466985600
4.742,119,Jun 28 2016 01: +0,1467072000
4.367,90,Jun 29 2016 01: +0,1467158400
4.423,117,Jun 30 2016 01: +0,1467244800
4.524,113,Jul 01 2016 01: +0,1467331200
5.488,94,Jul 02 2016 01: +0,1467417600
4.069,104,Jul 03 2016 01: +0,1467504000
4.155,99,Jul 04 2016 01: +0,1467590400
4.186,109,Jul 05 2016 01: +0,1467676800
4.359,138,Jul 06 2016 01: +0,1467763200
4.185,129,Jul 07 2016 01: +0,1467849600
4.652,110,Jul 08 2016 01: +0,1467936000
4.435,136,Jul 09 2016 01: +0,1468022400
3.827,96,Jul 10 2016 01: +0,1468108800
3.727,106,Jul 11 2016 01: +0,1468195200
3.783,109,Jul 12 2016 01: +0,1468281600
3.971,128,Jul 13 2016 01: +0,1468368000
3.57,125,Jul 14 2016 01: +0,1468454400
3.959,151,Jul 15 2016 01: +0,1468540800
4.355,127,Jul 16 2016 01: +0,1468627200
4.085,141,Jul 17 2016 01: +0,1468713600
4.242,123,Jul 18 2016 01: +0,1468800000
3.907,119,Jul 19 2016 01: +0,1468886400
3.508,103,Jul 20 2016 01: +0,1468972800
3.452,89,Jul 21 2016 01: +0,1469059200
3.381,124,Jul 22 2016 01: +0,1469145600
3.599,133,Jul 23 2016 01: +0,1469232000
3.582,101,Jul 24 2016 01: +0,1469318400
3.676,110,Jul 25 2016 01: +0,1469404800
3.655,119,Jul 26 2016 01: +0,1469491200
3.464,116,Jul 27 2016 01: +0,1469577600
3.344,120,Jul 28 2016 01: +0,1469664000
3.258,141,Jul 29 2016 01: +0,1469750400
3.502,146,Jul 30 2016 01: +0,1469836800
3.169,109,Jul 31 2016 01: +0,1469923200
3.549,119,Aug 01 2016 01: +0,1470009600
3.307,140,Aug 02 2016 01: +0,1470096000
3.15,121,Aug 03 2016 01: +0,1470182400
2.879,118,Aug 04 2016 01: +0,1470268800
2.832,121,Aug 05 2016 01: +0,1470355200
3.011,167,Aug 06 2016 01: +0,1470441600
2.914,146,Aug 07 2016 01: +0,1470528000
3.169,111,Aug 08 2016 01: +0,1470614400
2.846,121,Aug 09 2016 01: +0,1470700800
2.861,144,Aug 10 2016 01: +0,1470787200
2.855,113,Aug 11 2016 01: +0,1470873600
2.864,157,Aug 12 2016 01: +0,1470960000
2.988,132,Aug 13 2016 01: +0,1471046400
2.854,119,Aug 14 2016 01: +0,1471132800
2.986,117,Aug 15 2016 01: +0,1471219200
2.912,137,Aug 16 2016 01: +0,1471305600
2.884,141,Aug 17 2016 01: +0,1471392000
2.691,102,Aug 18 2016 01: +0,1471478400
2.506,177,Aug 19 2016 01: +0,1471564800
2.573,184,Aug 20 2016 01: +0,1471651200
2.608,151,Aug 21 2016 01: +0,1471737600
2.639,168,Aug 22 2016 01: +0,1471824000
2.639,171,Aug 23 2016 01: +0,1471910400
2.444,138,Aug 24 2016 01: +0,1471996800
2.48,129,Aug 25 2016 01: +0,1472083200
2.444,139,Aug 26 2016 01: +0,1472169600
2.542,172,Aug 27 2016 01: +0,1472256000
2.474,144,Aug 28 2016 01: +0,1472342400
2.535,166,Aug 29 2016 01: +0,1472428800
2.668,98,Aug 30 2016 01: +0,1472515200
2.426,122,Aug 31 2016 01: +0,1472601600
2.714,136,Sep 01 2016 01: +0,1472688000
2.418,135,Sep 02 2016 01: +0,1472774400
2.588,156,Sep 03 2016 01: +0,1472860800
2.4,154,Sep 04 2016 01: +0,1472947200
2.416,160,Sep 05 2016 01: +0,1473033600
2.741,116,Sep 06 2016 01: +0,1473120000
2.484,140,Sep 07 2016 01: +0,1473206400
2.474,118,Sep 08 2016 01: +0,1473292800
2.385,134,Sep 09 2016 01: +0,1473379200
2.203,174,Sep 10 2016 01: +0,1473465600
2.334,134,Sep 11 2016 01: +0,1473552000
2.324,139,Sep 12 2016 01: +0,1473638400
2.313,95,Sep 13 2016 01: +0,1473724800
2.255,131,Sep 14 2016 01: +0,1473811200
2.403,103,Sep 15 2016 01: +0,1473897600
2.254,109,Sep 16 2016 01: +0,1473984000
2.141,162,Sep 17 2016 01: +0,1474070400
2.212,141,Sep 18 2016 01: +0,1474156800
