price,quantity,date,unix timestamp
1.825,238,Oct 07 2016 01: +0,1475798400
1.121,220,Oct 08 2016 01: +0,1475884800
0.978,168,Oct 09 2016 01: +0,1475971200
0.921,129,Oct 10 2016 01: +0,1476057600
0.866,116,Oct 11 2016 01: +0,1476144000
0.831,105,Oct 12 2016 01: +0,1476230400
0.806,100,Oct 13 2016 01: +0,1476316800
0.701,116,Oct 14 2016 01: +0,1476403200
0.772,144,Oct 15 2016 01: +0,1476489600
0.765,100,Oct 16 2016 01: +0,1476576000
0.721,71,Oct 17 2016 01: +0,1476662400
0.74,76,Oct 18 2016 01: +0,1476748800
0.713,80,Oct 19 2016 01: +0,1476835200
0.775,68,Oct 20 2016 01: +0,1476921600
0.781,65,Oct 21 2016 01: +0,1477008000
0.735,80,Oct 22 2016 01: +0,1477094400
0.741,80,Oct 23 2016 01: +0,1477180800
0.754,73,Oct 24 2016 01: +0,1477267200
0.721,49,Oct 25 2016 01: +0,1477353600
0.734,49,Oct 26 2016 01: +0,1477440000
0.7,55,Oct 27 2016 01: +0,1477526400
0.683,46,Oct 28 2016 01: +0,1477612800
0.674,57,Oct 29 2016 01: +0,1477699200
0.688,53,Oct 30 2016 01: +0,1477785600
0.65,63,Oct 31 2016 01: +0,1477875600
0.683,54,Nov 01 2016 01: +0,1477962000
0.675,35,Nov 02 2016 01: +0,1478048400
0.738,39,Nov 03 2016 01: +0,1478134800
0.754,43,Nov 04 2016 01: +0,1478221200
0.697,66,Nov 05 2016 01: +0,1478307600
0.713,65,Nov 06 2016 01: +0,1478394000
0.837,32,Nov 07 2016 01: +0,1478480400
0.803,31,Nov 08 2016 01: +0,1478566800
0.779,37,Nov 09 2016 01: +0,1478653200
0.788,33,Nov 10 2016 01: +0,1478739600
0.782,39,Nov 11 2016 01: +0,1478826000
0.809,44,Nov 12 2016 01: +0,1478912400
0.795,40,Nov 13 2016 01: +0,1478998800
0.782,36,Nov 14 2016 01: +0,1479085200
0.779,33,Nov 15 2016 01: +0,1479171600
0.764,30,Nov 16 2016 01: +0,1479258000
0.79,32,Nov 17 2016 01: +0,1479344400
0.748,32,Nov 18 2016 01: +0,1479430800
0.792,46,Nov 19 2016 01: +0,1479517200
0.795,37,Nov 20 2016 01: +0,1479603600
0.793,28,Nov 21 2016 01: +0,1479690000
0.772,31,Nov 22 2016 01: +0,1479776400
0.795,37,Nov 23 2016 01: +0,1479862800
0.765,31,Nov 24 2016 01: +0,1479949200
0.739,35,Nov 25 2016 01: +0,1480035600
0.764,34,Nov 26 2016 01: +0,1480122000
0.721,40,Nov 27 2016 01: +0,1480208400
0.736,25,Nov 28 2016 01: +0,1480294800
0.684,46,Nov 29 2016 01: +0,1480381200
0.728,41,Nov 30 2016 01: +0,1480467600
0.767,36,Dec 01 2016 01: +0,1480554000
0.763,40,Dec 02 2016 01: +0,1480640400
0.762,38,Dec 03 2016 01: +0,1480726800
0.759,43,Dec 04 2016 01: +0,1480813200
0.732,37,Dec 05 2016 01: +0,1480899600
0.773,43,Dec 06 2016 01: +0,1480986000
0.785,41,Dec 07 2016 01: +0,1481072400
0.815,39,Dec 08 2016 01: +0,1481158800
0.806,44,Dec 09 2016 01: +0,1481245200
0.779,33,Dec 10 2016 01: +0,1481331600
0.75,42,Dec 11 2016 01: +0,1481418000
0.74,30,Dec 12 2016 01: +0,1481504400
0.756,31,Dec 13 2016 01: +0,1481590800
0.722,30,Dec 14 2016 01: +0,1481677200
0.726,33,Dec 15 2016 01: +0,1481763600
0.736,39,Dec 16 2016 01: +0,1481850000
0.724,35,Dec 17 2016 01: +0,1481936400
0.767,27,Dec 18 2016 01: +0,1482022800
0.741,29,Dec 19 2016 01: +0,1482109200
0.791,27,Dec 20 2016 01: +0,1482195600
0.781,24,Dec 21 2016 01: +0,1482282000
0.83,23,Dec 22 2016 01: +0,1482368400
0.775,15,Dec 23 2016 01: +0,1482454800
0.73,28,Dec 24 2016 01: +0,1482541200
0.777,41,Dec 25 2016 01: +0,1482627600
0.807,36,Dec 26 2016 01: +0,1482714000
0.829,43,Dec 27 2016 01: +0,1482800400
0.803,36,Dec 28 2016 01: +0,1482886800
0.829,40,Dec 29 2016 01: +0,1482973200
0.849,48,Dec 30 2016 01: +0,1483059600
0.836,29,Dec 31 2016 01: +0,1483146000
0.765,38,Jan 01 2017 01: +0,1483232400
0.785,36,Jan 02 2017 01: +0,1483318800
0.883,39,Jan 03 2017 01: +0,1483405200
0.928,32,Jan 04 2017 01: +0,1483491600
0.854,30,Jan 05 2017 01: +0,1483578000
0.931,42,Jan 06 2017 01: +0,1483664400
0.971,43,Jan 07 2017 01: +0,1483750800
0.956,40,Jan 08 2017 01: +0,1483837200
0.872,34,Jan 09 2017 01: +0,1483923600
0.914,32,Jan 10 2017 01: +0,1484010000
0.933,34,Jan 11 2017 01: +0,1484096400
0.902,32,Jan 12 2017 01: +0,1484182800
0.921,29,Jan 13 2017 01: +0,1484269200
0.93,37,Jan 14 2017 01: +0,1484355600
0.937,25,Jan 15 2017 01: +0,1484442000
0.899,32,Jan 16 2017 01: +0,1484528400
0.986,32,Jan 17 2017 01: +0,1484614800
1.043,26,Jan 18 2017 01: +0,1484701200
1.015,19,Jan 19 2017 01: +0,1484787600
0.953,26,Jan 20 2017 01: +0,1484874000
0.934,33,Jan 21 2017 01: +0,1484960400
0.945,27,Jan 22 2017 01: +0,1485046800
0.942,24,Jan 23 2017 01: +0,1485133200
0.95,28,Jan 24 2017 01: +0,1485219600
0.925,30,Jan 25 2017 01: +0,1485306000
0.939,17,Jan 26 2017 01: +0,1485392400
1.005,35,Jan 27 2017 01: +0,1485478800
0.958,33,Jan 28 2017 01: +0,1485565200
0.941,35,Jan 29 2017 01: +0,1485651600
1.023,43,Jan 30 2017 01: +0,1485738000
1.057,24,Jan 31 2017 01: +0,1485824400
0.94,23,Feb 01 2017 01: +0,1485910800
0.985,32,Feb 02 2017 01: +0,1485997200
1.048,20,Feb 03 2017 01: +0,1486083600
0.985,31,Feb 04 2017 01: +0,1486170000
0.932,24,Feb 05 2017 01: +0,1486256400
1.026,32,Feb 06 2017 01: +0,1486342800
1.072,21,Feb 07 2017 01: +0,1486429200
1.152,22,Feb 08 2017 01: +0,1486515600
1.113,16,Feb 09 2017 01: +0,1486602000
1.219,19,Feb 10 2017 01: +0,1486688400
1.165,30,Feb 11 2017 01: +0,1486774800
1.018,29,Feb 12 2017 01: +0,1486861200
1.026,38,Feb 13 2017 01: +0,1486947600
1.08,29,Feb 14 2017 01: +0,1487034000
0.943,26,Feb 15 2017 01: +0,1487120400
0.876,15,Feb 16 2017 01: +0,1487206800
0.956,24,Feb 17 2017 01: +0,1487293200
0.961,29,Feb 18 2017 01: +0,1487379600
0.956,38,Feb 19 2017 01: +0,1487466000
0.914,18,Feb 20 2017 01: +0,1487552400
0.992,23,Feb 21 2017 01: +0,1487638800
1.019,22,Feb 22 2017 01: +0,1487725200
1.002,24,Feb 23 2017 01: +0,1487811600
0.986,27,Feb 24 2017 01: +0,1487898000
0.886,29,Feb 25 2017 01: +0,1487984400
0.935,25,Feb 26 2017 01: +0,1488070800
0.913,25,Feb 27 2017 01: +0,1488157200
0.899,25,Feb 28 2017 01: +0,1488243600
0.923,29,Mar 01 2017 01: +0,1488330000
0.914,30,Mar 02 2017 01: +0,1488416400
0.976,28,Mar 03 2017 01: +0,1488502800
0.998,28,Mar 04 2017 01: +0,1488589200
1.036,26,Mar 05 2017 01: +0,1488675600
1.02,30,Mar 06 2017 01: +0,1488762000
0.985,24,Mar 07 2017 01: +0,1488848400
1.031,30,Mar 08 2017 01: +0,1488934800
0.952,21,Mar 09 2017 01: +0,1489021200
0.917,21,Mar 10 2017 01: +0,1489107600
0.888,28,Mar 11 2017 01: +0,1489194000
0.878,34,Mar 12 2017 01: +0,1489280400
0.799,20,Mar 13 2017 01: +0,1489366800
0.888,29,Mar 14 2017 01: +0,1489453200
