price,quantity,date,unix timestamp
0.119,2,Dec 08 2020 01: +0,1607389200
0.051,1,Dec 10 2020 01: +0,1607562000
0.252,1,Dec 12 2020 01: +0,1607734800
0.259,1,Dec 13 2020 01: +0,1607821200
0.259,1,Dec 16 2020 01: +0,1608080400
0.189,1,Dec 19 2020 01: +0,1608339600
0.189,1,Dec 20 2020 01: +0,1608426000
0.364,1,Dec 21 2020 01: +0,1608512400
0.721,3,Dec 26 2020 01: +0,1608944400
0.63,1,Jan 03 2021 01: +0,1609635600
0.546,1,Jan 07 2021 01: +0,1609981200
0.991,2,Jan 08 2021 01: +0,1610067600
0.721,2,Jan 09 2021 01: +0,1610154000
0.111,1,Jan 14 2021 01: +0,1610586000
0.231,1,Jan 15 2021 01: +0,1610672400
0.207,2,Jan 18 2021 01: +0,1610931600
0.159,2,Jan 19 2021 01: +0,1611018000
0.182,2,Jan 21 2021 01: +0,1611190800
0.115,1,Jan 22 2021 01: +0,1611277200
0.172,3,Jan 25 2021 01: +0,1611536400
0.157,2,Jan 26 2021 01: +0,1611622800
0.108,1,Jan 28 2021 01: +0,1611795600
0.116,1,Jan 31 2021 01: +0,1612054800
0.055,1,Feb 03 2021 01: +0,1612314000
0.133,1,Feb 04 2021 01: +0,1612400400
0.071,1,Feb 05 2021 01: +0,1612486800
0.126,1,Feb 07 2021 01: +0,1612659600
0.103,1,Feb 09 2021 01: +0,1612832400
0.104,6,Feb 10 2021 01: +0,1612918800
0.138,1,Feb 12 2021 01: +0,1613091600
0.095,1,Feb 14 2021 01: +0,1613264400
0.105,2,Feb 15 2021 01: +0,1613350800
0.104,1,Feb 16 2021 01: +0,1613437200
0.057,1,Feb 17 2021 01: +0,1613523600
0.097,2,Feb 18 2021 01: +0,1613610000
0.099,3,Feb 19 2021 01: +0,1613696400
0.109,1,Feb 20 2021 01: +0,1613782800
0.082,1,Feb 21 2021 01: +0,1613869200
0.115,1,Feb 22 2021 01: +0,1613955600
0.11,4,Feb 24 2021 01: +0,1614128400
0.108,2,Feb 25 2021 01: +0,1614214800
0.134,2,Feb 26 2021 01: +0,1614301200
0.091,2,Feb 28 2021 01: +0,1614474000
0.134,1,Mar 02 2021 01: +0,1614646800
0.131,1,Mar 03 2021 01: +0,1614733200
0.201,1,Mar 08 2021 01: +0,1615165200
0.089,1,Mar 11 2021 01: +0,1615424400
0.188,1,Mar 14 2021 01: +0,1615683600
0.163,1,Mar 16 2021 01: +0,1615856400
0.079,1,Mar 17 2021 01: +0,1615942800
0.106,1,Mar 18 2021 01: +0,1616029200
0.145,1,Mar 19 2021 01: +0,1616115600
0.148,1,Mar 20 2021 01: +0,1616202000
0.12,2,Mar 21 2021 01: +0,1616288400
0.126,2,Mar 22 2021 01: +0,1616374800
0.148,1,Mar 23 2021 01: +0,1616461200
0.172,8,Mar 24 2021 01: +0,1616547600
0.105,2,Mar 25 2021 01: +0,1616634000
0.231,2,Mar 26 2021 01: +0,1616720400
0.155,3,Mar 27 2021 01: +0,1616806800
0.207,7,Mar 28 2021 01: +0,1616893200
0.145,1,Mar 31 2021 01: +0,1617148800
0.138,2,Apr 01 2021 01: +0,1617235200
0.146,1,Apr 02 2021 01: +0,1617321600
0.124,1,Apr 03 2021 01: +0,1617408000
0.126,1,Apr 05 2021 01: +0,1617580800
0.117,2,Apr 07 2021 01: +0,1617753600
0.095,6,Apr 08 2021 01: +0,1617840000
0.169,1,Apr 09 2021 01: +0,1617926400
0.16,1,Apr 10 2021 01: +0,1618012800
0.162,2,Apr 12 2021 01: +0,1618185600
0.165,1,Apr 15 2021 01: +0,1618444800
0.075,1,Apr 16 2021 01: +0,1618531200
0.113,1,Apr 18 2021 01: +0,1618704000
0.101,4,Apr 19 2021 01: +0,1618790400
0.125,1,Apr 20 2021 01: +0,1618876800
0.149,2,Apr 21 2021 01: +0,1618963200
0.175,2,Apr 24 2021 01: +0,1619222400
0.17,1,Apr 27 2021 01: +0,1619481600
0.11,2,Apr 28 2021 01: +0,1619568000
0.346,5,Apr 29 2021 01: +0,1619654400
0.285,2,Apr 30 2021 01: +0,1619740800
0.153,1,May 03 2021 01: +0,1620000000
0.67,2,May 04 2021 01: +0,1620086400
0.135,1,May 05 2021 01: +0,1620172800
0.143,1,May 07 2021 01: +0,1620345600
0.253,3,May 08 2021 01: +0,1620432000
0.258,2,May 09 2021 01: +0,1620518400
0.335,5,May 11 2021 01: +0,1620691200
0.335,1,May 16 2021 01: +0,1621123200
0.382,3,May 17 2021 01: +0,1621209600
0.422,6,May 19 2021 01: +0,1621382400
0.685,1,May 20 2021 01: +0,1621468800
0.409,1,May 21 2021 01: +0,1621555200
0.636,1,May 22 2021 01: +0,1621641600
0.419,8,May 28 2021 01: +0,1622160000
0.428,1,Jun 02 2021 01: +0,1622592000
0.359,1,Jun 05 2021 01: +0,1622851200
0.596,1,Jun 06 2021 01: +0,1622937600
0.459,1,Jun 09 2021 01: +0,1623196800
0.295,1,Jun 14 2021 01: +0,1623628800
0.263,1,Jun 28 2021 01: +0,1624838400
0.428,1,Jul 06 2021 01: +0,1625529600
0.421,2,Jul 07 2021 01: +0,1625616000
0.434,1,Jul 11 2021 01: +0,1625961600
0.425,1,Jul 12 2021 01: +0,1626048000
0.424,1,Jul 16 2021 01: +0,1626393600
0.423,1,Jul 18 2021 01: +0,1626566400
0.423,1,Jul 20 2021 01: +0,1626739200
0.471,1,Jul 23 2021 01: +0,1626998400
0.426,1,Jul 25 2021 01: +0,1627171200
0.579,1,Jul 30 2021 01: +0,1627603200
0.425,1,Aug 06 2021 01: +0,1628208000
0.38,1,Aug 08 2021 01: +0,1628380800
0.42,1,Aug 13 2021 01: +0,1628812800
0.476,1,Aug 17 2021 01: +0,1629158400
0.443,2,Aug 18 2021 01: +0,1629244800
0.433,1,Aug 21 2021 01: +0,1629504000
0.534,2,Aug 29 2021 01: +0,1630195200
0.548,2,Sep 02 2021 01: +0,1630540800
0.648,13,Sep 07 2021 01: +0,1630972800
0.777,1,Sep 14 2021 01: +0,1631577600
0.733,1,Sep 16 2021 01: +0,1631750400
0.394,1,Sep 22 2021 01: +0,1632268800
0.394,1,Sep 23 2021 01: +0,1632355200
0.593,4,Sep 25 2021 01: +0,1632528000
0.858,1,Oct 08 2021 01: +0,1633651200
0.519,1,Oct 24 2021 01: +0,1635033600
0.467,1,Nov 10 2021 01: +0,1636506000
0.649,1,Nov 23 2021 01: +0,1637629200
0.292,1,Dec 14 2021 01: +0,1639443600
0.447,1,Dec 16 2021 01: +0,1639616400
0.346,1,Dec 19 2021 01: +0,1639875600
0.346,2,Dec 20 2021 01: +0,1639962000
0.379,1,Dec 21 2021 01: +0,1640048400
0.374,2,Dec 22 2021 01: +0,1640134800
0.389,1,Dec 27 2021 01: +0,1640566800
0.343,1,Jan 05 2022 01: +0,1641344400
0.588,1,Jan 14 2022 01: +0,1642122000
0.58,1,Jan 20 2022 01: +0,1642640400
0.497,2,Jan 23 2022 01: +0,1642899600
0.487,1,Jan 30 2022 01: +0,1643504400
0.601,1,Feb 07 2022 01: +0,1644195600
0.433,2,Mar 02 2022 01: +0,1646182800
0.429,3,Mar 07 2022 01: +0,1646614800
0.438,2,Mar 08 2022 01: +0,1646701200
0.479,1,Mar 10 2022 01: +0,1646874000
0.421,3,Mar 14 2022 01: +0,1647219600
0.533,10,Mar 19 2022 01: +0,1647651600
0.552,8,Mar 24 2022 01: +0,1648083600
1.011,2,Apr 06 2022 01: +0,1649203200
0.482,1,Apr 07 2022 01: +0,1649289600
0.55,1,Apr 09 2022 01: +0,1649462400
0.549,2,Apr 11 2022 01: +0,1649635200
0.662,2,Apr 16 2022 01: +0,1650067200
0.533,1,Apr 27 2022 01: +0,1651017600
0.58,3,Apr 30 2022 01: +0,1651276800
0.798,1,May 03 2022 01: +0,1651536000
0.612,1,May 08 2022 01: +0,1651968000
0.808,1,May 10 2022 01: +0,1652140800
0.67,1,May 15 2022 01: +0,1652572800
0.838,2,Jun 05 2022 01: +0,1654387200
0.67,1,Jun 08 2022 01: +0,1654646400
0.732,1,Jul 02 2022 01: +0,1656720000
0.67,1,Jul 10 2022 01: +0,1657411200
0.507,2,Aug 01 2022 01: +0,1659312000
0.703,1,Aug 11 2022 01: +0,1660176000
0.714,1,Aug 20 2022 01: +0,1660953600
0.546,1,Sep 08 2022 01: +0,1662595200
0.693,2,Sep 22 2022 01: +0,1663804800
0.532,1,Oct 26 2022 01: +0,1666742400
0.769,1,Nov 08 2022 01: +0,1667869200
0.464,1,Dec 23 2022 01: +0,1671757200
0.397,1,Dec 31 2022 01: +0,1672448400
0.563,1,Jan 14 2023 01: +0,1673658000
0.632,1,Feb 13 2023 01: +0,1676250000
0.678,10,Feb 14 2023 01: +0,1676336400
0.671,1,Feb 16 2023 00: +0,1676505600
0.866,1,Feb 24 2023 15: +0,1677250800
0.937,1,Mar 03 2023 12: +0,1677844800
0.736,1,Mar 10 2023 18: +0,1678471200
0.934,1,Mar 16 2023 13: +0,1678971600
0.727,1,Mar 20 2023 12: +0,1679313600
0.558,1,Mar 29 2023 12: +0,1680087600
1.393,1,Apr 20 2023 18: +0,1682010000
0.608,1,May 11 2023 16: +0,1683817200
0.534,1,Jun 04 2023 17: +0,1685894400
0.871,1,Jun 05 2023 09: +0,1685952000
