price,quantity,date,unix timestamp
0.165,3,Dec 09 2020 01: +0,1607475600
0.138,2,Dec 11 2020 01: +0,1607648400
0.336,1,Dec 13 2020 01: +0,1607821200
0.287,1,Dec 16 2020 01: +0,1608080400
0.256,1,Dec 17 2020 01: +0,1608166800
0.243,1,Dec 20 2020 01: +0,1608426000
0.248,2,Dec 22 2020 01: +0,1608598800
0.03,1,Dec 27 2020 01: +0,1609030800
0.179,1,Dec 28 2020 01: +0,1609117200
0.221,1,Dec 29 2020 01: +0,1609203600
0.159,1,Dec 30 2020 01: +0,1609290000
0.186,2,Dec 31 2020 01: +0,1609376400
0.359,1,Jan 03 2021 01: +0,1609635600
0.336,1,Jan 06 2021 01: +0,1609894800
0.256,1,Jan 10 2021 01: +0,1610240400
0.194,1,Jan 11 2021 01: +0,1610326800
0.329,1,Jan 13 2021 01: +0,1610499600
0.03,1,Jan 17 2021 01: +0,1610845200
0.281,1,Jan 19 2021 01: +0,1611018000
0.295,1,Jan 20 2021 01: +0,1611104400
0.295,1,Jan 21 2021 01: +0,1611190800
0.141,2,Jan 28 2021 01: +0,1611795600
0.119,1,Jan 29 2021 01: +0,1611882000
0.118,1,Jan 30 2021 01: +0,1611968400
0.194,2,Feb 05 2021 01: +0,1612486800
0.195,2,Feb 06 2021 01: +0,1612573200
0.127,2,Feb 07 2021 01: +0,1612659600
0.149,1,Feb 08 2021 01: +0,1612746000
0.123,3,Feb 09 2021 01: +0,1612832400
0.147,1,Feb 10 2021 01: +0,1612918800
0.145,1,Feb 11 2021 01: +0,1613005200
0.14,3,Feb 12 2021 01: +0,1613091600
0.115,3,Feb 14 2021 01: +0,1613264400
0.122,1,Feb 15 2021 01: +0,1613350800
0.173,4,Feb 16 2021 01: +0,1613437200
0.26,1,Feb 19 2021 01: +0,1613696400
0.26,1,Feb 21 2021 01: +0,1613869200
0.18,2,Feb 25 2021 01: +0,1614214800
0.131,1,Feb 26 2021 01: +0,1614301200
0.171,2,Feb 27 2021 01: +0,1614387600
0.174,2,Mar 01 2021 01: +0,1614560400
0.252,1,Mar 02 2021 01: +0,1614646800
0.124,1,Mar 03 2021 01: +0,1614733200
0.229,1,Mar 04 2021 01: +0,1614819600
0.198,2,Mar 06 2021 01: +0,1614992400
0.197,1,Mar 07 2021 01: +0,1615078800
0.157,1,Mar 11 2021 01: +0,1615424400
0.158,4,Mar 12 2021 01: +0,1615510800
0.148,1,Mar 13 2021 01: +0,1615597200
0.161,4,Mar 14 2021 01: +0,1615683600
0.112,1,Mar 15 2021 01: +0,1615770000
0.113,1,Mar 17 2021 01: +0,1615942800
0.163,7,Mar 19 2021 01: +0,1616115600
0.244,13,Mar 21 2021 01: +0,1616288400
0.147,3,Mar 22 2021 01: +0,1616374800
0.251,3,Mar 23 2021 01: +0,1616461200
0.196,1,Mar 24 2021 01: +0,1616547600
0.127,1,Mar 25 2021 01: +0,1616634000
0.19,1,Mar 26 2021 01: +0,1616720400
0.156,1,Mar 29 2021 01: +0,1616976000
0.136,2,Mar 30 2021 01: +0,1617062400
0.13,1,Mar 31 2021 01: +0,1617148800
0.255,5,Apr 01 2021 01: +0,1617235200
0.217,1,Apr 04 2021 01: +0,1617494400
0.247,1,Apr 06 2021 01: +0,1617667200
0.247,1,Apr 07 2021 01: +0,1617753600
0.179,2,Apr 08 2021 01: +0,1617840000
0.206,4,Apr 10 2021 01: +0,1618012800
0.149,1,Apr 11 2021 01: +0,1618099200
0.194,4,Apr 12 2021 01: +0,1618185600
0.148,1,Apr 15 2021 01: +0,1618444800
0.171,3,Apr 17 2021 01: +0,1618617600
0.149,1,Apr 18 2021 01: +0,1618704000
0.145,1,Apr 19 2021 01: +0,1618790400
0.157,1,Apr 22 2021 01: +0,1619049600
0.217,1,May 04 2021 01: +0,1620086400
0.43,1,May 08 2021 01: +0,1620432000
0.292,2,May 10 2021 01: +0,1620604800
0.386,6,May 11 2021 01: +0,1620691200
0.345,2,May 17 2021 01: +0,1621209600
0.385,2,May 18 2021 01: +0,1621296000
0.514,1,May 20 2021 01: +0,1621468800
0.394,1,May 22 2021 01: +0,1621641600
0.499,171,May 23 2021 01: +0,1621728000
0.394,3,May 24 2021 01: +0,1621814400
0.43,1,May 25 2021 01: +0,1621900800
0.519,1,May 26 2021 01: +0,1621987200
0.759,2,May 27 2021 01: +0,1622073600
1.282,1,May 30 2021 01: +0,1622332800
0.713,1,Jun 02 2021 01: +0,1622592000
0.765,1,Jun 07 2021 01: +0,1623024000
0.571,1,Jun 09 2021 01: +0,1623196800
0.757,1,Jun 11 2021 01: +0,1623369600
1.123,2,Jun 12 2021 01: +0,1623456000
0.822,1,Jun 14 2021 01: +0,1623628800
0.822,1,Jun 15 2021 01: +0,1623715200
1.129,6,Jun 20 2021 01: +0,1624147200
0.74,10,Jun 21 2021 01: +0,1624233600
0.983,3,Jun 22 2021 01: +0,1624320000
0.677,2,Jun 23 2021 01: +0,1624406400
0.874,2,Jun 24 2021 01: +0,1624492800
0.691,1,Jul 02 2021 01: +0,1625184000
0.367,1,Jul 14 2021 01: +0,1626220800
0.556,1,Jul 18 2021 01: +0,1626566400
0.478,1,Jul 19 2021 01: +0,1626652800
0.478,1,Jul 23 2021 01: +0,1626998400
0.645,1,Jul 28 2021 01: +0,1627430400
0.903,1,Jul 30 2021 01: +0,1627603200
0.691,2,Aug 09 2021 01: +0,1628467200
0.62,1,Aug 17 2021 01: +0,1629158400
0.859,1,Aug 22 2021 01: +0,1629590400
0.55,1,Aug 23 2021 01: +0,1629676800
0.902,1,Sep 03 2021 01: +0,1630627200
0.679,1,Sep 06 2021 01: +0,1630886400
0.733,1,Sep 16 2021 01: +0,1631750400
0.676,2,Sep 18 2021 01: +0,1631923200
0.761,1,Sep 24 2021 01: +0,1632441600
0.639,1,Sep 27 2021 01: +0,1632700800
0.796,2,Oct 01 2021 01: +0,1633046400
0.711,1,Oct 07 2021 01: +0,1633564800
0.899,1,Oct 14 2021 01: +0,1634169600
0.621,2,Oct 25 2021 01: +0,1635120000
0.48,1,Nov 09 2021 01: +0,1636419600
0.435,1,Nov 13 2021 01: +0,1636765200
0.512,1,Nov 18 2021 01: +0,1637197200
0.535,1,Nov 19 2021 01: +0,1637283600
0.647,1,Nov 21 2021 01: +0,1637456400
0.661,4,Nov 22 2021 01: +0,1637542800
0.573,2,Dec 14 2021 01: +0,1639443600
0.558,1,Dec 20 2021 01: +0,1639962000
0.558,1,Dec 22 2021 01: +0,1640134800
0.573,1,Dec 24 2021 01: +0,1640307600
0.523,1,Jan 24 2022 01: +0,1642986000
0.707,1,Feb 02 2022 01: +0,1643763600
0.767,1,Feb 19 2022 01: +0,1645232400
0.642,1,Feb 21 2022 01: +0,1645405200
0.62,1,Feb 24 2022 01: +0,1645664400
0.593,4,Mar 01 2022 01: +0,1646096400
0.623,1,Mar 03 2022 01: +0,1646269200
0.711,1,Mar 07 2022 01: +0,1646614800
0.637,4,Mar 09 2022 01: +0,1646787600
0.637,2,Mar 14 2022 01: +0,1647219600
0.637,1,Mar 15 2022 01: +0,1647306000
0.637,1,Apr 02 2022 01: +0,1648857600
0.735,1,Apr 08 2022 01: +0,1649376000
0.629,2,Apr 16 2022 01: +0,1650067200
0.67,1,May 18 2022 01: +0,1652832000
0.736,1,May 30 2022 01: +0,1653868800
0.645,4,Jun 03 2022 01: +0,1654214400
0.645,2,Jun 04 2022 01: +0,1654300800
0.637,1,Jun 08 2022 01: +0,1654646400
0.637,1,Jun 24 2022 01: +0,1656028800
0.637,1,Jul 10 2022 01: +0,1657411200
0.772,1,Jul 11 2022 01: +0,1657497600
0.637,1,Jul 19 2022 01: +0,1658188800
0.754,1,Aug 02 2022 01: +0,1659398400
0.637,1,Aug 22 2022 01: +0,1661126400
0.819,5,Sep 03 2022 01: +0,1662163200
0.821,2,Sep 04 2022 01: +0,1662249600
0.819,7,Sep 08 2022 01: +0,1662595200
0.96,12,Sep 28 2022 01: +0,1664323200
0.855,1,Oct 09 2022 01: +0,1665273600
0.954,1,Oct 23 2022 01: +0,1666483200
0.849,1,Nov 11 2022 01: +0,1668128400
0.844,1,Nov 27 2022 01: +0,1669510800
1.111,2,Dec 10 2022 01: +0,1670634000
1.311,1,Dec 27 2022 01: +0,1672102800
1.231,1,Feb 03 2023 01: +0,1675386000
1.224,2,Feb 04 2023 01: +0,1675472400
1.763,1,Feb 24 2023 13: +0,1677243600
0.629,1,Mar 04 2023 05: +0,1677906000
2.382,1,Mar 18 2023 07: +0,1679122800
0.72,1,Mar 20 2023 12: +0,1679313600
0.747,1,Apr 02 2023 20: +0,1680462000
1.04,1,Apr 05 2023 11: +0,1680688800
0.916,1,Apr 06 2023 20: +0,1680807600
1.276,1,Apr 26 2023 16: +0,1682521200
1.892,1,Apr 30 2023 19: +0,1682877600
1.264,1,May 03 2023 17: +0,1683129600
1.823,1,May 10 2023 20: +0,1683745200
1.252,2,May 15 2023 22: +0,1684184400
