price,quantity,date,unix timestamp
318.712,3,Sep 15 2018 01: +0,1536969600
335.758,1,Sep 16 2018 01: +0,1537056000
262.507,1,Sep 23 2018 01: +0,1537660800
380.638,1,Sep 24 2018 01: +0,1537747200
304.727,1,Sep 28 2018 01: +0,1538092800
234.395,1,Sep 29 2018 01: +0,1538179200
458.956,1,Oct 01 2018 01: +0,1538352000
462.09,1,Oct 04 2018 01: +0,1538611200
570.746,1,Oct 11 2018 01: +0,1539216000
339.451,2,Oct 28 2018 01: +0,1540684800
518.288,1,Nov 14 2018 01: +0,1542157200
443.197,1,Nov 29 2018 01: +0,1543453200
445.73,1,Dec 01 2018 01: +0,1543626000
523.187,1,Dec 02 2018 01: +0,1543712400
251.295,1,Dec 30 2018 01: +0,1546131600
256.088,1,Jan 11 2019 01: +0,1547168400
239.953,1,Jan 28 2019 01: +0,1548637200
367.154,1,Jan 30 2019 01: +0,1548810000
261.461,1,Feb 21 2019 01: +0,1550710800
427.359,1,Feb 22 2019 01: +0,1550797200
251.369,1,Feb 27 2019 01: +0,1551229200
234.676,1,Mar 01 2019 01: +0,1551402000
279.428,2,Mar 02 2019 01: +0,1551488400
186.02,1,Mar 04 2019 01: +0,1551661200
171.499,2,Mar 07 2019 01: +0,1551920400
278.827,1,Mar 11 2019 01: +0,1552266000
168.33,1,Mar 14 2019 01: +0,1552525200
166.945,1,Mar 19 2019 01: +0,1552957200
157.163,1,Mar 23 2019 01: +0,1553302800
145.733,2,Mar 24 2019 01: +0,1553389200
140.919,1,Mar 28 2019 01: +0,1553734800
105.864,1,Mar 30 2019 01: +0,1553907600
109.425,1,Mar 31 2019 01: +0,1553994000
146.203,1,Apr 06 2019 01: +0,1554508800
124.071,1,Apr 13 2019 01: +0,1555113600
116.865,1,Apr 19 2019 01: +0,1555632000
96.675,1,Apr 23 2019 01: +0,1555977600
141.369,1,Apr 25 2019 01: +0,1556150400
136.956,1,Apr 26 2019 01: +0,1556236800
96.635,2,May 01 2019 01: +0,1556668800
138.992,1,May 02 2019 01: +0,1556755200
95.79,1,May 04 2019 01: +0,1556928000
104.178,1,May 07 2019 01: +0,1557187200
104.212,1,May 10 2019 01: +0,1557446400
117.807,1,May 18 2019 01: +0,1558137600
105.387,1,May 21 2019 01: +0,1558396800
153.119,1,May 24 2019 01: +0,1558656000
151.479,1,May 27 2019 01: +0,1558915200
106.823,1,May 31 2019 01: +0,1559260800
108.646,1,Jun 05 2019 01: +0,1559692800
158.417,1,Jun 09 2019 01: +0,1560038400
207.915,1,Jun 23 2019 01: +0,1561248000
120.887,1,Jun 27 2019 01: +0,1561593600
163.594,2,Jun 29 2019 01: +0,1561766400
170.925,1,Jul 03 2019 01: +0,1562112000
148.383,1,Jul 17 2019 01: +0,1563321600
158.811,1,Jul 24 2019 01: +0,1563926400
175.321,1,Jul 25 2019 01: +0,1564012800
159.124,1,Aug 14 2019 01: +0,1565740800
160.314,1,Aug 16 2019 01: +0,1565913600
168.829,1,Aug 18 2019 01: +0,1566086400
87.316,4,Aug 24 2019 01: +0,1566604800
99.884,1,Aug 27 2019 01: +0,1566864000
