price,quantity,date,unix timestamp
5.715,1,Nov 29 2013 01: +0,1385686800
11.903,3,Nov 30 2013 01: +0,1385773200
4.965,4,Dec 01 2013 01: +0,1385859600
4.724,1,Dec 02 2013 01: +0,1385946000
5.37,2,Dec 03 2013 01: +0,1386032400
4.957,1,Dec 04 2013 01: +0,1386118800
5.153,1,Dec 05 2013 01: +0,1386205200
5.2,1,Dec 06 2013 01: +0,1386291600
5.599,1,Dec 07 2013 01: +0,1386378000
12.995,1,Dec 08 2013 01: +0,1386464400
5.236,1,Dec 12 2013 01: +0,1386810000
4.756,1,Dec 14 2013 01: +0,1386982800
6.219,1,Dec 15 2013 01: +0,1387069200
4.896,3,Dec 16 2013 01: +0,1387155600
6.237,1,Dec 17 2013 01: +0,1387242000
3.218,1,Dec 24 2013 01: +0,1387846800
5.173,2,Dec 25 2013 01: +0,1387933200
6.95,1,Dec 27 2013 01: +0,1388106000
2.603,1,Dec 28 2013 01: +0,1388192400
2.618,1,Jan 01 2014 01: +0,1388538000
2.597,1,Jan 02 2014 01: +0,1388624400
2.742,2,Jan 03 2014 01: +0,1388710800
2.887,1,Jan 05 2014 01: +0,1388883600
4.854,1,Jan 06 2014 01: +0,1388970000
4.517,1,Jan 10 2014 01: +0,1389315600
4.533,1,Jan 12 2014 01: +0,1389488400
4.483,1,Jan 16 2014 01: +0,1389834000
11.225,1,Jan 19 2014 01: +0,1390093200
3.925,1,Jan 20 2014 01: +0,1390179600
3.169,1,Jan 25 2014 01: +0,1390611600
3.293,1,Jan 26 2014 01: +0,1390698000
4.032,1,Jan 28 2014 01: +0,1390870800
4.028,1,Feb 02 2014 01: +0,1391302800
3.722,1,Feb 05 2014 01: +0,1391562000
3.879,1,Feb 07 2014 01: +0,1391734800
3.805,1,Feb 08 2014 01: +0,1391821200
2.894,1,Feb 09 2014 01: +0,1391907600
2.374,1,Feb 11 2014 01: +0,1392080400
3.251,1,Feb 15 2014 01: +0,1392426000
3.554,2,Feb 16 2014 01: +0,1392512400
2.797,1,Feb 25 2014 01: +0,1393290000
3.375,1,Feb 27 2014 01: +0,1393462800
3.033,2,Mar 02 2014 01: +0,1393722000
2.9,1,Mar 07 2014 01: +0,1394154000
2.723,1,Mar 08 2014 01: +0,1394240400
1.489,1,Mar 10 2014 01: +0,1394413200
1.869,1,Mar 12 2014 01: +0,1394586000
2.302,2,Mar 13 2014 01: +0,1394672400
1.96,1,Mar 14 2014 01: +0,1394758800
2.897,3,Mar 15 2014 01: +0,1394845200
2.844,1,Mar 16 2014 01: +0,1394931600
3.582,1,Mar 17 2014 01: +0,1395018000
3.565,1,Mar 20 2014 01: +0,1395277200
4.202,1,Mar 22 2014 01: +0,1395450000
3.31,1,Mar 24 2014 01: +0,1395622800
3.241,1,Mar 28 2014 01: +0,1395968400
3.474,1,Apr 01 2014 01: +0,1396310400
2.733,1,Apr 03 2014 01: +0,1396483200
3.64,1,Apr 05 2014 01: +0,1396656000
2.692,2,Apr 10 2014 01: +0,1397088000
2.093,1,Apr 12 2014 01: +0,1397260800
2.845,1,Apr 13 2014 01: +0,1397347200
1.721,1,Apr 15 2014 01: +0,1397520000
1.618,1,Apr 17 2014 01: +0,1397692800
2.373,2,Apr 19 2014 01: +0,1397865600
2.485,3,Apr 20 2014 01: +0,1397952000
2.807,2,Apr 21 2014 01: +0,1398038400
2.564,1,Apr 22 2014 01: +0,1398124800
2.796,1,Apr 23 2014 01: +0,1398211200
4.206,1,Apr 27 2014 01: +0,1398556800
11.341,1,Apr 29 2014 01: +0,1398729600
3.563,1,May 04 2014 01: +0,1399161600
3.592,1,May 06 2014 01: +0,1399334400
3.805,1,May 09 2014 01: +0,1399593600
2.661,1,May 15 2014 01: +0,1400112000
1.307,1,May 16 2014 01: +0,1400198400
2.787,1,May 17 2014 01: +0,1400284800
2.661,1,May 21 2014 01: +0,1400630400
3.585,1,May 31 2014 01: +0,1401494400
4.109,2,Jun 01 2014 01: +0,1401580800
4.472,3,Jun 07 2014 01: +0,1402099200
