price,quantity,date,unix timestamp
1.335,21,Aug 24 2019 01: +0,1566604800
1.601,25,Aug 25 2019 01: +0,1566691200
1.163,16,Aug 26 2019 01: +0,1566777600
1.256,18,Aug 27 2019 01: +0,1566864000
1.415,3,Aug 28 2019 01: +0,1566950400
2.421,11,Aug 29 2019 01: +0,1567036800
1.544,6,Aug 30 2019 01: +0,1567123200
1.786,21,Aug 31 2019 01: +0,1567209600
1.612,7,Sep 01 2019 01: +0,1567296000
1.389,8,Sep 02 2019 01: +0,1567382400
1.283,15,Sep 03 2019 01: +0,1567468800
1.358,8,Sep 04 2019 01: +0,1567555200
1.208,12,Sep 05 2019 01: +0,1567641600
1.761,17,Sep 06 2019 01: +0,1567728000
1.476,18,Sep 07 2019 01: +0,1567814400
1.336,13,Sep 08 2019 01: +0,1567900800
1.266,10,Sep 09 2019 01: +0,1567987200
1.115,4,Sep 10 2019 01: +0,1568073600
1.182,7,Sep 11 2019 01: +0,1568160000
1.275,11,Sep 12 2019 01: +0,1568246400
1.251,4,Sep 13 2019 01: +0,1568332800
1.578,12,Sep 14 2019 01: +0,1568419200
1.408,4,Sep 15 2019 01: +0,1568505600
1.602,7,Sep 16 2019 01: +0,1568592000
2.228,1,Sep 17 2019 01: +0,1568678400
2.737,1,Sep 18 2019 01: +0,1568764800
2.22,1,Sep 19 2019 01: +0,1568851200
1.786,3,Sep 21 2019 01: +0,1569024000
2.057,1,Sep 22 2019 01: +0,1569110400
2.035,4,Sep 23 2019 01: +0,1569196800
1.826,2,Sep 24 2019 01: +0,1569283200
1.565,4,Sep 25 2019 01: +0,1569369600
1.774,7,Sep 26 2019 01: +0,1569456000
1.741,6,Sep 27 2019 01: +0,1569542400
1.859,8,Sep 28 2019 01: +0,1569628800
2.145,6,Sep 29 2019 01: +0,1569715200
2.82,1,Sep 30 2019 01: +0,1569801600
1.789,1,Oct 01 2019 01: +0,1569888000
2.164,2,Oct 02 2019 01: +0,1569974400
1.724,2,Oct 03 2019 01: +0,1570060800
1.702,2,Oct 04 2019 01: +0,1570147200
1.763,2,Oct 05 2019 01: +0,1570233600
1.762,1,Oct 06 2019 01: +0,1570320000
1.78,3,Oct 07 2019 01: +0,1570406400
1.946,2,Oct 08 2019 01: +0,1570492800
1.897,4,Oct 09 2019 01: +0,1570579200
2.02,3,Oct 10 2019 01: +0,1570665600
1.84,3,Oct 11 2019 01: +0,1570752000
1.941,1,Oct 12 2019 01: +0,1570838400
1.223,2,Oct 14 2019 01: +0,1571011200
2.097,1,Oct 15 2019 01: +0,1571097600
2.038,4,Oct 16 2019 01: +0,1571184000
2.038,3,Oct 17 2019 01: +0,1571270400
2.018,4,Oct 18 2019 01: +0,1571356800
1.974,6,Oct 19 2019 01: +0,1571443200
2.013,8,Oct 20 2019 01: +0,1571529600
1.993,1,Oct 21 2019 01: +0,1571616000
1.996,3,Oct 22 2019 01: +0,1571702400
1.949,3,Oct 23 2019 01: +0,1571788800
1.997,4,Oct 24 2019 01: +0,1571875200
1.998,1,Oct 25 2019 01: +0,1571961600
1.667,3,Oct 27 2019 01: +0,1572134400
1.828,2,Oct 29 2019 01: +0,1572310800
1.845,1,Oct 30 2019 01: +0,1572397200
1.813,2,Nov 01 2019 01: +0,1572570000
2.041,3,Nov 02 2019 01: +0,1572656400
2.49,1,Nov 03 2019 01: +0,1572742800
1.979,2,Nov 04 2019 01: +0,1572829200
2.204,1,Nov 05 2019 01: +0,1572915600
2.309,3,Nov 06 2019 01: +0,1573002000
2.861,1,Nov 12 2019 01: +0,1573520400
2.491,3,Nov 13 2019 01: +0,1573606800
2.008,1,Nov 15 2019 01: +0,1573779600
2.29,2,Nov 16 2019 01: +0,1573866000
2.142,4,Nov 17 2019 01: +0,1573952400
1.839,5,Nov 19 2019 01: +0,1574125200
1.756,1,Nov 21 2019 01: +0,1574298000
2.14,3,Nov 22 2019 01: +0,1574384400
1.745,1,Nov 23 2019 01: +0,1574470800
1.19,1,Nov 24 2019 01: +0,1574557200
1.613,4,Nov 26 2019 01: +0,1574730000
1.418,2,Nov 27 2019 01: +0,1574816400
1.216,2,Nov 28 2019 01: +0,1574902800
1.608,1,Nov 29 2019 01: +0,1574989200
1.373,3,Nov 30 2019 01: +0,1575075600
1.332,3,Dec 01 2019 01: +0,1575162000
1.626,2,Dec 02 2019 01: +0,1575248400
1.451,3,Dec 03 2019 01: +0,1575334800
1.306,3,Dec 04 2019 01: +0,1575421200
1.621,2,Dec 05 2019 01: +0,1575507600
1.408,2,Dec 06 2019 01: +0,1575594000
1.635,4,Dec 07 2019 01: +0,1575680400
1.988,1,Dec 08 2019 01: +0,1575766800
1.867,1,Dec 09 2019 01: +0,1575853200
1.817,1,Dec 10 2019 01: +0,1575939600
1.081,1,Dec 11 2019 01: +0,1576026000
1.863,3,Dec 12 2019 01: +0,1576112400
1.457,3,Dec 13 2019 01: +0,1576198800
1.971,2,Dec 14 2019 01: +0,1576285200
2.371,3,Dec 17 2019 01: +0,1576544400
1.367,1,Dec 18 2019 01: +0,1576630800
2.564,1,Dec 21 2019 01: +0,1576890000
3.87,1,Dec 22 2019 01: +0,1576976400
2.334,2,Dec 23 2019 01: +0,1577062800
2.544,1,Dec 24 2019 01: +0,1577149200
2.473,1,Dec 26 2019 01: +0,1577322000
2.062,2,Dec 27 2019 01: +0,1577408400
2.323,2,Dec 28 2019 01: +0,1577494800
2.412,3,Dec 29 2019 01: +0,1577581200
2.06,1,Dec 30 2019 01: +0,1577667600
2.587,1,Dec 31 2019 01: +0,1577754000
2.061,1,Jan 01 2020 01: +0,1577840400
2.596,1,Jan 03 2020 01: +0,1578013200
2.076,1,Jan 04 2020 01: +0,1578099600
2.043,1,Jan 05 2020 01: +0,1578186000
3.012,3,Jan 06 2020 01: +0,1578272400
2.381,1,Jan 08 2020 01: +0,1578445200
2.213,2,Jan 09 2020 01: +0,1578531600
