price,quantity,date,unix timestamp
0.628,18,Aug 14 2014 01: +0,1407974400
0.412,30,Aug 15 2014 01: +0,1408060800
0.401,21,Aug 16 2014 01: +0,1408147200
0.254,42,Aug 17 2014 01: +0,1408233600
0.263,19,Aug 18 2014 01: +0,1408320000
0.311,25,Aug 19 2014 01: +0,1408406400
0.314,20,Aug 20 2014 01: +0,1408492800
0.334,17,Aug 21 2014 01: +0,1408579200
0.271,26,Aug 22 2014 01: +0,1408665600
0.305,20,Aug 23 2014 01: +0,1408752000
0.326,25,Aug 24 2014 01: +0,1408838400
0.312,19,Aug 25 2014 01: +0,1408924800
0.308,18,Aug 26 2014 01: +0,1409011200
0.297,20,Aug 27 2014 01: +0,1409097600
0.306,12,Aug 28 2014 01: +0,1409184000
0.361,19,Aug 29 2014 01: +0,1409270400
0.294,13,Aug 30 2014 01: +0,1409356800
0.311,23,Aug 31 2014 01: +0,1409443200
0.313,12,Sep 01 2014 01: +0,1409529600
0.26,20,Sep 02 2014 01: +0,1409616000
0.307,17,Sep 03 2014 01: +0,1409702400
0.301,8,Sep 04 2014 01: +0,1409788800
0.314,17,Sep 05 2014 01: +0,1409875200
0.367,19,Sep 06 2014 01: +0,1409961600
0.474,13,Sep 07 2014 01: +0,1410048000
0.421,7,Sep 08 2014 01: +0,1410134400
0.334,13,Sep 09 2014 01: +0,1410220800
0.352,9,Sep 10 2014 01: +0,1410307200
0.281,23,Sep 11 2014 01: +0,1410393600
0.307,21,Sep 12 2014 01: +0,1410480000
0.31,17,Sep 13 2014 01: +0,1410566400
0.315,15,Sep 14 2014 01: +0,1410652800
0.317,9,Sep 15 2014 01: +0,1410739200
0.34,13,Sep 16 2014 01: +0,1410825600
0.275,8,Sep 17 2014 01: +0,1410912000
0.34,13,Sep 18 2014 01: +0,1410998400
0.328,17,Sep 19 2014 01: +0,1411084800
0.268,16,Sep 20 2014 01: +0,1411171200
0.34,7,Sep 21 2014 01: +0,1411257600
0.309,8,Sep 22 2014 01: +0,1411344000
0.302,15,Sep 23 2014 01: +0,1411430400
0.335,9,Sep 24 2014 01: +0,1411516800
0.368,14,Sep 25 2014 01: +0,1411603200
0.33,6,Sep 26 2014 01: +0,1411689600
0.314,15,Sep 27 2014 01: +0,1411776000
0.334,10,Sep 28 2014 01: +0,1411862400
0.307,12,Sep 29 2014 01: +0,1411948800
0.323,13,Sep 30 2014 01: +0,1412035200
0.351,13,Oct 01 2014 01: +0,1412121600
0.365,9,Oct 02 2014 01: +0,1412208000
0.313,17,Oct 03 2014 01: +0,1412294400
0.341,12,Oct 04 2014 01: +0,1412380800
0.308,15,Oct 05 2014 01: +0,1412467200
0.3,15,Oct 06 2014 01: +0,1412553600
0.336,14,Oct 07 2014 01: +0,1412640000
0.331,14,Oct 08 2014 01: +0,1412726400
0.355,11,Oct 09 2014 01: +0,1412812800
0.333,14,Oct 10 2014 01: +0,1412899200
0.347,15,Oct 11 2014 01: +0,1412985600
0.363,11,Oct 12 2014 01: +0,1413072000
0.352,12,Oct 13 2014 01: +0,1413158400
0.321,14,Oct 14 2014 01: +0,1413244800
0.31,13,Oct 15 2014 01: +0,1413331200
0.308,9,Oct 16 2014 01: +0,1413417600
0.287,16,Oct 17 2014 01: +0,1413504000
0.322,20,Oct 18 2014 01: +0,1413590400
0.372,10,Oct 19 2014 01: +0,1413676800
0.279,12,Oct 20 2014 01: +0,1413763200
0.344,14,Oct 21 2014 01: +0,1413849600
0.361,13,Oct 22 2014 01: +0,1413936000
0.371,15,Oct 23 2014 01: +0,1414022400
0.33,7,Oct 24 2014 01: +0,1414108800
0.361,14,Oct 25 2014 01: +0,1414195200
0.352,7,Oct 26 2014 01: +0,1414281600
0.361,14,Oct 27 2014 01: +0,1414371600
0.342,15,Oct 28 2014 01: +0,1414458000
0.344,12,Oct 29 2014 01: +0,1414544400
0.333,15,Oct 30 2014 01: +0,1414630800
0.32,13,Oct 31 2014 01: +0,1414717200
0.389,13,Nov 01 2014 01: +0,1414803600
0.362,14,Nov 02 2014 01: +0,1414890000
0.38,9,Nov 03 2014 01: +0,1414976400
0.385,5,Nov 04 2014 01: +0,1415062800
0.368,6,Nov 05 2014 01: +0,1415149200
0.309,13,Nov 06 2014 01: +0,1415235600
0.355,11,Nov 07 2014 01: +0,1415322000
0.286,15,Nov 08 2014 01: +0,1415408400
0.339,15,Nov 09 2014 01: +0,1415494800
0.329,12,Nov 10 2014 01: +0,1415581200
0.315,13,Nov 11 2014 01: +0,1415667600
0.241,18,Nov 12 2014 01: +0,1415754000
0.277,16,Nov 13 2014 01: +0,1415840400
0.237,11,Nov 14 2014 01: +0,1415926800
0.257,9,Nov 15 2014 01: +0,1416013200
0.272,15,Nov 16 2014 01: +0,1416099600
0.29,8,Nov 17 2014 01: +0,1416186000
0.308,9,Nov 18 2014 01: +0,1416272400
0.285,10,Nov 19 2014 01: +0,1416358800
0.275,13,Nov 20 2014 01: +0,1416445200
0.289,9,Nov 21 2014 01: +0,1416531600
0.282,9,Nov 22 2014 01: +0,1416618000
0.273,16,Nov 23 2014 01: +0,1416704400
0.279,13,Nov 24 2014 01: +0,1416790800
0.266,11,Nov 25 2014 01: +0,1416877200
0.273,10,Nov 26 2014 01: +0,1416963600
0.29,19,Nov 27 2014 01: +0,1417050000
0.222,29,Nov 28 2014 01: +0,1417136400
0.329,3,Nov 29 2014 01: +0,1417222800
0.214,28,Nov 30 2014 01: +0,1417309200
0.195,19,Dec 01 2014 01: +0,1417395600
0.226,22,Dec 02 2014 01: +0,1417482000
0.225,9,Dec 03 2014 01: +0,1417568400
0.253,18,Dec 04 2014 01: +0,1417654800
0.304,19,Dec 05 2014 01: +0,1417741200
0.283,11,Dec 06 2014 01: +0,1417827600
0.271,25,Dec 07 2014 01: +0,1417914000
0.269,9,Dec 08 2014 01: +0,1418000400
0.271,13,Dec 09 2014 01: +0,1418086800
0.284,16,Dec 10 2014 01: +0,1418173200
0.28,7,Dec 11 2014 01: +0,1418259600
0.247,22,Dec 12 2014 01: +0,1418346000
0.231,15,Dec 13 2014 01: +0,1418432400
0.31,19,Dec 14 2014 01: +0,1418518800
0.264,13,Dec 15 2014 01: +0,1418605200
0.257,14,Dec 16 2014 01: +0,1418691600
0.32,15,Dec 17 2014 01: +0,1418778000
0.27,12,Dec 18 2014 01: +0,1418864400
0.264,18,Dec 19 2014 01: +0,1418950800
0.246,18,Dec 20 2014 01: +0,1419037200
0.279,21,Dec 21 2014 01: +0,1419123600
0.246,12,Dec 22 2014 01: +0,1419210000
0.304,13,Dec 23 2014 01: +0,1419296400
0.287,18,Dec 24 2014 01: +0,1419382800
3.53,16,Dec 25 2014 01: +0,1419469200
0.253,27,Dec 26 2014 01: +0,1419555600
0.327,17,Dec 27 2014 01: +0,1419642000
0.303,13,Dec 28 2014 01: +0,1419728400
0.305,24,Dec 29 2014 01: +0,1419814800
0.325,24,Dec 30 2014 01: +0,1419901200
0.308,16,Dec 31 2014 01: +0,1419987600
0.312,21,Jan 01 2015 01: +0,1420074000
0.292,28,Jan 02 2015 01: +0,1420160400
0.338,24,Jan 03 2015 01: +0,1420246800
0.339,20,Jan 04 2015 01: +0,1420333200
0.367,26,Jan 05 2015 01: +0,1420419600
0.369,14,Jan 06 2015 01: +0,1420506000
0.36,17,Jan 07 2015 01: +0,1420592400
0.373,23,Jan 08 2015 01: +0,1420678800
0.418,25,Jan 09 2015 01: +0,1420765200
0.397,24,Jan 10 2015 01: +0,1420851600
0.391,24,Jan 11 2015 01: +0,1420938000
