price,quantity,date,unix timestamp
90.993,1,Feb 22 2014 01: +0,1393030800
95.125,1,Feb 23 2014 01: +0,1393117200
89.969,5,Feb 24 2014 01: +0,1393203600
114.835,3,Feb 25 2014 01: +0,1393290000
107.995,2,Feb 26 2014 01: +0,1393376400
98.955,4,Feb 27 2014 01: +0,1393462800
95.842,1,Feb 28 2014 01: +0,1393549200
96.663,1,Mar 01 2014 01: +0,1393635600
78.571,1,Mar 02 2014 01: +0,1393722000
66.587,1,Mar 03 2014 01: +0,1393808400
67.001,1,Mar 04 2014 01: +0,1393894800
79.142,3,Mar 05 2014 01: +0,1393981200
78.535,2,Mar 06 2014 01: +0,1394067600
78.6,4,Mar 07 2014 01: +0,1394154000
62.318,3,Mar 08 2014 01: +0,1394240400
70.097,4,Mar 09 2014 01: +0,1394326800
78.588,4,Mar 10 2014 01: +0,1394413200
87.183,3,Mar 11 2014 01: +0,1394499600
79.59,2,Mar 12 2014 01: +0,1394586000
81.85,1,Mar 13 2014 01: +0,1394672400
85.841,2,Mar 14 2014 01: +0,1394758800
77.72,7,Mar 15 2014 01: +0,1394845200
71.178,3,Mar 16 2014 01: +0,1394931600
66.41,4,Mar 17 2014 01: +0,1395018000
63.145,7,Mar 18 2014 01: +0,1395104400
55.786,4,Mar 19 2014 01: +0,1395190800
64.492,6,Mar 20 2014 01: +0,1395277200
83.267,2,Mar 21 2014 01: +0,1395363600
86.11,4,Mar 22 2014 01: +0,1395450000
77.019,2,Mar 23 2014 01: +0,1395536400
72.674,6,Mar 24 2014 01: +0,1395622800
74.997,4,Mar 25 2014 01: +0,1395709200
82.035,4,Mar 26 2014 01: +0,1395795600
72.31,4,Mar 27 2014 01: +0,1395882000
77.531,4,Mar 28 2014 01: +0,1395968400
74.425,6,Mar 29 2014 01: +0,1396054800
74.783,3,Mar 30 2014 01: +0,1396141200
72.752,1,Mar 31 2014 01: +0,1396224000
68.589,3,Apr 01 2014 01: +0,1396310400
68.486,5,Apr 02 2014 01: +0,1396396800
73.15,3,Apr 03 2014 01: +0,1396483200
65.836,4,Apr 04 2014 01: +0,1396569600
71.239,7,Apr 05 2014 01: +0,1396656000
65.805,5,Apr 06 2014 01: +0,1396742400
69.992,3,Apr 07 2014 01: +0,1396828800
67.995,7,Apr 08 2014 01: +0,1396915200
65.296,3,Apr 09 2014 01: +0,1397001600
63.696,5,Apr 10 2014 01: +0,1397088000
62.915,9,Apr 11 2014 01: +0,1397174400
64.838,7,Apr 12 2014 01: +0,1397260800
53.939,7,Apr 13 2014 01: +0,1397347200
52.951,4,Apr 14 2014 01: +0,1397433600
60.767,5,Apr 15 2014 01: +0,1397520000
60.518,9,Apr 16 2014 01: +0,1397606400
61.85,7,Apr 17 2014 01: +0,1397692800
59.343,11,Apr 18 2014 01: +0,1397779200
59.006,4,Apr 19 2014 01: +0,1397865600
56.686,4,Apr 20 2014 01: +0,1397952000
58.921,7,Apr 21 2014 01: +0,1398038400
61.854,8,Apr 22 2014 01: +0,1398124800
67.014,4,Apr 23 2014 01: +0,1398211200
65.19,8,Apr 24 2014 01: +0,1398297600
66.308,1,Apr 25 2014 01: +0,1398384000
64.092,10,Apr 26 2014 01: +0,1398470400
