price,quantity,date,unix timestamp
29.526,33,May 02 2014 01: +0,1398988800
21.512,23,May 03 2014 01: +0,1399075200
18.548,39,May 04 2014 01: +0,1399161600
17.24,28,May 05 2014 01: +0,1399248000
15.767,22,May 06 2014 01: +0,1399334400
13.509,24,May 07 2014 01: +0,1399420800
12.433,30,May 08 2014 01: +0,1399507200
12.531,28,May 09 2014 01: +0,1399593600
12.257,24,May 10 2014 01: +0,1399680000
11.052,25,May 11 2014 01: +0,1399766400
9.742,22,May 12 2014 01: +0,1399852800
9.615,35,May 13 2014 01: +0,1399939200
8.945,32,May 14 2014 01: +0,1400025600
9.165,43,May 15 2014 01: +0,1400112000
10.019,38,May 16 2014 01: +0,1400198400
9.232,38,May 17 2014 01: +0,1400284800
8.861,27,May 18 2014 01: +0,1400371200
9.441,34,May 19 2014 01: +0,1400457600
9.206,28,May 20 2014 01: +0,1400544000
8.653,26,May 21 2014 01: +0,1400630400
8.354,38,May 22 2014 01: +0,1400716800
8.297,39,May 23 2014 01: +0,1400803200
9.407,32,May 24 2014 01: +0,1400889600
10.394,24,May 25 2014 01: +0,1400976000
8.993,20,May 26 2014 01: +0,1401062400
7.726,35,May 27 2014 01: +0,1401148800
7.63,39,May 28 2014 01: +0,1401235200
7.822,43,May 29 2014 01: +0,1401321600
7.644,42,May 30 2014 01: +0,1401408000
7.82,33,May 31 2014 01: +0,1401494400
7.602,44,Jun 01 2014 01: +0,1401580800
7.875,41,Jun 02 2014 01: +0,1401667200
7.959,34,Jun 03 2014 01: +0,1401753600
7.962,32,Jun 04 2014 01: +0,1401840000
7.63,36,Jun 05 2014 01: +0,1401926400
7.671,38,Jun 06 2014 01: +0,1402012800
7.821,32,Jun 07 2014 01: +0,1402099200
7.139,49,Jun 08 2014 01: +0,1402185600
7.344,31,Jun 09 2014 01: +0,1402272000
7.356,36,Jun 10 2014 01: +0,1402358400
7.535,36,Jun 11 2014 01: +0,1402444800
7.473,29,Jun 12 2014 01: +0,1402531200
7.075,36,Jun 13 2014 01: +0,1402617600
7.06,55,Jun 14 2014 01: +0,1402704000
7.694,43,Jun 15 2014 01: +0,1402790400
7.365,36,Jun 16 2014 01: +0,1402876800
7.212,36,Jun 17 2014 01: +0,1402963200
7.595,31,Jun 18 2014 01: +0,1403049600
6.587,36,Jun 19 2014 01: +0,1403136000
5.884,61,Jun 20 2014 01: +0,1403222400
6.359,42,Jun 21 2014 01: +0,1403308800
6.421,33,Jun 22 2014 01: +0,1403395200
5.699,33,Jun 23 2014 01: +0,1403481600
5.402,43,Jun 24 2014 01: +0,1403568000
5.59,40,Jun 25 2014 01: +0,1403654400
5.823,50,Jun 26 2014 01: +0,1403740800
6.336,29,Jun 27 2014 01: +0,1403827200
6.277,48,Jun 28 2014 01: +0,1403913600
5.482,49,Jun 29 2014 01: +0,1404000000
6.215,37,Jun 30 2014 01: +0,1404086400
6.106,49,Jul 01 2014 01: +0,1404172800
4.828,61,Jul 02 2014 01: +0,1404259200
4.787,72,Jul 03 2014 01: +0,1404345600
5.888,44,Jul 04 2014 01: +0,1404432000
5.595,42,Jul 05 2014 01: +0,1404518400
5.795,63,Jul 06 2014 01: +0,1404604800
5.935,51,Jul 07 2014 01: +0,1404691200
5.529,46,Jul 08 2014 01: +0,1404777600
5.521,48,Jul 09 2014 01: +0,1404864000
5.712,58,Jul 10 2014 01: +0,1404950400
5.602,55,Jul 11 2014 01: +0,1405036800
5.738,52,Jul 12 2014 01: +0,1405123200
5.658,47,Jul 13 2014 01: +0,1405209600
5.631,52,Jul 14 2014 01: +0,1405296000
5.552,41,Jul 15 2014 01: +0,1405382400
5.411,56,Jul 16 2014 01: +0,1405468800
5.362,52,Jul 17 2014 01: +0,1405555200
6.208,47,Jul 18 2014 01: +0,1405641600
6.135,42,Jul 19 2014 01: +0,1405728000
5.347,50,Jul 20 2014 01: +0,1405814400
5.557,56,Jul 21 2014 01: +0,1405900800
5.31,44,Jul 22 2014 01: +0,1405987200
5.795,49,Jul 23 2014 01: +0,1406073600
5.605,43,Jul 24 2014 01: +0,1406160000
5.821,49,Jul 25 2014 01: +0,1406246400
5.72,56,Jul 26 2014 01: +0,1406332800
5.864,42,Jul 27 2014 01: +0,1406419200
5.83,47,Jul 28 2014 01: +0,1406505600
5.282,55,Jul 29 2014 01: +0,1406592000
6.134,50,Jul 30 2014 01: +0,1406678400
5.645,47,Jul 31 2014 01: +0,1406764800
5.07,71,Aug 01 2014 01: +0,1406851200
5.359,76,Aug 02 2014 01: +0,1406937600
5.514,67,Aug 03 2014 01: +0,1407024000
5.725,64,Aug 04 2014 01: +0,1407110400
5.486,60,Aug 05 2014 01: +0,1407196800
5.957,48,Aug 06 2014 01: +0,1407283200
5.764,39,Aug 07 2014 01: +0,1407369600
5.512,62,Aug 08 2014 01: +0,1407456000
5.976,57,Aug 09 2014 01: +0,1407542400
6.024,42,Aug 10 2014 01: +0,1407628800
6.09,45,Aug 11 2014 01: +0,1407715200
5.963,41,Aug 12 2014 01: +0,1407801600
5.682,43,Aug 13 2014 01: +0,1407888000
5.571,51,Aug 14 2014 01: +0,1407974400
5.8,63,Aug 15 2014 01: +0,1408060800
5.533,68,Aug 16 2014 01: +0,1408147200
5.259,66,Aug 17 2014 01: +0,1408233600
4.783,65,Aug 18 2014 01: +0,1408320000
5.322,56,Aug 19 2014 01: +0,1408406400
5.186,68,Aug 20 2014 01: +0,1408492800
5.352,58,Aug 21 2014 01: +0,1408579200
5.375,59,Aug 22 2014 01: +0,1408665600
5.622,65,Aug 23 2014 01: +0,1408752000
5.306,68,Aug 24 2014 01: +0,1408838400
5.804,60,Aug 25 2014 01: +0,1408924800
5.911,53,Aug 26 2014 01: +0,1409011200
5.631,59,Aug 27 2014 01: +0,1409097600
5.747,57,Aug 28 2014 01: +0,1409184000
5.715,65,Aug 29 2014 01: +0,1409270400
5.772,76,Aug 30 2014 01: +0,1409356800
5.735,55,Aug 31 2014 01: +0,1409443200
5.506,69,Sep 01 2014 01: +0,1409529600
5.062,63,Sep 02 2014 01: +0,1409616000
5.252,69,Sep 03 2014 01: +0,1409702400
4.971,67,Sep 04 2014 01: +0,1409788800
5.26,71,Sep 05 2014 01: +0,1409875200
5.208,73,Sep 06 2014 01: +0,1409961600
4.793,63,Sep 07 2014 01: +0,1410048000
5.11,66,Sep 08 2014 01: +0,1410134400
5.068,42,Sep 09 2014 01: +0,1410220800
4.878,59,Sep 10 2014 01: +0,1410307200
4.809,63,Sep 11 2014 01: +0,1410393600
4.608,70,Sep 12 2014 01: +0,1410480000
4.606,90,Sep 13 2014 01: +0,1410566400
4.982,83,Sep 14 2014 01: +0,1410652800
4.91,57,Sep 15 2014 01: +0,1410739200
4.894,59,Sep 16 2014 01: +0,1410825600
4.9,57,Sep 17 2014 01: +0,1410912000
4.914,64,Sep 18 2014 01: +0,1410998400
4.749,61,Sep 19 2014 01: +0,1411084800
4.539,71,Sep 20 2014 01: +0,1411171200
4.417,62,Sep 21 2014 01: +0,1411257600
4.548,66,Sep 22 2014 01: +0,1411344000
4.798,51,Sep 23 2014 01: +0,1411430400
4.638,52,Sep 24 2014 01: +0,1411516800
4.714,44,Sep 25 2014 01: +0,1411603200
4.5,70,Sep 26 2014 01: +0,1411689600
4.372,77,Sep 27 2014 01: +0,1411776000
4.444,72,Sep 28 2014 01: +0,1411862400
4.22,52,Sep 29 2014 01: +0,1411948800
4.131,64,Sep 30 2014 01: +0,1412035200
4.236,64,Oct 01 2014 01: +0,1412121600
4.415,70,Oct 02 2014 01: +0,1412208000
4.382,70,Oct 03 2014 01: +0,1412294400
4.421,81,Oct 04 2014 01: +0,1412380800
4.148,96,Oct 05 2014 01: +0,1412467200
4.18,71,Oct 06 2014 01: +0,1412553600
4.398,78,Oct 07 2014 01: +0,1412640000
4.401,58,Oct 08 2014 01: +0,1412726400
4.076,67,Oct 09 2014 01: +0,1412812800
4.036,90,Oct 10 2014 01: +0,1412899200
4.152,80,Oct 11 2014 01: +0,1412985600
4.196,87,Oct 12 2014 01: +0,1413072000
4.193,67,Oct 13 2014 01: +0,1413158400
4.111,59,Oct 14 2014 01: +0,1413244800
3.93,49,Oct 15 2014 01: +0,1413331200
4.006,69,Oct 16 2014 01: +0,1413417600
4.115,66,Oct 17 2014 01: +0,1413504000
4.302,70,Oct 18 2014 01: +0,1413590400
4.045,78,Oct 19 2014 01: +0,1413676800
4.203,48,Oct 20 2014 01: +0,1413763200
3.957,60,Oct 21 2014 01: +0,1413849600
3.94,67,Oct 22 2014 01: +0,1413936000
3.848,62,Oct 23 2014 01: +0,1414022400
3.96,72,Oct 24 2014 01: +0,1414108800
3.692,68,Oct 25 2014 01: +0,1414195200
3.646,96,Oct 26 2014 01: +0,1414281600
3.534,64,Oct 27 2014 01: +0,1414371600
3.772,78,Oct 28 2014 01: +0,1414458000
3.673,66,Oct 29 2014 01: +0,1414544400
3.954,75,Oct 30 2014 01: +0,1414630800
3.532,83,Oct 31 2014 01: +0,1414717200
3.611,88,Nov 01 2014 01: +0,1414803600
3.294,104,Nov 02 2014 01: +0,1414890000
3.44,83,Nov 03 2014 01: +0,1414976400
3.596,72,Nov 04 2014 01: +0,1415062800
3.653,76,Nov 05 2014 01: +0,1415149200
3.546,71,Nov 06 2014 01: +0,1415235600
3.422,69,Nov 07 2014 01: +0,1415322000
3.756,86,Nov 08 2014 01: +0,1415408400
3.556,82,Nov 09 2014 01: +0,1415494800
3.675,85,Nov 10 2014 01: +0,1415581200
3.696,66,Nov 11 2014 01: +0,1415667600
2.687,134,Nov 12 2014 01: +0,1415754000
2.633,82,Nov 13 2014 01: +0,1415840400
2.745,104,Nov 14 2014 01: +0,1415926800
2.886,116,Nov 15 2014 01: +0,1416013200
2.996,77,Nov 16 2014 01: +0,1416099600
2.58,82,Nov 17 2014 01: +0,1416186000
2.93,63,Nov 18 2014 01: +0,1416272400
3.138,66,Nov 19 2014 01: +0,1416358800
3.09,74,Nov 20 2014 01: +0,1416445200
3.174,59,Nov 21 2014 01: +0,1416531600
2.988,71,Nov 22 2014 01: +0,1416618000
3.006,81,Nov 23 2014 01: +0,1416704400
2.872,65,Nov 24 2014 01: +0,1416790800
3.029,63,Nov 25 2014 01: +0,1416877200
3.127,78,Nov 26 2014 01: +0,1416963600
3.201,83,Nov 27 2014 01: +0,1417050000
3.288,66,Nov 28 2014 01: +0,1417136400
3.892,34,Nov 29 2014 01: +0,1417222800
2.978,127,Nov 30 2014 01: +0,1417309200
2.772,85,Dec 01 2014 01: +0,1417395600
3.028,84,Dec 02 2014 01: +0,1417482000
3.37,63,Dec 03 2014 01: +0,1417568400
3.343,61,Dec 04 2014 01: +0,1417654800
3.347,75,Dec 05 2014 01: +0,1417741200
3.385,96,Dec 06 2014 01: +0,1417827600
3.302,85,Dec 07 2014 01: +0,1417914000
3.25,68,Dec 08 2014 01: +0,1418000400
3.281,68,Dec 09 2014 01: +0,1418086800
3.315,70,Dec 10 2014 01: +0,1418173200
3.334,75,Dec 11 2014 01: +0,1418259600
3.479,76,Dec 12 2014 01: +0,1418346000
3.019,109,Dec 13 2014 01: +0,1418432400
3.024,104,Dec 14 2014 01: +0,1418518800
3.017,98,Dec 15 2014 01: +0,1418605200
3.103,78,Dec 16 2014 01: +0,1418691600
3.037,86,Dec 17 2014 01: +0,1418778000
2.865,100,Dec 18 2014 01: +0,1418864400
3.043,112,Dec 19 2014 01: +0,1418950800
2.926,106,Dec 20 2014 01: +0,1419037200
2.882,107,Dec 21 2014 01: +0,1419123600
2.947,107,Dec 22 2014 01: +0,1419210000
2.718,124,Dec 23 2014 01: +0,1419296400
2.71,118,Dec 24 2014 01: +0,1419382800
3.241,131,Dec 25 2014 01: +0,1419469200
3.338,143,Dec 26 2014 01: +0,1419555600
3.377,127,Dec 27 2014 01: +0,1419642000
3.353,106,Dec 28 2014 01: +0,1419728400
3.297,133,Dec 29 2014 01: +0,1419814800
3.215,144,Dec 30 2014 01: +0,1419901200
3.269,122,Dec 31 2014 01: +0,1419987600
2.973,111,Jan 01 2015 01: +0,1420074000
3.192,154,Jan 02 2015 01: +0,1420160400
3.586,119,Jan 03 2015 01: +0,1420246800
3.231,135,Jan 04 2015 01: +0,1420333200
3.259,109,Jan 05 2015 01: +0,1420419600
3.377,114,Jan 06 2015 01: +0,1420506000
3.463,94,Jan 07 2015 01: +0,1420592400
3.353,104,Jan 08 2015 01: +0,1420678800
3.227,151,Jan 09 2015 01: +0,1420765200
3.231,175,Jan 10 2015 01: +0,1420851600
3.386,158,Jan 11 2015 01: +0,1420938000
3.384,122,Jan 12 2015 01: +0,1421024400
3.332,130,Jan 13 2015 01: +0,1421110800
3.318,134,Jan 14 2015 01: +0,1421197200
3.276,119,Jan 15 2015 01: +0,1421283600
3.232,153,Jan 16 2015 01: +0,1421370000
3.128,163,Jan 17 2015 01: +0,1421456400
3.15,152,Jan 18 2015 01: +0,1421542800
3.2,128,Jan 19 2015 01: +0,1421629200
3.016,136,Jan 20 2015 01: +0,1421715600
3.156,115,Jan 21 2015 01: +0,1421802000
3.036,108,Jan 22 2015 01: +0,1421888400
2.983,158,Jan 23 2015 01: +0,1421974800
3.18,147,Jan 24 2015 01: +0,1422061200
3.134,146,Jan 25 2015 01: +0,1422147600
3.12,132,Jan 26 2015 01: +0,1422234000
2.881,124,Jan 27 2015 01: +0,1422320400
2.954,112,Jan 28 2015 01: +0,1422406800
3.004,131,Jan 29 2015 01: +0,1422493200
2.924,140,Jan 30 2015 01: +0,1422579600
3.074,154,Jan 31 2015 01: +0,1422666000
2.924,166,Feb 01 2015 01: +0,1422752400
2.932,142,Feb 02 2015 01: +0,1422838800
2.943,118,Feb 03 2015 01: +0,1422925200
3.009,127,Feb 04 2015 01: +0,1423011600
2.914,135,Feb 05 2015 01: +0,1423098000
3.039,126,Feb 06 2015 01: +0,1423184400
2.849,143,Feb 07 2015 01: +0,1423270800
2.74,160,Feb 08 2015 01: +0,1423357200
2.733,131,Feb 09 2015 01: +0,1423443600
2.783,108,Feb 10 2015 01: +0,1423530000
2.768,136,Feb 11 2015 01: +0,1423616400
2.706,106,Feb 12 2015 01: +0,1423702800
2.694,127,Feb 13 2015 01: +0,1423789200
2.677,160,Feb 14 2015 01: +0,1423875600
2.752,153,Feb 15 2015 01: +0,1423962000
2.64,129,Feb 16 2015 01: +0,1424048400
2.637,135,Feb 17 2015 01: +0,1424134800
2.598,125,Feb 18 2015 01: +0,1424221200
2.664,126,Feb 19 2015 01: +0,1424307600
2.719,137,Feb 20 2015 01: +0,1424394000
2.818,170,Feb 21 2015 01: +0,1424480400
2.756,135,Feb 22 2015 01: +0,1424566800
2.889,115,Feb 23 2015 01: +0,1424653200
2.921,111,Feb 24 2015 01: +0,1424739600
2.718,113,Feb 25 2015 01: +0,1424826000
2.958,108,Feb 26 2015 01: +0,1424912400
2.826,140,Feb 27 2015 01: +0,1424998800
2.795,140,Feb 28 2015 01: +0,1425085200
2.797,134,Mar 01 2015 01: +0,1425171600
3.035,127,Mar 02 2015 01: +0,1425258000
2.771,116,Mar 03 2015 01: +0,1425344400
2.914,110,Mar 04 2015 01: +0,1425430800
2.842,129,Mar 05 2015 01: +0,1425517200
2.829,126,Mar 06 2015 01: +0,1425603600
2.753,153,Mar 07 2015 01: +0,1425690000
2.736,121,Mar 08 2015 01: +0,1425776400
2.62,118,Mar 09 2015 01: +0,1425862800
2.869,97,Mar 10 2015 01: +0,1425949200
2.676,100,Mar 11 2015 01: +0,1426035600
2.585,115,Mar 12 2015 01: +0,1426122000
2.56,134,Mar 13 2015 01: +0,1426208400
2.605,154,Mar 14 2015 01: +0,1426294800
2.457,161,Mar 15 2015 01: +0,1426381200
2.456,126,Mar 16 2015 01: +0,1426467600
2.565,102,Mar 17 2015 01: +0,1426554000
2.574,112,Mar 18 2015 01: +0,1426640400
2.528,107,Mar 19 2015 01: +0,1426726800
2.502,150,Mar 20 2015 01: +0,1426813200
2.632,156,Mar 21 2015 01: +0,1426899600
2.654,125,Mar 22 2015 01: +0,1426986000
2.752,119,Mar 23 2015 01: +0,1427072400
2.656,119,Mar 24 2015 01: +0,1427158800
2.644,112,Mar 25 2015 01: +0,1427245200
2.576,142,Mar 26 2015 01: +0,1427331600
2.607,140,Mar 27 2015 01: +0,1427418000
2.678,149,Mar 28 2015 01: +0,1427504400
2.517,140,Mar 29 2015 01: +0,1427590800
2.533,125,Mar 30 2015 01: +0,1427673600
2.556,127,Mar 31 2015 01: +0,1427760000
3.939,527,Apr 01 2015 01: +0,1427846400
4.19,249,Apr 02 2015 01: +0,1427932800
3.953,186,Apr 03 2015 01: +0,1428019200
3.865,203,Apr 04 2015 01: +0,1428105600
3.747,174,Apr 05 2015 01: +0,1428192000
3.775,175,Apr 06 2015 01: +0,1428278400
3.916,190,Apr 07 2015 01: +0,1428364800
4.027,140,Apr 08 2015 01: +0,1428451200
