price,quantity,date,unix timestamp
32.288,13,Apr 01 2020 01: +0,1585699200
47.532,11,Apr 02 2020 01: +0,1585785600
28.255,20,Apr 03 2020 01: +0,1585872000
23.384,25,Apr 04 2020 01: +0,1585958400
17.741,18,Apr 05 2020 01: +0,1586044800
16.406,19,Apr 06 2020 01: +0,1586131200
15.847,15,Apr 07 2020 01: +0,1586217600
15.481,30,Apr 08 2020 01: +0,1586304000
16.875,19,Apr 09 2020 01: +0,1586390400
20.962,13,Apr 10 2020 01: +0,1586476800
20.374,20,Apr 11 2020 01: +0,1586563200
20.014,21,Apr 12 2020 01: +0,1586649600
22.352,31,Apr 13 2020 01: +0,1586736000
16.036,20,Apr 14 2020 01: +0,1586822400
15.363,20,Apr 15 2020 01: +0,1586908800
16.454,26,Apr 16 2020 01: +0,1586995200
17.277,18,Apr 17 2020 01: +0,1587081600
17.682,13,Apr 18 2020 01: +0,1587168000
17.085,19,Apr 19 2020 01: +0,1587254400
15.212,10,Apr 20 2020 01: +0,1587340800
15.402,20,Apr 21 2020 01: +0,1587427200
11.526,20,Apr 22 2020 01: +0,1587513600
11.615,22,Apr 23 2020 01: +0,1587600000
10.294,26,Apr 24 2020 01: +0,1587686400
11.977,28,Apr 25 2020 01: +0,1587772800
12.415,20,Apr 26 2020 01: +0,1587859200
11.12,16,Apr 27 2020 01: +0,1587945600
11.144,25,Apr 28 2020 01: +0,1588032000
11.569,25,Apr 29 2020 01: +0,1588118400
11.706,26,Apr 30 2020 01: +0,1588204800
11.408,20,May 01 2020 01: +0,1588291200
11.016,17,May 02 2020 01: +0,1588377600
10.522,30,May 03 2020 01: +0,1588464000
11.078,21,May 04 2020 01: +0,1588550400
11.614,20,May 05 2020 01: +0,1588636800
11.335,19,May 06 2020 01: +0,1588723200
11.891,19,May 07 2020 01: +0,1588809600
12.462,21,May 08 2020 01: +0,1588896000
12.093,16,May 09 2020 01: +0,1588982400
10.908,20,May 10 2020 01: +0,1589068800
11.812,15,May 11 2020 01: +0,1589155200
11.336,18,May 12 2020 01: +0,1589241600
10.81,18,May 13 2020 01: +0,1589328000
9.71,14,May 14 2020 01: +0,1589414400
9.379,22,May 15 2020 01: +0,1589500800
9.213,21,May 16 2020 01: +0,1589587200
9.549,24,May 17 2020 01: +0,1589673600
9.45,11,May 18 2020 01: +0,1589760000
9.505,14,May 19 2020 01: +0,1589846400
10.182,13,May 20 2020 01: +0,1589932800
9.925,16,May 21 2020 01: +0,1590019200
9.859,16,May 22 2020 01: +0,1590105600
10.137,11,May 23 2020 01: +0,1590192000
9.416,17,May 24 2020 01: +0,1590278400
9.14,7,May 25 2020 01: +0,1590364800
9.141,22,May 26 2020 01: +0,1590451200
8.85,10,May 27 2020 01: +0,1590537600
8.813,17,May 28 2020 01: +0,1590624000
8.766,19,May 29 2020 01: +0,1590710400
8.957,25,May 30 2020 01: +0,1590796800
8.772,14,May 31 2020 01: +0,1590883200
