price,quantity,date,unix timestamp
31.312,13,Feb 13 2014 01: +0,1392253200
27.507,15,Feb 14 2014 01: +0,1392339600
30.246,11,Feb 15 2014 01: +0,1392426000
22.313,14,Feb 16 2014 01: +0,1392512400
21.98,7,Feb 17 2014 01: +0,1392598800
19.391,7,Feb 18 2014 01: +0,1392685200
18.978,11,Feb 19 2014 01: +0,1392771600
17.956,12,Feb 20 2014 01: +0,1392858000
16.303,14,Feb 21 2014 01: +0,1392944400
19.833,5,Feb 22 2014 01: +0,1393030800
16.237,16,Feb 23 2014 01: +0,1393117200
17.587,11,Feb 24 2014 01: +0,1393203600
16.563,16,Feb 25 2014 01: +0,1393290000
17.68,10,Feb 26 2014 01: +0,1393376400
15.217,13,Feb 27 2014 01: +0,1393462800
16.713,14,Feb 28 2014 01: +0,1393549200
18.535,10,Mar 01 2014 01: +0,1393635600
17.352,12,Mar 02 2014 01: +0,1393722000
17.242,11,Mar 03 2014 01: +0,1393808400
16.615,6,Mar 04 2014 01: +0,1393894800
15.634,6,Mar 05 2014 01: +0,1393981200
15.404,12,Mar 06 2014 01: +0,1394067600
15.991,14,Mar 07 2014 01: +0,1394154000
16.196,11,Mar 08 2014 01: +0,1394240400
15.645,9,Mar 09 2014 01: +0,1394326800
16.003,14,Mar 10 2014 01: +0,1394413200
17.52,9,Mar 11 2014 01: +0,1394499600
17.371,12,Mar 12 2014 01: +0,1394586000
14.295,7,Mar 13 2014 01: +0,1394672400
15.579,13,Mar 14 2014 01: +0,1394758800
14.305,16,Mar 15 2014 01: +0,1394845200
14.726,18,Mar 16 2014 01: +0,1394931600
15.369,15,Mar 17 2014 01: +0,1395018000
15.017,10,Mar 18 2014 01: +0,1395104400
13.952,9,Mar 19 2014 01: +0,1395190800
13.288,11,Mar 20 2014 01: +0,1395277200
13.828,14,Mar 21 2014 01: +0,1395363600
15.057,15,Mar 22 2014 01: +0,1395450000
14.571,11,Mar 23 2014 01: +0,1395536400
14.639,17,Mar 24 2014 01: +0,1395622800
14.764,12,Mar 25 2014 01: +0,1395709200
14.105,16,Mar 26 2014 01: +0,1395795600
14.054,12,Mar 27 2014 01: +0,1395882000
14.514,16,Mar 28 2014 01: +0,1395968400
13.701,19,Mar 29 2014 01: +0,1396054800
14.569,17,Mar 30 2014 01: +0,1396141200
15.557,12,Mar 31 2014 01: +0,1396224000
15.82,12,Apr 01 2014 01: +0,1396310400
13.548,13,Apr 02 2014 01: +0,1396396800
14.064,16,Apr 03 2014 01: +0,1396483200
13.497,14,Apr 04 2014 01: +0,1396569600
14.061,19,Apr 05 2014 01: +0,1396656000
13.475,27,Apr 06 2014 01: +0,1396742400
13.467,13,Apr 07 2014 01: +0,1396828800
12.662,20,Apr 08 2014 01: +0,1396915200
13.179,14,Apr 09 2014 01: +0,1397001600
13.561,13,Apr 10 2014 01: +0,1397088000
12.338,27,Apr 11 2014 01: +0,1397174400
11.373,12,Apr 12 2014 01: +0,1397260800
13.047,19,Apr 13 2014 01: +0,1397347200
13.564,24,Apr 14 2014 01: +0,1397433600
13.645,20,Apr 15 2014 01: +0,1397520000
