price,quantity,date,unix timestamp
0.7,265,Nov 19 2019 01: +0,1574125200
0.626,168,Nov 20 2019 01: +0,1574211600
0.647,146,Nov 21 2019 01: +0,1574298000
0.626,108,Nov 22 2019 01: +0,1574384400
0.633,132,Nov 23 2019 01: +0,1574470800
0.654,113,Nov 24 2019 01: +0,1574557200
0.675,82,Nov 25 2019 01: +0,1574643600
0.679,99,Nov 26 2019 01: +0,1574730000
0.554,114,Nov 27 2019 01: +0,1574816400
0.556,102,Nov 28 2019 01: +0,1574902800
0.571,82,Nov 29 2019 01: +0,1574989200
0.575,76,Nov 30 2019 01: +0,1575075600
0.577,94,Dec 01 2019 01: +0,1575162000
0.579,61,Dec 02 2019 01: +0,1575248400
0.653,94,Dec 03 2019 01: +0,1575334800
0.707,63,Dec 04 2019 01: +0,1575421200
0.692,79,Dec 05 2019 01: +0,1575507600
0.664,71,Dec 06 2019 01: +0,1575594000
0.66,54,Dec 07 2019 01: +0,1575680400
0.618,87,Dec 08 2019 01: +0,1575766800
0.641,73,Dec 09 2019 01: +0,1575853200
0.644,68,Dec 10 2019 01: +0,1575939600
0.645,61,Dec 11 2019 01: +0,1576026000
0.628,68,Dec 12 2019 01: +0,1576112400
0.633,54,Dec 13 2019 01: +0,1576198800
0.633,81,Dec 14 2019 01: +0,1576285200
6.447,68,Dec 15 2019 01: +0,1576371600
0.69,44,Dec 16 2019 01: +0,1576458000
0.653,57,Dec 17 2019 01: +0,1576544400
0.621,60,Dec 18 2019 01: +0,1576630800
0.611,48,Dec 19 2019 01: +0,1576717200
0.602,71,Dec 20 2019 01: +0,1576803600
0.584,79,Dec 21 2019 01: +0,1576890000
0.592,67,Dec 22 2019 01: +0,1576976400
0.608,86,Dec 23 2019 01: +0,1577062800
0.61,64,Dec 24 2019 01: +0,1577149200
0.604,65,Dec 25 2019 01: +0,1577235600
0.585,97,Dec 26 2019 01: +0,1577322000
0.615,80,Dec 27 2019 01: +0,1577408400
0.588,69,Dec 28 2019 01: +0,1577494800
0.598,66,Dec 29 2019 01: +0,1577581200
0.613,71,Dec 30 2019 01: +0,1577667600
0.6,69,Dec 31 2019 01: +0,1577754000
0.603,67,Jan 01 2020 01: +0,1577840400
0.595,82,Jan 02 2020 01: +0,1577926800
0.596,76,Jan 03 2020 01: +0,1578013200
0.605,68,Jan 04 2020 01: +0,1578099600
0.618,101,Jan 05 2020 01: +0,1578186000
0.642,87,Jan 06 2020 01: +0,1578272400
0.634,54,Jan 07 2020 01: +0,1578358800
0.691,31,Jan 08 2020 01: +0,1578445200
0.654,53,Jan 09 2020 01: +0,1578531600
0.67,44,Jan 10 2020 01: +0,1578618000
0.667,73,Jan 11 2020 01: +0,1578704400
0.653,46,Jan 12 2020 01: +0,1578790800
0.663,52,Jan 13 2020 01: +0,1578877200
0.627,49,Jan 14 2020 01: +0,1578963600
0.658,80,Jan 15 2020 01: +0,1579050000
0.686,50,Jan 16 2020 01: +0,1579136400
0.662,62,Jan 17 2020 01: +0,1579222800
0.619,71,Jan 18 2020 01: +0,1579309200
0.624,90,Jan 19 2020 01: +0,1579395600
0.629,67,Jan 20 2020 01: +0,1579482000
0.638,87,Jan 21 2020 01: +0,1579568400
0.662,60,Jan 22 2020 01: +0,1579654800
0.653,60,Jan 23 2020 01: +0,1579741200
0.659,75,Jan 24 2020 01: +0,1579827600
0.66,71,Jan 25 2020 01: +0,1579914000
0.687,75,Jan 26 2020 01: +0,1580000400
0.633,66,Jan 27 2020 01: +0,1580086800
0.65,67,Jan 28 2020 01: +0,1580173200
0.643,61,Jan 29 2020 01: +0,1580259600
0.664,57,Jan 30 2020 01: +0,1580346000
0.668,84,Jan 31 2020 01: +0,1580432400
0.665,70,Feb 01 2020 01: +0,1580518800
0.665,71,Feb 02 2020 01: +0,1580605200
0.67,58,Feb 03 2020 01: +0,1580691600
0.646,62,Feb 04 2020 01: +0,1580778000
0.674,80,Feb 05 2020 01: +0,1580864400
0.668,77,Feb 06 2020 01: +0,1580950800
0.636,65,Feb 07 2020 01: +0,1581037200
0.658,106,Feb 08 2020 01: +0,1581123600
0.655,83,Feb 09 2020 01: +0,1581210000
0.648,43,Feb 10 2020 01: +0,1581296400
0.629,57,Feb 11 2020 01: +0,1581382800
0.611,80,Feb 12 2020 01: +0,1581469200
0.614,68,Feb 13 2020 01: +0,1581555600
0.607,88,Feb 14 2020 01: +0,1581642000
0.624,69,Feb 15 2020 01: +0,1581728400
0.642,86,Feb 16 2020 01: +0,1581814800
0.634,60,Feb 17 2020 01: +0,1581901200
0.656,57,Feb 18 2020 01: +0,1581987600
0.617,74,Feb 19 2020 01: +0,1582074000
0.612,63,Feb 20 2020 01: +0,1582160400
0.625,78,Feb 21 2020 01: +0,1582246800
0.599,73,Feb 22 2020 01: +0,1582333200
0.616,67,Feb 23 2020 01: +0,1582419600
0.593,57,Feb 24 2020 01: +0,1582506000
0.602,90,Feb 25 2020 01: +0,1582592400
0.594,78,Feb 26 2020 01: +0,1582678800
0.604,72,Feb 27 2020 01: +0,1582765200
0.665,96,Feb 28 2020 01: +0,1582851600
0.673,78,Feb 29 2020 01: +0,1582938000
0.706,70,Mar 01 2020 01: +0,1583024400
0.707,93,Mar 02 2020 01: +0,1583110800
0.711,70,Mar 03 2020 01: +0,1583197200
0.717,76,Mar 04 2020 01: +0,1583283600
0.72,77,Mar 05 2020 01: +0,1583370000
0.716,90,Mar 06 2020 01: +0,1583456400
0.709,77,Mar 07 2020 01: +0,1583542800
0.683,77,Mar 08 2020 01: +0,1583629200
0.681,52,Mar 09 2020 01: +0,1583715600
0.666,55,Mar 10 2020 01: +0,1583802000
0.686,74,Mar 11 2020 01: +0,1583888400
0.675,76,Mar 12 2020 01: +0,1583974800
0.657,72,Mar 13 2020 01: +0,1584061200
0.638,84,Mar 14 2020 01: +0,1584147600
0.662,131,Mar 15 2020 01: +0,1584234000
0.655,77,Mar 16 2020 01: +0,1584320400
0.624,77,Mar 17 2020 01: +0,1584406800
0.622,83,Mar 18 2020 01: +0,1584493200
0.609,76,Mar 19 2020 01: +0,1584579600
0.61,63,Mar 20 2020 01: +0,1584666000
0.58,81,Mar 21 2020 01: +0,1584752400
0.612,62,Mar 22 2020 01: +0,1584838800
0.602,67,Mar 23 2020 01: +0,1584925200
0.686,77,Mar 24 2020 01: +0,1585011600
0.623,85,Mar 25 2020 01: +0,1585098000
0.616,75,Mar 26 2020 01: +0,1585184400
0.585,88,Mar 27 2020 01: +0,1585270800
0.555,57,Mar 28 2020 01: +0,1585357200
0.58,52,Mar 29 2020 01: +0,1585443600
