price,quantity,date,unix timestamp
1.854,135,Sep 22 2021 01: +0,1632268800
1.555,110,Sep 23 2021 01: +0,1632355200
1.486,97,Sep 24 2021 01: +0,1632441600
1.504,87,Sep 25 2021 01: +0,1632528000
1.576,82,Sep 26 2021 01: +0,1632614400
1.46,52,Sep 27 2021 01: +0,1632700800
1.385,69,Sep 28 2021 01: +0,1632787200
1.362,97,Sep 29 2021 01: +0,1632873600
1.399,71,Sep 30 2021 01: +0,1632960000
1.355,75,Oct 01 2021 01: +0,1633046400
1.379,77,Oct 02 2021 01: +0,1633132800
1.444,63,Oct 03 2021 01: +0,1633219200
1.484,45,Oct 04 2021 01: +0,1633305600
1.485,44,Oct 05 2021 01: +0,1633392000
1.453,57,Oct 06 2021 01: +0,1633478400
1.43,56,Oct 07 2021 01: +0,1633564800
1.416,59,Oct 08 2021 01: +0,1633651200
1.423,69,Oct 09 2021 01: +0,1633737600
1.446,65,Oct 10 2021 01: +0,1633824000
1.322,58,Oct 11 2021 01: +0,1633910400
1.365,45,Oct 12 2021 01: +0,1633996800
1.336,51,Oct 13 2021 01: +0,1634083200
1.347,42,Oct 14 2021 01: +0,1634169600
1.295,54,Oct 15 2021 01: +0,1634256000
2.026,53,Oct 16 2021 01: +0,1634342400
1.287,53,Oct 17 2021 01: +0,1634428800
1.253,45,Oct 18 2021 01: +0,1634515200
1.43,39,Oct 19 2021 01: +0,1634601600
1.273,41,Oct 20 2021 01: +0,1634688000
1.231,47,Oct 21 2021 01: +0,1634774400
1.004,84,Oct 22 2021 01: +0,1634860800
1.002,65,Oct 23 2021 01: +0,1634947200
1.044,41,Oct 24 2021 01: +0,1635033600
1.051,45,Oct 25 2021 01: +0,1635120000
1.041,41,Oct 26 2021 01: +0,1635206400
1.05,56,Oct 27 2021 01: +0,1635292800
1.03,58,Oct 28 2021 01: +0,1635379200
1.069,46,Oct 29 2021 01: +0,1635465600
1.124,53,Oct 30 2021 01: +0,1635552000
1.153,58,Oct 31 2021 01: +0,1635638400
1.223,43,Nov 01 2021 01: +0,1635728400
1.356,42,Nov 02 2021 01: +0,1635814800
1.269,43,Nov 03 2021 01: +0,1635901200
1.326,40,Nov 04 2021 01: +0,1635987600
1.329,39,Nov 05 2021 01: +0,1636074000
1.336,41,Nov 06 2021 01: +0,1636160400
1.291,32,Nov 07 2021 01: +0,1636246800
1.347,37,Nov 08 2021 01: +0,1636333200
1.153,43,Nov 09 2021 01: +0,1636419600
1.048,70,Nov 10 2021 01: +0,1636506000
1.049,50,Nov 11 2021 01: +0,1636592400
1.134,51,Nov 12 2021 01: +0,1636678800
1.028,41,Nov 13 2021 01: +0,1636765200
1.125,52,Nov 14 2021 01: +0,1636851600
1.162,36,Nov 15 2021 01: +0,1636938000
1.109,30,Nov 16 2021 01: +0,1637024400
1.137,41,Nov 17 2021 01: +0,1637110800
1.156,37,Nov 18 2021 01: +0,1637197200
