price,quantity,date,unix timestamp
34.857,2,Apr 28 2016 01: +0,1461801600
32.081,5,Apr 29 2016 01: +0,1461888000
24.768,11,Apr 30 2016 01: +0,1461974400
17.2,10,May 01 2016 01: +0,1462060800
16.113,15,May 02 2016 01: +0,1462147200
18.74,2,May 03 2016 01: +0,1462233600
20.45,6,May 04 2016 01: +0,1462320000
20.01,6,May 05 2016 01: +0,1462406400
17.844,3,May 06 2016 01: +0,1462492800
20.213,4,May 07 2016 01: +0,1462579200
21.143,3,May 08 2016 01: +0,1462665600
18.954,6,May 09 2016 01: +0,1462752000
19.865,6,May 10 2016 01: +0,1462838400
16.808,6,May 11 2016 01: +0,1462924800
15.013,6,May 12 2016 01: +0,1463011200
13.598,6,May 13 2016 01: +0,1463097600
13.836,11,May 14 2016 01: +0,1463184000
14.993,10,May 15 2016 01: +0,1463270400
14.267,3,May 16 2016 01: +0,1463356800
15.094,4,May 17 2016 01: +0,1463443200
15.826,5,May 18 2016 01: +0,1463529600
13.919,7,May 19 2016 01: +0,1463616000
13.514,3,May 20 2016 01: +0,1463702400
14.458,6,May 21 2016 01: +0,1463788800
13.371,5,May 22 2016 01: +0,1463875200
12.283,4,May 23 2016 01: +0,1463961600
11.681,2,May 24 2016 01: +0,1464048000
11.516,2,May 25 2016 01: +0,1464134400
10.206,7,May 26 2016 01: +0,1464220800
9.585,5,May 27 2016 01: +0,1464307200
10.434,9,May 28 2016 01: +0,1464393600
10.104,11,May 29 2016 01: +0,1464480000
10.766,6,May 30 2016 01: +0,1464566400
10.806,6,May 31 2016 01: +0,1464652800
10.41,8,Jun 01 2016 01: +0,1464739200
12.823,7,Jun 02 2016 01: +0,1464825600
13.837,6,Jun 03 2016 01: +0,1464912000
15.018,1,Jun 04 2016 01: +0,1464998400
12.669,4,Jun 05 2016 01: +0,1465084800
13.055,3,Jun 06 2016 01: +0,1465171200
12.652,6,Jun 07 2016 01: +0,1465257600
11.591,7,Jun 08 2016 01: +0,1465344000
10.979,12,Jun 09 2016 01: +0,1465430400
11.044,7,Jun 10 2016 01: +0,1465516800
10.399,12,Jun 11 2016 01: +0,1465603200
10.86,4,Jun 12 2016 01: +0,1465689600
10.214,5,Jun 13 2016 01: +0,1465776000
9.456,6,Jun 14 2016 01: +0,1465862400
9.776,6,Jun 15 2016 01: +0,1465948800
9.579,5,Jun 16 2016 01: +0,1466035200
9.541,10,Jun 17 2016 01: +0,1466121600
9.245,6,Jun 18 2016 01: +0,1466208000
9.313,4,Jun 19 2016 01: +0,1466294400
8.378,8,Jun 20 2016 01: +0,1466380800
8.725,10,Jun 21 2016 01: +0,1466467200
8.518,7,Jun 22 2016 01: +0,1466553600
7.544,7,Jun 23 2016 01: +0,1466640000
7.172,8,Jun 24 2016 01: +0,1466726400
6.483,7,Jun 25 2016 01: +0,1466812800
4.908,7,Jun 26 2016 01: +0,1466899200
5.811,10,Jun 27 2016 01: +0,1466985600
5.956,5,Jun 28 2016 01: +0,1467072000
5.824,4,Jun 29 2016 01: +0,1467158400
5.862,10,Jun 30 2016 01: +0,1467244800
6.182,14,Jul 01 2016 01: +0,1467331200
5.989,9,Jul 02 2016 01: +0,1467417600
5.487,5,Jul 03 2016 01: +0,1467504000
5.46,14,Jul 04 2016 01: +0,1467590400
5.375,12,Jul 05 2016 01: +0,1467676800
6.709,9,Jul 06 2016 01: +0,1467763200
8.27,5,Jul 07 2016 01: +0,1467849600
8.672,8,Jul 08 2016 01: +0,1467936000
8.453,4,Jul 09 2016 01: +0,1468022400
6.601,10,Jul 10 2016 01: +0,1468108800
6.58,5,Jul 11 2016 01: +0,1468195200
6.788,6,Jul 12 2016 01: +0,1468281600
7.028,9,Jul 13 2016 01: +0,1468368000
6.585,7,Jul 14 2016 01: +0,1468454400
7.295,7,Jul 15 2016 01: +0,1468540800
6.687,11,Jul 16 2016 01: +0,1468627200
7.041,8,Jul 17 2016 01: +0,1468713600
6.787,13,Jul 18 2016 01: +0,1468800000
6.95,6,Jul 19 2016 01: +0,1468886400
6.519,9,Jul 20 2016 01: +0,1468972800
6.275,7,Jul 21 2016 01: +0,1469059200
6.238,7,Jul 22 2016 01: +0,1469145600
6.125,14,Jul 23 2016 01: +0,1469232000
6.184,9,Jul 24 2016 01: +0,1469318400
6.021,9,Jul 25 2016 01: +0,1469404800
5.976,10,Jul 26 2016 01: +0,1469491200
5.94,10,Jul 27 2016 01: +0,1469577600
5.855,5,Jul 28 2016 01: +0,1469664000
6.53,6,Jul 29 2016 01: +0,1469750400
6.119,4,Jul 30 2016 01: +0,1469836800
5.709,8,Jul 31 2016 01: +0,1469923200
5.549,5,Aug 01 2016 01: +0,1470009600
5.35,9,Aug 02 2016 01: +0,1470096000
