price,quantity,date,unix timestamp
3.247,77,May 24 2017 01: +0,1495584000
3.291,84,May 25 2017 01: +0,1495670400
3.5,62,May 26 2017 01: +0,1495756800
3.461,56,May 27 2017 01: +0,1495843200
3.515,61,May 28 2017 01: +0,1495929600
3.648,43,May 29 2017 01: +0,1496016000
3.785,33,May 30 2017 01: +0,1496102400
3.688,42,May 31 2017 01: +0,1496188800
3.663,41,Jun 01 2017 01: +0,1496275200
3.878,40,Jun 02 2017 01: +0,1496361600
4.05,29,Jun 03 2017 01: +0,1496448000
4.1,38,Jun 04 2017 01: +0,1496534400
4.101,27,Jun 05 2017 01: +0,1496620800
4.225,28,Jun 06 2017 01: +0,1496707200
3.529,51,Jun 07 2017 01: +0,1496793600
3.026,52,Jun 08 2017 01: +0,1496880000
3.044,66,Jun 09 2017 01: +0,1496966400
3.365,50,Jun 10 2017 01: +0,1497052800
3.411,44,Jun 11 2017 01: +0,1497139200
3.288,51,Jun 12 2017 01: +0,1497225600
3.218,53,Jun 13 2017 01: +0,1497312000
3.34,28,Jun 14 2017 01: +0,1497398400
3.462,20,Jun 15 2017 01: +0,1497484800
3.542,35,Jun 16 2017 01: +0,1497571200
3.369,36,Jun 17 2017 01: +0,1497657600
3.53,25,Jun 18 2017 01: +0,1497744000
3.49,35,Jun 19 2017 01: +0,1497830400
3.348,30,Jun 20 2017 01: +0,1497916800
3.131,36,Jun 21 2017 01: +0,1498003200
2.894,42,Jun 22 2017 01: +0,1498089600
2.568,44,Jun 23 2017 01: +0,1498176000
2.64,40,Jun 24 2017 01: +0,1498262400
2.598,58,Jun 25 2017 01: +0,1498348800
2.635,37,Jun 26 2017 01: +0,1498435200
2.87,36,Jun 27 2017 01: +0,1498521600
3.062,25,Jun 28 2017 01: +0,1498608000
2.846,39,Jun 29 2017 01: +0,1498694400
2.935,35,Jun 30 2017 01: +0,1498780800
2.964,36,Jul 01 2017 01: +0,1498867200
2.9,36,Jul 02 2017 01: +0,1498953600
2.863,39,Jul 03 2017 01: +0,1499040000
2.918,42,Jul 04 2017 01: +0,1499126400
2.797,46,Jul 05 2017 01: +0,1499212800
2.857,42,Jul 06 2017 01: +0,1499299200
2.994,33,Jul 07 2017 01: +0,1499385600
2.84,35,Jul 08 2017 01: +0,1499472000
2.969,36,Jul 09 2017 01: +0,1499558400
3.023,33,Jul 10 2017 01: +0,1499644800
3.046,38,Jul 11 2017 01: +0,1499731200
2.959,29,Jul 12 2017 01: +0,1499817600
3.009,43,Jul 13 2017 01: +0,1499904000
2.928,26,Jul 14 2017 01: +0,1499990400
2.822,59,Jul 15 2017 01: +0,1500076800
2.953,52,Jul 16 2017 01: +0,1500163200
2.964,31,Jul 17 2017 01: +0,1500249600
3.153,43,Jul 18 2017 01: +0,1500336000
3.097,36,Jul 19 2017 01: +0,1500422400
3.068,51,Jul 20 2017 01: +0,1500508800
3.123,47,Jul 21 2017 01: +0,1500595200
3.06,48,Jul 22 2017 01: +0,1500681600
2.955,40,Jul 23 2017 01: +0,1500768000
2.873,41,Jul 24 2017 01: +0,1500854400
2.999,48,Jul 25 2017 01: +0,1500940800
3.116,52,Jul 26 2017 01: +0,1501027200
3.446,44,Jul 27 2017 01: +0,1501113600
3.443,32,Jul 28 2017 01: +0,1501200000
3.212,33,Jul 29 2017 01: +0,1501286400
3.168,30,Jul 30 2017 01: +0,1501372800
3.017,56,Jul 31 2017 01: +0,1501459200
2.933,51,Aug 01 2017 01: +0,1501545600
3.171,33,Aug 02 2017 01: +0,1501632000
3.016,48,Aug 03 2017 01: +0,1501718400
3.078,54,Aug 04 2017 01: +0,1501804800
3.113,57,Aug 05 2017 01: +0,1501891200
3.079,42,Aug 06 2017 01: +0,1501977600
3.047,32,Aug 07 2017 01: +0,1502064000
3.11,32,Aug 08 2017 01: +0,1502150400
3.16,28,Aug 09 2017 01: +0,1502236800
3.067,38,Aug 10 2017 01: +0,1502323200
3.094,43,Aug 11 2017 01: +0,1502409600
2.97,43,Aug 12 2017 01: +0,1502496000
3.108,43,Aug 13 2017 01: +0,1502582400
3.107,36,Aug 14 2017 01: +0,1502668800
3.059,42,Aug 15 2017 01: +0,1502755200
3.035,45,Aug 16 2017 01: +0,1502841600
3.023,44,Aug 17 2017 01: +0,1502928000
2.983,46,Aug 18 2017 01: +0,1503014400
2.884,31,Aug 19 2017 01: +0,1503100800
2.977,44,Aug 20 2017 01: +0,1503187200
2.808,34,Aug 21 2017 01: +0,1503273600
2.796,41,Aug 22 2017 01: +0,1503360000
2.885,26,Aug 23 2017 01: +0,1503446400
2.69,60,Aug 24 2017 01: +0,1503532800
2.916,33,Aug 25 2017 01: +0,1503619200
2.708,55,Aug 26 2017 01: +0,1503705600
2.867,38,Aug 27 2017 01: +0,1503792000
2.822,27,Aug 28 2017 01: +0,1503878400
2.775,37,Aug 29 2017 01: +0,1503964800
2.825,36,Aug 30 2017 01: +0,1504051200
2.758,45,Aug 31 2017 01: +0,1504137600
2.674,52,Sep 01 2017 01: +0,1504224000
2.733,51,Sep 02 2017 01: +0,1504310400
