price,quantity,date,unix timestamp
15.187,3,Feb 10 2023 01: +0,1675990800
16.289,3,Feb 11 2023 01: +0,1676077200
16.706,6,Feb 12 2023 01: +0,1676163600
15.787,6,Feb 13 2023 01: +0,1676250000
16.058,6,Feb 14 2023 01: +0,1676336400
12.994,7,Feb 15 2023 01: +0,1676422800
15.157,6,Feb 16 2023 01: +0,1676509200
13.634,7,Feb 17 2023 01: +0,1676595600
12.265,10,Feb 18 2023 01: +0,1676682000
14.314,6,Feb 19 2023 01: +0,1676768400
10.403,1,Feb 20 2023 01: +0,1676854800
12.408,5,Feb 21 2023 01: +0,1676941200
13.09,6,Feb 22 2023 01: +0,1677027600
12.972,9,Feb 23 2023 01: +0,1677114000
12.23,8,Feb 24 2023 01: +0,1677200400
11.921,6,Feb 25 2023 01: +0,1677286800
10.693,16,Feb 26 2023 01: +0,1677373200
9.606,9,Feb 27 2023 01: +0,1677459600
9.852,11,Feb 28 2023 01: +0,1677546000
12.323,8,Mar 01 2023 01: +0,1677632400
12.759,5,Mar 02 2023 01: +0,1677718800
12.003,11,Mar 03 2023 01: +0,1677805200
11.754,16,Mar 04 2023 01: +0,1677891600
11.647,5,Mar 05 2023 01: +0,1677978000
12.325,5,Mar 06 2023 01: +0,1678064400
11.772,8,Mar 07 2023 01: +0,1678150800
10.898,8,Mar 08 2023 01: +0,1678237200
11.86,10,Mar 09 2023 01: +0,1678323600
12.205,6,Mar 10 2023 01: +0,1678410000
9.562,1,Mar 10 2023 20: +0,1678478400
12.89,1,Mar 10 2023 21: +0,1678482000
12.961,1,Mar 11 2023 01: +0,1678496400
10.489,1,Mar 11 2023 02: +0,1678500000
10.781,2,Mar 11 2023 03: +0,1678503600
13.056,1,Mar 11 2023 04: +0,1678507200
13.121,1,Mar 11 2023 06: +0,1678514400
13.111,1,Mar 11 2023 08: +0,1678521600
13.122,1,Mar 11 2023 12: +0,1678536000
13.126,1,Mar 11 2023 13: +0,1678539600
13.092,1,Mar 11 2023 15: +0,1678546800
10.943,1,Mar 11 2023 16: +0,1678550400
11.9,2,Mar 11 2023 20: +0,1678564800
13.03,1,Mar 12 2023 00: +0,1678579200
8.884,1,Mar 12 2023 01: +0,1678582800
10.758,1,Mar 12 2023 05: +0,1678597200
13.016,1,Mar 12 2023 07: +0,1678604400
10.874,2,Mar 12 2023 10: +0,1678615200
10.816,2,Mar 12 2023 13: +0,1678626000
10.766,3,Mar 12 2023 14: +0,1678629600
12.57,2,Mar 12 2023 15: +0,1678633200
10.759,1,Mar 12 2023 17: +0,1678640400
11.63,1,Mar 12 2023 20: +0,1678651200
9.464,1,Mar 12 2023 22: +0,1678658400
11.738,1,Mar 13 2023 17: +0,1678726800
11.609,2,Mar 13 2023 21: +0,1678741200
12.103,1,Mar 14 2023 11: +0,1678791600
12.076,1,Mar 14 2023 17: +0,1678813200
11.451,1,Mar 14 2023 21: +0,1678827600
11.471,1,Mar 15 2023 04: +0,1678852800
11.385,2,Mar 15 2023 06: +0,1678860000
10.398,1,Mar 15 2023 08: +0,1678867200
11.323,2,Mar 15 2023 14: +0,1678888800
11.232,1,Mar 15 2023 19: +0,1678906800
10.04,1,Mar 15 2023 20: +0,1678910400
9.912,1,Mar 15 2023 21: +0,1678914000
9.699,2,Mar 15 2023 23: +0,1678921200
12.712,1,Mar 16 2023 07: +0,1678950000
10.244,1,Mar 16 2023 09: +0,1678957200
9.943,1,Mar 16 2023 10: +0,1678960800
9.233,1,Mar 16 2023 14: +0,1678975200
8.863,3,Mar 16 2023 16: +0,1678982400
9.269,1,Mar 16 2023 19: +0,1678993200
9.228,1,Mar 16 2023 20: +0,1678996800
9.005,1,Mar 16 2023 21: +0,1679000400
8.532,1,Mar 16 2023 22: +0,1679004000
10.052,1,Mar 17 2023 12: +0,1679054400
9.892,1,Mar 17 2023 13: +0,1679058000
9.525,2,Mar 17 2023 14: +0,1679061600
9.283,2,Mar 17 2023 16: +0,1679068800
9.901,2,Mar 17 2023 19: +0,1679079600
10.02,1,Mar 17 2023 20: +0,1679083200
10.016,1,Mar 17 2023 21: +0,1679086800
9.585,2,Mar 17 2023 22: +0,1679090400
9.02,1,Mar 17 2023 23: +0,1679094000
10.452,1,Mar 18 2023 01: +0,1679101200
11.097,1,Mar 18 2023 07: +0,1679122800
9.129,1,Mar 18 2023 09: +0,1679130000
10.298,1,Mar 18 2023 15: +0,1679151600
9.056,1,Mar 18 2023 17: +0,1679158800
10.277,1,Mar 18 2023 18: +0,1679162400
10.305,1,Mar 18 2023 19: +0,1679166000
9.758,3,Mar 18 2023 20: +0,1679169600
9.255,2,Mar 18 2023 22: +0,1679176800
10.019,1,Mar 18 2023 23: +0,1679180400
10.31,1,Mar 19 2023 01: +0,1679187600
9.561,2,Mar 19 2023 04: +0,1679198400
10.483,1,Mar 19 2023 05: +0,1679202000
10.833,1,Mar 19 2023 06: +0,1679205600
11.46,1,Mar 19 2023 09: +0,1679216400
8.361,1,Mar 19 2023 11: +0,1679223600
8.344,1,Mar 19 2023 12: +0,1679227200
9.851,2,Mar 19 2023 13: +0,1679230800
11.342,1,Mar 19 2023 14: +0,1679234400
9.434,1,Mar 19 2023 18: +0,1679248800
10.169,2,Mar 19 2023 19: +0,1679252400
8.615,1,Mar 20 2023 00: +0,1679270400
10.456,1,Mar 20 2023 13: +0,1679317200
10.841,1,Mar 20 2023 15: +0,1679324400
10.132,1,Mar 20 2023 16: +0,1679328000
7.879,1,Mar 20 2023 19: +0,1679338800
11.019,1,Mar 20 2023 22: +0,1679349600
8.693,1,Mar 21 2023 04: +0,1679371200
10.48,1,Mar 21 2023 06: +0,1679378400
8.812,1,Mar 21 2023 10: +0,1679392800
8.596,1,Mar 21 2023 13: +0,1679403600
8.468,1,Mar 21 2023 22: +0,1679436000
8.59,1,Mar 22 2023 01: +0,1679446800
10.906,1,Mar 22 2023 03: +0,1679454000
10.914,1,Mar 22 2023 09: +0,1679475600
