price,quantity,date,unix timestamp
65.075,4,Feb 18 2016 01: +0,1455757200
53.377,22,Feb 19 2016 01: +0,1455843600
55.813,8,Feb 20 2016 01: +0,1455930000
52.961,14,Feb 21 2016 01: +0,1456016400
57.943,5,Feb 22 2016 01: +0,1456102800
52.575,7,Feb 23 2016 01: +0,1456189200
53.447,7,Feb 24 2016 01: +0,1456275600
59.0,6,Feb 25 2016 01: +0,1456362000
66.404,5,Feb 26 2016 01: +0,1456448400
64.428,8,Feb 27 2016 01: +0,1456534800
49.659,1,Feb 28 2016 01: +0,1456621200
50.675,3,Feb 29 2016 01: +0,1456707600
51.234,8,Mar 01 2016 01: +0,1456794000
51.674,10,Mar 02 2016 01: +0,1456880400
51.693,7,Mar 03 2016 01: +0,1456966800
55.766,7,Mar 04 2016 01: +0,1457053200
47.379,7,Mar 05 2016 01: +0,1457139600
43.092,13,Mar 06 2016 01: +0,1457226000
42.32,4,Mar 07 2016 01: +0,1457312400
41.673,8,Mar 08 2016 01: +0,1457398800
37.953,7,Mar 09 2016 01: +0,1457485200
46.438,7,Mar 10 2016 01: +0,1457571600
46.669,4,Mar 11 2016 01: +0,1457658000
51.383,3,Mar 12 2016 01: +0,1457744400
49.756,8,Mar 13 2016 01: +0,1457830800
49.277,7,Mar 14 2016 01: +0,1457917200
51.458,4,Mar 15 2016 01: +0,1458003600
46.647,4,Mar 16 2016 01: +0,1458090000
47.912,9,Mar 17 2016 01: +0,1458176400
63.897,6,Mar 18 2016 01: +0,1458262800
52.888,8,Mar 19 2016 01: +0,1458349200
47.378,8,Mar 20 2016 01: +0,1458435600
49.749,6,Mar 21 2016 01: +0,1458522000
56.308,7,Mar 22 2016 01: +0,1458608400
49.632,6,Mar 23 2016 01: +0,1458694800
43.677,9,Mar 24 2016 01: +0,1458781200
46.474,11,Mar 25 2016 01: +0,1458867600
48.107,9,Mar 26 2016 01: +0,1458954000
49.276,7,Mar 27 2016 01: +0,1459040400
50.314,7,Mar 28 2016 01: +0,1459123200
52.436,5,Mar 29 2016 01: +0,1459209600
51.106,9,Mar 30 2016 01: +0,1459296000
51.056,8,Mar 31 2016 01: +0,1459382400
69.487,5,Apr 01 2016 01: +0,1459468800
59.584,9,Apr 02 2016 01: +0,1459555200
53.292,6,Apr 03 2016 01: +0,1459641600
47.588,7,Apr 04 2016 01: +0,1459728000
51.718,10,Apr 05 2016 01: +0,1459814400
53.058,5,Apr 06 2016 01: +0,1459900800
52.759,7,Apr 07 2016 01: +0,1459987200
58.476,5,Apr 08 2016 01: +0,1460073600
65.813,6,Apr 09 2016 01: +0,1460160000
60.568,9,Apr 10 2016 01: +0,1460246400
58.711,3,Apr 11 2016 01: +0,1460332800
48.446,8,Apr 12 2016 01: +0,1460419200
54.24,7,Apr 13 2016 01: +0,1460505600
51.487,8,Apr 14 2016 01: +0,1460592000
51.436,6,Apr 15 2016 01: +0,1460678400
53.137,13,Apr 16 2016 01: +0,1460764800
51.96,5,Apr 17 2016 01: +0,1460851200
56.448,7,Apr 18 2016 01: +0,1460937600
51.508,5,Apr 19 2016 01: +0,1461024000
48.992,7,Apr 20 2016 01: +0,1461110400
50.797,4,Apr 21 2016 01: +0,1461196800
50.35,10,Apr 22 2016 01: +0,1461283200
48.198,9,Apr 23 2016 01: +0,1461369600
46.529,8,Apr 24 2016 01: +0,1461456000
49.863,8,Apr 25 2016 01: +0,1461542400
45.152,6,Apr 26 2016 01: +0,1461628800
44.756,5,Apr 27 2016 01: +0,1461715200
50.484,7,Apr 28 2016 01: +0,1461801600
