price,quantity,date,unix timestamp
1.818,28,Mar 14 2019 01: +0,1552525200
1.22,51,Mar 15 2019 01: +0,1552611600
1.109,55,Mar 16 2019 01: +0,1552698000
0.904,35,Mar 17 2019 01: +0,1552784400
1.004,50,Mar 18 2019 01: +0,1552870800
0.968,26,Mar 19 2019 01: +0,1552957200
0.813,44,Mar 20 2019 01: +0,1553043600
0.91,35,Mar 21 2019 01: +0,1553130000
0.869,34,Mar 22 2019 01: +0,1553216400
0.833,38,Mar 23 2019 01: +0,1553302800
0.707,74,Mar 24 2019 01: +0,1553389200
0.666,38,Mar 25 2019 01: +0,1553475600
0.754,40,Mar 26 2019 01: +0,1553562000
0.67,50,Mar 27 2019 01: +0,1553648400
0.662,25,Mar 28 2019 01: +0,1553734800
0.664,41,Mar 29 2019 01: +0,1553821200
0.662,33,Mar 30 2019 01: +0,1553907600
0.625,52,Mar 31 2019 01: +0,1553994000
0.581,27,Apr 01 2019 01: +0,1554076800
0.625,39,Apr 02 2019 01: +0,1554163200
0.58,39,Apr 03 2019 01: +0,1554249600
0.545,39,Apr 04 2019 01: +0,1554336000
0.577,47,Apr 05 2019 01: +0,1554422400
0.528,64,Apr 06 2019 01: +0,1554508800
0.603,69,Apr 07 2019 01: +0,1554595200
0.537,43,Apr 08 2019 01: +0,1554681600
0.554,38,Apr 09 2019 01: +0,1554768000
0.568,58,Apr 10 2019 01: +0,1554854400
0.636,47,Apr 11 2019 01: +0,1554940800
0.626,44,Apr 12 2019 01: +0,1555027200
0.566,44,Apr 13 2019 01: +0,1555113600
0.544,74,Apr 14 2019 01: +0,1555200000
0.538,42,Apr 15 2019 01: +0,1555286400
0.516,54,Apr 16 2019 01: +0,1555372800
0.506,54,Apr 17 2019 01: +0,1555459200
0.516,36,Apr 18 2019 01: +0,1555545600
0.518,37,Apr 19 2019 01: +0,1555632000
0.472,57,Apr 20 2019 01: +0,1555718400
0.459,37,Apr 21 2019 01: +0,1555804800
0.406,51,Apr 22 2019 01: +0,1555891200
0.459,62,Apr 23 2019 01: +0,1555977600
0.471,52,Apr 24 2019 01: +0,1556064000
0.458,72,Apr 25 2019 01: +0,1556150400
0.419,38,Apr 26 2019 01: +0,1556236800
0.453,66,Apr 27 2019 01: +0,1556323200
0.396,45,Apr 28 2019 01: +0,1556409600
0.361,30,Apr 29 2019 01: +0,1556496000
0.344,61,Apr 30 2019 01: +0,1556582400
0.407,71,May 01 2019 01: +0,1556668800
0.384,49,May 02 2019 01: +0,1556755200
0.395,66,May 03 2019 01: +0,1556841600
0.413,48,May 04 2019 01: +0,1556928000
0.405,60,May 05 2019 01: +0,1557014400
0.405,63,May 06 2019 01: +0,1557100800
0.417,46,May 07 2019 01: +0,1557187200
0.371,34,May 08 2019 01: +0,1557273600
0.401,43,May 09 2019 01: +0,1557360000
0.363,40,May 10 2019 01: +0,1557446400
0.373,59,May 11 2019 01: +0,1557532800
0.368,58,May 12 2019 01: +0,1557619200
0.365,54,May 13 2019 01: +0,1557705600
0.386,49,May 14 2019 01: +0,1557792000
0.363,32,May 15 2019 01: +0,1557878400
0.345,43,May 16 2019 01: +0,1557964800
0.362,37,May 17 2019 01: +0,1558051200
0.328,48,May 18 2019 01: +0,1558137600
0.351,39,May 19 2019 01: +0,1558224000
0.308,58,May 20 2019 01: +0,1558310400
0.337,48,May 21 2019 01: +0,1558396800
0.313,47,May 22 2019 01: +0,1558483200
0.339,45,May 23 2019 01: +0,1558569600
