price,quantity,date,unix timestamp
8.894,20,Feb 10 2023 01: +0,1675990800
6.687,29,Feb 11 2023 01: +0,1676077200
8.096,28,Feb 12 2023 01: +0,1676163600
5.06,24,Feb 13 2023 01: +0,1676250000
5.801,17,Feb 14 2023 01: +0,1676336400
5.49,13,Feb 15 2023 01: +0,1676422800
5.379,20,Feb 16 2023 01: +0,1676509200
4.664,15,Feb 17 2023 01: +0,1676595600
4.333,18,Feb 18 2023 01: +0,1676682000
4.043,22,Feb 19 2023 01: +0,1676768400
4.509,11,Feb 20 2023 01: +0,1676854800
4.073,23,Feb 21 2023 01: +0,1676941200
4.313,14,Feb 22 2023 01: +0,1677027600
3.693,20,Feb 23 2023 01: +0,1677114000
4.004,15,Feb 24 2023 01: +0,1677200400
3.962,13,Feb 25 2023 01: +0,1677286800
3.525,22,Feb 26 2023 01: +0,1677373200
3.271,19,Feb 27 2023 01: +0,1677459600
4.142,21,Feb 28 2023 01: +0,1677546000
4.742,17,Mar 01 2023 01: +0,1677632400
3.388,16,Mar 02 2023 01: +0,1677718800
3.448,24,Mar 03 2023 01: +0,1677805200
3.743,14,Mar 04 2023 01: +0,1677891600
3.895,21,Mar 05 2023 01: +0,1677978000
3.874,13,Mar 06 2023 01: +0,1678064400
4.055,15,Mar 07 2023 01: +0,1678150800
3.88,17,Mar 08 2023 01: +0,1678237200
3.972,17,Mar 09 2023 01: +0,1678323600
3.954,7,Mar 10 2023 01: +0,1678410000
3.964,1,Mar 10 2023 19: +0,1678474800
6.546,1,Mar 10 2023 22: +0,1678485600
3.371,1,Mar 10 2023 23: +0,1678489200
4.407,1,Mar 11 2023 01: +0,1678496400
3.472,4,Mar 11 2023 02: +0,1678500000
3.258,1,Mar 11 2023 05: +0,1678510800
3.387,1,Mar 11 2023 08: +0,1678521600
3.464,2,Mar 11 2023 09: +0,1678525200
3.705,1,Mar 11 2023 12: +0,1678536000
3.592,2,Mar 11 2023 13: +0,1678539600
3.439,2,Mar 11 2023 14: +0,1678543200
3.226,2,Mar 11 2023 15: +0,1678546800
3.627,2,Mar 11 2023 16: +0,1678550400
3.569,2,Mar 11 2023 21: +0,1678568400
3.833,2,Mar 11 2023 23: +0,1678575600
4.089,1,Mar 12 2023 01: +0,1678582800
3.661,1,Mar 12 2023 02: +0,1678586400
4.242,1,Mar 12 2023 04: +0,1678593600
3.718,1,Mar 12 2023 06: +0,1678600800
3.492,1,Mar 12 2023 08: +0,1678608000
4.087,1,Mar 12 2023 12: +0,1678622400
3.772,2,Mar 12 2023 13: +0,1678626000
4.035,2,Mar 12 2023 14: +0,1678629600
3.581,2,Mar 12 2023 16: +0,1678636800
