price,quantity,date,unix timestamp
10.374,80,May 04 2021 01: +0,1620086400
8.387,52,May 05 2021 01: +0,1620172800
7.211,71,May 06 2021 01: +0,1620259200
6.156,59,May 07 2021 01: +0,1620345600
5.899,59,May 08 2021 01: +0,1620432000
5.316,62,May 09 2021 01: +0,1620518400
4.641,54,May 10 2021 01: +0,1620604800
4.882,65,May 11 2021 01: +0,1620691200
5.36,51,May 12 2021 01: +0,1620777600
4.473,47,May 13 2021 01: +0,1620864000
4.158,64,May 14 2021 01: +0,1620950400
4.235,59,May 15 2021 01: +0,1621036800
4.112,53,May 16 2021 01: +0,1621123200
4.281,60,May 17 2021 01: +0,1621209600
4.108,55,May 18 2021 01: +0,1621296000
4.09,53,May 19 2021 01: +0,1621382400
4.238,68,May 20 2021 01: +0,1621468800
3.929,56,May 21 2021 01: +0,1621555200
4.382,66,May 22 2021 01: +0,1621641600
4.566,56,May 23 2021 01: +0,1621728000
4.34,56,May 24 2021 01: +0,1621814400
4.301,54,May 25 2021 01: +0,1621900800
4.366,47,May 26 2021 01: +0,1621987200
4.256,58,May 27 2021 01: +0,1622073600
4.24,55,May 28 2021 01: +0,1622160000
3.872,48,May 29 2021 01: +0,1622246400
3.692,62,May 30 2021 01: +0,1622332800
3.566,56,May 31 2021 01: +0,1622419200
3.458,60,Jun 01 2021 01: +0,1622505600
3.266,53,Jun 02 2021 01: +0,1622592000
3.281,57,Jun 03 2021 01: +0,1622678400
3.072,70,Jun 04 2021 01: +0,1622764800
3.212,65,Jun 05 2021 01: +0,1622851200
3.175,58,Jun 06 2021 01: +0,1622937600
3.07,53,Jun 07 2021 01: +0,1623024000
3.175,55,Jun 08 2021 01: +0,1623110400
3.054,41,Jun 09 2021 01: +0,1623196800
3.023,40,Jun 10 2021 01: +0,1623283200
3.084,40,Jun 11 2021 01: +0,1623369600
3.208,44,Jun 12 2021 01: +0,1623456000
3.376,39,Jun 13 2021 01: +0,1623542400
3.31,50,Jun 14 2021 01: +0,1623628800
3.346,63,Jun 15 2021 01: +0,1623715200
3.411,38,Jun 16 2021 01: +0,1623801600
3.212,38,Jun 17 2021 01: +0,1623888000
3.163,43,Jun 18 2021 01: +0,1623974400
3.002,28,Jun 19 2021 01: +0,1624060800
2.961,43,Jun 20 2021 01: +0,1624147200
2.876,39,Jun 21 2021 01: +0,1624233600
2.696,67,Jun 22 2021 01: +0,1624320000
2.61,55,Jun 23 2021 01: +0,1624406400
2.647,63,Jun 24 2021 01: +0,1624492800
2.321,45,Jun 25 2021 01: +0,1624579200
2.247,49,Jun 26 2021 01: +0,1624665600
2.213,61,Jun 27 2021 01: +0,1624752000
2.275,53,Jun 28 2021 01: +0,1624838400
2.246,45,Jun 29 2021 01: +0,1624924800
2.086,58,Jun 30 2021 01: +0,1625011200
2.105,31,Jul 01 2021 01: +0,1625097600
