price,quantity,date,unix timestamp
13.727,114,Jun 12 2014 01: +0,1402531200
9.847,105,Jun 13 2014 01: +0,1402617600
9.873,95,Jun 14 2014 01: +0,1402704000
8.285,95,Jun 15 2014 01: +0,1402790400
8.071,84,Jun 16 2014 01: +0,1402876800
7.461,74,Jun 17 2014 01: +0,1402963200
5.986,92,Jun 18 2014 01: +0,1403049600
5.335,107,Jun 19 2014 01: +0,1403136000
5.028,107,Jun 20 2014 01: +0,1403222400
4.97,94,Jun 21 2014 01: +0,1403308800
4.529,103,Jun 22 2014 01: +0,1403395200
4.259,89,Jun 23 2014 01: +0,1403481600
4.135,110,Jun 24 2014 01: +0,1403568000
4.095,110,Jun 25 2014 01: +0,1403654400
4.129,101,Jun 26 2014 01: +0,1403740800
4.506,114,Jun 27 2014 01: +0,1403827200
4.18,116,Jun 28 2014 01: +0,1403913600
3.905,131,Jun 29 2014 01: +0,1404000000
3.98,118,Jun 30 2014 01: +0,1404086400
4.224,116,Jul 01 2014 01: +0,1404172800
2.723,207,Jul 02 2014 01: +0,1404259200
2.949,160,Jul 03 2014 01: +0,1404345600
2.931,143,Jul 04 2014 01: +0,1404432000
3.05,134,Jul 05 2014 01: +0,1404518400
3.153,146,Jul 06 2014 01: +0,1404604800
3.267,135,Jul 07 2014 01: +0,1404691200
3.15,136,Jul 08 2014 01: +0,1404777600
3.001,173,Jul 09 2014 01: +0,1404864000
3.01,152,Jul 10 2014 01: +0,1404950400
2.996,141,Jul 11 2014 01: +0,1405036800
2.741,158,Jul 12 2014 01: +0,1405123200
2.542,155,Jul 13 2014 01: +0,1405209600
2.48,183,Jul 14 2014 01: +0,1405296000
2.458,159,Jul 15 2014 01: +0,1405382400
2.593,157,Jul 16 2014 01: +0,1405468800
2.502,143,Jul 17 2014 01: +0,1405555200
2.493,132,Jul 18 2014 01: +0,1405641600
2.484,148,Jul 19 2014 01: +0,1405728000
2.382,148,Jul 20 2014 01: +0,1405814400
2.267,149,Jul 21 2014 01: +0,1405900800
2.296,142,Jul 22 2014 01: +0,1405987200
2.157,167,Jul 23 2014 01: +0,1406073600
2.162,179,Jul 24 2014 01: +0,1406160000
2.294,178,Jul 25 2014 01: +0,1406246400
2.192,184,Jul 26 2014 01: +0,1406332800
2.344,205,Jul 27 2014 01: +0,1406419200
2.308,197,Jul 28 2014 01: +0,1406505600
2.152,200,Jul 29 2014 01: +0,1406592000
2.274,160,Jul 30 2014 01: +0,1406678400
2.189,187,Jul 31 2014 01: +0,1406764800
2.166,203,Aug 01 2014 01: +0,1406851200
2.251,188,Aug 02 2014 01: +0,1406937600
2.107,222,Aug 03 2014 01: +0,1407024000
2.04,223,Aug 04 2014 01: +0,1407110400
1.858,208,Aug 05 2014 01: +0,1407196800
1.849,184,Aug 06 2014 01: +0,1407283200
1.897,179,Aug 07 2014 01: +0,1407369600
1.891,204,Aug 08 2014 01: +0,1407456000
1.888,196,Aug 09 2014 01: +0,1407542400
1.767,182,Aug 10 2014 01: +0,1407628800
1.795,180,Aug 11 2014 01: +0,1407715200
1.725,198,Aug 12 2014 01: +0,1407801600
1.738,206,Aug 13 2014 01: +0,1407888000
1.771,216,Aug 14 2014 01: +0,1407974400
1.802,213,Aug 15 2014 01: +0,1408060800
1.892,241,Aug 16 2014 01: +0,1408147200
1.53,286,Aug 17 2014 01: +0,1408233600
1.557,210,Aug 18 2014 01: +0,1408320000
1.695,195,Aug 19 2014 01: +0,1408406400
1.711,209,Aug 20 2014 01: +0,1408492800
1.576,218,Aug 21 2014 01: +0,1408579200
1.607,242,Aug 22 2014 01: +0,1408665600
1.719,211,Aug 23 2014 01: +0,1408752000
1.684,215,Aug 24 2014 01: +0,1408838400
1.78,219,Aug 25 2014 01: +0,1408924800
1.729,244,Aug 26 2014 01: +0,1409011200
1.74,231,Aug 27 2014 01: +0,1409097600
1.62,236,Aug 28 2014 01: +0,1409184000
1.599,289,Aug 29 2014 01: +0,1409270400
1.718,286,Aug 30 2014 01: +0,1409356800
1.715,251,Aug 31 2014 01: +0,1409443200
1.737,218,Sep 01 2014 01: +0,1409529600
1.66,214,Sep 02 2014 01: +0,1409616000
1.712,234,Sep 03 2014 01: +0,1409702400
1.635,220,Sep 04 2014 01: +0,1409788800
1.564,244,Sep 05 2014 01: +0,1409875200
1.538,283,Sep 06 2014 01: +0,1409961600
1.567,271,Sep 07 2014 01: +0,1410048000
1.606,225,Sep 08 2014 01: +0,1410134400
1.548,205,Sep 09 2014 01: +0,1410220800
1.6,217,Sep 10 2014 01: +0,1410307200
1.466,266,Sep 11 2014 01: +0,1410393600
1.368,309,Sep 12 2014 01: +0,1410480000
1.329,302,Sep 13 2014 01: +0,1410566400
1.331,294,Sep 14 2014 01: +0,1410652800
1.456,213,Sep 15 2014 01: +0,1410739200
1.468,241,Sep 16 2014 01: +0,1410825600
1.364,241,Sep 17 2014 01: +0,1410912000
1.385,231,Sep 18 2014 01: +0,1410998400
1.364,297,Sep 19 2014 01: +0,1411084800
1.249,321,Sep 20 2014 01: +0,1411171200
1.279,307,Sep 21 2014 01: +0,1411257600
1.274,243,Sep 22 2014 01: +0,1411344000
1.272,243,Sep 23 2014 01: +0,1411430400
1.242,214,Sep 24 2014 01: +0,1411516800
1.294,217,Sep 25 2014 01: +0,1411603200
1.228,282,Sep 26 2014 01: +0,1411689600
1.158,301,Sep 27 2014 01: +0,1411776000
1.185,288,Sep 28 2014 01: +0,1411862400
1.125,226,Sep 29 2014 01: +0,1411948800
1.075,255,Sep 30 2014 01: +0,1412035200
1.138,277,Oct 01 2014 01: +0,1412121600
1.164,229,Oct 02 2014 01: +0,1412208000
1.179,309,Oct 03 2014 01: +0,1412294400
1.153,344,Oct 04 2014 01: +0,1412380800
1.167,316,Oct 05 2014 01: +0,1412467200
1.151,267,Oct 06 2014 01: +0,1412553600
1.082,272,Oct 07 2014 01: +0,1412640000
1.126,277,Oct 08 2014 01: +0,1412726400
1.15,279,Oct 09 2014 01: +0,1412812800
1.117,354,Oct 10 2014 01: +0,1412899200
1.093,377,Oct 11 2014 01: +0,1412985600
1.079,376,Oct 12 2014 01: +0,1413072000
1.066,322,Oct 13 2014 01: +0,1413158400
1.171,291,Oct 14 2014 01: +0,1413244800
1.079,299,Oct 15 2014 01: +0,1413331200
1.118,270,Oct 16 2014 01: +0,1413417600
1.046,316,Oct 17 2014 01: +0,1413504000
1.032,353,Oct 18 2014 01: +0,1413590400
0.988,356,Oct 19 2014 01: +0,1413676800
0.957,293,Oct 20 2014 01: +0,1413763200
1.0,284,Oct 21 2014 01: +0,1413849600
1.01,297,Oct 22 2014 01: +0,1413936000
0.994,291,Oct 23 2014 01: +0,1414022400
1.055,324,Oct 24 2014 01: +0,1414108800
1.059,337,Oct 25 2014 01: +0,1414195200
0.879,432,Oct 26 2014 01: +0,1414281600
0.901,342,Oct 27 2014 01: +0,1414371600
