price,quantity,date,unix timestamp
29.122,10,Oct 18 2019 01: +0,1571356800
26.909,53,Oct 19 2019 01: +0,1571443200
20.941,62,Oct 20 2019 01: +0,1571529600
17.721,38,Oct 21 2019 01: +0,1571616000
17.504,49,Oct 22 2019 01: +0,1571702400
16.68,41,Oct 23 2019 01: +0,1571788800
15.511,25,Oct 24 2019 01: +0,1571875200
18.332,15,Oct 25 2019 01: +0,1571961600
18.756,14,Oct 26 2019 01: +0,1572048000
22.198,19,Oct 27 2019 01: +0,1572134400
20.268,7,Oct 28 2019 01: +0,1572224400
21.784,10,Oct 29 2019 01: +0,1572310800
22.649,13,Oct 30 2019 01: +0,1572397200
20.532,2,Oct 31 2019 01: +0,1572483600
24.209,13,Nov 01 2019 01: +0,1572570000
23.253,20,Nov 02 2019 01: +0,1572656400
24.984,19,Nov 03 2019 01: +0,1572742800
24.573,13,Nov 04 2019 01: +0,1572829200
24.087,11,Nov 05 2019 01: +0,1572915600
24.925,16,Nov 06 2019 01: +0,1573002000
23.176,12,Nov 07 2019 01: +0,1573088400
22.149,15,Nov 08 2019 01: +0,1573174800
22.918,29,Nov 09 2019 01: +0,1573261200
20.935,16,Nov 10 2019 01: +0,1573347600
20.401,16,Nov 11 2019 01: +0,1573434000
17.839,15,Nov 12 2019 01: +0,1573520400
13.957,13,Nov 13 2019 01: +0,1573606800
15.559,15,Nov 14 2019 01: +0,1573693200
16.596,20,Nov 15 2019 01: +0,1573779600
18.851,22,Nov 16 2019 01: +0,1573866000
20.343,15,Nov 17 2019 01: +0,1573952400
18.806,4,Nov 18 2019 01: +0,1574038800
15.3,21,Nov 19 2019 01: +0,1574125200
12.205,22,Nov 20 2019 01: +0,1574211600
12.518,7,Nov 21 2019 01: +0,1574298000
12.5,19,Nov 22 2019 01: +0,1574384400
12.921,18,Nov 23 2019 01: +0,1574470800
13.046,19,Nov 24 2019 01: +0,1574557200
14.35,14,Nov 25 2019 01: +0,1574643600
12.287,7,Nov 26 2019 01: +0,1574730000
12.821,14,Nov 27 2019 01: +0,1574816400
13.212,6,Nov 28 2019 01: +0,1574902800
13.418,13,Nov 29 2019 01: +0,1574989200
13.314,18,Nov 30 2019 01: +0,1575075600
13.472,21,Dec 01 2019 01: +0,1575162000
15.139,6,Dec 02 2019 01: +0,1575248400
14.782,6,Dec 03 2019 01: +0,1575334800
14.331,11,Dec 04 2019 01: +0,1575421200
14.387,8,Dec 05 2019 01: +0,1575507600
14.598,11,Dec 06 2019 01: +0,1575594000
14.172,12,Dec 07 2019 01: +0,1575680400
14.264,16,Dec 08 2019 01: +0,1575766800
13.859,9,Dec 09 2019 01: +0,1575853200
14.208,6,Dec 10 2019 01: +0,1575939600
15.073,12,Dec 11 2019 01: +0,1576026000
13.653,9,Dec 12 2019 01: +0,1576112400
14.286,9,Dec 13 2019 01: +0,1576198800
14.117,15,Dec 14 2019 01: +0,1576285200
13.846,7,Dec 15 2019 01: +0,1576371600
13.725,11,Dec 16 2019 01: +0,1576458000
12.896,23,Dec 17 2019 01: +0,1576544400
13.563,11,Dec 18 2019 01: +0,1576630800
13.461,7,Dec 19 2019 01: +0,1576717200
12.89,8,Dec 20 2019 01: +0,1576803600
13.206,13,Dec 21 2019 01: +0,1576890000
13.449,19,Dec 22 2019 01: +0,1576976400
13.217,13,Dec 23 2019 01: +0,1577062800
13.549,11,Dec 24 2019 01: +0,1577149200
13.312,16,Dec 25 2019 01: +0,1577235600
13.116,20,Dec 26 2019 01: +0,1577322000
13.67,15,Dec 27 2019 01: +0,1577408400
13.098,13,Dec 28 2019 01: +0,1577494800
13.691,14,Dec 29 2019 01: +0,1577581200
13.538,13,Dec 30 2019 01: +0,1577667600
12.053,9,Dec 31 2019 01: +0,1577754000
12.23,14,Jan 01 2020 01: +0,1577840400
12.835,24,Jan 02 2020 01: +0,1577926800
13.816,15,Jan 03 2020 01: +0,1578013200
13.458,13,Jan 04 2020 01: +0,1578099600
15.915,27,Jan 05 2020 01: +0,1578186000
14.538,12,Jan 06 2020 01: +0,1578272400
15.267,12,Jan 07 2020 01: +0,1578358800
14.609,9,Jan 08 2020 01: +0,1578445200
14.483,11,Jan 09 2020 01: +0,1578531600
14.995,8,Jan 10 2020 01: +0,1578618000
14.935,18,Jan 11 2020 01: +0,1578704400
14.524,17,Jan 12 2020 01: +0,1578790800
16.317,9,Jan 13 2020 01: +0,1578877200
14.539,4,Jan 14 2020 01: +0,1578963600
13.941,7,Jan 15 2020 01: +0,1579050000
14.37,14,Jan 16 2020 01: +0,1579136400
13.515,15,Jan 17 2020 01: +0,1579222800
14.101,11,Jan 18 2020 01: +0,1579309200
14.669,17,Jan 19 2020 01: +0,1579395600
13.71,12,Jan 20 2020 01: +0,1579482000
13.996,5,Jan 21 2020 01: +0,1579568400
13.969,11,Jan 22 2020 01: +0,1579654800
14.715,6,Jan 23 2020 01: +0,1579741200
13.449,20,Jan 24 2020 01: +0,1579827600
13.769,13,Jan 25 2020 01: +0,1579914000
13.898,11,Jan 26 2020 01: +0,1580000400
13.779,15,Jan 27 2020 01: +0,1580086800
14.567,10,Jan 28 2020 01: +0,1580173200
13.668,11,Jan 29 2020 01: +0,1580259600
13.505,9,Jan 30 2020 01: +0,1580346000
14.025,15,Jan 31 2020 01: +0,1580432400
13.6,21,Feb 01 2020 01: +0,1580518800
13.57,16,Feb 02 2020 01: +0,1580605200
13.783,24,Feb 03 2020 01: +0,1580691600
13.734,14,Feb 04 2020 01: +0,1580778000
14.386,5,Feb 05 2020 01: +0,1580864400
14.056,13,Feb 06 2020 01: +0,1580950800
14.402,9,Feb 07 2020 01: +0,1581037200
14.587,14,Feb 08 2020 01: +0,1581123600
17.05,3,Feb 09 2020 01: +0,1581210000
14.836,12,Feb 10 2020 01: +0,1581296400
