price,quantity,date,unix timestamp
36.967,2,Apr 30 2016 01: +0,1461974400
33.128,1,May 12 2016 01: +0,1463011200
25.454,1,May 13 2016 01: +0,1463097600
15.539,2,May 17 2016 01: +0,1463443200
18.114,1,May 23 2016 01: +0,1463961600
13.877,1,May 24 2016 01: +0,1464048000
13.812,1,May 29 2016 01: +0,1464480000
16.538,1,Jun 02 2016 01: +0,1464825600
12.486,1,Jun 06 2016 01: +0,1465171200
19.113,1,Jun 08 2016 01: +0,1465344000
14.955,1,Jun 10 2016 01: +0,1465516800
18.801,2,Jun 12 2016 01: +0,1465689600
28.537,1,Jun 13 2016 01: +0,1465776000
15.215,1,Jun 24 2016 01: +0,1466726400
11.572,1,Jun 25 2016 01: +0,1466812800
9.979,1,Jun 26 2016 01: +0,1466899200
8.719,2,Jun 27 2016 01: +0,1466985600
5.459,1,Jun 29 2016 01: +0,1467158400
11.914,2,Jun 30 2016 01: +0,1467244800
11.589,1,Jul 03 2016 01: +0,1467504000
8.236,1,Jul 05 2016 01: +0,1467676800
8.876,2,Jul 06 2016 01: +0,1467763200
10.533,1,Jul 08 2016 01: +0,1467936000
9.108,1,Jul 09 2016 01: +0,1468022400
7.113,2,Jul 11 2016 01: +0,1468195200
10.904,1,Jul 12 2016 01: +0,1468281600
6.634,1,Jul 13 2016 01: +0,1468368000
6.649,1,Jul 14 2016 01: +0,1468454400
9.957,1,Jul 16 2016 01: +0,1468627200
9.984,1,Jul 17 2016 01: +0,1468713600
9.999,2,Jul 18 2016 01: +0,1468800000
6.783,1,Jul 22 2016 01: +0,1469145600
7.962,2,Jul 24 2016 01: +0,1469318400
6.959,2,Jul 26 2016 01: +0,1469491200
8.227,1,Jul 29 2016 01: +0,1469750400
8.276,1,Jul 30 2016 01: +0,1469836800
8.214,1,Aug 02 2016 01: +0,1470096000
9.767,1,Aug 03 2016 01: +0,1470182400
9.752,1,Aug 04 2016 01: +0,1470268800
6.129,1,Aug 05 2016 01: +0,1470355200
7.386,3,Aug 06 2016 01: +0,1470441600
