price,quantity,date,unix timestamp
16.092,245,Dec 09 2015 01: +0,1449622800
10.677,235,Dec 10 2015 01: +0,1449709200
6.581,179,Dec 11 2015 01: +0,1449795600
4.048,207,Dec 12 2015 01: +0,1449882000
2.93,219,Dec 13 2015 01: +0,1449968400
2.742,149,Dec 14 2015 01: +0,1450054800
2.354,123,Dec 15 2015 01: +0,1450141200
1.991,124,Dec 16 2015 01: +0,1450227600
1.639,119,Dec 17 2015 01: +0,1450314000
1.498,127,Dec 18 2015 01: +0,1450400400
1.434,141,Dec 19 2015 01: +0,1450486800
1.354,140,Dec 20 2015 01: +0,1450573200
1.27,129,Dec 21 2015 01: +0,1450659600
1.2,104,Dec 22 2015 01: +0,1450746000
0.979,109,Dec 23 2015 01: +0,1450832400
0.926,116,Dec 24 2015 01: +0,1450918800
0.967,126,Dec 25 2015 01: +0,1451005200
1.011,109,Dec 26 2015 01: +0,1451091600
0.899,125,Dec 27 2015 01: +0,1451178000
0.833,152,Dec 28 2015 01: +0,1451264400
0.798,142,Dec 29 2015 01: +0,1451350800
0.77,146,Dec 30 2015 01: +0,1451437200
0.747,116,Dec 31 2015 01: +0,1451523600
0.669,153,Jan 01 2016 01: +0,1451610000
0.666,161,Jan 02 2016 01: +0,1451696400
0.711,136,Jan 03 2016 01: +0,1451782800
0.667,124,Jan 04 2016 01: +0,1451869200
0.672,119,Jan 05 2016 01: +0,1451955600
0.678,113,Jan 06 2016 01: +0,1452042000
0.638,105,Jan 07 2016 01: +0,1452128400
0.595,120,Jan 08 2016 01: +0,1452214800
0.604,151,Jan 09 2016 01: +0,1452301200
0.619,129,Jan 10 2016 01: +0,1452387600
0.566,133,Jan 11 2016 01: +0,1452474000
0.597,88,Jan 12 2016 01: +0,1452560400
0.561,119,Jan 13 2016 01: +0,1452646800
0.541,96,Jan 14 2016 01: +0,1452733200
0.56,119,Jan 15 2016 01: +0,1452819600
0.537,122,Jan 16 2016 01: +0,1452906000
0.527,140,Jan 17 2016 01: +0,1452992400
0.49,124,Jan 18 2016 01: +0,1453078800
0.508,82,Jan 19 2016 01: +0,1453165200
0.486,85,Jan 20 2016 01: +0,1453251600
0.469,105,Jan 21 2016 01: +0,1453338000
0.469,115,Jan 22 2016 01: +0,1453424400
0.465,123,Jan 23 2016 01: +0,1453510800
0.47,130,Jan 24 2016 01: +0,1453597200
0.495,95,Jan 25 2016 01: +0,1453683600
0.473,96,Jan 26 2016 01: +0,1453770000
0.45,87,Jan 27 2016 01: +0,1453856400
0.45,97,Jan 28 2016 01: +0,1453942800
0.442,100,Jan 29 2016 01: +0,1454029200
0.438,127,Jan 30 2016 01: +0,1454115600
0.436,124,Jan 31 2016 01: +0,1454202000
0.429,84,Feb 01 2016 01: +0,1454288400
0.432,84,Feb 02 2016 01: +0,1454374800
0.409,108,Feb 03 2016 01: +0,1454461200
0.419,90,Feb 04 2016 01: +0,1454547600
0.412,85,Feb 05 2016 01: +0,1454634000
0.388,93,Feb 06 2016 01: +0,1454720400
0.361,142,Feb 07 2016 01: +0,1454806800
0.351,93,Feb 08 2016 01: +0,1454893200
0.336,93,Feb 09 2016 01: +0,1454979600
0.335,87,Feb 10 2016 01: +0,1455066000
0.333,101,Feb 11 2016 01: +0,1455152400
0.359,105,Feb 12 2016 01: +0,1455238800
0.365,130,Feb 13 2016 01: +0,1455325200
0.359,123,Feb 14 2016 01: +0,1455411600
0.367,92,Feb 15 2016 01: +0,1455498000
0.382,85,Feb 16 2016 01: +0,1455584400
0.378,87,Feb 17 2016 01: +0,1455670800
0.282,118,Feb 18 2016 01: +0,1455757200
0.311,140,Feb 19 2016 01: +0,1455843600
0.339,150,Feb 20 2016 01: +0,1455930000
0.352,140,Feb 21 2016 01: +0,1456016400
0.341,119,Feb 22 2016 01: +0,1456102800
0.334,111,Feb 23 2016 01: +0,1456189200
0.36,105,Feb 24 2016 01: +0,1456275600
0.355,109,Feb 25 2016 01: +0,1456362000
0.343,102,Feb 26 2016 01: +0,1456448400
0.352,129,Feb 27 2016 01: +0,1456534800
0.349,89,Feb 28 2016 01: +0,1456621200
0.34,115,Feb 29 2016 01: +0,1456707600
0.332,101,Mar 01 2016 01: +0,1456794000
0.345,116,Mar 02 2016 01: +0,1456880400
0.341,100,Mar 03 2016 01: +0,1456966800
0.347,112,Mar 04 2016 01: +0,1457053200
0.356,143,Mar 05 2016 01: +0,1457139600
0.353,120,Mar 06 2016 01: +0,1457226000
0.357,87,Mar 07 2016 01: +0,1457312400
0.366,88,Mar 08 2016 01: +0,1457398800
0.355,81,Mar 09 2016 01: +0,1457485200
0.376,56,Mar 10 2016 01: +0,1457571600
0.396,75,Mar 11 2016 01: +0,1457658000
0.431,90,Mar 12 2016 01: +0,1457744400
0.463,82,Mar 13 2016 01: +0,1457830800
0.452,62,Mar 14 2016 01: +0,1457917200
0.472,48,Mar 15 2016 01: +0,1458003600
0.494,43,Mar 16 2016 01: +0,1458090000
0.493,57,Mar 17 2016 01: +0,1458176400
0.459,63,Mar 18 2016 01: +0,1458262800
0.444,67,Mar 19 2016 01: +0,1458349200
0.444,72,Mar 20 2016 01: +0,1458435600
0.463,44,Mar 21 2016 01: +0,1458522000
0.454,37,Mar 22 2016 01: +0,1458608400
0.443,63,Mar 23 2016 01: +0,1458694800
0.456,55,Mar 24 2016 01: +0,1458781200
0.43,68,Mar 25 2016 01: +0,1458867600
0.422,70,Mar 26 2016 01: +0,1458954000
0.42,66,Mar 27 2016 01: +0,1459040400
0.418,68,Mar 28 2016 01: +0,1459123200
0.416,55,Mar 29 2016 01: +0,1459209600
0.384,55,Mar 30 2016 01: +0,1459296000
0.417,64,Mar 31 2016 01: +0,1459382400
0.382,73,Apr 01 2016 01: +0,1459468800
0.411,75,Apr 02 2016 01: +0,1459555200
0.373,60,Apr 03 2016 01: +0,1459641600
0.372,49,Apr 04 2016 01: +0,1459728000
0.357,44,Apr 05 2016 01: +0,1459814400
0.361,79,Apr 06 2016 01: +0,1459900800
0.395,60,Apr 07 2016 01: +0,1459987200
0.406,49,Apr 08 2016 01: +0,1460073600
