price,quantity,date,unix timestamp
12.408,1,Apr 29 2016 01: +0,1461888000
9.378,3,Apr 30 2016 01: +0,1461974400
7.591,1,May 01 2016 01: +0,1462060800
6.63,3,May 02 2016 01: +0,1462147200
6.11,6,May 03 2016 01: +0,1462233600
5.388,4,May 04 2016 01: +0,1462320000
7.577,1,May 05 2016 01: +0,1462406400
7.354,2,May 06 2016 01: +0,1462492800
7.392,2,May 07 2016 01: +0,1462579200
5.385,3,May 08 2016 01: +0,1462665600
6.251,2,May 09 2016 01: +0,1462752000
6.439,5,May 10 2016 01: +0,1462838400
5.782,3,May 11 2016 01: +0,1462924800
5.658,5,May 12 2016 01: +0,1463011200
6.05,4,May 13 2016 01: +0,1463097600
5.965,2,May 14 2016 01: +0,1463184000
4.555,4,May 15 2016 01: +0,1463270400
5.315,5,May 17 2016 01: +0,1463443200
5.093,3,May 18 2016 01: +0,1463529600
4.343,5,May 19 2016 01: +0,1463616000
3.633,7,May 20 2016 01: +0,1463702400
4.341,9,May 21 2016 01: +0,1463788800
3.78,6,May 22 2016 01: +0,1463875200
4.797,3,May 23 2016 01: +0,1463961600
4.623,2,May 24 2016 01: +0,1464048000
4.43,5,May 25 2016 01: +0,1464134400
4.327,4,May 26 2016 01: +0,1464220800
4.391,4,May 27 2016 01: +0,1464307200
4.126,3,May 28 2016 01: +0,1464393600
4.608,4,May 29 2016 01: +0,1464480000
4.793,2,May 30 2016 01: +0,1464566400
3.531,3,May 31 2016 01: +0,1464652800
4.243,6,Jun 01 2016 01: +0,1464739200
3.621,8,Jun 02 2016 01: +0,1464825600
3.363,5,Jun 03 2016 01: +0,1464912000
3.426,5,Jun 04 2016 01: +0,1464998400
3.429,5,Jun 05 2016 01: +0,1465084800
3.232,7,Jun 06 2016 01: +0,1465171200
3.297,4,Jun 07 2016 01: +0,1465257600
3.692,7,Jun 08 2016 01: +0,1465344000
4.461,3,Jun 09 2016 01: +0,1465430400
4.271,1,Jun 10 2016 01: +0,1465516800
3.363,7,Jun 11 2016 01: +0,1465603200
3.616,7,Jun 12 2016 01: +0,1465689600
3.814,6,Jun 13 2016 01: +0,1465776000
4.642,3,Jun 14 2016 01: +0,1465862400
2.901,3,Jun 15 2016 01: +0,1465948800
2.947,7,Jun 16 2016 01: +0,1466035200
3.01,9,Jun 17 2016 01: +0,1466121600
4.422,3,Jun 18 2016 01: +0,1466208000
2.592,4,Jun 19 2016 01: +0,1466294400
2.796,9,Jun 20 2016 01: +0,1466380800
2.772,12,Jun 21 2016 01: +0,1466467200
2.508,4,Jun 22 2016 01: +0,1466553600
2.507,3,Jun 23 2016 01: +0,1466640000
2.025,8,Jun 24 2016 01: +0,1466726400
2.404,10,Jun 25 2016 01: +0,1466812800
2.1,8,Jun 26 2016 01: +0,1466899200
2.334,6,Jun 27 2016 01: +0,1466985600
2.14,7,Jun 28 2016 01: +0,1467072000
2.117,12,Jun 29 2016 01: +0,1467158400
2.473,6,Jun 30 2016 01: +0,1467244800
2.496,5,Jul 01 2016 01: +0,1467331200
2.058,8,Jul 03 2016 01: +0,1467504000
2.037,8,Jul 04 2016 01: +0,1467590400
2.168,10,Jul 05 2016 01: +0,1467676800
2.192,10,Jul 06 2016 01: +0,1467763200
2.491,8,Jul 07 2016 01: +0,1467849600
2.448,7,Jul 08 2016 01: +0,1467936000
2.543,12,Jul 09 2016 01: +0,1468022400
2.446,10,Jul 10 2016 01: +0,1468108800
2.795,8,Jul 11 2016 01: +0,1468195200
2.646,3,Jul 12 2016 01: +0,1468281600
2.924,7,Jul 13 2016 01: +0,1468368000
2.754,1,Jul 14 2016 01: +0,1468454400
2.734,2,Jul 15 2016 01: +0,1468540800
2.327,3,Jul 16 2016 01: +0,1468627200
2.273,2,Jul 17 2016 01: +0,1468713600
2.031,9,Jul 18 2016 01: +0,1468800000
1.923,12,Jul 19 2016 01: +0,1468886400
2.055,7,Jul 20 2016 01: +0,1468972800
1.899,13,Jul 21 2016 01: +0,1469059200
2.216,8,Jul 22 2016 01: +0,1469145600
2.234,1,Jul 23 2016 01: +0,1469232000
2.165,10,Jul 24 2016 01: +0,1469318400
2.155,7,Jul 25 2016 01: +0,1469404800
2.083,5,Jul 26 2016 01: +0,1469491200
2.283,5,Jul 27 2016 01: +0,1469577600
2.205,4,Jul 28 2016 01: +0,1469664000
2.176,10,Jul 29 2016 01: +0,1469750400
2.509,4,Jul 30 2016 01: +0,1469836800
1.909,5,Jul 31 2016 01: +0,1469923200
2.313,4,Aug 01 2016 01: +0,1470009600
2.122,5,Aug 02 2016 01: +0,1470096000
2.22,6,Aug 03 2016 01: +0,1470182400
2.114,8,Aug 04 2016 01: +0,1470268800
2.235,5,Aug 05 2016 01: +0,1470355200
