price,quantity,date,unix timestamp
51.125,6,Jun 12 2014 01: +0,1402531200
41.249,7,Jun 13 2014 01: +0,1402617600
35.524,7,Jun 14 2014 01: +0,1402704000
35.214,3,Jun 15 2014 01: +0,1402790400
31.649,9,Jun 16 2014 01: +0,1402876800
25.5,9,Jun 17 2014 01: +0,1402963200
24.1,13,Jun 18 2014 01: +0,1403049600
23.704,7,Jun 19 2014 01: +0,1403136000
23.425,8,Jun 20 2014 01: +0,1403222400
20.975,11,Jun 21 2014 01: +0,1403308800
19.174,12,Jun 22 2014 01: +0,1403395200
18.425,5,Jun 23 2014 01: +0,1403481600
16.701,12,Jun 24 2014 01: +0,1403568000
18.705,12,Jun 25 2014 01: +0,1403654400
20.888,12,Jun 26 2014 01: +0,1403740800
19.967,10,Jun 27 2014 01: +0,1403827200
19.115,11,Jun 28 2014 01: +0,1403913600
20.633,9,Jun 29 2014 01: +0,1404000000
18.712,13,Jun 30 2014 01: +0,1404086400
18.359,8,Jul 01 2014 01: +0,1404172800
15.116,13,Jul 02 2014 01: +0,1404259200
13.531,14,Jul 03 2014 01: +0,1404345600
14.011,16,Jul 04 2014 01: +0,1404432000
15.542,11,Jul 05 2014 01: +0,1404518400
16.79,8,Jul 06 2014 01: +0,1404604800
15.888,15,Jul 07 2014 01: +0,1404691200
15.328,10,Jul 08 2014 01: +0,1404777600
16.272,13,Jul 09 2014 01: +0,1404864000
16.412,21,Jul 10 2014 01: +0,1404950400
16.771,13,Jul 11 2014 01: +0,1405036800
16.042,12,Jul 12 2014 01: +0,1405123200
15.795,16,Jul 13 2014 01: +0,1405209600
15.427,19,Jul 14 2014 01: +0,1405296000
15.944,18,Jul 15 2014 01: +0,1405382400
15.453,15,Jul 16 2014 01: +0,1405468800
15.528,17,Jul 17 2014 01: +0,1405555200
17.289,12,Jul 18 2014 01: +0,1405641600
15.828,9,Jul 19 2014 01: +0,1405728000
14.99,19,Jul 20 2014 01: +0,1405814400
16.138,13,Jul 21 2014 01: +0,1405900800
15.88,12,Jul 22 2014 01: +0,1405987200
15.106,14,Jul 23 2014 01: +0,1406073600
13.965,14,Jul 24 2014 01: +0,1406160000
15.301,20,Jul 25 2014 01: +0,1406246400
15.812,19,Jul 26 2014 01: +0,1406332800
16.142,16,Jul 27 2014 01: +0,1406419200
17.054,12,Jul 28 2014 01: +0,1406505600
16.946,17,Jul 29 2014 01: +0,1406592000
15.743,20,Jul 30 2014 01: +0,1406678400
15.998,19,Jul 31 2014 01: +0,1406764800
17.991,9,Aug 01 2014 01: +0,1406851200
17.302,11,Aug 02 2014 01: +0,1406937600
17.452,20,Aug 03 2014 01: +0,1407024000
15.824,26,Aug 04 2014 01: +0,1407110400
16.054,20,Aug 05 2014 01: +0,1407196800
16.308,20,Aug 06 2014 01: +0,1407283200
14.877,19,Aug 07 2014 01: +0,1407369600
14.963,33,Aug 08 2014 01: +0,1407456000
17.193,22,Aug 09 2014 01: +0,1407542400
15.99,13,Aug 10 2014 01: +0,1407628800
16.815,17,Aug 11 2014 01: +0,1407715200
14.959,20,Aug 12 2014 01: +0,1407801600
17.012,20,Aug 13 2014 01: +0,1407888000
17.473,19,Aug 14 2014 01: +0,1407974400
18.881,16,Aug 15 2014 01: +0,1408060800
18.434,18,Aug 16 2014 01: +0,1408147200
17.469,18,Aug 17 2014 01: +0,1408233600
15.323,15,Aug 18 2014 01: +0,1408320000
15.459,15,Aug 19 2014 01: +0,1408406400
15.44,35,Aug 20 2014 01: +0,1408492800
15.595,26,Aug 21 2014 01: +0,1408579200
16.292,22,Aug 22 2014 01: +0,1408665600
17.19,17,Aug 23 2014 01: +0,1408752000
15.844,26,Aug 24 2014 01: +0,1408838400
17.614,22,Aug 25 2014 01: +0,1408924800
18.447,21,Aug 26 2014 01: +0,1409011200
18.15,26,Aug 27 2014 01: +0,1409097600
17.069,18,Aug 28 2014 01: +0,1409184000
17.645,25,Aug 29 2014 01: +0,1409270400
15.479,34,Aug 30 2014 01: +0,1409356800
16.778,20,Aug 31 2014 01: +0,1409443200
16.944,24,Sep 01 2014 01: +0,1409529600
19.07,21,Sep 02 2014 01: +0,1409616000
18.533,16,Sep 03 2014 01: +0,1409702400
18.194,17,Sep 04 2014 01: +0,1409788800
18.794,18,Sep 05 2014 01: +0,1409875200
18.199,23,Sep 06 2014 01: +0,1409961600
17.387,18,Sep 07 2014 01: +0,1410048000
17.535,14,Sep 08 2014 01: +0,1410134400
15.827,26,Sep 09 2014 01: +0,1410220800
15.761,18,Sep 10 2014 01: +0,1410307200
16.567,22,Sep 11 2014 01: +0,1410393600
16.766,23,Sep 12 2014 01: +0,1410480000
15.657,20,Sep 13 2014 01: +0,1410566400
15.213,19,Sep 14 2014 01: +0,1410652800
15.588,21,Sep 15 2014 01: +0,1410739200
16.218,22,Sep 16 2014 01: +0,1410825600
15.664,21,Sep 17 2014 01: +0,1410912000
15.874,28,Sep 18 2014 01: +0,1410998400
15.548,27,Sep 19 2014 01: +0,1411084800
15.375,25,Sep 20 2014 01: +0,1411171200
15.772,20,Sep 21 2014 01: +0,1411257600
16.671,17,Sep 22 2014 01: +0,1411344000
16.14,25,Sep 23 2014 01: +0,1411430400
17.217,14,Sep 24 2014 01: +0,1411516800
15.861,14,Sep 25 2014 01: +0,1411603200
15.319,26,Sep 26 2014 01: +0,1411689600
15.187,28,Sep 27 2014 01: +0,1411776000
15.115,19,Sep 28 2014 01: +0,1411862400
14.013,30,Sep 29 2014 01: +0,1411948800
14.288,36,Sep 30 2014 01: +0,1412035200
15.031,28,Oct 01 2014 01: +0,1412121600
14.259,28,Oct 02 2014 01: +0,1412208000
14.485,24,Oct 03 2014 01: +0,1412294400
14.289,25,Oct 04 2014 01: +0,1412380800
13.974,23,Oct 05 2014 01: +0,1412467200
14.962,26,Oct 06 2014 01: +0,1412553600
15.219,20,Oct 07 2014 01: +0,1412640000
14.993,29,Oct 08 2014 01: +0,1412726400
14.732,30,Oct 09 2014 01: +0,1412812800
14.73,26,Oct 10 2014 01: +0,1412899200
14.218,37,Oct 11 2014 01: +0,1412985600
14.617,32,Oct 12 2014 01: +0,1413072000
13.715,36,Oct 13 2014 01: +0,1413158400
14.438,18,Oct 14 2014 01: +0,1413244800
14.124,29,Oct 15 2014 01: +0,1413331200
15.022,18,Oct 16 2014 01: +0,1413417600
14.322,27,Oct 17 2014 01: +0,1413504000
13.863,29,Oct 18 2014 01: +0,1413590400
13.82,29,Oct 19 2014 01: +0,1413676800
13.816,21,Oct 20 2014 01: +0,1413763200
14.973,33,Oct 21 2014 01: +0,1413849600
13.822,22,Oct 22 2014 01: +0,1413936000
15.223,17,Oct 23 2014 01: +0,1414022400
14.308,22,Oct 24 2014 01: +0,1414108800
13.985,30,Oct 25 2014 01: +0,1414195200
13.652,32,Oct 26 2014 01: +0,1414281600
13.893,25,Oct 27 2014 01: +0,1414371600
12.934,38,Oct 28 2014 01: +0,1414458000
13.309,19,Oct 29 2014 01: +0,1414544400
14.525,26,Oct 30 2014 01: +0,1414630800
13.813,27,Oct 31 2014 01: +0,1414717200
13.364,48,Nov 01 2014 01: +0,1414803600
12.622,38,Nov 02 2014 01: +0,1414890000
12.851,29,Nov 03 2014 01: +0,1414976400
13.086,35,Nov 04 2014 01: +0,1415062800
12.199,24,Nov 05 2014 01: +0,1415149200
12.396,22,Nov 06 2014 01: +0,1415235600
12.31,32,Nov 07 2014 01: +0,1415322000
12.648,40,Nov 08 2014 01: +0,1415408400
12.244,34,Nov 09 2014 01: +0,1415494800
12.725,36,Nov 10 2014 01: +0,1415581200
13.551,34,Nov 11 2014 01: +0,1415667600
9.76,58,Nov 12 2014 01: +0,1415754000
10.555,46,Nov 13 2014 01: +0,1415840400
11.128,32,Nov 14 2014 01: +0,1415926800
10.668,35,Nov 15 2014 01: +0,1416013200
10.389,38,Nov 16 2014 01: +0,1416099600
10.772,40,Nov 17 2014 01: +0,1416186000
11.334,31,Nov 18 2014 01: +0,1416272400
11.372,23,Nov 19 2014 01: +0,1416358800
10.998,22,Nov 20 2014 01: +0,1416445200
10.85,38,Nov 21 2014 01: +0,1416531600
10.938,27,Nov 22 2014 01: +0,1416618000
10.263,35,Nov 23 2014 01: +0,1416704400
9.998,33,Nov 24 2014 01: +0,1416790800
10.786,34,Nov 25 2014 01: +0,1416877200
11.806,39,Nov 26 2014 01: +0,1416963600
11.927,33,Nov 27 2014 01: +0,1417050000
11.496,30,Nov 28 2014 01: +0,1417136400
12.683,12,Nov 29 2014 01: +0,1417222800
10.9,76,Nov 30 2014 01: +0,1417309200
10.57,34,Dec 01 2014 01: +0,1417395600
11.036,41,Dec 02 2014 01: +0,1417482000
11.998,26,Dec 03 2014 01: +0,1417568400
12.004,26,Dec 04 2014 01: +0,1417654800
12.521,35,Dec 05 2014 01: +0,1417741200
13.099,31,Dec 06 2014 01: +0,1417827600
12.118,47,Dec 07 2014 01: +0,1417914000
12.385,39,Dec 08 2014 01: +0,1418000400
13.4,32,Dec 09 2014 01: +0,1418086800
12.881,37,Dec 10 2014 01: +0,1418173200
12.724,41,Dec 11 2014 01: +0,1418259600
11.912,36,Dec 12 2014 01: +0,1418346000
11.521,49,Dec 13 2014 01: +0,1418432400
10.948,38,Dec 14 2014 01: +0,1418518800
11.74,40,Dec 15 2014 01: +0,1418605200
11.154,52,Dec 16 2014 01: +0,1418691600
11.487,42,Dec 17 2014 01: +0,1418778000
11.034,42,Dec 18 2014 01: +0,1418864400
11.52,46,Dec 19 2014 01: +0,1418950800
12.937,34,Dec 20 2014 01: +0,1419037200
11.612,46,Dec 21 2014 01: +0,1419123600
11.954,45,Dec 22 2014 01: +0,1419210000
11.653,43,Dec 23 2014 01: +0,1419296400
12.935,44,Dec 24 2014 01: +0,1419382800
13.567,51,Dec 25 2014 01: +0,1419469200
13.186,68,Dec 26 2014 01: +0,1419555600
13.25,63,Dec 27 2014 01: +0,1419642000
13.276,36,Dec 28 2014 01: +0,1419728400
