price,quantity,date,unix timestamp
98.406,1,Jul 02 2022 01: +0,1656720000
153.601,1,Jul 03 2022 01: +0,1656806400
155.132,1,Jul 04 2022 01: +0,1656892800
124.601,4,Jul 05 2022 01: +0,1656979200
105.838,4,Jul 06 2022 01: +0,1657065600
110.254,2,Jul 07 2022 01: +0,1657152000
112.748,3,Jul 08 2022 01: +0,1657238400
120.993,4,Jul 09 2022 01: +0,1657324800
132.618,1,Jul 10 2022 01: +0,1657411200
123.197,3,Jul 11 2022 01: +0,1657497600
126.863,2,Jul 14 2022 01: +0,1657756800
126.477,4,Jul 16 2022 01: +0,1657929600
138.207,1,Jul 17 2022 01: +0,1658016000
156.726,1,Jul 18 2022 01: +0,1658102400
154.824,2,Jul 20 2022 01: +0,1658275200
137.957,3,Jul 21 2022 01: +0,1658361600
121.62,1,Jul 22 2022 01: +0,1658448000
147.538,6,Jul 23 2022 01: +0,1658534400
155.791,2,Jul 24 2022 01: +0,1658620800
121.688,1,Jul 25 2022 01: +0,1658707200
129.844,2,Jul 26 2022 01: +0,1658793600
127.013,3,Jul 27 2022 01: +0,1658880000
105.594,1,Jul 28 2022 01: +0,1658966400
109.731,1,Jul 29 2022 01: +0,1659052800
141.315,1,Jul 30 2022 01: +0,1659139200
140.937,1,Jul 31 2022 01: +0,1659225600
117.287,2,Aug 01 2022 01: +0,1659312000
120.082,2,Aug 02 2022 01: +0,1659398400
122.365,3,Aug 03 2022 01: +0,1659484800
122.644,4,Aug 04 2022 01: +0,1659571200
120.102,3,Aug 05 2022 01: +0,1659657600
125.597,2,Aug 06 2022 01: +0,1659744000
127.711,2,Aug 07 2022 01: +0,1659830400
123.457,2,Aug 08 2022 01: +0,1659916800
110.627,1,Aug 09 2022 01: +0,1660003200
120.96,1,Aug 10 2022 01: +0,1660089600
113.765,2,Aug 11 2022 01: +0,1660176000
108.918,4,Aug 12 2022 01: +0,1660262400
103.709,3,Aug 13 2022 01: +0,1660348800
102.391,2,Aug 15 2022 01: +0,1660521600
110.933,2,Aug 16 2022 01: +0,1660608000
111.288,1,Aug 17 2022 01: +0,1660694400
117.303,3,Aug 18 2022 01: +0,1660780800
111.434,5,Aug 20 2022 01: +0,1660953600
108.524,2,Aug 21 2022 01: +0,1661040000
107.184,2,Aug 22 2022 01: +0,1661126400
109.886,5,Aug 23 2022 01: +0,1661212800
112.844,1,Aug 24 2022 01: +0,1661299200
93.848,1,Aug 25 2022 01: +0,1661385600
