price,quantity,date,unix timestamp
1.31,4,Jun 25 2016 01: +0,1466812800
0.93,14,Jun 26 2016 01: +0,1466899200
1.016,5,Jun 27 2016 01: +0,1466985600
1.184,4,Jun 28 2016 01: +0,1467072000
0.992,9,Jun 29 2016 01: +0,1467158400
1.149,11,Jun 30 2016 01: +0,1467244800
0.91,7,Jul 01 2016 01: +0,1467331200
0.893,6,Jul 02 2016 01: +0,1467417600
1.122,8,Jul 03 2016 01: +0,1467504000
1.515,8,Jul 04 2016 01: +0,1467590400
1.485,11,Jul 05 2016 01: +0,1467676800
1.332,15,Jul 06 2016 01: +0,1467763200
1.411,7,Jul 07 2016 01: +0,1467849600
1.542,4,Jul 08 2016 01: +0,1467936000
1.24,2,Jul 09 2016 01: +0,1468022400
0.395,170,Jul 10 2016 01: +0,1468108800
0.373,70,Jul 11 2016 01: +0,1468195200
0.431,46,Jul 12 2016 01: +0,1468281600
0.467,34,Jul 13 2016 01: +0,1468368000
0.434,26,Jul 14 2016 01: +0,1468454400
0.476,23,Jul 15 2016 01: +0,1468540800
0.533,19,Jul 16 2016 01: +0,1468627200
0.725,13,Jul 17 2016 01: +0,1468713600
0.573,10,Jul 18 2016 01: +0,1468800000
0.506,15,Jul 19 2016 01: +0,1468886400
0.471,25,Jul 20 2016 01: +0,1468972800
0.515,19,Jul 21 2016 01: +0,1469059200
0.578,12,Jul 22 2016 01: +0,1469145600
0.546,10,Jul 23 2016 01: +0,1469232000
0.458,15,Jul 24 2016 01: +0,1469318400
0.428,10,Jul 25 2016 01: +0,1469404800
0.448,19,Jul 26 2016 01: +0,1469491200
0.495,17,Jul 27 2016 01: +0,1469577600
0.507,15,Jul 28 2016 01: +0,1469664000
0.65,5,Jul 29 2016 01: +0,1469750400
0.81,28,Jul 30 2016 01: +0,1469836800
0.735,6,Jul 31 2016 01: +0,1469923200
0.697,3,Aug 01 2016 01: +0,1470009600
0.623,9,Aug 02 2016 01: +0,1470096000
0.652,8,Aug 03 2016 01: +0,1470182400
0.542,10,Aug 04 2016 01: +0,1470268800
0.525,12,Aug 05 2016 01: +0,1470355200
0.599,11,Aug 06 2016 01: +0,1470441600
0.517,5,Aug 07 2016 01: +0,1470528000
0.489,3,Aug 08 2016 01: +0,1470614400
0.439,10,Aug 09 2016 01: +0,1470700800
0.432,10,Aug 10 2016 01: +0,1470787200
0.451,4,Aug 11 2016 01: +0,1470873600
0.454,17,Aug 12 2016 01: +0,1470960000
0.444,18,Aug 13 2016 01: +0,1471046400
0.452,9,Aug 14 2016 01: +0,1471132800
0.488,11,Aug 15 2016 01: +0,1471219200
0.582,9,Aug 16 2016 01: +0,1471305600
0.609,3,Aug 17 2016 01: +0,1471392000
0.684,5,Aug 18 2016 01: +0,1471478400
0.764,8,Aug 19 2016 01: +0,1471564800
0.553,6,Aug 20 2016 01: +0,1471651200
0.5,13,Aug 21 2016 01: +0,1471737600
0.743,7,Aug 22 2016 01: +0,1471824000
0.596,7,Aug 23 2016 01: +0,1471910400
0.621,6,Aug 24 2016 01: +0,1471996800
0.61,11,Aug 25 2016 01: +0,1472083200
0.667,7,Aug 26 2016 01: +0,1472169600
0.644,5,Aug 27 2016 01: +0,1472256000
0.593,8,Aug 28 2016 01: +0,1472342400
0.537,4,Aug 29 2016 01: +0,1472428800
0.618,10,Aug 30 2016 01: +0,1472515200
0.663,16,Aug 31 2016 01: +0,1472601600
0.725,9,Sep 01 2016 01: +0,1472688000
0.964,4,Sep 02 2016 01: +0,1472774400
0.951,1,Sep 03 2016 01: +0,1472860800
0.733,4,Sep 04 2016 01: +0,1472947200
0.826,4,Sep 05 2016 01: +0,1473033600
0.745,3,Sep 06 2016 01: +0,1473120000
0.904,1,Sep 07 2016 01: +0,1473206400
0.79,3,Sep 08 2016 01: +0,1473292800
0.812,5,Sep 09 2016 01: +0,1473379200
0.758,3,Sep 10 2016 01: +0,1473465600
0.766,2,Sep 11 2016 01: +0,1473552000
0.735,1,Sep 12 2016 01: +0,1473638400
0.655,8,Sep 13 2016 01: +0,1473724800
0.718,4,Sep 14 2016 01: +0,1473811200
0.639,7,Sep 15 2016 01: +0,1473897600
0.663,5,Sep 16 2016 01: +0,1473984000
0.695,5,Sep 17 2016 01: +0,1474070400
0.65,6,Sep 18 2016 01: +0,1474156800
0.545,4,Sep 19 2016 01: +0,1474243200
0.508,6,Sep 20 2016 01: +0,1474329600
0.611,3,Sep 21 2016 01: +0,1474416000
0.779,7,Sep 22 2016 01: +0,1474502400
0.888,8,Sep 23 2016 01: +0,1474588800
0.763,3,Sep 24 2016 01: +0,1474675200
0.836,5,Sep 25 2016 01: +0,1474761600
0.96,1,Sep 26 2016 01: +0,1474848000
0.931,2,Sep 27 2016 01: +0,1474934400
0.859,3,Sep 28 2016 01: +0,1475020800
0.746,5,Sep 29 2016 01: +0,1475107200
0.797,2,Sep 30 2016 01: +0,1475193600
0.704,8,Oct 01 2016 01: +0,1475280000
0.774,3,Oct 02 2016 01: +0,1475366400
0.666,1,Oct 03 2016 01: +0,1475452800
0.617,9,Oct 04 2016 01: +0,1475539200
0.639,2,Oct 05 2016 01: +0,1475625600
0.635,6,Oct 06 2016 01: +0,1475712000
0.629,6,Oct 07 2016 01: +0,1475798400
0.492,6,Oct 08 2016 01: +0,1475884800
0.551,18,Oct 09 2016 01: +0,1475971200
0.695,4,Oct 10 2016 01: +0,1476057600
0.705,3,Oct 11 2016 01: +0,1476144000
0.642,3,Oct 12 2016 01: +0,1476230400
0.681,2,Oct 13 2016 01: +0,1476316800
0.71,6,Oct 14 2016 01: +0,1476403200
0.718,6,Oct 15 2016 01: +0,1476489600
0.694,6,Oct 16 2016 01: +0,1476576000
0.735,7,Oct 17 2016 01: +0,1476662400
0.653,2,Oct 18 2016 01: +0,1476748800
0.657,5,Oct 19 2016 01: +0,1476835200
0.912,8,Oct 20 2016 01: +0,1476921600
1.087,1,Oct 21 2016 01: +0,1477008000
0.801,4,Oct 23 2016 01: +0,1477180800
0.814,2,Oct 24 2016 01: +0,1477267200
0.755,5,Oct 25 2016 01: +0,1477353600
0.822,2,Oct 26 2016 01: +0,1477440000
0.871,2,Oct 27 2016 01: +0,1477526400
0.851,3,Oct 28 2016 01: +0,1477612800
0.834,2,Oct 29 2016 01: +0,1477699200
0.827,5,Oct 30 2016 01: +0,1477785600
0.901,3,Oct 31 2016 01: +0,1477875600
0.967,1,Nov 01 2016 01: +0,1477962000
0.741,2,Nov 02 2016 01: +0,1478048400
0.736,1,Nov 03 2016 01: +0,1478134800
0.943,4,Nov 04 2016 01: +0,1478221200
0.867,4,Nov 05 2016 01: +0,1478307600
0.774,4,Nov 06 2016 01: +0,1478394000
0.878,1,Nov 07 2016 01: +0,1478480400
0.86,1,Nov 08 2016 01: +0,1478566800
1.001,3,Nov 09 2016 01: +0,1478653200
0.974,3,Nov 10 2016 01: +0,1478739600
1.073,2,Nov 11 2016 01: +0,1478826000
1.091,2,Nov 12 2016 01: +0,1478912400
0.984,1,Nov 13 2016 01: +0,1478998800
1.101,3,Nov 15 2016 01: +0,1479171600
1.144,6,Nov 16 2016 01: +0,1479258000
1.017,2,Nov 17 2016 01: +0,1479344400
1.027,1,Nov 18 2016 01: +0,1479430800
0.91,3,Nov 19 2016 01: +0,1479517200
0.91,5,Nov 20 2016 01: +0,1479603600
0.765,2,Nov 21 2016 01: +0,1479690000
0.829,3,Nov 22 2016 01: +0,1479776400
0.796,3,Nov 23 2016 01: +0,1479862800
0.786,1,Nov 24 2016 01: +0,1479949200
0.841,2,Nov 25 2016 01: +0,1480035600
7.56,34,Nov 26 2016 01: +0,1480122000
1.398,2,Nov 27 2016 01: +0,1480208400
1.967,5,Nov 28 2016 01: +0,1480294800
1.666,4,Nov 29 2016 01: +0,1480381200
0.951,1,Nov 30 2016 01: +0,1480467600
1.799,2,Dec 01 2016 01: +0,1480554000
1.413,7,Dec 02 2016 01: +0,1480640400
1.607,4,Dec 03 2016 01: +0,1480726800
1.105,5,Dec 04 2016 01: +0,1480813200
1.304,2,Dec 05 2016 01: +0,1480899600
1.759,7,Dec 06 2016 01: +0,1480986000
1.423,2,Dec 07 2016 01: +0,1481072400
1.259,2,Dec 09 2016 01: +0,1481245200
1.405,2,Dec 10 2016 01: +0,1481331600
1.375,4,Dec 11 2016 01: +0,1481418000
1.418,1,Dec 13 2016 01: +0,1481590800
1.36,1,Dec 14 2016 01: +0,1481677200
1.351,3,Dec 15 2016 01: +0,1481763600
1.388,4,Dec 16 2016 01: +0,1481850000
1.338,4,Dec 17 2016 01: +0,1481936400
1.299,2,Dec 18 2016 01: +0,1482022800
1.273,2,Dec 19 2016 01: +0,1482109200
1.245,1,Dec 20 2016 01: +0,1482195600
1.194,2,Dec 21 2016 01: +0,1482282000
1.051,2,Dec 22 2016 01: +0,1482368400
0.945,2,Dec 23 2016 01: +0,1482454800
0.806,4,Dec 24 2016 01: +0,1482541200
0.908,3,Dec 25 2016 01: +0,1482627600
0.857,3,Dec 26 2016 01: +0,1482714000
0.877,8,Dec 27 2016 01: +0,1482800400
0.794,1,Dec 28 2016 01: +0,1482886800
0.853,4,Dec 29 2016 01: +0,1482973200
0.901,4,Dec 30 2016 01: +0,1483059600
0.839,2,Dec 31 2016 01: +0,1483146000
0.957,6,Jan 01 2017 01: +0,1483232400
0.867,3,Jan 02 2017 01: +0,1483318800
0.7,2,Jan 04 2017 01: +0,1483491600
0.794,1,Jan 05 2017 01: +0,1483578000
0.843,2,Jan 06 2017 01: +0,1483664400
0.86,2,Jan 07 2017 01: +0,1483750800
0.81,3,Jan 08 2017 01: +0,1483837200
0.917,1,Jan 10 2017 01: +0,1484010000
0.957,4,Jan 12 2017 01: +0,1484182800
1.076,4,Jan 13 2017 01: +0,1484269200
1.012,1,Jan 14 2017 01: +0,1484355600
0.572,3,Jan 15 2017 01: +0,1484442000
