price,quantity,date,unix timestamp
1.481,11,Oct 21 2015 01: +0,1445385600
1.461,11,Oct 22 2015 01: +0,1445472000
1.163,7,Oct 23 2015 01: +0,1445558400
1.203,14,Oct 24 2015 01: +0,1445644800
1.425,9,Oct 25 2015 01: +0,1445731200
1.224,4,Oct 26 2015 01: +0,1445821200
1.156,13,Oct 27 2015 01: +0,1445907600
1.283,9,Oct 28 2015 01: +0,1445994000
1.198,12,Oct 29 2015 01: +0,1446080400
1.664,10,Oct 30 2015 01: +0,1446166800
1.731,31,Oct 31 2015 01: +0,1446253200
0.557,180,Nov 01 2015 01: +0,1446339600
0.544,76,Nov 02 2015 01: +0,1446426000
0.485,44,Nov 03 2015 01: +0,1446512400
0.373,41,Nov 04 2015 01: +0,1446598800
0.388,45,Nov 05 2015 01: +0,1446685200
0.397,36,Nov 06 2015 01: +0,1446771600
0.449,29,Nov 07 2015 01: +0,1446858000
0.456,30,Nov 08 2015 01: +0,1446944400
0.414,31,Nov 09 2015 01: +0,1447030800
0.398,23,Nov 10 2015 01: +0,1447117200
0.394,19,Nov 11 2015 01: +0,1447203600
0.387,26,Nov 12 2015 01: +0,1447290000
0.372,25,Nov 13 2015 01: +0,1447376400
0.456,27,Nov 14 2015 01: +0,1447462800
0.445,19,Nov 15 2015 01: +0,1447549200
0.458,17,Nov 16 2015 01: +0,1447635600
0.459,11,Nov 17 2015 01: +0,1447722000
0.441,20,Nov 18 2015 01: +0,1447808400
0.408,20,Nov 19 2015 01: +0,1447894800
0.407,20,Nov 20 2015 01: +0,1447981200
0.441,23,Nov 21 2015 01: +0,1448067600
0.535,12,Nov 22 2015 01: +0,1448154000
0.45,11,Nov 23 2015 01: +0,1448240400
0.464,35,Nov 24 2015 01: +0,1448326800
0.512,14,Nov 25 2015 01: +0,1448413200
0.429,15,Nov 26 2015 01: +0,1448499600
0.438,20,Nov 27 2015 01: +0,1448586000
0.475,20,Nov 28 2015 01: +0,1448672400
0.46,16,Nov 29 2015 01: +0,1448758800
0.398,20,Nov 30 2015 01: +0,1448845200
0.413,11,Dec 01 2015 01: +0,1448931600
0.393,13,Dec 02 2015 01: +0,1449018000
0.39,20,Dec 03 2015 01: +0,1449104400
0.391,19,Dec 04 2015 01: +0,1449190800
0.411,16,Dec 05 2015 01: +0,1449277200
0.44,15,Dec 06 2015 01: +0,1449363600
0.4,15,Dec 07 2015 01: +0,1449450000
0.449,21,Dec 08 2015 01: +0,1449536400
0.486,18,Dec 09 2015 01: +0,1449622800
0.513,14,Dec 10 2015 01: +0,1449709200
0.511,10,Dec 11 2015 01: +0,1449795600
0.552,12,Dec 12 2015 01: +0,1449882000
0.563,13,Dec 13 2015 01: +0,1449968400
0.578,13,Dec 14 2015 01: +0,1450054800
0.639,15,Dec 15 2015 01: +0,1450141200
0.728,5,Dec 16 2015 01: +0,1450227600
0.79,8,Dec 17 2015 01: +0,1450314000
0.746,9,Dec 18 2015 01: +0,1450400400
0.824,7,Dec 19 2015 01: +0,1450486800
0.871,4,Dec 20 2015 01: +0,1450573200
0.719,6,Dec 21 2015 01: +0,1450659600
0.647,5,Dec 22 2015 01: +0,1450746000
0.567,8,Dec 23 2015 01: +0,1450832400
0.534,9,Dec 24 2015 01: +0,1450918800
0.541,15,Dec 25 2015 01: +0,1451005200
0.554,7,Dec 26 2015 01: +0,1451091600
0.547,9,Dec 27 2015 01: +0,1451178000
0.533,8,Dec 28 2015 01: +0,1451264400
0.542,12,Dec 29 2015 01: +0,1451350800
0.589,9,Dec 30 2015 01: +0,1451437200
0.622,11,Dec 31 2015 01: +0,1451523600
0.638,10,Jan 01 2016 01: +0,1451610000
0.52,11,Jan 02 2016 01: +0,1451696400
0.568,13,Jan 03 2016 01: +0,1451782800
0.529,8,Jan 04 2016 01: +0,1451869200
0.637,10,Jan 05 2016 01: +0,1451955600
0.74,5,Jan 06 2016 01: +0,1452042000
0.715,10,Jan 07 2016 01: +0,1452128400
0.727,9,Jan 08 2016 01: +0,1452214800
0.751,12,Jan 09 2016 01: +0,1452301200
1.233,22,Jan 10 2016 01: +0,1452387600
1.193,5,Jan 12 2016 01: +0,1452560400
1.805,32,Jan 13 2016 01: +0,1452646800
2.751,27,Jan 14 2016 01: +0,1452733200
2.053,12,Jan 15 2016 01: +0,1452819600
1.603,12,Jan 16 2016 01: +0,1452906000
1.576,6,Jan 17 2016 01: +0,1452992400
1.717,5,Jan 18 2016 01: +0,1453078800
1.512,5,Jan 19 2016 01: +0,1453165200
1.334,8,Jan 20 2016 01: +0,1453251600
1.325,2,Jan 21 2016 01: +0,1453338000
1.303,9,Jan 22 2016 01: +0,1453424400
1.05,6,Jan 23 2016 01: +0,1453510800
1.027,5,Jan 24 2016 01: +0,1453597200
0.999,6,Jan 25 2016 01: +0,1453683600
1.028,7,Jan 26 2016 01: +0,1453770000
0.701,14,Jan 27 2016 01: +0,1453856400
0.82,7,Jan 28 2016 01: +0,1453942800
1.005,4,Jan 29 2016 01: +0,1454029200
0.883,8,Jan 30 2016 01: +0,1454115600
0.877,7,Jan 31 2016 01: +0,1454202000
0.964,7,Feb 01 2016 01: +0,1454288400
0.925,4,Feb 02 2016 01: +0,1454374800
0.818,6,Feb 03 2016 01: +0,1454461200
0.926,8,Feb 04 2016 01: +0,1454547600
1.055,9,Feb 05 2016 01: +0,1454634000
1.089,3,Feb 06 2016 01: +0,1454720400
0.945,3,Feb 07 2016 01: +0,1454806800
0.992,4,Feb 08 2016 01: +0,1454893200
0.944,5,Feb 09 2016 01: +0,1454979600
1.055,9,Feb 10 2016 01: +0,1455066000
1.041,3,Feb 11 2016 01: +0,1455152400
0.786,7,Feb 12 2016 01: +0,1455238800
0.87,8,Feb 13 2016 01: +0,1455325200
0.95,7,Feb 14 2016 01: +0,1455411600
1.065,6,Feb 15 2016 01: +0,1455498000
1.083,5,Feb 16 2016 01: +0,1455584400
0.987,6,Feb 17 2016 01: +0,1455670800
0.877,10,Feb 18 2016 01: +0,1455757200
1.136,7,Feb 19 2016 01: +0,1455843600
1.07,5,Feb 20 2016 01: +0,1455930000
1.106,6,Feb 21 2016 01: +0,1456016400
0.917,5,Feb 22 2016 01: +0,1456102800
1.145,6,Feb 23 2016 01: +0,1456189200
1.508,26,Feb 24 2016 01: +0,1456275600
1.196,9,Feb 25 2016 01: +0,1456362000
1.201,4,Feb 26 2016 01: +0,1456448400
1.051,4,Feb 27 2016 01: +0,1456534800
1.03,2,Feb 28 2016 01: +0,1456621200
1.043,1,Feb 29 2016 01: +0,1456707600
1.015,18,Mar 01 2016 01: +0,1456794000
2.74,25,Mar 02 2016 01: +0,1456880400
2.077,12,Mar 03 2016 01: +0,1456966800
2.069,4,Mar 04 2016 01: +0,1457053200
2.018,5,Mar 05 2016 01: +0,1457139600
1.739,3,Mar 06 2016 01: +0,1457226000
1.616,4,Mar 07 2016 01: +0,1457312400
1.584,10,Mar 08 2016 01: +0,1457398800
1.439,4,Mar 09 2016 01: +0,1457485200
1.561,2,Mar 10 2016 01: +0,1457571600
1.522,7,Mar 11 2016 01: +0,1457658000
1.494,4,Mar 12 2016 01: +0,1457744400
1.595,2,Mar 13 2016 01: +0,1457830800
1.383,3,Mar 14 2016 01: +0,1457917200
1.501,5,Mar 15 2016 01: +0,1458003600
1.43,2,Mar 16 2016 01: +0,1458090000
1.417,5,Mar 17 2016 01: +0,1458176400
1.032,3,Mar 18 2016 01: +0,1458262800
1.171,3,Mar 19 2016 01: +0,1458349200
0.968,3,Mar 20 2016 01: +0,1458435600
1.161,7,Mar 21 2016 01: +0,1458522000
1.161,12,Mar 22 2016 01: +0,1458608400
1.391,1,Mar 23 2016 01: +0,1458694800
1.107,2,Mar 24 2016 01: +0,1458781200
1.071,4,Mar 25 2016 01: +0,1458867600
1.04,3,Mar 26 2016 01: +0,1458954000
1.077,3,Mar 27 2016 01: +0,1459040400
1.067,1,Mar 29 2016 01: +0,1459209600
1.143,3,Mar 30 2016 01: +0,1459296000
1.084,1,Mar 31 2016 01: +0,1459382400
1.058,4,Apr 01 2016 01: +0,1459468800
1.083,2,Apr 02 2016 01: +0,1459555200
0.775,10,Apr 03 2016 01: +0,1459641600
0.836,6,Apr 04 2016 01: +0,1459728000
0.974,5,Apr 06 2016 01: +0,1459900800
0.993,1,Apr 07 2016 01: +0,1459987200
0.876,2,Apr 08 2016 01: +0,1460073600
1.322,20,Apr 09 2016 01: +0,1460160000
1.679,4,Apr 10 2016 01: +0,1460246400
1.418,1,Apr 11 2016 01: +0,1460332800
0.807,1,Apr 12 2016 01: +0,1460419200
1.497,6,Apr 13 2016 01: +0,1460505600
1.409,2,Apr 14 2016 01: +0,1460592000
1.381,1,Apr 16 2016 01: +0,1460764800
1.225,3,Apr 17 2016 01: +0,1460851200
1.135,3,Apr 18 2016 01: +0,1460937600
1.211,1,Apr 19 2016 01: +0,1461024000
1.218,4,Apr 20 2016 01: +0,1461110400
1.08,1,Apr 21 2016 01: +0,1461196800
