price,quantity,date,unix timestamp
6.164,5,Oct 22 2022 01: +0,1666396800
4.839,1,Oct 23 2022 01: +0,1666483200
7.049,2,Oct 24 2022 01: +0,1666569600
5.213,1,Oct 25 2022 01: +0,1666656000
9.808,1,Oct 26 2022 01: +0,1666742400
5.796,1,Oct 28 2022 01: +0,1666915200
9.232,3,Oct 30 2022 01: +0,1667088000
10.606,1,Oct 31 2022 01: +0,1667178000
13.33,2,Nov 03 2022 01: +0,1667437200
8.21,3,Nov 04 2022 01: +0,1667523600
6.551,2,Nov 06 2022 01: +0,1667696400
8.057,1,Nov 07 2022 01: +0,1667782800
6.185,1,Nov 08 2022 01: +0,1667869200
6.012,1,Nov 09 2022 01: +0,1667955600
4.287,1,Nov 10 2022 01: +0,1668042000
4.844,3,Nov 13 2022 01: +0,1668301200
11.305,1,Nov 15 2022 01: +0,1668474000
4.371,2,Nov 16 2022 01: +0,1668560400
8.411,1,Nov 28 2022 01: +0,1669597200
5.246,1,Nov 29 2022 01: +0,1669683600
4.071,1,Nov 30 2022 01: +0,1669770000
7.564,1,Dec 01 2022 01: +0,1669856400
2.051,1,Dec 02 2022 01: +0,1669942800
5.669,1,Dec 11 2022 01: +0,1670720400
3.841,7,Dec 14 2022 01: +0,1670979600
3.261,8,Dec 15 2022 01: +0,1671066000
2.928,3,Dec 16 2022 01: +0,1671152400
4.21,5,Dec 17 2022 01: +0,1671238800
4.008,1,Dec 18 2022 01: +0,1671325200
3.241,4,Dec 19 2022 01: +0,1671411600
3.098,2,Dec 20 2022 01: +0,1671498000
2.096,1,Dec 21 2022 01: +0,1671584400
2.399,2,Dec 22 2022 01: +0,1671670800
2.306,11,Dec 23 2022 01: +0,1671757200
2.216,4,Dec 24 2022 01: +0,1671843600
2.554,9,Dec 25 2022 01: +0,1671930000
3.442,2,Dec 27 2022 01: +0,1672102800
3.395,3,Dec 29 2022 01: +0,1672275600
3.102,3,Dec 30 2022 01: +0,1672362000
2.98,5,Dec 31 2022 01: +0,1672448400
2.861,4,Jan 01 2023 01: +0,1672534800
2.371,2,Jan 03 2023 01: +0,1672707600
2.254,1,Jan 04 2023 01: +0,1672794000
2.773,4,Jan 05 2023 01: +0,1672880400
2.33,1,Jan 06 2023 01: +0,1672966800
3.269,1,Jan 08 2023 01: +0,1673139600
3.096,2,Jan 09 2023 01: +0,1673226000
3.02,6,Jan 10 2023 01: +0,1673312400
2.928,2,Jan 11 2023 01: +0,1673398800
2.874,1,Jan 12 2023 01: +0,1673485200
3.09,3,Jan 13 2023 01: +0,1673571600
3.073,3,Jan 14 2023 01: +0,1673658000
3.376,3,Jan 15 2023 01: +0,1673744400
2.919,3,Jan 16 2023 01: +0,1673830800
2.965,4,Jan 17 2023 01: +0,1673917200
3.266,1,Jan 18 2023 01: +0,1674003600
3.021,7,Jan 19 2023 01: +0,1674090000
5.412,4,Jan 20 2023 01: +0,1674176400
9.166,10,Jan 21 2023 01: +0,1674262800
6.161,1,Jan 22 2023 01: +0,1674349200
6.07,3,Jan 23 2023 01: +0,1674435600
6.012,4,Jan 24 2023 01: +0,1674522000
4.919,5,Jan 26 2023 01: +0,1674694800
4.807,3,Jan 27 2023 01: +0,1674781200
4.992,3,Jan 28 2023 01: +0,1674867600
4.8,4,Jan 29 2023 01: +0,1674954000
4.93,4,Jan 30 2023 01: +0,1675040400
4.921,5,Jan 31 2023 01: +0,1675126800
4.812,2,Feb 01 2023 01: +0,1675213200
4.883,1,Feb 02 2023 01: +0,1675299600
4.979,4,Feb 03 2023 01: +0,1675386000
4.79,1,Feb 04 2023 01: +0,1675472400
4.714,3,Feb 05 2023 01: +0,1675558800
3.572,1,Feb 06 2023 01: +0,1675645200
3.992,4,Feb 08 2023 01: +0,1675818000
4.485,3,Feb 09 2023 01: +0,1675904400
4.265,2,Feb 10 2023 01: +0,1675990800
3.855,1,Feb 11 2023 01: +0,1676077200
4.735,4,Feb 12 2023 01: +0,1676163600
4.507,5,Feb 13 2023 01: +0,1676250000
4.658,10,Feb 14 2023 01: +0,1676336400
5.076,1,Feb 15 2023 01: +0,1676422800
4.292,6,Feb 16 2023 01: +0,1676509200
4.344,6,Feb 17 2023 01: +0,1676595600
4.38,6,Feb 18 2023 01: +0,1676682000
4.189,3,Feb 19 2023 01: +0,1676768400
3.078,2,Feb 20 2023 01: +0,1676854800
4.379,4,Feb 21 2023 01: +0,1676941200
4.356,4,Feb 22 2023 01: +0,1677027600
4.329,4,Feb 23 2023 01: +0,1677114000
4.098,3,Feb 24 2023 01: +0,1677200400
4.314,2,Feb 25 2023 01: +0,1677286800
4.142,1,Feb 26 2023 01: +0,1677373200
4.14,3,Feb 27 2023 01: +0,1677459600
4.207,3,Feb 28 2023 01: +0,1677546000
4.708,4,Mar 01 2023 01: +0,1677632400
5.57,12,Mar 02 2023 01: +0,1677718800
6.052,3,Mar 04 2023 01: +0,1677891600
5.653,2,Mar 05 2023 01: +0,1677978000
5.994,2,Mar 06 2023 01: +0,1678064400
5.987,2,Mar 07 2023 01: +0,1678150800
5.869,2,Mar 08 2023 01: +0,1678237200
5.958,1,Mar 10 2023 19: +0,1678474800
6.98,9,Mar 12 2023 08: +0,1678608000
5.367,1,Mar 13 2023 17: +0,1678726800
6.839,1,Mar 14 2023 20: +0,1678824000
6.177,1,Mar 15 2023 11: +0,1678878000
8.47,1,Mar 15 2023 12: +0,1678881600
8.282,1,Mar 15 2023 15: +0,1678892400
8.559,3,Mar 16 2023 12: +0,1678968000
9.722,1,Mar 17 2023 02: +0,1679018400
8.147,1,Mar 18 2023 20: +0,1679169600
6.575,1,Mar 21 2023 04: +0,1679371200
7.893,2,Mar 22 2023 19: +0,1679511600
8.113,1,Mar 25 2023 14: +0,1679752800
8.096,1,Mar 25 2023 20: +0,1679774400
8.556,1,Mar 27 2023 10: +0,1679907600
8.077,1,Mar 27 2023 14: +0,1679922000
7.524,1,Mar 27 2023 17: +0,1679932800
7.919,1,Mar 28 2023 22: +0,1680037200
8.161,1,Mar 29 2023 16: +0,1680102000
8.558,1,Mar 31 2023 15: +0,1680271200
8.648,1,Mar 31 2023 18: +0,1680282000
8.347,1,Apr 01 2023 05: +0,1680321600
8.725,1,Apr 01 2023 21: +0,1680379200
10.083,1,Apr 02 2023 13: +0,1680436800
4.382,1,Apr 03 2023 22: +0,1680555600
10.516,3,Apr 04 2023 22: +0,1680642000
10.282,1,Apr 05 2023 21: +0,1680724800
9.951,1,Apr 07 2023 19: +0,1680890400
11.486,1,Apr 07 2023 21: +0,1680897600
8.83,1,Apr 08 2023 06: +0,1680930000
8.419,1,Apr 11 2023 00: +0,1681167600
9.099,1,Apr 11 2023 09: +0,1681200000
8.372,3,Apr 12 2023 03: +0,1681264800
8.266,1,Apr 12 2023 09: +0,1681286400
8.374,1,Apr 13 2023 12: +0,1681383600
8.278,1,Apr 13 2023 13: +0,1681387200
7.981,1,Apr 13 2023 23: +0,1681423200
4.151,1,Apr 14 2023 03: +0,1681437600
9.722,1,Apr 14 2023 23: +0,1681509600
9.934,1,Apr 16 2023 17: +0,1681660800
9.99,1,Apr 17 2023 19: +0,1681754400
9.945,1,Apr 18 2023 22: +0,1681851600
9.364,1,Apr 19 2023 11: +0,1681898400
7.02,1,Apr 21 2023 01: +0,1682035200
6.888,1,Apr 21 2023 22: +0,1682110800
5.887,1,Apr 23 2023 08: +0,1682233200
8.453,1,Apr 24 2023 01: +0,1682294400
6.981,1,Apr 29 2023 11: +0,1682762400
7.022,1,Apr 30 2023 02: +0,1682816400
8.771,1,May 03 2023 22: +0,1683147600
5.535,1,May 05 2023 08: +0,1683270000
5.017,1,May 05 2023 15: +0,1683295200
4.928,1,May 06 2023 11: +0,1683367200
5.97,1,May 06 2023 16: +0,1683385200
5.341,1,May 07 2023 15: +0,1683468000
4.898,1,May 08 2023 01: +0,1683504000
4.935,1,May 08 2023 16: +0,1683558000
4.919,1,May 09 2023 11: +0,1683626400
6.043,4,May 12 2023 23: +0,1683928800
4.362,2,May 13 2023 10: +0,1683968400
4.694,1,May 13 2023 20: +0,1684004400
4.635,1,May 14 2023 14: +0,1684069200
4.664,2,May 17 2023 06: +0,1684299600
4.215,1,May 22 2023 05: +0,1684728000
4.353,1,May 22 2023 18: +0,1684774800
4.138,1,May 25 2023 08: +0,1684998000
4.244,1,May 25 2023 16: +0,1685026800
4.139,1,May 26 2023 05: +0,1685073600
3.762,1,May 31 2023 20: +0,1685559600
3.661,1,Jun 01 2023 11: +0,1685613600
3.542,1,Jun 01 2023 18: +0,1685638800
4.104,1,Jun 02 2023 08: +0,1685689200
3.678,1,Jun 02 2023 17: +0,1685721600
3.702,1,Jun 05 2023 19: +0,1685988000
4.119,1,Jun 07 2023 10: +0,1686128400
3.969,1,Jun 12 2023 23: +0,1686607200
3.668,1,Jun 13 2023 03: +0,1686621600
3.435,1,Jun 13 2023 15: +0,1686664800
3.409,1,Jun 19 2023 13: +0,1687176000
3.439,1,Jun 22 2023 13: +0,1687435200
3.35,1,Jun 22 2023 17: +0,1687449600
3.297,1,Jun 22 2023 23: +0,1687471200
3.373,1,Jun 23 2023 00: +0,1687474800
3.35,1,Jun 24 2023 00: +0,1687561200
3.92,6,Jun 25 2023 03: +0,1687658400
3.85,1,Jun 26 2023 17: +0,1687795200
4.379,1,Jun 26 2023 22: +0,1687813200
5.488,1,Jun 27 2023 20: +0,1687892400
3.995,2,Jun 29 2023 23: +0,1688076000
3.532,2,Jul 03 2023 04: +0,1688353200
3.524,1,Jul 03 2023 12: +0,1688382000
3.847,1,Jul 08 2023 01: +0,1688774400
4.099,1,Jul 08 2023 17: +0,1688832000
3.734,1,Jul 12 2023 09: +0,1689148800
3.238,2,Jul 12 2023 15: +0,1689170400
3.741,1,Jul 14 2023 16: +0,1689346800
4.515,1,Jul 21 2023 20: +0,1689966000
3.6,1,Jul 25 2023 12: +0,1690282800
4.715,1,Jul 26 2023 16: +0,1690383600
0.865,1,Jul 27 2023 07: +0,1690437600
3.368,1,Jul 27 2023 14: +0,1690462800
4.667,1,Jul 28 2023 19: +0,1690567200
0.873,1,Jul 30 2023 09: +0,1690704000
3.353,1,Jul 31 2023 16: +0,1690815600
3.65,1,Jul 31 2023 23: +0,1690840800
3.3,1,Aug 01 2023 12: +0,1690887600
3.636,1,Aug 02 2023 02: +0,1690938000
3.275,1,Aug 03 2023 09: +0,1691049600
3.108,1,Aug 03 2023 15: +0,1691071200
1.778,1,Aug 03 2023 16: +0,1691074800
3.274,1,Aug 04 2023 08: +0,1691132400
3.462,1,Aug 12 2023 21: +0,1691870400
3.473,2,Aug 13 2023 06: +0,1691902800
3.587,1,Aug 13 2023 11: +0,1691920800
4.39,1,Aug 16 2023 18: +0,1692205200
3.431,1,Aug 20 2023 19: +0,1692554400
4.526,1,Aug 23 2023 09: +0,1692777600
3.439,1,Aug 26 2023 09: +0,1693036800
3.083,1,Sep 06 2023 14: +0,1694005200
3.839,1,Sep 12 2023 13: +0,1694520000
3.395,1,Sep 23 2023 19: +0,1695492000
3.213,1,Sep 24 2023 07: +0,1695535200
4.363,1,Sep 25 2023 18: +0,1695661200
0.875,4,Oct 07 2023 01: +0,1696636800
4.162,1,Oct 08 2023 21: +0,1696795200
4.244,1,Oct 11 2023 22: +0,1697058000
3.56,1,Oct 15 2023 06: +0,1697346000
3.63,1,Oct 20 2023 14: +0,1697806800
4.184,3,Oct 20 2023 16: +0,1697814000
4.149,1,Oct 22 2023 16: +0,1697986800
3.109,1,Nov 08 2023 00: +0,1699401600
3.2,1,Nov 08 2023 12: +0,1699444800
3.45,1,Nov 14 2023 08: +0,1699948800
3.209,1,Nov 15 2023 10: +0,1700042400
0.812,2,Nov 17 2023 00: +0,1700179200
3.099,1,Nov 26 2023 21: +0,1701032400
3.102,1,Nov 28 2023 11: +0,1701169200
0.821,1,Dec 01 2023 15: +0,1701442800
3.06,1,Dec 31 2023 10: +0,1704016800
3.057,1,Jan 01 2024 10: +0,1704103200
3.055,1,Jan 03 2024 20: +0,1704312000
3.225,1,Jan 05 2024 18: +0,1704477600
3.052,1,Jan 10 2024 22: +0,1704924000
3.495,1,Jan 22 2024 05: +0,1705899600
3.105,3,Jan 25 2024 06: +0,1706162400
3.065,1,Jan 25 2024 11: +0,1706180400
3.218,1,Feb 03 2024 22: +0,1706997600
0.853,1,Feb 05 2024 22: +0,1707170400
3.17,1,Feb 09 2024 10: +0,1707472800
2.609,3,Feb 10 2024 11: +0,1707562800
3.194,1,Feb 11 2024 21: +0,1707685200
3.279,1,Feb 13 2024 02: +0,1707789600
3.091,1,Feb 15 2024 08: +0,1707984000
3.736,1,Feb 16 2024 02: +0,1708048800
3.417,1,Feb 17 2024 03: +0,1708138800
3.064,2,Feb 22 2024 03: +0,1708570800
2.547,1,Feb 24 2024 10: +0,1708768800
3.146,1,Feb 28 2024 22: +0,1709157600
2.741,1,Mar 01 2024 09: +0,1709283600
0.864,1,Mar 06 2024 21: +0,1709758800
2.865,2,Mar 15 2024 16: +0,1710518400
3.326,1,Mar 16 2024 03: +0,1710558000
2.832,3,Mar 21 2024 14: +0,1711029600
2.343,1,Mar 23 2024 19: +0,1711220400
2.83,1,Mar 27 2024 17: +0,1711558800
2.884,1,Apr 09 2024 22: +0,1712696400
2.562,1,Apr 11 2024 02: +0,1712797200
2.546,1,Apr 14 2024 07: +0,1713074400
2.795,1,Apr 17 2024 22: +0,1713387600
2.779,1,Apr 21 2024 06: +0,1713675600
2.267,1,Apr 22 2024 01: +0,1713744000
2.762,1,Apr 22 2024 02: +0,1713747600
2.954,4,Apr 30 2024 06: +0,1714453200
3.346,1,May 04 2024 06: +0,1714798800
2.339,2,May 14 2024 15: +0,1715695200
2.555,1,May 22 2024 15: +0,1716386400
2.315,1,May 24 2024 07: +0,1716530400
2.813,1,Jun 02 2024 19: +0,1717351200
3.34,1,Jun 08 2024 01: +0,1717804800
