price,quantity,date,unix timestamp
0.845,18,Oct 21 2022 01: +0,1666310400
0.649,176,Oct 22 2022 01: +0,1666396800
0.498,72,Oct 23 2022 01: +0,1666483200
0.415,42,Oct 24 2022 01: +0,1666569600
0.415,43,Oct 25 2022 01: +0,1666656000
0.375,25,Oct 26 2022 01: +0,1666742400
0.39,29,Oct 27 2022 01: +0,1666828800
0.33,26,Oct 28 2022 01: +0,1666915200
0.398,37,Oct 29 2022 01: +0,1667001600
0.481,38,Oct 30 2022 01: +0,1667088000
0.434,15,Oct 31 2022 01: +0,1667178000
1.856,75,Nov 01 2022 01: +0,1667264400
1.935,53,Nov 02 2022 01: +0,1667350800
1.884,31,Nov 03 2022 01: +0,1667437200
1.586,50,Nov 04 2022 01: +0,1667523600
0.777,13,Nov 05 2022 01: +0,1667610000
0.563,24,Nov 06 2022 01: +0,1667696400
0.54,20,Nov 07 2022 01: +0,1667782800
0.484,9,Nov 08 2022 01: +0,1667869200
0.468,15,Nov 09 2022 01: +0,1667955600
0.517,31,Nov 10 2022 01: +0,1668042000
0.462,24,Nov 11 2022 01: +0,1668128400
0.461,66,Nov 12 2022 01: +0,1668214800
0.38,70,Nov 13 2022 01: +0,1668301200
0.35,43,Nov 14 2022 01: +0,1668387600
0.376,26,Nov 15 2022 01: +0,1668474000
0.381,25,Nov 16 2022 01: +0,1668560400
0.379,21,Nov 17 2022 01: +0,1668646800
0.536,20,Nov 18 2022 01: +0,1668733200
0.451,18,Nov 19 2022 01: +0,1668819600
0.402,13,Nov 20 2022 01: +0,1668906000
0.465,10,Nov 21 2022 01: +0,1668992400
0.368,7,Nov 22 2022 01: +0,1669078800
0.35,12,Nov 23 2022 01: +0,1669165200
0.36,7,Nov 24 2022 01: +0,1669251600
0.428,11,Nov 25 2022 01: +0,1669338000
0.328,4,Nov 26 2022 01: +0,1669424400
0.357,10,Nov 27 2022 01: +0,1669510800
0.445,8,Nov 28 2022 01: +0,1669597200
0.432,4,Nov 29 2022 01: +0,1669683600
0.407,8,Nov 30 2022 01: +0,1669770000
0.414,8,Dec 01 2022 01: +0,1669856400
0.491,1,Dec 02 2022 01: +0,1669942800
0.354,9,Dec 03 2022 01: +0,1670029200
0.368,6,Dec 04 2022 01: +0,1670115600
0.373,2,Dec 05 2022 01: +0,1670202000
0.383,8,Dec 06 2022 01: +0,1670288400
0.419,14,Dec 07 2022 01: +0,1670374800
0.417,5,Dec 08 2022 01: +0,1670461200
0.389,11,Dec 09 2022 01: +0,1670547600
0.383,12,Dec 10 2022 01: +0,1670634000
