price,quantity,date,unix timestamp
0.873,508,Feb 07 2019 01: +0,1549501200
0.841,288,Feb 08 2019 01: +0,1549587600
0.8,289,Feb 09 2019 01: +0,1549674000
0.759,226,Feb 10 2019 01: +0,1549760400
0.797,134,Feb 11 2019 01: +0,1549846800
0.834,136,Feb 12 2019 01: +0,1549933200
0.84,122,Feb 13 2019 01: +0,1550019600
0.848,131,Feb 14 2019 01: +0,1550106000
0.812,129,Feb 15 2019 01: +0,1550192400
0.816,169,Feb 16 2019 01: +0,1550278800
0.792,141,Feb 17 2019 01: +0,1550365200
0.769,127,Feb 18 2019 01: +0,1550451600
0.787,126,Feb 19 2019 01: +0,1550538000
0.844,86,Feb 20 2019 01: +0,1550624400
0.848,90,Feb 21 2019 01: +0,1550710800
0.872,103,Feb 22 2019 01: +0,1550797200
0.884,110,Feb 23 2019 01: +0,1550883600
0.906,101,Feb 24 2019 01: +0,1550970000
0.903,93,Feb 25 2019 01: +0,1551056400
0.813,108,Feb 26 2019 01: +0,1551142800
0.826,75,Feb 27 2019 01: +0,1551229200
0.837,78,Feb 28 2019 01: +0,1551315600
0.821,113,Mar 01 2019 01: +0,1551402000
0.6,7591,Mar 02 2019 01: +0,1551488400
0.303,7973,Mar 03 2019 01: +0,1551574800
0.328,5951,Mar 04 2019 01: +0,1551661200
0.338,3076,Mar 05 2019 01: +0,1551747600
0.318,2119,Mar 06 2019 01: +0,1551834000
0.315,1501,Mar 07 2019 01: +0,1551920400
0.304,1383,Mar 08 2019 01: +0,1552006800
0.312,1466,Mar 09 2019 01: +0,1552093200
0.308,1236,Mar 10 2019 01: +0,1552179600
0.301,1034,Mar 11 2019 01: +0,1552266000
0.325,772,Mar 12 2019 01: +0,1552352400
0.327,613,Mar 13 2019 01: +0,1552438800
0.323,744,Mar 14 2019 01: +0,1552525200
0.321,738,Mar 15 2019 01: +0,1552611600
0.334,854,Mar 16 2019 01: +0,1552698000
0.322,623,Mar 17 2019 01: +0,1552784400
0.319,543,Mar 18 2019 01: +0,1552870800
0.326,393,Mar 19 2019 01: +0,1552957200
0.335,396,Mar 20 2019 01: +0,1553043600
0.336,336,Mar 21 2019 01: +0,1553130000
0.338,471,Mar 22 2019 01: +0,1553216400
0.342,429,Mar 23 2019 01: +0,1553302800
0.332,363,Mar 24 2019 01: +0,1553389200
0.344,287,Mar 25 2019 01: +0,1553475600
0.34,347,Mar 26 2019 01: +0,1553562000
0.325,269,Mar 27 2019 01: +0,1553648400
0.329,310,Mar 28 2019 01: +0,1553734800
0.313,387,Mar 29 2019 01: +0,1553821200
0.318,389,Mar 30 2019 01: +0,1553907600
0.312,349,Mar 31 2019 01: +0,1553994000
0.321,282,Apr 01 2019 01: +0,1554076800
0.304,247,Apr 02 2019 01: +0,1554163200
0.324,289,Apr 03 2019 01: +0,1554249600
0.332,241,Apr 04 2019 01: +0,1554336000
0.328,279,Apr 05 2019 01: +0,1554422400
0.341,269,Apr 06 2019 01: +0,1554508800
0.335,323,Apr 07 2019 01: +0,1554595200
0.34,231,Apr 08 2019 01: +0,1554681600
0.344,311,Apr 09 2019 01: +0,1554768000
0.345,243,Apr 10 2019 01: +0,1554854400
0.342,213,Apr 11 2019 01: +0,1554940800
0.344,256,Apr 12 2019 01: +0,1555027200
0.353,252,Apr 13 2019 01: +0,1555113600
0.347,273,Apr 14 2019 01: +0,1555200000
0.356,209,Apr 15 2019 01: +0,1555286400
0.352,191,Apr 16 2019 01: +0,1555372800
0.36,179,Apr 17 2019 01: +0,1555459200
0.366,180,Apr 18 2019 01: +0,1555545600
0.371,149,Apr 19 2019 01: +0,1555632000
0.374,172,Apr 20 2019 01: +0,1555718400
0.391,200,Apr 21 2019 01: +0,1555804800
0.377,147,Apr 22 2019 01: +0,1555891200
0.381,188,Apr 23 2019 01: +0,1555977600
0.387,125,Apr 24 2019 01: +0,1556064000
0.385,184,Apr 25 2019 01: +0,1556150400
0.372,122,Apr 26 2019 01: +0,1556236800
0.381,182,Apr 27 2019 01: +0,1556323200
0.374,148,Apr 28 2019 01: +0,1556409600
0.37,218,Apr 29 2019 01: +0,1556496000
0.375,148,Apr 30 2019 01: +0,1556582400
0.371,157,May 01 2019 01: +0,1556668800
0.381,131,May 02 2019 01: +0,1556755200
0.397,157,May 03 2019 01: +0,1556841600
0.393,143,May 04 2019 01: +0,1556928000
0.403,216,May 05 2019 01: +0,1557014400
0.417,124,May 06 2019 01: +0,1557100800
0.423,131,May 07 2019 01: +0,1557187200
0.373,184,May 08 2019 01: +0,1557273600
0.398,106,May 09 2019 01: +0,1557360000
0.392,144,May 10 2019 01: +0,1557446400
0.41,149,May 11 2019 01: +0,1557532800
0.4,232,May 12 2019 01: +0,1557619200
0.409,112,May 13 2019 01: +0,1557705600
0.416,138,May 14 2019 01: +0,1557792000
0.42,92,May 15 2019 01: +0,1557878400
0.43,106,May 16 2019 01: +0,1557964800
0.416,141,May 17 2019 01: +0,1558051200
0.413,173,May 18 2019 01: +0,1558137600
0.411,153,May 19 2019 01: +0,1558224000
0.411,205,May 20 2019 01: +0,1558310400
0.4,111,May 21 2019 01: +0,1558396800
0.401,108,May 22 2019 01: +0,1558483200
0.417,317,May 23 2019 01: +0,1558569600
0.45,272,May 24 2019 01: +0,1558656000
0.448,168,May 25 2019 01: +0,1558742400
0.462,126,May 26 2019 01: +0,1558828800
0.482,169,May 27 2019 01: +0,1558915200
0.488,122,May 28 2019 01: +0,1559001600
0.471,103,May 29 2019 01: +0,1559088000
0.452,121,May 30 2019 01: +0,1559174400
0.46,113,May 31 2019 01: +0,1559260800
0.464,107,Jun 01 2019 01: +0,1559347200
0.467,137,Jun 02 2019 01: +0,1559433600
0.467,279,Jun 03 2019 01: +0,1559520000
0.466,359,Jun 04 2019 01: +0,1559606400
0.483,379,Jun 05 2019 01: +0,1559692800
0.485,109,Jun 06 2019 01: +0,1559779200
0.474,132,Jun 07 2019 01: +0,1559865600
0.496,112,Jun 08 2019 01: +0,1559952000
0.471,99,Jun 09 2019 01: +0,1560038400
0.475,120,Jun 10 2019 01: +0,1560124800
0.492,135,Jun 11 2019 01: +0,1560211200
0.464,106,Jun 12 2019 01: +0,1560297600
0.498,112,Jun 13 2019 01: +0,1560384000
0.481,175,Jun 14 2019 01: +0,1560470400
0.509,147,Jun 15 2019 01: +0,1560556800
0.474,144,Jun 16 2019 01: +0,1560643200
0.455,150,Jun 17 2019 01: +0,1560729600
0.461,111,Jun 18 2019 01: +0,1560816000
0.486,102,Jun 19 2019 01: +0,1560902400
0.484,99,Jun 20 2019 01: +0,1560988800
0.49,87,Jun 21 2019 01: +0,1561075200
0.504,109,Jun 22 2019 01: +0,1561161600
0.505,92,Jun 23 2019 01: +0,1561248000
0.504,103,Jun 24 2019 01: +0,1561334400
0.497,152,Jun 25 2019 01: +0,1561420800
0.462,138,Jun 26 2019 01: +0,1561507200
0.453,121,Jun 27 2019 01: +0,1561593600
0.464,118,Jun 28 2019 01: +0,1561680000
0.45,99,Jun 29 2019 01: +0,1561766400
0.474,108,Jun 30 2019 01: +0,1561852800
0.467,96,Jul 01 2019 01: +0,1561939200
0.48,95,Jul 02 2019 01: +0,1562025600
0.484,104,Jul 03 2019 01: +0,1562112000
0.493,131,Jul 04 2019 01: +0,1562198400
0.487,78,Jul 05 2019 01: +0,1562284800
0.505,106,Jul 06 2019 01: +0,1562371200
0.511,101,Jul 07 2019 01: +0,1562457600
0.501,110,Jul 08 2019 01: +0,1562544000
0.504,118,Jul 09 2019 01: +0,1562630400
0.518,125,Jul 10 2019 01: +0,1562716800
0.52,172,Jul 11 2019 01: +0,1562803200
0.541,148,Jul 12 2019 01: +0,1562889600
0.549,400,Jul 13 2019 01: +0,1562976000
0.552,526,Jul 14 2019 01: +0,1563062400
0.55,177,Jul 15 2019 01: +0,1563148800
0.575,583,Jul 16 2019 01: +0,1563235200
0.61,98,Jul 17 2019 01: +0,1563321600
0.616,111,Jul 18 2019 01: +0,1563408000
0.633,111,Jul 19 2019 01: +0,1563494400
0.646,79,Jul 20 2019 01: +0,1563580800
0.639,112,Jul 21 2019 01: +0,1563667200
0.659,68,Jul 22 2019 01: +0,1563753600
0.653,59,Jul 23 2019 01: +0,1563840000
0.658,60,Jul 24 2019 01: +0,1563926400
0.668,63,Jul 25 2019 01: +0,1564012800
0.659,103,Jul 26 2019 01: +0,1564099200
0.692,93,Jul 27 2019 01: +0,1564185600
0.721,86,Jul 28 2019 01: +0,1564272000
0.715,64,Jul 29 2019 01: +0,1564358400
0.695,90,Jul 30 2019 01: +0,1564444800
0.705,151,Jul 31 2019 01: +0,1564531200
0.716,72,Aug 01 2019 01: +0,1564617600
