price,quantity,date,unix timestamp
14.081,1,May 05 2023 03: +0,1683252000
10.135,2,May 05 2023 04: +0,1683255600
5.556,2,May 05 2023 05: +0,1683259200
6.118,1,May 05 2023 07: +0,1683266400
6.34,3,May 05 2023 08: +0,1683270000
6.339,3,May 05 2023 09: +0,1683273600
6.355,3,May 05 2023 10: +0,1683277200
5.661,1,May 05 2023 11: +0,1683280800
5.288,1,May 05 2023 13: +0,1683288000
5.289,1,May 05 2023 15: +0,1683295200
6.02,1,May 05 2023 16: +0,1683298800
5.056,3,May 05 2023 17: +0,1683302400
5.174,4,May 05 2023 18: +0,1683306000
5.348,2,May 05 2023 19: +0,1683309600
6.12,5,May 05 2023 20: +0,1683313200
5.04,1,May 05 2023 21: +0,1683316800
5.036,2,May 05 2023 22: +0,1683320400
4.84,1,May 05 2023 23: +0,1683324000
4.802,1,May 06 2023 01: +0,1683331200
5.28,1,May 06 2023 02: +0,1683334800
4.947,1,May 06 2023 03: +0,1683338400
5.097,2,May 06 2023 04: +0,1683342000
5.592,1,May 06 2023 05: +0,1683345600
5.896,5,May 06 2023 06: +0,1683349200
7.293,1,May 06 2023 07: +0,1683352800
5.316,1,May 06 2023 09: +0,1683360000
5.275,1,May 06 2023 13: +0,1683374400
5.2,1,May 06 2023 16: +0,1683385200
5.275,2,May 06 2023 18: +0,1683392400
5.348,1,May 06 2023 21: +0,1683403200
5.346,1,May 06 2023 23: +0,1683410400
6.528,1,May 07 2023 00: +0,1683414000
5.136,2,May 07 2023 12: +0,1683457200
4.946,2,May 07 2023 13: +0,1683460800
4.407,1,May 07 2023 15: +0,1683468000
4.903,2,May 07 2023 17: +0,1683475200
4.153,1,May 07 2023 19: +0,1683482400
4.388,1,May 08 2023 04: +0,1683514800
4.024,1,May 08 2023 05: +0,1683518400
3.968,1,May 08 2023 08: +0,1683529200
6.529,5,May 08 2023 11: +0,1683540000
5.931,3,May 08 2023 15: +0,1683554400
4.569,1,May 08 2023 20: +0,1683572400
